slice,row_count,active_constraints,passing_constraints,satisfied,total,share,null_share_fpr,null_satisfied_fpr,verdict,weak_constraints
short_1_3,1503,9,9,72,74,0.972972972972973,0,0,survives_length_stratum,
medium_4_6,1569,9,9,695,712,0.976123595505618,0,0,survives_length_stratum,
long_7_9,380,9,7,271,284,0.954225352112676,0,0,weak_or_mixed,400_before_740:7/9;740_before_817:11/14
very_long_10_plus,51,9,9,52,56,0.9285714285714286,0,0,survives_length_stratum,
carrier_tablet_account,765,9,8,183,188,0.973404255319149,0,0,weak_or_mixed,740_before_820:4/6
carrier_rect_copper,444,9,9,125,126,0.9920634920634921,0,0,survives_length_stratum,
carrier_square_seal,1545,9,8,691,715,0.9664335664335665,0,0,weak_or_mixed,400_before_740:9/18
carrier_round_seal,37,1,1,1,1,1,,,too_sparse,
carrier_other,712,9,8,90,96,0.9375,0,0,weak_or_mixed,400_before_740:11/14
short_1_3_tablet_account,424,8,8,32,34,0.9411764705882353,0,0,survives_length_stratum,
short_1_3_rect_copper,138,5,5,8,8,1,,,survives_length_stratum,
short_1_3_square_seal,458,7,7,16,16,1,,,survives_length_stratum,
medium_4_6_tablet_account,317,9,8,137,139,0.9856115107913669,0,0,weak_or_mixed,002_before_817:6/8
medium_4_6_rect_copper,227,9,9,61,61,1,0,0,survives_length_stratum,
medium_4_6_square_seal,790,9,8,434,446,0.9730941704035875,0,0,weak_or_mixed,400_before_740:6/14
long_7_9_tablet_account,21,5,5,13,13,1,,,survives_length_stratum,
long_7_9_rect_copper,64,8,8,40,41,0.975609756097561,0,0,survives_length_stratum,
long_7_9_square_seal,265,9,8,208,217,0.9585253456221198,0,0,weak_or_mixed,740_before_817:9/12
very_long_10_plus_tablet_account,3,1,1,1,2,0.5,,,too_sparse,
very_long_10_plus_rect_copper,15,4,4,16,16,1,,,survives_length_stratum,
very_long_10_plus_square_seal,32,9,9,33,36,0.9166666666666666,0,0,survives_length_stratum,
