bigram,exact_cells,best_next,best_hit,best_share,sites,types
002-817,108,<END>,105,0.9722222222222222,10,9
002-861,126,<END>,102,0.8095238095238095,8,9
002-820,75,<END>,70,0.9333333333333333,7,6
060-920,52,<END>,51,0.9807692307692307,9,7
740-390,37,590,36,0.972972972972973,7,4
741-060,30,920,30,1,7,5
060-692,33,<END>,28,0.8484848484848485,5,4
740-100,79,415,27,0.34177215189873417,8,9
740-032,42,840,26,0.6190476190476191,5,4
520-033,45,705,26,0.5777777777777777,6,6
690-435,26,255,25,0.9615384615384616,3,4
740-690,34,435,24,0.7058823529411765,4,5
060-820,23,<END>,23,1,5,4
060-550,24,<END>,23,0.9583333333333334,4,6
220-032,50,002,20,0.4,8,6
700-033,25,<END>,18,0.72,2,5
740-176,68,<END>,17,0.25,7,7
090-740,77,220,17,0.22077922077922077,9,7
740-405,16,590,15,0.9375,4,5
700-032,19,<END>,15,0.7894736842105263,3,2
033-705,64,233,15,0.234375,6,10
368-817,14,<END>,14,1,2,3
520-220,43,415,14,0.32558139534883723,5,4
390-003,26,002,13,0.5,7,6
220-415,44,798,13,0.29545454545454547,3,5
740-575,13,017,12,0.9230769230769231,3,4
740-585,21,017,12,0.5714285714285714,5,4
435-255,36,<END>,12,0.3333333333333333,4,5
400-740,106,176,12,0.11320754716981132,6,6
740-840,13,013,11,0.8461538461538461,6,6
001-820,15,<END>,11,0.7333333333333333,3,3
390-004,22,002,11,0.5,8,4
032-840,31,<END>,11,0.3548387096774194,5,5
740-636,10,240,10,1,3,3
700-034,13,<END>,10,0.7692307692307693,2,4
156-003,15,<END>,10,0.6666666666666666,3,3
740-900,24,005,10,0.4166666666666667,3,5
240-235,31,<END>,10,0.3225806451612903,4,4
240-002,38,861,10,0.2631578947368421,4,4
840-013,13,<END>,9,0.6923076923076923,5,6
032-002,32,861,9,0.28125,6,4
240-220,13,032,8,0.6153846153846154,3,4
798-002,14,861,8,0.5714285714285714,3,3
240-798,15,<END>,8,0.5333333333333333,2,4
235-002,30,817,8,0.26666666666666666,8,4
740-220,34,003,8,0.23529411764705882,7,7
390-590,50,<END>,8,0.16,8,4
740-877,7,032,7,1,3,3
742-060,7,920,7,1,2,2
095-585,7,017,7,1,1,1
615-503,8,<END>,7,0.875,2,3
032-520,8,095,7,0.875,1,2
520-095,9,585,7,0.7777777777777778,2,2
032-700,10,<END>,7,0.7,2,3
235-806,10,<END>,7,0.7,2,5
035-171,13,<END>,7,0.5384615384615384,3,5
220-003,16,<END>,7,0.4375,5,4
803-002,28,820,7,0.25,4,3
100-415,32,<END>,7,0.21875,4,5
002-824,6,<END>,6,1,4,2
740-407,6,590,6,1,4,4
500-705,6,<END>,6,1,2,4
407-032,6,520,6,1,1,1
920-140,8,<END>,6,0.75,2,2
407-061,8,845,6,0.75,1,3
741-500,9,705,6,0.6666666666666666,4,5
400-090,9,740,6,0.6666666666666666,2,3
740-400,10,142,6,0.6,4,3
220-016,11,<END>,6,0.5454545454545454,4,5
740-920,12,320,6,0.5,4,5
400-158,12,806,6,0.5,2,3
740-255,12,705,6,0.5,2,3
233-803,13,<END>,6,0.46153846153846156,4,4
740-240,13,235,6,0.46153846153846156,4,3
176-002,13,861,6,0.46153846153846156,3,5
705-233,15,235,6,0.4,3,4
740-061,17,<END>,6,0.35294117647058826,4,3
233-002,19,817,6,0.3157894736842105,5,4
004-002,20,817,6,0.3,6,5
520-233,20,240,6,0.3,5,4
617-142,20,<END>,6,0.3,3,4
740-760,74,840,6,0.08108108108108109,10,8
013-817,5,<END>,5,1,3,2
060-201,5,<END>,5,1,2,2
151-390,5,590,5,1,2,2
017-231,5,<END>,5,1,1,1
690-368,5,817,5,1,1,2
632-032,6,<END>,5,0.8333333333333334,3,1
220-055,6,001,5,0.8333333333333334,2,4
503-002,6,817,5,0.8333333333333334,2,2
845-240,6,798,5,0.8333333333333334,1,2
070-255,7,832,5,0.7142857142857143,4,3
156-031,7,<END>,5,0.7142857142857143,3,3
400-142,7,061,5,0.7142857142857143,3,2
055-001,7,741,5,0.7142857142857143,2,5
233-806,7,<END>,5,0.7142857142857143,2,3
240-806,7,002,5,0.7142857142857143,2,3
033-033,9,<END>,5,0.5555555555555556,5,4
001-741,9,500,5,0.5555555555555556,4,4
900-005,10,<END>,5,0.5,2,3
390-016,11,<END>,5,0.45454545454545453,4,2
368-861,12,<END>,5,0.4166666666666667,4,3
407-004,12,002,5,0.4166666666666667,2,4
031-002,14,861,5,0.35714285714285715,5,3
415-798,15,<END>,5,0.3333333333333333,2,3
233-235,17,<END>,5,0.29411764705882354,3,4
