prev,exact_cells,best_window_start,best_window_end,best_hit,best_share,numeric_successors,sites,types
154,14,464,474,14,1,14,3,3
158,9,465,475,9,1,9,2,2
240,7,000,010,6,0.8571428571428571,6,2,3
231,4,000,010,3,0.75,3,2,3
235,10,000,010,3,0.3,3,2,5
236,2,000,010,2,1,2,2,1
155,2,458,468,2,1,2,1,2
415,3,732,742,2,0.6666666666666666,2,2,2
100,1,462,472,1,1,1,1,1
400,1,795,805,1,1,1,1,1
590,1,000,010,1,1,1,1,1
003,2,023,033,1,0.5,2,1,1
740,3,230,240,1,0.3333333333333333,1,3,2
032,4,000,010,1,0.25,2,2,2
233,7,000,010,1,0.14285714285714285,2,2,3
055,1,000,010,0,0,0,1,1
320,1,000,010,0,0,0,1,1
368,1,000,010,0,0,0,1,1
455,1,000,010,0,0,0,1,1
565,1,000,010,0,0,0,1,1
706,2,000,010,0,0,0,1,2
798,2,000,010,0,0,0,1,1
845,3,000,010,0,0,0,1,1
923,1,000,010,0,0,0,1,1
