source_a,source_a_sign,source_b,top_source_b_sign,mapping_state,candidate_grade,total_aligned_positions,top_count,top_share,runner_up_sign,runner_up_count,distinct_candidate_count,position_counts,evidence_types,evidence_refs,example_artifacts,review_status,confidence,counterexamples
lipi_numeric,740,mayig_parpola,P324,uncertain,high_consistency_positional_candidate,73,73,1.000000,,0,1,initial:60;medial:13,same_artifact;count_matched;position_aligned;direction_R_L,data/open_prototype/reports/crosswalk_alignment_pairs.csv,M-5;M-12;M-14;M-15;M-18;M-21;M-24;M-26,needs_image_or_authoritative_sign_list_validation,medium_low,
lipi_numeric,002,mayig_parpola,P122,uncertain,high_consistency_positional_candidate,60,57,0.950000,P145,2,3,medial:60,same_artifact;count_matched;position_aligned;direction_R_L,data/open_prototype/reports/crosswalk_alignment_pairs.csv,M-12;M-14;M-15;M-17;M-21;M-24;M-29;M-32,needs_image_or_authoritative_sign_list_validation,medium_low,P145:2;P300:1
lipi_numeric,220,mayig_parpola,P050,uncertain,medium_consistency_positional_candidate,29,27,0.931034,P056,1,3,medial:28;initial:1,same_artifact;count_matched;position_aligned;direction_R_L,data/open_prototype/reports/crosswalk_alignment_pairs.csv,M-29;M-36;M-37;M-38;M-46;M-52;M-53;M-64,needs_image_or_authoritative_sign_list_validation,low,P056:1;P060:1
lipi_numeric,390,mayig_parpola,P086,uncertain,high_consistency_positional_candidate,25,25,1.000000,,0,1,initial:13;medial:11;terminal:1,same_artifact;count_matched;position_aligned;direction_R_L,data/open_prototype/reports/crosswalk_alignment_pairs.csv,M-12;M-17;M-32;M-35;M-38;M-48;M-51;M-70,needs_image_or_authoritative_sign_list_validation,medium_low,
lipi_numeric,032,mayig_parpola,P145,uncertain,high_consistency_positional_candidate,21,20,0.952381,P122,1,2,medial:19;terminal:2,same_artifact;count_matched;position_aligned;direction_R_L,data/open_prototype/reports/crosswalk_alignment_pairs.csv,M-3;M-21;M-33;M-36;M-38;M-52;M-56;M-57,needs_image_or_authoritative_sign_list_validation,medium_low,P122:1
lipi_numeric,060,mayig_parpola,P120,uncertain,high_consistency_positional_candidate,17,17,1.000000,,0,1,medial:17,same_artifact;count_matched;position_aligned;direction_R_L,data/open_prototype/reports/crosswalk_alignment_pairs.csv,M-5;M-26;M-31;M-48;M-56;M-59;M-63;M-64,needs_image_or_authoritative_sign_list_validation,medium_low,
lipi_numeric,520,mayig_parpola,P217,uncertain,high_consistency_positional_candidate,15,15,1.000000,,0,1,initial:14;terminal:1,same_artifact;count_matched;position_aligned;direction_R_L,data/open_prototype/reports/crosswalk_alignment_pairs.csv,M-37;M-64;M-65;M-75;M-85;M-86;M-117;M-122,needs_image_or_authoritative_sign_list_validation,medium_low,
lipi_numeric,240,mayig_parpola,P062,uncertain,high_consistency_positional_candidate,14,14,1.000000,,0,1,medial:14,same_artifact;count_matched;position_aligned;direction_R_L,data/open_prototype/reports/crosswalk_alignment_pairs.csv,M-5;M-24;M-29;M-30;M-38;M-42;M-46;M-54,needs_image_or_authoritative_sign_list_validation,medium_low,
lipi_numeric,820,mayig_parpola,P378,uncertain,high_consistency_positional_candidate,14,14,1.000000,,0,1,terminal:8;medial:4;initial:2,same_artifact;count_matched;position_aligned;direction_R_L,data/open_prototype/reports/crosswalk_alignment_pairs.csv,M-6;M-16;M-31;M-48;M-54;M-86;M-103;M-108,needs_image_or_authoritative_sign_list_validation,medium_low,
lipi_numeric,233,mayig_parpola,P058,uncertain,high_consistency_positional_candidate,13,13,1.000000,,0,1,medial:12;terminal:1,same_artifact;count_matched;position_aligned;direction_R_L,data/open_prototype/reports/crosswalk_alignment_pairs.csv,M-12;M-31;M-33;M-35;M-85;M-88;M-107;M-118,needs_image_or_authoritative_sign_list_validation,medium_low,
lipi_numeric,235,mayig_parpola,P060,uncertain,high_consistency_positional_candidate,13,13,1.000000,,0,1,medial:12;terminal:1,same_artifact;count_matched;position_aligned;direction_R_L,data/open_prototype/reports/crosswalk_alignment_pairs.csv,M-5;M-24;M-29;M-30;M-38;M-46;M-47;M-51,needs_image_or_authoritative_sign_list_validation,medium_low,
lipi_numeric,741,mayig_parpola,P325,uncertain,low_consistency_positional_candidate,13,10,0.769231,P324,3,2,medial:12;terminal:1,same_artifact;count_matched;position_aligned;direction_R_L,data/open_prototype/reports/crosswalk_alignment_pairs.csv,M-51;M-85;M-93;M-112;M-113;M-127;M-128;M-129,needs_image_or_authoritative_sign_list_validation,very_low,P324:3
lipi_numeric,817,mayig_parpola,P385,uncertain,high_consistency_positional_candidate,12,12,1.000000,,0,1,terminal:11;medial:1,same_artifact;count_matched;position_aligned;direction_R_L,data/open_prototype/reports/crosswalk_alignment_pairs.csv,M-14;M-32;M-42;M-58;M-75;M-80;M-90;M-101,needs_image_or_authoritative_sign_list_validation,medium_low,
lipi_numeric,861,mayig_parpola,P385,uncertain,high_consistency_positional_candidate,12,12,1.000000,,0,1,terminal:10;medial:2,same_artifact;count_matched;position_aligned;direction_R_L,data/open_prototype/reports/crosswalk_alignment_pairs.csv,M-1;M-15;M-21;M-47;M-77;M-91;M-100;M-118,needs_image_or_authoritative_sign_list_validation,medium_low,
lipi_numeric,003,mayig_parpola,P123,uncertain,high_consistency_positional_candidate,10,10,1.000000,,0,1,medial:8;terminal:2,same_artifact;count_matched;position_aligned;direction_R_L,data/open_prototype/reports/crosswalk_alignment_pairs.csv,M-32;M-59;M-80;M-93;M-94;M-95;M-102;M-132,needs_image_or_authoritative_sign_list_validation,medium_low,
lipi_numeric,368,mayig_parpola,P202,uncertain,high_consistency_positional_candidate,10,10,1.000000,,0,1,medial:8;initial:2,same_artifact;count_matched;position_aligned;direction_R_L,data/open_prototype/reports/crosswalk_alignment_pairs.csv,M-1;M-12;M-13;M-36;M-48;M-59;M-80;M-84,needs_image_or_authoritative_sign_list_validation,medium_low,
lipi_numeric,798,mayig_parpola,P230,uncertain,conflicted_positional_candidate,10,6,0.600000,P075,4,2,medial:9;terminal:1,same_artifact;count_matched;position_aligned;direction_R_L,data/open_prototype/reports/crosswalk_alignment_pairs.csv,M-43;M-46;M-51;M-54;M-57;M-91;M-92;M-108,needs_image_or_authoritative_sign_list_validation,very_low,P075:4
lipi_numeric,803,mayig_parpola,P364,uncertain,medium_consistency_positional_candidate,10,9,0.900000,P385,1,2,medial:9;terminal:1,same_artifact;count_matched;position_aligned;direction_R_L,data/open_prototype/reports/crosswalk_alignment_pairs.csv,M-44;M-52;M-69;M-77;M-115;M-117;M-118;M-128,needs_image_or_authoritative_sign_list_validation,low,P385:1
lipi_numeric,033,mayig_parpola,P147,uncertain,medium_consistency_positional_candidate,9,9,1.000000,,0,1,medial:8;initial:1,same_artifact;count_matched;position_aligned;direction_R_L,data/open_prototype/reports/crosswalk_alignment_pairs.csv,M-44;M-54;M-64;M-86;M-117;M-118;M-122;M-135,needs_image_or_authoritative_sign_list_validation,low,
