source_a,source_a_sign,source_b,top_source_b_sign,mapping_state,candidate_grade,total_aligned_positions,top_count,top_share,runner_up_sign,runner_up_count,distinct_candidate_count,position_counts,evidence_types,evidence_refs,example_artifacts,review_status,confidence,counterexamples
mayig_parpola,P324,lipi_numeric,740,uncertain,high_consistency_positional_candidate,76,73,0.960526,741,3,2,initial:60;medial:16,same_artifact;count_matched;position_aligned;direction_R_L,data/open_prototype/reports/crosswalk_alignment_pairs.csv,M-5;M-12;M-14;M-15;M-18;M-21;M-24;M-26,needs_image_or_authoritative_sign_list_validation,medium_low,741:3
mayig_parpola,P122,lipi_numeric,002,uncertain,high_consistency_positional_candidate,59,57,0.966102,032,1,3,medial:59,same_artifact;count_matched;position_aligned;direction_R_L,data/open_prototype/reports/crosswalk_alignment_pairs.csv,M-12;M-14;M-15;M-17;M-21;M-24;M-29;M-32,needs_image_or_authoritative_sign_list_validation,medium_low,032:1;415:1
mayig_parpola,P086,lipi_numeric,390,uncertain,medium_consistency_positional_candidate,29,25,0.862069,405,2,4,initial:15;medial:13;terminal:1,same_artifact;count_matched;position_aligned;direction_R_L,data/open_prototype/reports/crosswalk_alignment_pairs.csv,M-12;M-17;M-32;M-34;M-35;M-38;M-48;M-51,needs_image_or_authoritative_sign_list_validation,low,405:2;406:1;407:1
mayig_parpola,P050,lipi_numeric,220,uncertain,high_consistency_positional_candidate,27,27,1.000000,,0,1,medial:26;initial:1,same_artifact;count_matched;position_aligned;direction_R_L,data/open_prototype/reports/crosswalk_alignment_pairs.csv,M-29;M-36;M-37;M-38;M-46;M-52;M-53;M-64,needs_image_or_authoritative_sign_list_validation,medium_low,
mayig_parpola,P385,lipi_numeric,817,uncertain,conflicted_positional_candidate,25,12,0.480000,861,12,3,terminal:22;medial:3,same_artifact;count_matched;position_aligned;direction_R_L,data/open_prototype/reports/crosswalk_alignment_pairs.csv,M-1;M-14;M-15;M-21;M-32;M-42;M-47;M-58,needs_image_or_authoritative_sign_list_validation,very_low,861:12;803:1
mayig_parpola,P145,lipi_numeric,032,uncertain,medium_consistency_positional_candidate,22,20,0.909091,002,2,2,medial:20;terminal:2,same_artifact;count_matched;position_aligned;direction_R_L,data/open_prototype/reports/crosswalk_alignment_pairs.csv,M-3;M-21;M-33;M-36;M-38;M-52;M-56;M-57,needs_image_or_authoritative_sign_list_validation,low,002:2
mayig_parpola,P120,lipi_numeric,060,uncertain,high_consistency_positional_candidate,17,17,1.000000,,0,1,medial:17,same_artifact;count_matched;position_aligned;direction_R_L,data/open_prototype/reports/crosswalk_alignment_pairs.csv,M-5;M-26;M-31;M-48;M-56;M-59;M-63;M-64,needs_image_or_authoritative_sign_list_validation,medium_low,
mayig_parpola,P230,lipi_numeric,550,uncertain,conflicted_positional_candidate,16,8,0.500000,798,6,4,medial:12;terminal:4,same_artifact;count_matched;position_aligned;direction_R_L,data/open_prototype/reports/crosswalk_alignment_pairs.csv,M-42;M-43;M-46;M-51;M-54;M-56;M-57;M-63,needs_image_or_authoritative_sign_list_validation,very_low,798:6;555:1;563:1
mayig_parpola,P217,lipi_numeric,520,uncertain,high_consistency_positional_candidate,15,15,1.000000,,0,1,initial:14;terminal:1,same_artifact;count_matched;position_aligned;direction_R_L,data/open_prototype/reports/crosswalk_alignment_pairs.csv,M-37;M-64;M-65;M-75;M-85;M-86;M-117;M-122,needs_image_or_authoritative_sign_list_validation,medium_low,
mayig_parpola,P060,lipi_numeric,235,uncertain,medium_consistency_positional_candidate,14,13,0.928571,220,1,2,medial:13;terminal:1,same_artifact;count_matched;position_aligned;direction_R_L,data/open_prototype/reports/crosswalk_alignment_pairs.csv,M-5;M-24;M-29;M-30;M-38;M-46;M-47;M-51,needs_image_or_authoritative_sign_list_validation,low,220:1
mayig_parpola,P062,lipi_numeric,240,uncertain,high_consistency_positional_candidate,14,14,1.000000,,0,1,medial:14,same_artifact;count_matched;position_aligned;direction_R_L,data/open_prototype/reports/crosswalk_alignment_pairs.csv,M-5;M-24;M-29;M-30;M-38;M-42;M-46;M-54,needs_image_or_authoritative_sign_list_validation,medium_low,
mayig_parpola,P364,lipi_numeric,803,uncertain,conflicted_positional_candidate,14,9,0.642857,806,5,2,medial:12;terminal:2,same_artifact;count_matched;position_aligned;direction_R_L,data/open_prototype/reports/crosswalk_alignment_pairs.csv,M-29;M-30;M-44;M-52;M-69;M-77;M-115;M-117,needs_image_or_authoritative_sign_list_validation,very_low,806:5
mayig_parpola,P378,lipi_numeric,820,uncertain,high_consistency_positional_candidate,14,14,1.000000,,0,1,terminal:8;medial:4;initial:2,same_artifact;count_matched;position_aligned;direction_R_L,data/open_prototype/reports/crosswalk_alignment_pairs.csv,M-6;M-16;M-31;M-48;M-54;M-86;M-103;M-108,needs_image_or_authoritative_sign_list_validation,medium_low,
mayig_parpola,P058,lipi_numeric,233,uncertain,high_consistency_positional_candidate,13,13,1.000000,,0,1,medial:12;terminal:1,same_artifact;count_matched;position_aligned;direction_R_L,data/open_prototype/reports/crosswalk_alignment_pairs.csv,M-12;M-31;M-33;M-35;M-85;M-88;M-107;M-118,needs_image_or_authoritative_sign_list_validation,medium_low,
mayig_parpola,P316,lipi_numeric,705,uncertain,conflicted_positional_candidate,13,9,0.692308,706,3,3,medial:10;terminal:2;initial:1,same_artifact;count_matched;position_aligned;direction_R_L,data/open_prototype/reports/crosswalk_alignment_pairs.csv,M-8;M-44;M-54;M-64;M-65;M-74;M-86;M-100,needs_image_or_authoritative_sign_list_validation,very_low,706:3;704:1
mayig_parpola,P123,lipi_numeric,003,uncertain,high_consistency_positional_candidate,10,10,1.000000,,0,1,medial:8;terminal:2,same_artifact;count_matched;position_aligned;direction_R_L,data/open_prototype/reports/crosswalk_alignment_pairs.csv,M-32;M-59;M-80;M-93;M-94;M-95;M-102;M-132,needs_image_or_authoritative_sign_list_validation,medium_low,
mayig_parpola,P202,lipi_numeric,368,uncertain,high_consistency_positional_candidate,10,10,1.000000,,0,1,medial:8;initial:2,same_artifact;count_matched;position_aligned;direction_R_L,data/open_prototype/reports/crosswalk_alignment_pairs.csv,M-1;M-12;M-13;M-36;M-48;M-59;M-80;M-84,needs_image_or_authoritative_sign_list_validation,medium_low,
mayig_parpola,P325,lipi_numeric,741,uncertain,high_consistency_positional_candidate,10,10,1.000000,,0,1,medial:9;terminal:1,same_artifact;count_matched;position_aligned;direction_R_L,data/open_prototype/reports/crosswalk_alignment_pairs.csv,M-85;M-93;M-112;M-113;M-129;M-131;M-139;M-159,needs_image_or_authoritative_sign_list_validation,medium_low,
mayig_parpola,P147,lipi_numeric,033,uncertain,medium_consistency_positional_candidate,9,9,1.000000,,0,1,medial:8;initial:1,same_artifact;count_matched;position_aligned;direction_R_L,data/open_prototype/reports/crosswalk_alignment_pairs.csv,M-44;M-54;M-64;M-86;M-117;M-118;M-122;M-135,needs_image_or_authoritative_sign_list_validation,low,
mayig_parpola,P154,lipi_numeric,900,uncertain,conflicted_positional_candidate,9,5,0.555556,920,4,2,medial:7;terminal:2,same_artifact;count_matched;position_aligned;direction_R_L,data/open_prototype/reports/crosswalk_alignment_pairs.csv,M-44;M-48;M-53;M-84;M-102;M-119;M-121;M-138,needs_image_or_authoritative_sign_list_validation,very_low,920:4
