"corpus","system_class","scope","source","rows","tokens","unique_tokens","stored_higher","reversed_higher","ties","stored_win_share","mean_stored_minus_reversed_per_transition","median_stored_minus_reversed_per_transition","max_null_ge_observed_share","input_records"
"Indus_Lipi","unread_working_corpus","exact_sequence_collapsed","data/open_prototype/reports/lipi_scope_rows.csv","1798","8212","571","1704","86","8","0.94772","2.499961","2.677184","0","1798"
"Indus_Lipi","unread_working_corpus","edge_frame_collapsed","data/open_prototype/reports/lipi_scope_rows.csv","1408","6288","557","1309","90","9","0.929688","2.109418","2.236563","0","1408"
"Indus_Lipi","unread_working_corpus","one_edit_family_collapsed","data/open_prototype/reports/lipi_scope_rows.csv","1098","6011","508","1047","39","12","0.953552","2.276178","2.362635","0","1098"
"Indus_Lipi","unread_working_corpus","top10_edge_removed_exact_sequence_collapsed","data/open_prototype/reports/lipi_scope_rows.csv","530","2123","388","444","74","12","0.837736","1.163536","1.174919","0","530"
"Indus_Lipi","unread_working_corpus","top10_edge_removed_one_edit_family_collapsed","data/open_prototype/reports/lipi_scope_rows.csv","365","1725","358","307","47","11","0.841096","1.052098","1.022315","0","365"
"Mayig_P_open_wip","unread_open_wip_transcription_layer","p_namespace_length_2_to_8_exact_sequence_collapsed","data/open_prototype/mayig/records_index.csv","160","842","174","151","4","5","0.94375","1.541453","1.412903","0.075","160"
"Mayig_P_open_wip","unread_open_wip_transcription_layer","p_namespace_top10_edge_removed_one_edit_family_collapsed","data/open_prototype/mayig/records_index.csv","24","107","69","16","0","8","0.666667","0.386344","0.399649","0.05","24"
"Lipi_Mayig_overlap_Lipi_side","unread_matched_crosswalk_layer","crosswalk_aligned_artifacts_lipi_signs_exact_collapsed","data/open_prototype/reports/crosswalk_alignment_pairs.csv","128","661","179","120","3","5","0.9375","1.661765","1.712765","0.0375","128"
"Lipi_Mayig_overlap_Mayig_side","unread_matched_crosswalk_layer","crosswalk_aligned_artifacts_mayig_signs_exact_collapsed","data/open_prototype/reports/crosswalk_alignment_pairs.csv","127","657","155","118","5","4","0.929134","1.737877","1.904606","0.2125","127"
"Linear_B_Series_D","known_readable_script","sign_tokens_ivc_length_cap_exact_sequence_collapsed","data/open_prototype/reports/linear_b_series_d_row_inventory.csv","278","1755","91","277","1","0","0.996403","3.074377","3.156557","0","278"
"SumTablets","known_readable_administrative_script","glyph_only_line_sequences_exact_collapsed","data/open_prototype/known_scripts/sumtablets/sumtablets_line_sequences.csv","1798","8716","358","1682","112","4","0.935484","1.537047","1.571211","0","1798"
"Pictish_stones","real_world_nonlinguistic_or_ambiguous","exact_collapsed_length_2_to_8","data/open_prototype/nonlinguistic/sproat2014/sproat2014_extracted_sequences.csv","187","684","78","150","30","7","0.802139","1.224526","1.137893","0","187"
"Mesopotamian_kudurru_deity_symbols","real_world_nonlinguistic_or_ambiguous","exact_collapsed_length_2_to_8","data/open_prototype/nonlinguistic/sproat2014/sproat2014_extracted_sequences.csv","24","118","39","16","7","1","0.666667","0.535582","0.412619","0.7375","24"
"Totem_poles","real_world_nonlinguistic_or_ambiguous","exact_collapsed_length_2_to_8","data/open_prototype/nonlinguistic/sproat2014/sproat2014_extracted_sequences.csv","246","1123","359","161","55","30","0.654472","0.488841","0.338198","0.6875","246"
"Barn_stars_hex_signs","real_world_nonlinguistic_or_ambiguous","exact_collapsed_length_2_to_8","data/open_prototype/nonlinguistic/sproat2014/sproat2014_extracted_sequences.csv","97","365","29","7","5","85","0.072165","0.001707","0","1","97"
"Vinca_symbols","real_world_nonlinguistic_or_ambiguous","exact_collapsed_length_2_to_8","data/open_prototype/nonlinguistic/sproat2014/sproat2014_extracted_sequences.csv","91","271","82","35","35","21","0.384615","-0.077235","0","0.7375","91"
"Weather_icons","real_world_nonlinguistic_or_ambiguous","exact_collapsed_length_2_to_8","data/open_prototype/nonlinguistic/sproat2014/sproat2014_extracted_sequences.csv","4018","20090","16","2024","1572","422","0.503733","0.033186","0.001259","1","4018"
