"scope","influence_rank","family_scheme","family_key","representative_sites","representative_types","representative_symbols","rows_removed","source_weight_removed","cisi","texts","tokens","baseline_rows","without_rows","baseline_stored_win_share","without_stored_win_share","delta_stored_win_share","baseline_mean_diff","without_mean_diff","delta_mean_diff"
"all_harsh","1","site|type|symbol","Mohenjo-daro|SEAL:R|None","Mohenjo-daro","SEAL:R","None","35","36","M-1262; M-1270; M-1274; M-1276; M-1290; M-1310; M-1314; M-1315; M-1316; M-1320; M-1322; M-1341; M-1350; M-1953; M-1977; M-1978; M-1985; M-1989; M-1989; M-358; M-365; M-366; M-370; M-371; M-378; M-379; M-380; M-386; M-391; M-393; M-396; M-402; M-403; M-409; M-412","+003-001-520-240-806-002-502-031+; +016-002-595-342-632+; +031-625-140-220-415+; +045-740-806+; +100-904-717-220-415-806-742+; +127-381-292-590-032-901-620+; +130-032-905+; +137-003-001-740-920-322+; +154-388-717-706+; +154-798-463-353+; +159-243-001-740-325+; +204-630-233-832-904-794-630-235-060-550+; +405-004-001-139+; +405-061-033-705-236+; +405-845-686-740-793-003-233-805-002-861-533-717+; +406-371-220-415-803-742-920-320+; +407-004-001-740-407-590-235+; +407-004-001-745-561-586+; +407-005-001-746-740-590+; +407-016-001-740-923+; +407-063-520-095+; +407-845-233-806+; +423-003-263-104-745-055+; +423-003-491+; +494-615-179-100-001-033-426+; +527-550-033-705-220-415-060-550+; +527-555-231-240-798+; +595-820-706+; +617-142-240+; +617-142-384-032-154-806-467+; +617-142-746-140+; +679-740-575+; +679-740-575-017-240-806-002-540+; +679-740-575-017-798+; +832-904-740-444-388-233-798-806+","003 001 520 240 806 002 502 031; 016 002 595 342 632; 031 625 140 220 415; 045 740 806; 100 904 717 220 415 806 742; 127 381 292 590 032 901 620; 130 032 905; 137 003 001 740 920 322; 154 388 717 706; 154 798 463 353; 159 243 001 740 325; 204 630 233 832 904 794 630 235 060 550; 405 004 001 139; 405 061 033 705 236; 405 845 686 740 793 003 233 805 002 861 533 717; 406 371 220 415 803 742 920 320; 407 004 001 740 407 590 235; 407 004 001 745 561 586; 407 005 001 746 740 590; 407 016 001 740 923; 407 063 520 095; 407 845 233 806; 423 003 263 104 745 055; 423 003 491; 494 615 179 100 001 033 426; 527 550 033 705 220 415 060 550; 527 555 231 240 798; 595 820 706; 617 142 240; 617 142 384 032 154 806 467; 617 142 746 140; 679 740 575; 679 740 575 017 240 806 002 540; 679 740 575 017 798; 832 904 740 444 388 233 798 806","365","330","0.841096","0.812121","0.028975","1.052098","0.961473","0.090625"
"all_harsh","2","site|type|symbol","Harappa|SEAL:R|None","Harappa","SEAL:R","None","23","30","H-1075; H-129; H-130; H-132; H-139; H-141; H-144; H-146; H-150; H-151; H-152; H-153; H-157; H-158; H-1706; H-1709; H-642; H-645; H-654; H-659; H-665; H-679; H-680","+001-304-354-125-812-033+; +063-740-918+; +064-706-140+; +154-615-503+; +154-806-467-031+; +154-806-468+; +154-806-471-407-845-740-233-231-798+; +154-806-472-001-740-405-590+; +158-838-470+; +203-892-193+; +368-861-503+; +405-003-002-293-360+; +405-032-900-003-070-002-233-235+; +405-061-740-806+; +407-004-060-692+; +407-017-060-193+; +407-845-140-740-233-240-798-365-263+; +409-032-845-033-705-231-806-002-595-812-125-717+; +409-061-740-235-220-031-002-861-244-165+; +527-554-104+; +565-806+; +595-632-740-550+; +742-440-556+","001 304 354 125 812 033; 063 740 918; 064 706 140; 154 615 503; 154 806 467 031; 154 806 468; 154 806 471 407 845 740 233 231 798; 154 806 472 001 740 405 590; 158 838 470; 203 892 193; 368 861 503; 405 003 002 293 360; 405 032 900 003 070 002 233 235; 405 061 740 806; 407 004 060 692; 407 017 060 193; 407 845 140 740 233 240 798 365 263; 409 032 845 033 705 231 806 002 595 812 125 717; 409 061 740 235 220 031 002 861 244 165; 527 554 104; 565 806; 595 632 740 550; 742 440 556","365","342","0.841096","0.827485","0.013611","1.052098","1.000546","0.051551"
"all_harsh","3","site|type|symbol","Mohenjo-daro|SEAL:S|Bull1:W","Mohenjo-daro","SEAL:S","Bull1:W","40","41","M-1; M-10; M-1203; M-13; M-133; M-134; M-160; M-1682; M-1683; M-1684; M-1689; M-1703; M-171; M-172; M-1720; M-1724; M-1749; M-1765; M-18; M-1822; M-195; M-3; M-4; M-49; M-57; M-624; M-627; M-670; M-796; M-798; M-800; M-802; M-833; M-852; M-898; M-899; M-9; M-915; M-967; M-981","+001-368-861-255-371+; +031-032-171-745+; +031-311-745+; +106-741-500-209+; +151-097-031+; +151-097-232-416+; +151-243-031-002-820-741+; +153-803-595+; +154-031-001-520-033-705+; +154-160-363+; +155-806-467-001-692+; +161-924-146+; +190-125-575+; +215-031-480-140-632-705-002-093-033+; +220-455-125-031+; +226-032-231-798-002-693+; +234-803-741-082-350+; +298-350-590-032-900-853+; +298-465-033-705-231-002-564-617-033+; +368-140-706+; +368-304-125+; +401-861-440-220+; +405-018-001-220-786-850+; +405-061-070-032-033-706-235-806-002-267-455+; +405-371-031+; +407-061-740-923-233-806-060-692+; +427-003-001-165-309+; +527-550-240-220-032-002-300-350-032-190+; +527-550-240-220-255-812-906-388+; +527-550-740-240-002-808+; +585-831-091+; +595-420-706-140+; +617-142-001-407-371+; +617-243-741-615-440-220+; +621-046+; +679-740-233-240+; +717-032-521+; +872-032-692+; +892-590-794-732-033-853+; +932-740-055+","001 368 861 255 371; 031 032 171 745; 031 311 745; 106 741 500 209; 151 097 031; 151 097 232 416; 151 243 031 002 820 741; 153 803 595; 154 031 001 520 033 705; 154 160 363; 155 806 467 001 692; 161 924 146; 190 125 575; 215 031 480 140 632 705 002 093 033; 220 455 125 031; 226 032 231 798 002 693; 234 803 741 082 350; 298 350 590 032 900 853; 298 465 033 705 231 002 564 617 033; 368 140 706; 368 304 125; 401 861 440 220; 405 018 001 220 786 850; 405 061 070 032 033 706 235 806 002 267 455; 405 371 031; 407 061 740 923 233 806 060 692; 427 003 001 165 309; 527 550 240 220 032 002 300 350 032 190; 527 550 240 220 255 812 906 388; 527 550 740 240 002 808; 585 831 091; 595 420 706 140; 617 142 001 407 371; 617 243 741 615 440 220; 621 046; 679 740 233 240; 717 032 521; 872 032 692; 892 590 794 732 033 853; 932 740 055","365","325","0.841096","0.830769","0.010327","1.052098","0.98849","0.063608"
"all_harsh","4","site|type|symbol","Lothal|SEAL:R|None","Lothal","SEAL:R","None","4","4","L-115; L-82; L-88; L-97","+405-005-001-063-615-262+; +409-015+; +575-705-056-031+; +806-231-002-221+","405 005 001 063 615 262; 409 015; 575 705 056 031; 806 231 002 221","365","361","0.841096","0.850416","-0.00932","1.052098","1.07298","-0.020882"
"all_harsh","5","site|type|symbol","Mohenjo-daro|SEAL:S|Bull1:I","Mohenjo-daro","SEAL:S","Bull1:I","3","3","M-1707; M-729; M-762","+226-140-002+; +234-415+; +298-350-761-032-060-572+","226 140 002; 234 415; 298 350 761 032 060 572","365","362","0.841096","0.834254","0.006842","1.052098","1.045707","0.006391"
"all_harsh","6","site|type|symbol","Mohenjo-daro|SEAL:S|Bull1:S","Mohenjo-daro","SEAL:S","Bull1:S","15","16","M-119; M-1688; M-1738; M-1741; M-1747; M-192; M-222; M-225; M-664; M-734; M-784; M-81; M-920; M-975; M-992","+033-033-368-390-590+; +125-435-255-002-286-220-031-012-031-455-033-590+; +151-062-820-500-706+; +151-337-484-002-390-125-632-032-900-563+; +165-741-031-060-692+; +226-240-235-060-692+; +241-002-880+; +244-277-255+; +267-413-575+; +368-390-710+; +368-803-031+; +527-555-240-002-617-070+; +565-031-416-140-220-001+; +680-297-741-910+; +700-521-702+","033 033 368 390 590; 125 435 255 002 286 220 031 012 031 455 033 590; 151 062 820 500 706; 151 337 484 002 390 125 632 032 900 563; 165 741 031 060 692; 226 240 235 060 692; 241 002 880; 244 277 255; 267 413 575; 368 390 710; 368 803 031; 527 555 240 002 617 070; 565 031 416 140 220 001; 680 297 741 910; 700 521 702","365","350","0.841096","0.834286","0.00681","1.052098","1.037365","0.014733"
"all_harsh","7","site|type|symbol","Mohenjo-daro|TAB:C|Loop","Mohenjo-daro","TAB:C","Loop","2","5","M-1457; M-507","+407-845-220-415+; +790-740-100-405-590+","407 845 220 415; 790 740 100 405 590","365","363","0.841096","0.834711","0.006385","1.052098","1.041156","0.010942"
"all_harsh","8","site|type|symbol","Harappa|ROD|None","Harappa","ROD","None","2","2","H-1517; H-2570","+405-005-002+; +700-034-001+","405 005 002; 700 034 001","365","363","0.841096","0.834711","0.006385","1.052098","1.046797","0.005301"
"all_harsh","9","site|type|symbol","Mohenjo-daro|SEAL:S|Bull1:U","Mohenjo-daro","SEAL:S","Bull1:U","2","2","M-74; M-955","+031-031-550-003+; +595-575-704-140+","031 031 550 003; 595 575 704 140","365","363","0.841096","0.834711","0.006385","1.052098","1.050568","0.00153"
"all_harsh","10","site|type|symbol","Unknown|SEAL:S|None","Unknown","SEAL:S","None","1","1","?-3","+002-368-590-900+","002 368 590 900","365","364","0.841096","0.835165","0.005931","1.052098","1.047006","0.005092"
