"corpus","scope","control","metric","iterations","observed","null_mean","null_p05","null_median","null_p95","null_max","null_ge_observed_share"
"Indus_Lipi","exact_sequence_collapsed","global_token_shuffle","stored_win_share","80","0.94772","0.491511","0.463293","0.492214","0.516685","0.527253","0"
"Indus_Lipi","exact_sequence_collapsed","row_internal_shuffle","stored_win_share","80","0.94772","0.494702","0.465517","0.494994","0.513348","0.528921","0"
"Indus_Lipi","exact_sequence_collapsed","position_slot_shuffle","stored_win_share","80","0.94772","0.920627","0.914349","0.920467","0.927141","0.929366","0"
"Indus_Lipi","exact_sequence_collapsed","edge_frame_shuffle","stored_win_share","80","0.94772","0.907084","0.900445","0.907675","0.913793","0.918799","0"
"Indus_Lipi","edge_frame_collapsed","global_token_shuffle","stored_win_share","80","0.929688","0.488814","0.458807","0.490767","0.517756","0.53054","0"
"Indus_Lipi","edge_frame_collapsed","row_internal_shuffle","stored_win_share","80","0.929688","0.493031","0.460938","0.495028","0.517756","0.539063","0"
"Indus_Lipi","edge_frame_collapsed","position_slot_shuffle","stored_win_share","80","0.929688","0.883896","0.869318","0.884233","0.894176","0.899858","0"
"Indus_Lipi","edge_frame_collapsed","edge_frame_shuffle","stored_win_share","80","0.929688","0.873393","0.863636","0.87429","0.881392","0.887074","0"
"Indus_Lipi","one_edit_family_collapsed","global_token_shuffle","stored_win_share","80","0.953552","0.496141","0.459016","0.495446","0.534608","0.547359","0"
"Indus_Lipi","one_edit_family_collapsed","row_internal_shuffle","stored_win_share","80","0.953552","0.492168","0.462659","0.491803","0.522769","0.531876","0"
"Indus_Lipi","one_edit_family_collapsed","position_slot_shuffle","stored_win_share","80","0.953552","0.90617","0.89071","0.906193","0.918944","0.921676","0"
"Indus_Lipi","one_edit_family_collapsed","edge_frame_shuffle","stored_win_share","80","0.953552","0.896323","0.884335","0.897086","0.905282","0.911658","0"
"Indus_Lipi","top10_edge_removed_exact_sequence_collapsed","global_token_shuffle","stored_win_share","80","0.837736","0.468915","0.426415","0.467925","0.507547","0.515094","0"
"Indus_Lipi","top10_edge_removed_exact_sequence_collapsed","row_internal_shuffle","stored_win_share","80","0.837736","0.472642","0.418868","0.469811","0.528302","0.541509","0"
"Indus_Lipi","top10_edge_removed_exact_sequence_collapsed","position_slot_shuffle","stored_win_share","80","0.837736","0.789292","0.767925","0.788679","0.815094","0.818868","0"
"Indus_Lipi","top10_edge_removed_exact_sequence_collapsed","edge_frame_shuffle","stored_win_share","80","0.837736","0.782028","0.760377","0.783019","0.801887","0.80566","0"
"Indus_Lipi","top10_edge_removed_one_edit_family_collapsed","global_token_shuffle","stored_win_share","80","0.841096","0.461507","0.383562","0.463014","0.515068","0.523288","0"
"Indus_Lipi","top10_edge_removed_one_edit_family_collapsed","row_internal_shuffle","stored_win_share","80","0.841096","0.456678","0.39726","0.452055","0.512329","0.539726","0"
"Indus_Lipi","top10_edge_removed_one_edit_family_collapsed","position_slot_shuffle","stored_win_share","80","0.841096","0.768562","0.736986","0.769863","0.791781","0.813699","0"
"Indus_Lipi","top10_edge_removed_one_edit_family_collapsed","edge_frame_shuffle","stored_win_share","80","0.841096","0.771952","0.739726","0.772603","0.794521","0.80274","0"
"Mayig_P_open_wip","p_namespace_length_2_to_8_exact_sequence_collapsed","global_token_shuffle","stored_win_share","80","0.94375","0.463984","0.35625","0.46875","0.54375","0.58125","0"
"Mayig_P_open_wip","p_namespace_length_2_to_8_exact_sequence_collapsed","row_internal_shuffle","stored_win_share","80","0.94375","0.461328","0.35625","0.46875","0.5375","0.60625","0"
"Mayig_P_open_wip","p_namespace_length_2_to_8_exact_sequence_collapsed","position_slot_shuffle","stored_win_share","80","0.94375","0.914609","0.8875","0.9125","0.95","0.9625","0.075"
"Mayig_P_open_wip","p_namespace_length_2_to_8_exact_sequence_collapsed","edge_frame_shuffle","stored_win_share","80","0.94375","0.907187","0.88125","0.90625","0.93125","0.94375","0.0125"
"Mayig_P_open_wip","p_namespace_top10_edge_removed_one_edit_family_collapsed","global_token_shuffle","stored_win_share","80","0.666667","0.270313","0.083333","0.25","0.5","0.583333","0"
"Mayig_P_open_wip","p_namespace_top10_edge_removed_one_edit_family_collapsed","row_internal_shuffle","stored_win_share","80","0.666667","0.291667","0.041667","0.291667","0.5","0.583333","0"
"Mayig_P_open_wip","p_namespace_top10_edge_removed_one_edit_family_collapsed","position_slot_shuffle","stored_win_share","80","0.666667","0.598958","0.583333","0.583333","0.625","0.666667","0.05"
"Mayig_P_open_wip","p_namespace_top10_edge_removed_one_edit_family_collapsed","edge_frame_shuffle","stored_win_share","80","0.666667","0.58125","0.5","0.583333","0.625","0.708333","0.025"
"Lipi_Mayig_overlap_Lipi_side","crosswalk_aligned_artifacts_lipi_signs_exact_collapsed","global_token_shuffle","stored_win_share","80","0.9375","0.462695","0.375","0.460938","0.554688","0.601563","0"
"Lipi_Mayig_overlap_Lipi_side","crosswalk_aligned_artifacts_lipi_signs_exact_collapsed","row_internal_shuffle","stored_win_share","80","0.9375","0.453223","0.34375","0.460938","0.539063","0.578125","0"
"Lipi_Mayig_overlap_Lipi_side","crosswalk_aligned_artifacts_lipi_signs_exact_collapsed","position_slot_shuffle","stored_win_share","80","0.9375","0.899805","0.867188","0.898438","0.929688","0.953125","0.0375"
"Lipi_Mayig_overlap_Lipi_side","crosswalk_aligned_artifacts_lipi_signs_exact_collapsed","edge_frame_shuffle","stored_win_share","80","0.9375","0.896875","0.867188","0.898438","0.921875","0.929688","0"
"Lipi_Mayig_overlap_Mayig_side","crosswalk_aligned_artifacts_mayig_signs_exact_collapsed","global_token_shuffle","stored_win_share","80","0.929134","0.457776","0.338583","0.456693","0.566929","0.598425","0"
"Lipi_Mayig_overlap_Mayig_side","crosswalk_aligned_artifacts_mayig_signs_exact_collapsed","row_internal_shuffle","stored_win_share","80","0.929134","0.462992","0.377953","0.464567","0.551181","0.598425","0"
"Lipi_Mayig_overlap_Mayig_side","crosswalk_aligned_artifacts_mayig_signs_exact_collapsed","position_slot_shuffle","stored_win_share","80","0.929134","0.909744","0.88189","0.913386","0.937008","0.944882","0.2125"
"Lipi_Mayig_overlap_Mayig_side","crosswalk_aligned_artifacts_mayig_signs_exact_collapsed","edge_frame_shuffle","stored_win_share","80","0.929134","0.905413","0.874016","0.905512","0.929134","0.929134","0.125"
"Linear_B_Series_D","sign_tokens_ivc_length_cap_exact_sequence_collapsed","global_token_shuffle","stored_win_share","80","0.996403","0.494469","0.435252","0.489209","0.561151","0.600719","0"
"Linear_B_Series_D","sign_tokens_ivc_length_cap_exact_sequence_collapsed","row_internal_shuffle","stored_win_share","80","0.996403","0.497977","0.435252","0.496403","0.557554","0.597122","0"
"Linear_B_Series_D","sign_tokens_ivc_length_cap_exact_sequence_collapsed","position_slot_shuffle","stored_win_share","80","0.996403","0.97509","0.960432","0.97482","0.989209","0.992806","0"
