"subset","rows","stored_higher","reversed_higher","ties","stored_win_share","mean_diff_per_transition","route_rows","no_route_rows","unique_cisis","source_pages","note"
"all_324_harsh_major_site_rows","324","274","35","15","0.845679","1.046123","0","324","318","0","Baseline source queue rows; not a route-conditioned subset."
"top79_public_route_probe_rows","79","53","26","0","0.670886","1.594965","38","41","78","33","Frozen public-route probe universe."
"public_route_38_rows","38","26","12","0","0.684211","1.613502","38","0","38","32","Rows with public CISI plate-route candidates inside the frozen probe universe."
"no_public_route_41_rows","41","27","14","0","0.658537","1.577785","0","41","40","1","Rows not found in public CISI OCR layer inside the frozen probe universe."
"public_route_38_page_collapsed","32","20","12","0","0.625","1.492877","32","0","32","32","One deterministic representative per public CISI source page."
"public_route_38_source_register_collapsed","21","13","8","0","0.619048","1.430949","21","0","21","21","One deterministic representative per site/type/symbol/direction source-register key."
"public_route_38_source_convention_collapsed","23","15","8","0","0.652174","1.509658","23","0","23","23","One deterministic representative per metadata source-convention key."
"v2e_possible_or_strong_31_rows","31","23","8","0","0.741935","1.794122","31","0","31","26","Public-route rows that also have possible or strong signband-like v2e geometry."
"v2e_possible_or_strong_page_collapsed","26","18","8","0","0.692308","1.697864","26","0","26","26","v2e possible/strong rows collapsed by source page."
"v2e_possible_or_strong_source_register_collapsed","17","11","6","0","0.647059","1.555348","17","0","17","17","v2e possible/strong rows collapsed by site/type/symbol/direction source-register key."
"v2e_possible_or_strong_source_convention_collapsed","19","13","6","0","0.684211","1.637534","19","0","19","19","v2e possible/strong rows collapsed by source-convention key."
