date,triage_id,queue_rank,representative_cisi,site,type,text,diff_per_transition,route_count,plate_route_count,data_route_count,source_status_rank,best_volume,best_page_index,best_source_url,best_local_artifact,best_artifact_sha256,visual_review_status,admissibility_tier,signband_visible,immediate_blind_packet_candidate,manual_visual_note,next_gate,skeptic_boundary,forger_boundary,accepted_claims_increment
2026-05-29,directionality_route_visual_triage_v1,2,M-1989,Mohenjo-daro,SEAL:R,+679-740-575+,3.655436,0,0,0,not_found_in_public_cisi_ocr_layer,,,,,,not_found_in_public_cisi_ocr_layer,tier_6_no_public_route,no,no,No exact public CISI OCR route was found in the accessible India/Pakistan XML layer.,"Try CISI 3.1, HARP, museum/archive sources, or non-OCR page-range routing.","Visual route triage cannot validate source-normalized token order, physical direction, sign identity, meaning, phonetic value, language family, or translation.",No forger pass has been run on visual admissibility tiers. These tiers only select candidates for the next blind token-boxing/control packet; accepted claims remain zero.,0
2026-05-29,directionality_route_visual_triage_v1,3,M-1720,Mohenjo-daro,SEAL:S,+679-740-233-240+,3.399444,0,0,0,not_found_in_public_cisi_ocr_layer,,,,,,not_found_in_public_cisi_ocr_layer,tier_6_no_public_route,no,no,No exact public CISI OCR route was found in the accessible India/Pakistan XML layer.,"Try CISI 3.1, HARP, museum/archive sources, or non-OCR page-range routing.","Visual route triage cannot validate source-normalized token order, physical direction, sign identity, meaning, phonetic value, language family, or translation.",No forger pass has been run on visual admissibility tiers. These tiers only select candidates for the next blind token-boxing/control packet; accepted claims remain zero.,0
2026-05-29,directionality_route_visual_triage_v1,4,H-665,Harappa,SEAL:R,+407-004-060-692+,3.355998,3,2,1,public_cisi_plate_route_candidate,cisi_pakistan,343,https://archive.org/download/TheIndusScript.TextConcordanceAndTablesIravathanMahadevan/Corpus%20of%20Indus%20Seals%20and%20Inscriptions.%20Collections%20in%20Pakistan/page/n343_w2000.jpg,tmp/effective_unicity_directionality_public_route_probe/crops/4_H_665_cisi_pakistan_n343_1_context_enhanced_x2.jpg,faf500d850840416135d8a45cd337d29ab91bc5f93f6a1ea5148bc17202dcab7,source_panel_visible_weak_partial,tier_2_source_panel_visible_needs_recrop_or_quality_gate,partial,no,"H-665 A source panel is visible in the OCR route crop, but the signband is dark, partly cut by the route crop, and weaker than the M-1320/M-811/M-1310/H-654 candidates.",Make a no-overlay source-panel crop from the page image before any token boxing.,"Visual route triage cannot validate source-normalized token order, physical direction, sign identity, meaning, phonetic value, language family, or translation.",No forger pass has been run on visual admissibility tiers. These tiers only select candidates for the next blind token-boxing/control packet; accepted claims remain zero.,0
2026-05-29,directionality_route_visual_triage_v1,5,M-1458,Mohenjo-daro,TAB:C,+407-004-001-617-142+,3.268213,1,1,0,public_cisi_plate_route_candidate,cisi_pakistan,234,https://archive.org/download/TheIndusScript.TextConcordanceAndTablesIravathanMahadevan/Corpus%20of%20Indus%20Seals%20and%20Inscriptions.%20Collections%20in%20Pakistan/page/n234_w2000.jpg,tmp/effective_unicity_directionality_public_route_probe/crops/5_M_1458_cisi_pakistan_n234_1_context_enhanced_x2.jpg,3860aaf086f8995ca474d74ffe607fac7975d287bfe5fc4163c432b814734913,low_legibility_tablet_route,tier_3_route_only_low_legibility,uncertain,no,"M-1458 is a real page route, but the tablet-like source image is dark/low-legibility at this public resolution.",Seek higher-quality source image or defer behind clearer candidates.,"Visual route triage cannot validate source-normalized token order, physical direction, sign identity, meaning, phonetic value, language family, or translation.",No forger pass has been run on visual admissibility tiers. These tiers only select candidates for the next blind token-boxing/control packet; accepted claims remain zero.,0
2026-05-29,directionality_route_visual_triage_v1,6,H-1046,Harappa,SEAL:S,+151-390-590+,3.159197,0,0,0,not_found_in_public_cisi_ocr_layer,,,,,,not_found_in_public_cisi_ocr_layer,tier_6_no_public_route,no,no,No exact public CISI OCR route was found in the accessible India/Pakistan XML layer.,"Try CISI 3.1, HARP, museum/archive sources, or non-OCR page-range routing.","Visual route triage cannot validate source-normalized token order, physical direction, sign identity, meaning, phonetic value, language family, or translation.",No forger pass has been run on visual admissibility tiers. These tiers only select candidates for the next blind token-boxing/control packet; accepted claims remain zero.,0
2026-05-29,directionality_route_visual_triage_v1,7,M-1953,Mohenjo-daro,SEAL:R,+407-845-233-806+,3.06932,0,0,0,not_found_in_public_cisi_ocr_layer,,,,,,not_found_in_public_cisi_ocr_layer,tier_6_no_public_route,no,no,No exact public CISI OCR route was found in the accessible India/Pakistan XML layer.,"Try CISI 3.1, HARP, museum/archive sources, or non-OCR page-range routing.","Visual route triage cannot validate source-normalized token order, physical direction, sign identity, meaning, phonetic value, language family, or translation.",No forger pass has been run on visual admissibility tiers. These tiers only select candidates for the next blind token-boxing/control packet; accepted claims remain zero.,0
2026-05-29,directionality_route_visual_triage_v1,8,M-1738,Mohenjo-daro,SEAL:S,+226-240-235-060-692+,3.004726,0,0,0,not_found_in_public_cisi_ocr_layer,,,,,,not_found_in_public_cisi_ocr_layer,tier_6_no_public_route,no,no,No exact public CISI OCR route was found in the accessible India/Pakistan XML layer.,"Try CISI 3.1, HARP, museum/archive sources, or non-OCR page-range routing.","Visual route triage cannot validate source-normalized token order, physical direction, sign identity, meaning, phonetic value, language family, or translation.",No forger pass has been run on visual admissibility tiers. These tiers only select candidates for the next blind token-boxing/control packet; accepted claims remain zero.,0
2026-05-29,directionality_route_visual_triage_v1,9,H-654,Harappa,SEAL:R,+405-061-740-806+,2.979214,4,4,0,public_cisi_plate_route_candidate,cisi_pakistan,342,https://archive.org/download/TheIndusScript.TextConcordanceAndTablesIravathanMahadevan/Corpus%20of%20Indus%20Seals%20and%20Inscriptions.%20Collections%20in%20Pakistan/page/n342_w2000.jpg,tmp/effective_unicity_directionality_public_route_probe/crops/9_H_654_cisi_pakistan_n342_1_context_enhanced_x2.jpg,33bdb037ca8265c00dd9b716be9773e49e1dd16cd01d7cb24b6745b437c9a3ad,source_panel_visible_candidate,tier_1_ready_for_blind_token_boxing_candidate,yes,yes,"H-654 A is visible with a compact sign sequence; neighboring labels are present, so it needs a clean no-overlay panel crop before blind token boxing.",Generate no-overlay source-panel crop and include as a positive in the blind token-box packet.,"Visual route triage cannot validate source-normalized token order, physical direction, sign identity, meaning, phonetic value, language family, or translation.",No forger pass has been run on visual admissibility tiers. These tiers only select candidates for the next blind token-boxing/control packet; accepted claims remain zero.,0
2026-05-29,directionality_route_visual_triage_v1,10,M-1310,Mohenjo-daro,SEAL:R,+407-004-001-740-407-590-235+,2.915356,2,2,0,public_cisi_plate_route_candidate,cisi_pakistan,202,https://archive.org/download/TheIndusScript.TextConcordanceAndTablesIravathanMahadevan/Corpus%20of%20Indus%20Seals%20and%20Inscriptions.%20Collections%20in%20Pakistan/page/n202_w2000.jpg,tmp/effective_unicity_directionality_public_route_probe/crops/10_M_1310_cisi_pakistan_n202_1_context_enhanced_x2.jpg,72a074a607a079c5b76fd3a2b6e3404d5f74f61bce256d262c943f779f354327,source_panel_visible_candidate_needs_no_overlay_recrop,tier_1_ready_for_blind_token_boxing_candidate,yes,yes,"M-1310 A is visible and promising, but the route-label box overlay crosses the useful view. The underlying page image, not the overlay crop, must be used for boxing.",Generate no-overlay source-panel crop from the page image and blind-box it with matched negatives.,"Visual route triage cannot validate source-normalized token order, physical direction, sign identity, meaning, phonetic value, language family, or translation.",No forger pass has been run on visual admissibility tiers. These tiers only select candidates for the next blind token-boxing/control packet; accepted claims remain zero.,0
2026-05-29,directionality_route_visual_triage_v1,11,M-1320,Mohenjo-daro,SEAL:R,+527-555-231-240-798+,2.876525,1,1,0,public_cisi_plate_route_candidate,cisi_pakistan,203,https://archive.org/download/TheIndusScript.TextConcordanceAndTablesIravathanMahadevan/Corpus%20of%20Indus%20Seals%20and%20Inscriptions.%20Collections%20in%20Pakistan/page/n203_w2000.jpg,tmp/effective_unicity_directionality_public_route_probe/crops/11_M_1320_cisi_pakistan_n203_1_context_enhanced_x2.jpg,594762e56f13cbc65cceccc4ecde491f1cf081a7e1d1406d1ae133ec02138c33,source_panel_visible_candidate,tier_1_ready_for_blind_token_boxing_candidate,yes,yes,M-1320 A is clearly routed to a visible source panel with a legible signband at public resolution.,Generate no-overlay source-panel crop and include as a positive in the blind token-box packet.,"Visual route triage cannot validate source-normalized token order, physical direction, sign identity, meaning, phonetic value, language family, or translation.",No forger pass has been run on visual admissibility tiers. These tiers only select candidates for the next blind token-boxing/control packet; accepted claims remain zero.,0
2026-05-29,directionality_route_visual_triage_v1,12,H-2141,Harappa,TAB:I,+565-740-176-231+,2.85671,0,0,0,not_found_in_public_cisi_ocr_layer,,,,,,not_found_in_public_cisi_ocr_layer,tier_6_no_public_route,no,no,No exact public CISI OCR route was found in the accessible India/Pakistan XML layer.,"Try CISI 3.1, HARP, museum/archive sources, or non-OCR page-range routing.","Visual route triage cannot validate source-normalized token order, physical direction, sign identity, meaning, phonetic value, language family, or translation.",No forger pass has been run on visual admissibility tiers. These tiers only select candidates for the next blind token-boxing/control packet; accepted claims remain zero.,0
2026-05-29,directionality_route_visual_triage_v1,13,M-1885,Mohenjo-daro,SEAL:S,+151-055-240-235+,2.847479,0,0,0,not_found_in_public_cisi_ocr_layer,,,,,,not_found_in_public_cisi_ocr_layer,tier_6_no_public_route,no,no,No exact public CISI OCR route was found in the accessible India/Pakistan XML layer.,"Try CISI 3.1, HARP, museum/archive sources, or non-OCR page-range routing.","Visual route triage cannot validate source-normalized token order, physical direction, sign identity, meaning, phonetic value, language family, or translation.",No forger pass has been run on visual admissibility tiers. These tiers only select candidates for the next blind token-boxing/control packet; accepted claims remain zero.,0
2026-05-29,directionality_route_visual_triage_v1,14,M-1989,Mohenjo-daro,SEAL:R,+679-740-575-017-798+,2.790009,0,0,0,not_found_in_public_cisi_ocr_layer,,,,,,not_found_in_public_cisi_ocr_layer,tier_6_no_public_route,no,no,No exact public CISI OCR route was found in the accessible India/Pakistan XML layer.,"Try CISI 3.1, HARP, museum/archive sources, or non-OCR page-range routing.","Visual route triage cannot validate source-normalized token order, physical direction, sign identity, meaning, phonetic value, language family, or translation.",No forger pass has been run on visual admissibility tiers. These tiers only select candidates for the next blind token-boxing/control packet; accepted claims remain zero.,0
2026-05-29,directionality_route_visual_triage_v1,15,M-811,Mohenjo-daro,SEAL:S,+226-032-803+,2.71824,2,2,0,public_cisi_plate_route_candidate,cisi_pakistan,104,https://archive.org/download/TheIndusScript.TextConcordanceAndTablesIravathanMahadevan/Corpus%20of%20Indus%20Seals%20and%20Inscriptions.%20Collections%20in%20Pakistan/page/n104_w2000.jpg,tmp/effective_unicity_directionality_public_route_probe/crops/15_M_811_cisi_pakistan_n104_1_context_enhanced_x2.jpg,27e53fbc022514b21c2ac1b9fcb90ffec65c72fccf5089e2a2af0d076fb17e4c,source_panel_visible_candidate,tier_1_ready_for_blind_token_boxing_candidate,yes,yes,M-811 A is routed to a visible source panel; signband and object context are legible enough for blind token-box adjudication.,Generate no-overlay source-panel crop and include as a positive in the blind token-box packet.,"Visual route triage cannot validate source-normalized token order, physical direction, sign identity, meaning, phonetic value, language family, or translation.",No forger pass has been run on visual admissibility tiers. These tiers only select candidates for the next blind token-boxing/control packet; accepted claims remain zero.,0
2026-05-29,directionality_route_visual_triage_v1,16,M-1523,Mohenjo-daro,TAB:C,+407-585-033-705-233-235-806+,2.698288,1,1,0,public_cisi_plate_route_candidate,cisi_pakistan,253,https://archive.org/download/TheIndusScript.TextConcordanceAndTablesIravathanMahadevan/Corpus%20of%20Indus%20Seals%20and%20Inscriptions.%20Collections%20in%20Pakistan/page/n253_w2000.jpg,tmp/effective_unicity_directionality_public_route_probe/crops/16_M_1523_cisi_pakistan_n253_1_context_enhanced_x2.jpg,897c5afa3ae2b951f2ed8801072bbd7a96d0a85b916479226ae6b2a4a59c82f5,low_legibility_tablet_route,tier_3_route_only_low_legibility,uncertain,no,"M-1523 is a page route, but the tablet-like source panel is dark/low-legibility in the public crop.",Seek higher-quality source image or defer behind clearer candidates.,"Visual route triage cannot validate source-normalized token order, physical direction, sign identity, meaning, phonetic value, language family, or translation.",No forger pass has been run on visual admissibility tiers. These tiers only select candidates for the next blind token-boxing/control packet; accepted claims remain zero.,0
2026-05-29,directionality_route_visual_triage_v1,17,H-152,Harappa,SEAL:R,+154-806-468+,2.681647,2,1,1,public_cisi_plate_route_candidate,cisi_india,237,https://archive.org/download/TheIndusScript.TextConcordanceAndTablesIravathanMahadevan/Corpus%20of%20Indus%20Seals%20and%20Inscriptions.%20Collections%20in%20India/page/n237_w2000.jpg,tmp/effective_unicity_directionality_public_route_probe/crops/17_H_152_cisi_india_n237_1_context_enhanced_x2.jpg,67c931578eeaeeae37f07fbfd76e378b013163b044d8fed5bf2a47e56fcbfeba,source_panel_visible_volume_mismatch_gate,tier_2_source_panel_visible_needs_recrop_or_quality_gate,yes,no,"H-152 A is visibly routed to a source panel with a legible signband, but the public route is in the India volume while the row metadata is Harappa. Keep the volume/provenance gate.",Resolve volume/provenance mismatch before adding to any positive blind packet.,"Visual route triage cannot validate source-normalized token order, physical direction, sign identity, meaning, phonetic value, language family, or translation.",No forger pass has been run on visual admissibility tiers. These tiers only select candidates for the next blind token-boxing/control packet; accepted claims remain zero.,0
2026-05-29,directionality_route_visual_triage_v1,18,M-507,Mohenjo-daro,TAB:C,+407-845-220-415+,2.6799,0,0,0,not_found_in_public_cisi_ocr_layer,,,,,,not_found_in_public_cisi_ocr_layer,tier_6_no_public_route,no,no,No exact public CISI OCR route was found in the accessible India/Pakistan XML layer.,"Try CISI 3.1, HARP, museum/archive sources, or non-OCR page-range routing.","Visual route triage cannot validate source-normalized token order, physical direction, sign identity, meaning, phonetic value, language family, or translation.",No forger pass has been run on visual admissibility tiers. These tiers only select candidates for the next blind token-boxing/control packet; accepted claims remain zero.,0
2026-05-29,directionality_route_visual_triage_v1,19,H-1673,Harappa,SEAL:S,+405-004-104+,2.67677,0,0,0,not_found_in_public_cisi_ocr_layer,,,,,,not_found_in_public_cisi_ocr_layer,tier_6_no_public_route,no,no,No exact public CISI OCR route was found in the accessible India/Pakistan XML layer.,"Try CISI 3.1, HARP, museum/archive sources, or non-OCR page-range routing.","Visual route triage cannot validate source-normalized token order, physical direction, sign identity, meaning, phonetic value, language family, or translation.",No forger pass has been run on visual admissibility tiers. These tiers only select candidates for the next blind token-boxing/control packet; accepted claims remain zero.,0
2026-05-29,directionality_route_visual_triage_v1,20,H-679,Harappa,SEAL:R,+565-806+,2.621217,0,0,0,not_found_in_public_cisi_ocr_layer,,,,,,not_found_in_public_cisi_ocr_layer,tier_6_no_public_route,no,no,No exact public CISI OCR route was found in the accessible India/Pakistan XML layer.,"Try CISI 3.1, HARP, museum/archive sources, or non-OCR page-range routing.","Visual route triage cannot validate source-normalized token order, physical direction, sign identity, meaning, phonetic value, language family, or translation.",No forger pass has been run on visual admissibility tiers. These tiers only select candidates for the next blind token-boxing/control packet; accepted claims remain zero.,0
2026-05-29,directionality_route_visual_triage_v1,21,M-365,Mohenjo-daro,SEAL:R,+527-550-033-705-220-415-060-550+,2.581387,2,1,1,public_cisi_plate_route_candidate,cisi_india,126,https://archive.org/download/TheIndusScript.TextConcordanceAndTablesIravathanMahadevan/Corpus%20of%20Indus%20Seals%20and%20Inscriptions.%20Collections%20in%20India/page/n126_w2000.jpg,tmp/effective_unicity_directionality_public_route_probe/crops/21_M_365_cisi_india_n126_1_context_enhanced_x2.jpg,d8c663e9139f8f4da274d18f0a1337755f387658a1e12f4c1c30060741199215,not_yet_visual_reviewed,tier_4_plate_route_unreviewed,unreviewed,no,"Public OCR route exists, but this route was not manually visually triaged in this pass.",Manual visual source-panel review before any token-box packet.,"Visual route triage cannot validate source-normalized token order, physical direction, sign identity, meaning, phonetic value, language family, or translation.",No forger pass has been run on visual admissibility tiers. These tiers only select candidates for the next blind token-boxing/control packet; accepted claims remain zero.,0
