"corpus","scope","control","metric","iterations","observed","null_mean","null_p05","null_median","null_p95","null_max","null_ge_observed_share"
"source_visible_861_terminal_tail_probe","tailed_and_bare_source_visible_rows","global_token_shuffle","stored_win_share","200","1","0.385417","0.083333","0.416667","0.666667","0.833333","0"
"source_visible_861_terminal_tail_probe","tailed_and_bare_source_visible_rows","row_internal_shuffle","stored_win_share","200","1","0.45875","0.166667","0.5","0.75","1","0.005"
"source_visible_861_terminal_tail_probe","tailed_and_bare_source_visible_rows","position_slot_shuffle","stored_win_share","200","1","1","1","1","1","1","1"
"source_visible_861_terminal_tail_probe","tailed_and_bare_source_visible_rows","edge_frame_shuffle","stored_win_share","200","1","0.96125","0.833333","1","1","1","0.625"
"matched_overlap_lipi_side","exact_collapsed","global_token_shuffle","stored_win_share","200","0.9375","0.43875","0.34375","0.4375","0.53125","0.578125","0"
"matched_overlap_lipi_side","exact_collapsed","row_internal_shuffle","stored_win_share","200","0.9375","0.456211","0.359375","0.453125","0.554688","0.671875","0"
"matched_overlap_lipi_side","exact_collapsed","position_slot_shuffle","stored_win_share","200","0.9375","0.896211","0.851563","0.898438","0.929688","0.9375","0.01"
"matched_overlap_lipi_side","exact_collapsed","edge_frame_shuffle","stored_win_share","200","0.9375","0.894648","0.867188","0.898438","0.921875","0.9375","0.01"
"matched_overlap_lipi_side","exact_collapsed","edge_length_position_shuffle","stored_win_share","200","0.9375","0.902852","0.882813","0.90625","0.929688","0.945313","0.01"
"matched_overlap_lipi_side","exact_collapsed","edge_symbol_catalog_position_shuffle","stored_win_share","200","0.9375","0.910859","0.890625","0.914063","0.929688","0.945313","0.035"
"matched_overlap_lipi_side","exact_collapsed","edge_symbol_catalog_interior_shuffle","stored_win_share","200","0.9375","0.894336","0.867188","0.890625","0.914063","0.929688","0"
"matched_overlap_mayig_side","exact_collapsed","global_token_shuffle","stored_win_share","200","0.929134","0.46437","0.362205","0.464567","0.543307","0.606299","0"
"matched_overlap_mayig_side","exact_collapsed","row_internal_shuffle","stored_win_share","200","0.929134","0.469921","0.370079","0.472441","0.559055","0.614173","0"
"matched_overlap_mayig_side","exact_collapsed","position_slot_shuffle","stored_win_share","200","0.929134","0.910197","0.88189","0.913386","0.937008","0.952756","0.2"
"matched_overlap_mayig_side","exact_collapsed","edge_frame_shuffle","stored_win_share","200","0.929134","0.906535","0.88189","0.905512","0.929134","0.944882","0.075"
"matched_overlap_mayig_side","exact_collapsed","edge_length_position_shuffle","stored_win_share","200","0.929134","0.90937","0.889764","0.913386","0.929134","0.937008","0.09"
"matched_overlap_mayig_side","exact_collapsed","edge_symbol_catalog_position_shuffle","stored_win_share","200","0.929134","0.909961","0.889764","0.913386","0.929134","0.937008","0.11"
"matched_overlap_mayig_side","exact_collapsed","edge_symbol_catalog_interior_shuffle","stored_win_share","200","0.929134","0.905276","0.874016","0.905512","0.929134","0.944882","0.075"
"matched_overlap_lipi_side","top10_edge_removed","global_token_shuffle","stored_win_share","200","0.363636","0.186136","0","0.181818","0.363636","0.545455","0.09"
"matched_overlap_lipi_side","top10_edge_removed","row_internal_shuffle","stored_win_share","200","0.363636","0.192727","0","0.181818","0.363636","0.5","0.1"
"matched_overlap_lipi_side","top10_edge_removed","position_slot_shuffle","stored_win_share","200","0.363636","0.369091","0.318182","0.363636","0.454545","0.5","0.875"
"matched_overlap_lipi_side","top10_edge_removed","edge_frame_shuffle","stored_win_share","200","0.363636","0.362727","0.318182","0.363636","0.409091","0.454545","0.91"
"matched_overlap_lipi_side","top10_edge_removed","edge_length_position_shuffle","stored_win_share","200","0.363636","0.368182","0.318182","0.363636","0.409091","0.454545","0.88"
"matched_overlap_lipi_side","top10_edge_removed","edge_symbol_catalog_position_shuffle","stored_win_share","200","0.363636","0.363636","0.363636","0.363636","0.363636","0.363636","1"
"matched_overlap_lipi_side","top10_edge_removed","edge_symbol_catalog_interior_shuffle","stored_win_share","200","0.363636","0.362273","0.318182","0.363636","0.363636","0.409091","0.95"
"matched_overlap_mayig_side","top10_edge_removed","global_token_shuffle","stored_win_share","200","0.473684","0.226579","0","0.210526","0.421053","0.578947","0.05"
"matched_overlap_mayig_side","top10_edge_removed","row_internal_shuffle","stored_win_share","200","0.473684","0.205526","0","0.210526","0.421053","0.578947","0.03"
"matched_overlap_mayig_side","top10_edge_removed","position_slot_shuffle","stored_win_share","200","0.473684","0.473947","0.473684","0.473684","0.473684","0.526316","1"
"matched_overlap_mayig_side","top10_edge_removed","edge_frame_shuffle","stored_win_share","200","0.473684","0.470526","0.421053","0.473684","0.526316","0.578947","0.87"
"matched_overlap_mayig_side","top10_edge_removed","edge_length_position_shuffle","stored_win_share","200","0.473684","0.474474","0.473684","0.473684","0.473684","0.526316","1"
"matched_overlap_mayig_side","top10_edge_removed","edge_symbol_catalog_position_shuffle","stored_win_share","200","0.473684","0.473684","0.473684","0.473684","0.473684","0.473684","1"
"matched_overlap_mayig_side","top10_edge_removed","edge_symbol_catalog_interior_shuffle","stored_win_share","200","0.473684","0.473684","0.473684","0.473684","0.473684","0.473684","1"
