"queue_rank","priority_band","source_validation_need","representative_cisi","family_cisis","representative_lipi_id","harsh_id","site","type","material","symbol","direction","text","tokens","token_count","family_size","family_source_weight","direction_outcome","stored_logprob","reversed_logprob","diff_per_transition","major_leave_one_delta_stored_win","site_leave_one_delta_stored_win","source_hint_count","best_source_rank","best_source_file","best_status_text","best_source_url","best_local_image","best_sha256","best_note","source_files"
"1","P0_validate_high_positive_existing_route","review_existing_crop_for_direction_and_token_order","M-70","M-70","2598.1","one_edit_family_00123","Mohenjo-daro","SEAL:S","Steatite","Bull1:T","R/L","+226-032-002-390-692+","226 032 002 390 692","5","1","1","stored_higher","-21.569258","-39.620036","3.008463","0.000478","0.000872","10","85","campaign_032_002_branch_tail_token_order_verdicts.csv","source_single_line:yes | pass_branch_head_continuation_candidate | confidence:medium | 390 branch-head family; compare next to 390->125/705 and unknown 390->590-032","","C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_branch_tail_source_acquisition\M70_impression_a_signband_from_cisi_india_n066.png","","","campaign_032_002_branch_tail_source_crops.csv;campaign_032_002_branch_tail_source_routes.csv;campaign_032_002_branch_tail_token_order_boxes.csv;campaign_032_002_branch_tail_token_order_verdicts.csv;campaign_032_002_source_normalized_branch_tail_decisive_rows.csv;effective_unicity_directionality_m70_source_pilot.csv;effective_unicity_directionality_source_queue_source_index.csv"
"2","P1_acquire_high_positive_source","find_public_or_request_source_route","M-1989","M-1989","2176.2","one_edit_family_00315","Mohenjo-daro","SEAL:R","Steatite","None","L/R","+679-740-575+","679 740 575","3","1","1","stored_higher","-12.455801","-27.077546","3.655436","0.00667","0.005611","0","0","","","","","","",""
"3","P1_acquire_high_positive_source","find_public_or_request_source_route","M-1720","M-1720","2484.1","one_edit_family_00313","Mohenjo-daro","SEAL:S","Steatite","Bull1:W","R/L","+679-740-233-240+","679 740 233 240","4","1","1","stored_higher","-16.429712","-33.426931","3.399444","0.000478","0.000872","0","0","","","","","","",""
"4","P1_acquire_high_positive_source","find_public_or_request_source_route","H-665","H-665","1580.1","one_edit_family_00205","Harappa","SEAL:R","-","None","R/L","+407-004-060-692+","407 004 060 692","4","1","1","stored_higher","-16.083011","-32.863003","3.355998","0.000478","0.002333","0","0","","","","","","",""
"5","P1_acquire_high_positive_source","find_public_or_request_source_route","M-1458","M-1458","3735.1","one_edit_family_00200","Mohenjo-daro","TAB:C","Copper","-","R/L","+407-004-001-617-142+","407 004 001 617 142","5","1","1","stored_higher","-19.943594","-39.552871","3.268213","0.003574","0.000872","0","0","","","","","","",""
"6","P1_acquire_high_positive_source","find_public_or_request_source_route","H-1046","H-1046","3924.1","one_edit_family_00067","Harappa","SEAL:S","-","Bull1:W","R/L","+151-390-590+","151 390 590","3","1","1","stored_higher","-10.844375","-23.481161","3.159197","0.000478","0.011342","0","0","","","","","","",""
"7","P1_acquire_high_positive_source","find_public_or_request_source_route","M-1953","M-1953","2189.1","one_edit_family_00221","Mohenjo-daro","SEAL:R","Steatite","None","R/L","+407-845-233-806+","407 845 233 806","4","1","1","stored_higher","-17.72147","-33.068068","3.06932","0.000478","0.000872","0","0","","","","","","",""
"8","P1_acquire_high_positive_source","find_public_or_request_source_route","M-1738","M-1738","2428.1","one_edit_family_00128","Mohenjo-daro","SEAL:S","Steatite","Bull1:S","R/L","+226-240-235-060-692+","226 240 235 060 692","5","1","1","stored_higher","-20.800239","-38.828594","3.004726","0.000478","0.000872","0","0","","","","","","",""
"9","P1_acquire_high_positive_source","find_public_or_request_source_route","H-654","H-654","1569.1","one_edit_family_00194","Harappa","SEAL:R","-","None","R/L","+405-061-740-806+","405 061 740 806","4","1","1","stored_higher","-16.240762","-31.13683","2.979214","0.000478","0.002333","0","0","","","","","","",""
"10","P1_acquire_high_positive_source","find_public_or_request_source_route","M-1310","M-1310","3615.1","one_edit_family_00201","Mohenjo-daro","SEAL:R","Steatite","None","R/L","+407-004-001-740-407-590-235+","407 004 001 740 407 590 235","7","1","1","stored_higher","-29.657052","-52.979902","2.915356","0.000478","0.000872","0","0","","","","","","",""
