"cisi","source_hint_count","best_source_rank","best_source_file","best_status_text","best_source_url","best_local_image","best_sha256","best_note","source_files"
"M-240","20","85","campaign_032_002_branch_tail_token_order_verdicts.csv","source_single_line:yes | pass_tail_continuation_candidate | confidence:medium | global all-002 tail family 861->603 occurs 3 times","","C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_branch_tail_source_acquisition\M240_impression_a_signband_from_cisi_india_n095.png","","","campaign_032_002_861_source_token_attachment_boxes.csv;campaign_032_002_861_source_token_attachment_verdicts.csv;campaign_032_002_861_suffix_split_source_routes.csv;campaign_032_002_branch_tail_source_crops.csv;campaign_032_002_branch_tail_source_routes.csv;campaign_032_002_branch_tail_token_order_boxes.csv;campaign_032_002_branch_tail_token_order_verdicts.csv;campaign_032_002_source_normalized_branch_tail_decisive_rows.csv;campaign_032_002_source_normalized_branch_tail_family_rows.csv;campaign_032_002_tail_source_queue.csv;campaign_032_002_y_source_manifest.csv;campaign_032_002_y_source_route_probe.csv"
"M-49","17","85","campaign_032_002_branch_tail_token_order_verdicts.csv","source_single_line:yes | pass_existing_token_box | confidence:medium | later 032 tail: 300-350-032-190","","C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_y_source_function_batch\M49_target_300_fullpanel_a.png","","","campaign_032_002_branch_tail_token_order_boxes.csv;campaign_032_002_branch_tail_token_order_verdicts.csv;campaign_032_002_source_normalized_branch_tail_decisive_rows.csv;campaign_032_002_tail_source_queue.csv;campaign_032_002_y_source_function_batch2.csv;campaign_032_002_y_source_function_current_table.csv;campaign_032_002_y_source_function_sourceclean_features.csv;campaign_032_002_y_source_manifest.csv;campaign_032_002_y_source_route_probe.csv;effective_unicity_directionality_source_queue_source_index.csv;source_box_blind_adjudication_key.csv;source_box_blind_adjudication_scored_rows.csv"
"M-70","10","85","campaign_032_002_branch_tail_token_order_verdicts.csv","source_single_line:yes | pass_branch_head_continuation_candidate | confidence:medium | 390 branch-head family; compare next to 390->125/705 and unknown 390->590-032","","C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_branch_tail_source_acquisition\M70_impression_a_signband_from_cisi_india_n066.png","","","campaign_032_002_branch_tail_source_crops.csv;campaign_032_002_branch_tail_source_routes.csv;campaign_032_002_branch_tail_token_order_boxes.csv;campaign_032_002_branch_tail_token_order_verdicts.csv;campaign_032_002_source_normalized_branch_tail_decisive_rows.csv;effective_unicity_directionality_m70_source_pilot.csv;effective_unicity_directionality_source_queue_source_index.csv"
"M-91","19","85","campaign_032_002_branch_tail_token_order_verdicts.csv","source_single_line:yes | pass_tail_continuation_candidate_lowres | confidence:medium_low | singleton 861->255-416; supports nonterminal 861 but not a repeated tail family yet","","C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_branch_tail_source_acquisition\M91_impression_a_signband_from_cisi_india_n071.png","","","campaign_032_002_861_source_token_attachment_boxes.csv;campaign_032_002_861_source_token_attachment_verdicts.csv;campaign_032_002_861_suffix_split_source_routes.csv;campaign_032_002_branch_tail_source_crops.csv;campaign_032_002_branch_tail_source_routes.csv;campaign_032_002_branch_tail_token_order_boxes.csv;campaign_032_002_branch_tail_token_order_verdicts.csv;campaign_032_002_source_normalized_branch_tail_decisive_rows.csv;campaign_032_002_tail_source_queue.csv;campaign_032_002_y_source_manifest.csv;campaign_032_002_y_source_route_probe.csv;effective_unicity_directionality_source_queue_source_index.csv"
"C-10","11","80","source_visible_032_002_y_witness_matrix.csv","chanhu_daro_plate_route | source_visible_lowres_token_box_candidate | candidate_pass_lowres:3","","C:\Users\Acer\OneDrive\Documents\ivc\tmp\chanhudaro_mackay_1943\crops_final\C10_non240_817_plateLI_no29_context.png","","Upgrades non-240 A-220 817 branch at Chanhu-daro; supports 817 outside target/240 frame.","campaign_032_002_tail_source_queue.csv;campaign_032_002_y_source_function_batch3_chanhudaro.csv;campaign_032_002_y_source_function_current_table.csv;campaign_032_002_y_source_function_sourceclean_features.csv;campaign_032_002_y_source_manifest.csv;campaign_032_002_y_source_route_probe.csv;effective_unicity_directionality_source_queue_source_index.csv;source_box_blind_adjudication_key.csv;source_box_blind_adjudication_scored_rows.csv;source_visible_032_002_y_witness_matrix.csv"
"C-60","11","80","source_visible_032_002_y_witness_matrix.csv","chanhu_daro_plate_route | source_visible_weak_token_box_candidate | candidate_weak:3","","C:\Users\Acer\OneDrive\Documents\ivc\tmp\chanhudaro_mackay_1943\crops_final\C60_outside_861_plateLII_no24_context.png","","Adds Chanhu-daro outside-control 861; strengthens portable 002-861 branch across sites.","campaign_032_002_tail_source_queue.csv;campaign_032_002_y_source_function_batch3_chanhudaro.csv;campaign_032_002_y_source_function_current_table.csv;campaign_032_002_y_source_function_sourceclean_features.csv;campaign_032_002_y_source_manifest.csv;campaign_032_002_y_source_route_probe.csv;effective_unicity_directionality_source_queue_source_index.csv;source_box_blind_adjudication_key.csv;source_box_blind_adjudication_scored_rows.csv;source_visible_032_002_y_witness_matrix.csv"
"H-444","14","80","source_visible_032_002_y_witness_matrix.csv","source_volume_ocr_hit | source_visible_medium_token_box_candidate | candidate_pass:3","","C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_y_source_function_batch\H444_non240_861_page310_full_panel_context.png","","Non-240 A-220 core control. Strong row-level source witness for same-line 032-002-Y packet.","campaign_032_002_861_bare_edge_source_controls_crops.csv;campaign_032_002_861_bare_edge_source_controls_rows.csv;campaign_032_002_tail_source_queue.csv;campaign_032_002_y_source_function_batch1.csv;campaign_032_002_y_source_function_current_table.csv;campaign_032_002_y_source_function_sourceclean_features.csv;campaign_032_002_y_source_manifest.csv;campaign_032_002_y_source_route_probe.csv;effective_unicity_directionality_source_queue_source_index.csv;effective_unicity_directionality_source_visible_861_rows.csv;source_box_blind_adjudication_key.csv;source_box_blind_adjudication_scored_rows.csv"
"H-597","11","80","source_visible_032_002_y_witness_matrix.csv","source_volume_ocr_hit | source_visible_medium_low_token_box_candidate | candidate_pass:3","","C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_y_source_function_batch\H597_outside_861_pakistan_0331_label_context.png","","Useful Harappa outside control; local duplicate sides have same text, reducing side-mapping risk.","campaign_032_002_tail_source_queue.csv;campaign_032_002_y_source_function_batch2.csv;campaign_032_002_y_source_function_current_table.csv;campaign_032_002_y_source_function_sourceclean_features.csv;campaign_032_002_y_source_manifest.csv;campaign_032_002_y_source_route_probe.csv;effective_unicity_directionality_source_queue_source_index.csv;source_box_blind_adjudication_key.csv;source_box_blind_adjudication_scored_rows.csv;source_visible_032_002_y_witness_matrix.csv"
"M-1273","16","80","campaign_032_002_861_source_token_attachment_verdicts.csv","same_line_candidate_present_strongest_603 | confidence:medium_high","","C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_861_suffix_split\M1273_impression_a_cisi_pakistan_n195.png","186b36772f6dc4baf3cd92f047d6b8dfa47f9bb9539ec01fffa81388dc732100","Short five-sign row with crisp separated graphic units; the terminal-side candidate is on the same line and not visibly fused to the preceding cluster.","campaign_032_002_861_533717_source_controls_crops.csv;campaign_032_002_861_source_token_attachment_boxes.csv;campaign_032_002_861_source_token_attachment_verdicts.csv;campaign_032_002_861_suffix_split_source_crops.csv;campaign_032_002_861_suffix_split_source_routes.csv;campaign_032_002_source_normalized_branch_tail_family_rows.csv;effective_unicity_directionality_source_queue_source_index.csv;effective_unicity_directionality_source_visible_861_rows.csv;source_box_blind_adjudication_key.csv;source_box_blind_adjudication_scored_rows.csv;source_box_negative_control_candidates.csv"
"M-21","11","80","source_visible_032_002_y_witness_matrix.csv","source_volume_ocr_hit | source_visible_medium_token_box_candidate | candidate_pass:3","","C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_y_source_function_batch\M21_outside_861_fullpanel_a.png","","High-value outside control for whether 032-002-861 is a general tail packet or A-220-linked.","campaign_032_002_tail_source_queue.csv;campaign_032_002_y_source_function_batch2.csv;campaign_032_002_y_source_function_current_table.csv;campaign_032_002_y_source_function_sourceclean_features.csv;campaign_032_002_y_source_manifest.csv;campaign_032_002_y_source_route_probe.csv;effective_unicity_directionality_source_queue_source_index.csv;source_box_blind_adjudication_key.csv;source_box_blind_adjudication_scored_rows.csv;source_visible_032_002_y_witness_matrix.csv"
"M-375","11","80","source_visible_032_002_y_witness_matrix.csv","source_volume_ocr_hit | source_visible_medium_low_token_box_candidate | candidate_pass:3","","C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_y_source_function_batch\M375_non240_820_hit2_india_0128_label_context.png","","Good source-visible non-240 A-220 control outside the square seal surface: SEAL:R cuboid-convex.","campaign_032_002_tail_source_queue.csv;campaign_032_002_y_source_function_batch2.csv;campaign_032_002_y_source_function_current_table.csv;campaign_032_002_y_source_function_sourceclean_features.csv;campaign_032_002_y_source_manifest.csv;campaign_032_002_y_source_route_probe.csv;effective_unicity_directionality_source_queue_source_index.csv;source_box_blind_adjudication_key.csv;source_box_blind_adjudication_scored_rows.csv;source_visible_032_002_y_witness_matrix.csv"
"M-376","14","80","campaign_032_002_861_source_token_attachment_verdicts.csv","same_line_candidate_present | confidence:medium","","C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_861_suffix_split\M376_impression_a_cisi_india_n129.png","27ebb1a1e0c3906ce1aacde047a55bb5cf90d4a46da220d8a0eddcd63ab78b55","A/a witnesses show one continuous row; the terminal-side candidate cluster is visually separated from the preceding cluster, with no obvious fusion or side split.","campaign_032_002_861_source_token_attachment_boxes.csv;campaign_032_002_861_source_token_attachment_verdicts.csv;campaign_032_002_861_suffix_split_source_crops.csv;campaign_032_002_861_suffix_split_source_routes.csv;campaign_032_002_source_normalized_branch_tail_family_rows.csv;effective_unicity_directionality_source_queue_source_index.csv;effective_unicity_directionality_source_visible_861_rows.csv;source_box_blind_adjudication_key.csv;source_box_blind_adjudication_scored_rows.csv;source_box_negative_control_candidates.csv"
"M-391","11","80","campaign_032_002_861_source_token_attachment_verdicts.csv","same_line_candidate_present_long_row | confidence:medium_low","","C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_861_suffix_split\M391_impression_a_cisi_india_n131.png","82489fc7320678ed329195a17e1fea72d6330d54eb3e3ba1114614f2227915d4","The source row is long but continuous; terminal-side material remains on the same line and is graphically discrete from the preceding cluster.","campaign_032_002_861_source_token_attachment_boxes.csv;campaign_032_002_861_source_token_attachment_verdicts.csv;campaign_032_002_861_suffix_split_source_crops.csv;campaign_032_002_861_suffix_split_source_routes.csv;campaign_032_002_source_normalized_branch_tail_family_rows.csv;effective_unicity_directionality_source_queue_source_index.csv;effective_unicity_directionality_source_visible_861_rows.csv;source_box_negative_control_candidates.csv"
"M-714","11","80","campaign_032_002_861_source_token_attachment_verdicts.csv","same_line_candidate_present_crowded | confidence:medium_low","","C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_861_suffix_split\M714_impression_a_cisi_pakistan_n079.png","c435598fa3aef2af89775835a8a8b4b4f31a11c1452cd3a068ab30f9ceab5151","The top signband is continuous and the terminal-side candidate remains on the same line, but the row is crowded and partly low-contrast.","campaign_032_002_861_source_token_attachment_boxes.csv;campaign_032_002_861_source_token_attachment_verdicts.csv;campaign_032_002_861_suffix_split_source_crops.csv;campaign_032_002_861_suffix_split_source_routes.csv;campaign_032_002_source_normalized_branch_tail_family_rows.csv;effective_unicity_directionality_source_queue_source_index.csv;effective_unicity_directionality_source_visible_861_rows.csv;source_box_negative_control_candidates.csv"
"M-722","11","80","source_visible_032_002_y_witness_matrix.csv","source_volume_ocr_hit | source_visible_medium_token_box_candidate | candidate_pass:3","","C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_y_source_function_batch\M722_target_817_page083_label_context.png","","Target 002-817 witness. Crop shows one continuous signband and label M-722 a; object is fragment/poor but source-visible.","campaign_032_002_tail_source_queue.csv;campaign_032_002_y_source_function_batch1.csv;campaign_032_002_y_source_function_current_table.csv;campaign_032_002_y_source_function_sourceclean_features.csv;campaign_032_002_y_source_manifest.csv;campaign_032_002_y_source_route_probe.csv;effective_unicity_directionality_source_queue_source_index.csv;source_box_blind_adjudication_key.csv;source_box_blind_adjudication_scored_rows.csv;source_visible_032_002_y_witness_matrix.csv"
