"control","metric","iterations","observed","null_mean","null_p05","null_median","null_p95","null_max","null_ge_observed_share"
"edge_frame_shuffle","masked_top1_accuracy","40","0.171753","0.04705","0.039967","0.046333","0.058","0.058667","0"
"edge_frame_shuffle","masked_top5_accuracy","40","0.373681","0.146883","0.1333","0.145","0.1616","0.173333","0"
"edge_frame_shuffle","masked_mrr","40","0.274089","0.111891","0.106185","0.110952","0.120993","0.127905","0"
"global_token_shuffle","masked_top1_accuracy","40","0.171753","0.028933","0.022633","0.029","0.036033","0.039333","0"
"global_token_shuffle","masked_top5_accuracy","40","0.373681","0.1132","0.1032","0.113333","0.1235","0.13","0"
"global_token_shuffle","masked_mrr","40","0.274089","0.08662","0.079875","0.086614","0.09298","0.096445","0"
"period_genre_position_shuffle","masked_top1_accuracy","40","0.171753","0.049517","0.041967","0.049333","0.0574","0.059333","0"
"period_genre_position_shuffle","masked_top5_accuracy","40","0.373681","0.1574","0.1426","0.158","0.173367","0.176667","0"
"period_genre_position_shuffle","masked_mrr","40","0.274089","0.117829","0.108529","0.117628","0.126249","0.131145","0"
"position_slot_shuffle","masked_top1_accuracy","40","0.171753","0.047133","0.037967","0.047333","0.0568","0.062667","0"
"position_slot_shuffle","masked_top5_accuracy","40","0.373681","0.151867","0.1373","0.152667","0.163533","0.172667","0"
"position_slot_shuffle","masked_mrr","40","0.274089","0.114683","0.105913","0.113945","0.124574","0.126482","0"
"row_internal_shuffle","masked_top1_accuracy","40","0.171753","0.0446","0.037233","0.044667","0.052667","0.054","0"
"row_internal_shuffle","masked_top5_accuracy","40","0.373681","0.149383","0.137333","0.147333","0.167333","0.168","0"
"row_internal_shuffle","masked_mrr","40","0.274089","0.111431","0.104256","0.110909","0.120898","0.123917","0"
