"policy","first_code","last_code","first_sign","last_sign","count","examples","review_status"
"mayig_observed_parpola","I","T","P324","P385","10","M-14;M-47;M-58;M-90;M-116;M-118;M-144;M-152;M-164;M-170","anchor_pair_only_not_semantic"
"mayig_observed_parpola","D","T","P086","P385","4","M-32;M-101;M-166;M-177","anchor_pair_only_not_semantic"
"mayig_observed_parpola","I","T","P324","P256","3","M-5;M-69;M-146","anchor_pair_only_not_semantic"
"mayig_observed_parpola","I","S","P324","P095","3","M-91;M-114;M-182","anchor_pair_only_not_semantic"
"mayig_observed_parpola","I","D","P324","P378","3","M-31;M-157;M-174","anchor_pair_only_not_semantic"
"mayig_observed_parpola","I","T","P013","P011","2","M-24;M-53","anchor_pair_only_not_semantic"
"mayig_observed_parpola","I","S","P004","P226","2","M-102;M-132","anchor_pair_only_not_semantic"
"mayig_observed_parpola","I","M","P324","P145","2","M-38;M-124","anchor_pair_only_not_semantic"
"mayig_observed_parpola","I","S","P013","P359","2","M-104;M-184","anchor_pair_only_not_semantic"
"mayig_observed_parpola","I","T","P324","P011","2","M-51;M-109","anchor_pair_only_not_semantic"
"mayig_observed_parpola","I","T","P013","P385","2","M-15;M-100","anchor_pair_only_not_semantic"
"mayig_observed_parpola","I","W","P324","P349","2","M-56;M-143","anchor_pair_only_not_semantic"
"mayig_observed_parpola","I","D","P217","P378","2","M-117;M-163","anchor_pair_only_not_semantic"
"mayig_observed_parpola","I","M","P324","P364","2","M-30;M-173","anchor_pair_only_not_semantic"
"mayig_observed_parpola","I","S","P324","P384","1","M-145","anchor_pair_only_not_semantic"
"mayig_observed_parpola","I","W","P324","P144","1","M-155","anchor_pair_only_not_semantic"
"mayig_observed_parpola","I","S","P324","P265","1","M-180","anchor_pair_only_not_semantic"
"mayig_observed_parpola","I","W","P217","P144","1","M-135","anchor_pair_only_not_semantic"
"mayig_observed_parpola","I","S","P324","P290","1","M-159","anchor_pair_only_not_semantic"
"mayig_observed_parpola","I","S","P324","P296","1","M-44","anchor_pair_only_not_semantic"
"mayig_observed_parpola","I","S","P324","P307","1","M-36","anchor_pair_only_not_semantic"
"mayig_observed_parpola","I","T","P004","P385","1","M-80","anchor_pair_only_not_semantic"
"mayig_observed_parpola","I","S","P324","P320","1","M-52","anchor_pair_only_not_semantic"
"mayig_observed_parpola","I","T","P301","P385","1","M-42","anchor_pair_only_not_semantic"
"mayig_observed_parpola","I","T","P217","P385","1","M-75","anchor_pair_only_not_semantic"
"mayig_observed_parpola","I","S","P324","P355","1","M-131","anchor_pair_only_not_semantic"
"mayig_observed_parpola","I","T","P013","P256","1","M-26","anchor_pair_only_not_semantic"
"mayig_observed_parpola","I","S","P324","P360","1","M-43","anchor_pair_only_not_semantic"
"mayig_observed_parpola","I","S","P324","P368","1","M-150","anchor_pair_only_not_semantic"
"mayig_observed_parpola","I","S","P324","P353","1","M-46","anchor_pair_only_not_semantic"
"mayig_observed_parpola","D","D","P086","P378","1","M-103","anchor_pair_only_not_semantic"
"mayig_observed_parpola","M","S","P121","P108","1","M-1","anchor_pair_only_not_semantic"
"mayig_observed_parpola","I","S","P324","P254","1","M-112","anchor_pair_only_not_semantic"
"mayig_observed_parpola","S","T","P366","P385","1","M-77","anchor_pair_only_not_semantic"
"mayig_observed_parpola","S","T","P280","P011","1","M-74","anchor_pair_only_not_semantic"
"mayig_observed_parpola","S","T","P091","P385","1","M-21","anchor_pair_only_not_semantic"
"mayig_observed_parpola","S","T","P051","P256","1","M-70","anchor_pair_only_not_semantic"
"mayig_observed_parpola","S","T","P022","P385","1","M-142","anchor_pair_only_not_semantic"
"mayig_observed_parpola","S","S","P341","P142","1","M-18","anchor_pair_only_not_semantic"
"mayig_observed_parpola","S","S","P320","P094","1","M-3","anchor_pair_only_not_semantic"
"mayig_observed_parpola","S","S","P098","P114","1","M-123","anchor_pair_only_not_semantic"
"mayig_observed_parpola","S","S","P098","P020","1","M-87","anchor_pair_only_not_semantic"
"mayig_observed_parpola","S","S","P089","P125","1","M-40","anchor_pair_only_not_semantic"
"mayig_observed_parpola","S","S","P067","P076","1","M-153","anchor_pair_only_not_semantic"
"mayig_observed_parpola","S","S","P051","P258","1","M-57","anchor_pair_only_not_semantic"
"mayig_observed_parpola","S","S","P001","P023","1","M-71","anchor_pair_only_not_semantic"
"mayig_observed_parpola","S","M","P238","P194","1","M-127","anchor_pair_only_not_semantic"
"mayig_observed_parpola","S","M","P001","P325","1","M-160","anchor_pair_only_not_semantic"
"mayig_observed_parpola","S","M","P001","P230","1","M-119","anchor_pair_only_not_semantic"
"mayig_observed_parpola","S","I","P051","P217","1","M-147","anchor_pair_only_not_semantic"
"mayig_observed_parpola","S","D","P099","P378","1","M-108","anchor_pair_only_not_semantic"
"mayig_observed_parpola","S","D","P051","P378","1","M-54","anchor_pair_only_not_semantic"
"mayig_observed_parpola","M","S","P316","P270","1","M-8","anchor_pair_only_not_semantic"
"mayig_observed_parpola","M","S","P202","P160","1","M-59","anchor_pair_only_not_semantic"
"mayig_observed_parpola","M","S","P202","P035","1","M-13","anchor_pair_only_not_semantic"
"mayig_observed_parpola","M","S","P147","P294","1","M-139","anchor_pair_only_not_semantic"
"mayig_observed_parpola","M","S","P050","P393","1","M-151","anchor_pair_only_not_semantic"
"mayig_observed_parpola","I","S","P324","P253","1","M-92","anchor_pair_only_not_semantic"
"mayig_observed_parpola","I","S","P324","P156","1","M-113","anchor_pair_only_not_semantic"
"mayig_observed_parpola","I","S","P324","P226","1","M-78","anchor_pair_only_not_semantic"
"mayig_observed_parpola","I","M","P324","P123","1","M-94","anchor_pair_only_not_semantic"
"mayig_observed_parpola","I","M","P324","P060","1","M-89","anchor_pair_only_not_semantic"
"mayig_observed_parpola","I","M","P301","P230","1","M-63","anchor_pair_only_not_semantic"
"mayig_observed_parpola","I","M","P301","P058","1","M-88","anchor_pair_only_not_semantic"
"mayig_observed_parpola","I","M","P217","P316","1","M-122","anchor_pair_only_not_semantic"
"mayig_observed_parpola","I","M","P217","P205","1","M-183","anchor_pair_only_not_semantic"
"mayig_observed_parpola","I","M","P217","P092","1","M-37","anchor_pair_only_not_semantic"
"mayig_observed_parpola","I","M","P004","P073","1","M-97","anchor_pair_only_not_semantic"
"mayig_observed_parpola","I","D","P324","P086","1","M-82","anchor_pair_only_not_semantic"
"mayig_observed_parpola","D","T","P086","P256","1","M-171","anchor_pair_only_not_semantic"
"mayig_observed_parpola","D","S","P378","P346","1","M-16","anchor_pair_only_not_semantic"
"mayig_observed_parpola","D","S","P378","P065","1","M-6","anchor_pair_only_not_semantic"
"mayig_observed_parpola","D","S","P086","P355","1","M-172","anchor_pair_only_not_semantic"
"mayig_observed_parpola","D","S","P086","P342","1","M-95","anchor_pair_only_not_semantic"
"mayig_observed_parpola","D","S","P086","P232","1","M-17","anchor_pair_only_not_semantic"
"mayig_observed_parpola","D","S","P086","P180","1","M-83","anchor_pair_only_not_semantic"
"mayig_observed_parpola","D","S","P086","P076","1","M-115","anchor_pair_only_not_semantic"
"mayig_observed_parpola","D","M","P086","P230","1","M-158","anchor_pair_only_not_semantic"
"mayig_observed_parpola","D","M","P086","P154","1","M-48","anchor_pair_only_not_semantic"
"mayig_observed_parpola","D","M","P086","P126","1","M-178","anchor_pair_only_not_semantic"
"mayig_observed_parpola","D","M","P086","P123","1","M-179","anchor_pair_only_not_semantic"
"mayig_observed_parpola","I","M","P324","P154","1","M-84","anchor_pair_only_not_semantic"
"mayig_observed_parpola","I","M","P324","P210","1","M-29","anchor_pair_only_not_semantic"
"mayig_observed_parpola","I","M","P324","P230","1","M-149","anchor_pair_only_not_semantic"
"mayig_observed_parpola","I","M","P324","P316","1","M-128","anchor_pair_only_not_semantic"
"mayig_observed_parpola","I","S","P324","P221","1","M-140","anchor_pair_only_not_semantic"
"mayig_observed_parpola","S","T","P390","P256","1","M-134","anchor_pair_only_not_semantic"
"mayig_observed_parpola","I","S","P324","P125","1","M-138","anchor_pair_only_not_semantic"
"mayig_observed_parpola","I","S","P324","P108","1","M-12","anchor_pair_only_not_semantic"
"mayig_observed_parpola","I","S","P324","P103","1","M-34","anchor_pair_only_not_semantic"
"mayig_observed_parpola","I","S","P324","P075","1","M-121","anchor_pair_only_not_semantic"
"mayig_observed_parpola","I","S","P324","P071","1","M-107","anchor_pair_only_not_semantic"
"mayig_observed_parpola","I","S","P324","P041","1","M-33","anchor_pair_only_not_semantic"
"mayig_observed_parpola","I","S","P324","P038","1","M-99","anchor_pair_only_not_semantic"
"mayig_observed_parpola","I","S","P324","P032","1","M-130","anchor_pair_only_not_semantic"
"mayig_observed_parpola","I","S","P324","P231","1","M-148","anchor_pair_only_not_semantic"
"mayig_observed_parpola","I","S","P324","P007","1","M-35","anchor_pair_only_not_semantic"
"mayig_observed_parpola","I","S","P217","P310","1","M-86","anchor_pair_only_not_semantic"
"mayig_observed_parpola","I","S","P217","P293","1","M-129","anchor_pair_only_not_semantic"
"mayig_observed_parpola","I","S","P217","P289","1","M-65","anchor_pair_only_not_semantic"
"mayig_observed_parpola","I","S","P217","P265","1","M-154","anchor_pair_only_not_semantic"
"mayig_observed_parpola","I","S","P217","P207","1","M-181","anchor_pair_only_not_semantic"
"mayig_observed_parpola","I","S","P217","P124","1","M-64","anchor_pair_only_not_semantic"
"mayig_observed_parpola","I","S","P217","P070","1","M-85","anchor_pair_only_not_semantic"
"mayig_observed_parpola","I","S","P013","P226","1","M-136","anchor_pair_only_not_semantic"
"mayig_observed_parpola","I","S","P004","P124","1","M-96","anchor_pair_only_not_semantic"
"mayig_observed_parpola","I","S","P004","P043","1","M-93","anchor_pair_only_not_semantic"
"mayig_observed_parpola","I","S","P301","P110","1","M-133","anchor_pair_only_not_semantic"
"mayig_observed_parpola","W","S","P144","P327","1","M-9","anchor_pair_only_not_semantic"
"p385_merge_only","I","T","L740","P385","10","M-14;M-47;M-58;M-90;M-116;M-118;M-144;M-152;M-164;M-170","anchor_pair_only_not_semantic"
"p385_merge_only","I","D","L740","L820","3","M-31;M-157;M-174","anchor_pair_only_not_semantic"
"p385_merge_only","I","S","L740","L416","3","M-91;M-114;M-182","anchor_pair_only_not_semantic"
"p385_merge_only","I","T","L740","L692","3","M-5;M-69;M-146","anchor_pair_only_not_semantic"
"p385_merge_only","D","T","L390","P385","3","M-32;M-101;M-166","anchor_pair_only_not_semantic"
"p385_merge_only","I","T","L740","L140","2","M-51;M-109","anchor_pair_only_not_semantic"
"p385_merge_only","I","M","L740","L032","2","M-38;M-124","anchor_pair_only_not_semantic"
"p385_merge_only","I","W","L740","L920","2","M-84;M-113","anchor_pair_only_not_semantic"
"p385_merge_only","I","D","L520","L820","2","M-117;M-163","anchor_pair_only_not_semantic"
