"cisi_a","cisi_b","description_series_a","description_series_b","length_a","length_b","edit_distance","normalized_edit_distance","relation_type","shared_first_sign","shared_last_sign","same_edge_frame","same_class_pattern","class_pattern_a","class_pattern_b","diff_positions","diff_sign_pairs","sequence_a","sequence_b","review_status"
"M-177","M-32","V","III","4","4","0","0","exact_duplicate","True","True","True","True","DMMT","DMMT","","","P086 P123 P122 P385","P086 P123 P122 P385","formula_variant_pair_only_not_semantic"
"M-102","M-132","IV","IV","4","3","1","0.25","single_insertion_deletion","True","True","True","False","IMMS","IMS","","","P004 P123 P154 P226","P004 P123 P226","formula_variant_pair_only_not_semantic"
"M-122","M-135","IV","IV","3","4","1","0.25","single_insertion_deletion","True","False","False","False","IMM","IMMW","","","P217 P147 P316","P217 P147 P316 P144","formula_variant_pair_only_not_semantic"
"M-14","M-58","II","III","5","5","1","0.2","single_substitution_same_length","True","True","True","True","ISMMT","ISMMT","1","1:P117>P215","P324 P117 P210 P122 P385","P324 P215 P210 P122 P385","formula_variant_pair_only_not_semantic"
"M-150","M-180","IV","V","2","2","1","0.5","single_substitution_same_length","True","False","False","True","IS","IS","1","1:P368>P265","P324 P368","P324 P265","formula_variant_pair_only_not_semantic"
"M-150","M-182","IV","V","2","2","1","0.5","single_substitution_same_length","True","False","False","True","IS","IS","1","1:P368>P095","P324 P368","P324 P095","formula_variant_pair_only_not_semantic"
"M-178","M-179","V","V","2","2","1","0.5","single_substitution_same_length","True","False","False","True","DM","DM","1","1:P126>P123","P086 P126","P086 P123","formula_variant_pair_only_not_semantic"
"M-180","M-182","V","V","2","2","1","0.5","single_substitution_same_length","True","False","False","True","IS","IS","1","1:P265>P095","P324 P265","P324 P095","formula_variant_pair_only_not_semantic"
"M-100","M-15","IV","II","6","5","2","0.333333","two_edit_variant","True","True","True","False","IIMMMT","IIMMT","","","P013 P324 P073 P316 P122 P385","P013 P324 P194 P122 P385","formula_variant_pair_only_not_semantic"
"M-104","M-184","IV","V","5","4","2","0.4","two_edit_variant","True","True","True","False","IIMMS","IISS","","","P013 P324 P050 P060 P359","P013 P324 P010 P359","formula_variant_pair_only_not_semantic"
"M-121","M-157","IV","IV","5","7","2","0.285714","two_edit_variant","True","False","False","False","IMSMS","IMSMSMD","","","P324 P154 P355 P058 P075","P324 P154 P355 P058 P075 P121 P378","formula_variant_pair_only_not_semantic"
"M-124","M-174","IV","IV","4","6","2","0.333333","two_edit_variant","True","False","False","False","IMMM","IMMMMD","","","P324 P175 P050 P145","P324 P175 P050 P145 P122 P378","formula_variant_pair_only_not_semantic"
"M-132","M-179","IV","V","3","2","2","0.666667","two_edit_variant","False","False","False","False","IMS","DM","","","P004 P123 P226","P086 P123","formula_variant_pair_only_not_semantic"
"M-132","M-96","IV","IV","3","2","2","0.666667","two_edit_variant","True","False","False","False","IMS","IS","","","P004 P123 P226","P004 P124","formula_variant_pair_only_not_semantic"
"M-138","M-150","IV","IV","3","2","2","0.666667","two_edit_variant","True","False","False","False","IMS","IS","","","P324 P154 P125","P324 P368","formula_variant_pair_only_not_semantic"
"M-138","M-180","IV","V","3","2","2","0.666667","two_edit_variant","True","False","False","False","IMS","IS","","","P324 P154 P125","P324 P265","formula_variant_pair_only_not_semantic"
"M-138","M-182","IV","V","3","2","2","0.666667","two_edit_variant","True","False","False","False","IMS","IS","","","P324 P154 P125","P324 P095","formula_variant_pair_only_not_semantic"
"M-14","M-152","II","IV","5","4","2","0.4","two_edit_variant","True","True","True","False","ISMMT","ISMT","","","P324 P117 P210 P122 P385","P324 P096 P122 P385","formula_variant_pair_only_not_semantic"
