"public_figure","accession","excavation_unit","local_id","local_cisi","local_source_hook","local_text","local_condition","local_type"
"10.01","H94-2172","4346-01","544.1","H-2115","H94-2172Figure 20.d","+700-033+","Good","TAB:I"
"10.01","H94-2172","4346-01","544.2","H-2115","H94-2172Figure 20.d","+400-740-032-028+","Good","TAB:I"
"10.02","H95-2426","4429-01","640.1","H-2108","H95-2426Figure 27.02","+690-681+","Fair","TAB:I"
"10.02","H95-2426","4429-01","640.2","H-2108","H95-2426Figure 27.02","+400-740-032-014+","Fair","TAB:I"
"10.03","H94-2175","4999-02","546.1","H-2180","H94-2175Figure 20.e","+700[","Poor","TAB:I"
"10.03","H94-2175","4999-02","546.2","H-2180","H94-2175Figure 20.e","+242-636[","Poor","TAB:I"
"10.04","H94-2216","4357-02","566.1","H-2087","H94-2216","]000-000-000[","Poor","TAB:I"
"10.04","H94-2216","4357-02","566.2","H-2087","H94-2216","]000-000[","Poor","TAB:I"
"10.05","H94-2179","4357-01","549.1","H-2208","H94-2179Figure 27.04","+034-700+","Fair","TAB:I"
"10.05","H94-2179","4357-01","549.2","H-2208","H94-2179Figure 27.04","+400-740-032-027+","Fair","TAB:I"
"10.06","H95-2415","4426-01","630.1","H-2207","H95-2415Figure 27.05","+700-031-033+","Good","TAB:I"
"10.06","H95-2415","4426-01","630.2","H-2207","H95-2415Figure 27.05","+400-740-032-027+","Good","TAB:I"
"10.07","H95-2482","4419-05","659.1","H-2204","H95-2482Figure 27.06","+700-034+","Good","TAB:I"
"10.07","H95-2482","4419-05","659.2","H-2204","H95-2482Figure 27.06","+400-740-032-027+","Good","TAB:I"
"10.08","H95-2427","4614-24","641.1","H-2205","H95-2427Figure 25.05","]034+","Poor","TAB:I"
"10.08","H95-2427","4614-24","641.2","H-2205","H95-2427Figure 25.05","]740-032-027+","Poor","TAB:I"
"10.09","H95-2436","4430-10","647.1","H-2062","H95-2436Figure 27.07","+400-156-435-255+","Fair","TAB:I"
"10.09","H95-2436","4430-10","647.2","H-2062","H95-2436Figure 27.07","+868-705-590+","Fair","TAB:I"
"10.10","H95-2497","4417-31","671.1","H-2066","H95-2497Figure 27.08","+868-706-590+","Good","TAB:I"
"10.10","H95-2497","4417-31","671.2","H-2066","H95-2497Figure 27.08","+400-156-435-255+","Good","TAB:I"
"10.11","H95-2429","4429-27","643.1","H-2198","H95-2429Figure 29.07","+740-255-032+","Good","TAB:I"
"10.11","H95-2429","4429-27","643.2","H-2198","H95-2429Figure 29.07","+700-032+","Good","TAB:I"
"10.12","H94-2260","4387-01","574.1","H-2055","H94-2260Figure 30.07","+090-740-240-235+","Fair","TAB:I"
"10.13","H95-2489","4470-01","666.1","H-2054","H95-2489Figure 30.08","+090-740-240-235+","Good","TAB:I"
"10.14","H95-2417","4416-16","632.1","H-2193","H95-2417Figure 29.01","+590-032-220+","Poor","TAB:I"
"10.14","H95-2417","4416-16","632.2","H-2193","H95-2417Figure 29.01","+000-740-242-235+","Poor","TAB:I"
"10.15","H94-2320","4406-01","586.1","H-2194","H94-2320Figure 29.02","+590-032-220[","Poor","TAB:I"
"10.15","H94-2320","4406-01","586.2","H-2194","H94-2320Figure 29.02","]000-740-242-235+","Poor","TAB:I"
"10.16","H95-2490","4470-02","667.1","H-2196","H95-2490Figure 29.03","]000[","Poor","TAB:I"
"10.16","H95-2490","4470-02","667.2","H-2196","H95-2490Figure 29.03","]740[","Poor","TAB:I"
"10.17","H95-2514","4461-04","673.1","H-2147","H95-2514Figure 27.14","]110+","Poor","TAB:I"
"10.17","H95-2514","4461-04","673.2","H-2147","H95-2514Figure 27.14","]220-415+","Poor","TAB:I"
"10.18","H95-2437","4435-01","648.1","H-2106","H95-2437Figure 27.12","]034+","Poor","TAB:I"
"10.18","H95-2437","4435-01","648.2","H-2106","H95-2437Figure 27.12","]137+","Poor","TAB:I"
"10.19","H95-2428","4429-05","642.1","H-2105","H95-2428Figure 27.13","+137+","Poor","TAB:I"
"10.19","H95-2428","4429-05","642.2","H-2105","H95-2428Figure 27.13","+700-034+","Poor","TAB:I"
"10.20","H94-2323","4402-01","589.1","H-2128","H94-2323Figure 29.06","+455-590-142-220+","Good","TAB:I"
"10.20","H94-2323","4402-01","589.2","H-2128","H94-2323Figure 29.06","+504-350-741-060-920+","Good","TAB:I"
"10.21","H95-2614","6560-02","694.1","H-2187","H95-2614Figure 30.14","+740-032-840+","Fair","TAB:I"
