"checked_date","route_type","query_or_source","url","target_objects","target_harp_ids","result_class","source_grade_image_hit","catalog_note_hit","object_level_hit","stored_evidence","admissible_use","non_admissible_use","accepted_decipherment_claim"
"2026-05-25","exact_harp_id_search","""H96-3125/6937-16"" OR ""H96-3125"" ""6937-16""","https://www.harappa.com/sites/default/files/pdf/Kenoyer2000_The%20Tiny%20Steatite%20Seals%20of%20Harappa.pdf","H-2237","H96-3125/6937-16","source_anchor_existing","0","1","0","Meadow and Kenoyer 2000 Fig. 4 legend anchors item 17 to H96-3125/6937-16 in manufacturing group 3.","Object identity, Fig. 4 number, HARP ID, group-3 source targeting.","Segmentation-grade sign identity, diagnostic stroke visibility, side role, function, reading, or translation.","0"
"2026-05-25","exact_harp_id_search","""H95-2613/6560-01"" OR ""H95-2613"" ""6560-01""","https://www.harappa.com/sites/default/files/pdf/Kenoyer2000_The%20Tiny%20Steatite%20Seals%20of%20Harappa.pdf","H-2238","H95-2613/6560-01","source_anchor_existing","0","1","0","Meadow and Kenoyer 2000 Fig. 4 legend anchors item 18 to H95-2613/6560-01 in manufacturing group 3.","Object identity, Fig. 4 number, HARP ID, group-3 source targeting.","Segmentation-grade sign identity, diagnostic stroke visibility, side role, function, reading, or translation.","0"
"2026-05-25","exact_harp_id_search","""H97-3311/8040-10"" OR ""H97-3311"" ""8040-10""","https://www.harappa.com/sites/default/files/pdf/Kenoyer2000_The%20Tiny%20Steatite%20Seals%20of%20Harappa.pdf","H-2230","H97-3311/8040-10","source_anchor_existing","0","1","0","Meadow and Kenoyer 2000 Fig. 4 legend anchors item 19 to H97-3311/8040-10 in manufacturing group 3.","Object identity, Fig. 4 number, HARP ID, group-3 source targeting.","Segmentation-grade sign identity, diagnostic stroke visibility, side role, function, reading, or translation.","0"
"2026-05-25","exact_harp_id_search","""H97-3341/8039-10"" OR ""H97-3341"" ""8039-10""","https://www.harappa.com/sites/default/files/pdf/Kenoyer2000_The%20Tiny%20Steatite%20Seals%20of%20Harappa.pdf","H-2233","H97-3341/8039-10","source_anchor_existing","0","1","0","Meadow and Kenoyer 2000 Fig. 4 legend anchors item 20 to H97-3341/8039-10 in manufacturing group 3.","Object identity, Fig. 4 number, HARP ID, group-3 source targeting.","Segmentation-grade sign identity, diagnostic stroke visibility, side role, function, reading, or translation.","0"
"2026-05-25","harappa_article_page","The Tiny Steatite Seals of Harappa page","https://www.harappa.com/content/tiny-steatite-seals-harappa","H-2218-H-2239","H96-3125/6937-16;H95-2613/6560-01;H97-3311/8040-10;H97-3341/8039-10","source_page_to_pdf","0","1","0","Harappa page names the article and links the Meadow/Kenoyer 2000 PDF; page text frames the HARP re-investigation context.","Source-page provenance and route to the public PDF.","Object-level image validation or any reading.","0"
"2026-05-25","harappa_pdf_method_control","Meadow and Kenoyer 2000 Fig. 4 discussion","https://www.harappa.com/sites/default/files/pdf/Kenoyer2000_The%20Tiny%20Steatite%20Seals%20of%20Harappa.pdf","H-2218-H-2239","H96-3125/6937-16;H95-2613/6560-01;H97-3311/8040-10;H97-3341/8039-10","workshop_context_control","0","1","0","The article reports the 22 same-inscription tablets, three manufacturing groups, sequence/orientation variation, and multiple engravers; group 3 contains the four target/control objects.","Workshop/batch/template confound control and exact source wording for requests.","Treating group-3 clustering as a sign-function proof.","0"
"2026-05-25","harappa_pdf_context_route","Kenoyer and Meadow 2010 Inscribed Objects from Harappa Excavations 1986-2007","https://www.harappa.com/sites/default/files/pdf/KenoyerMeadow%202010%20Inscribed%20Objects%20from%20Harappa.pdf","H-2218-H-2239","H96-3125/6937-16;H95-2613/6560-01;H97-3311/8040-10;H97-3341/8039-10","catalog_context_route","0","1","0","The paper identifies the 22 objects as rectangular steatite tablets, triangular in section, from Period 3B secondary deposits outside the Trench 11 perimeter wall, and says tablet use remains unresolved.","Archaeological context, object-series identity, copy/duplicate caution, and unanswered-use boundary.","Side-role equivalence, sign meaning, function, or translation.","0"
"2026-05-25","cisi31_excerpt_route","Kenoyer-Meadow 2010 HARP / CISI 3.1 excerpt","https://www.harappa.com/sites/default/files/pdf/Kenoyer-Meadow-2010-HARP.pdf","H-2218-H-2239","H96-3125/6937-16;H95-2613/6560-01;H97-3311/8040-10;H97-3341/8039-10","cisi31_contents_and_harp_id_route","0","1","0","The excerpt exposes CISI 3.1 contents: Harappa HARP excavations H-1521 to H-2583, basic data for illustrated objects, and HARP ID conventions linking registration numbers, excavation units, and item numbers.","Precise CISI 3.1/end-matter target and HARP ID parsing for the request.","Using the excerpt as plate-level validation for the four target objects.","0"
"2026-05-25","cisi31_bibliographic_route","Harappa.com CISI 3.1 bibliographic page","https://www.harappa.com/content/corpus-indus-seals-and-inscriptions-vol-31","H-2218-H-2239","H96-3125/6937-16;H95-2613/6560-01;H97-3311/8040-10;H97-3341/8039-10","cisi31_catalog_route","0","1","0","Harappa page identifies CISI 3.1 as the Mohenjo-daro/Harappa volume with photographs, line drawings, and tablets, edited by Parpola, Pande, and Koskikallio with Meadow and Kenoyer collaboration.","Primary book/plate acquisition route for HARP Harappa objects.","Assuming the public page itself contains target object plates.","0"
"2026-05-25","cisi31_bibliographic_route","University of Helsinki CISI 3.1 record","https://researchportal.helsinki.fi/en/publications/corpus-of-indus-seals-and-inscriptions-volume-3-new-material-untr/","H-2218-H-2239","H96-3125/6937-16;H95-2613/6560-01;H97-3311/8040-10;H97-3341/8039-10","cisi31_catalog_route","0","1","0","University of Helsinki record gives peer-reviewed book identity, 2010 publication, 504 pages, publisher, series no. 359, and ISBN 978-951-41-1040-5.","Citation control and library request identity.","Object-level validation or reading.","0"
"2026-05-25","cisi31_purchase_route","Finnish Academy / Tiedeakatemia CISI publication page","https://acadsci.fi/en/publications/the-corpus-of-indus-seals-and-inscriptions-3-2-humaniora-383-has-been-published/","H-2218-H-2239","H96-3125/6937-16;H95-2613/6560-01;H97-3311/8040-10;H97-3341/8039-10","cisi31_catalog_and_purchase_route","0","1","0","Finnish Academy page states CISI 3.1 has 3761 b/w photographs, 125 colour photographs, 154 line drawings, and 2 tables; it also lists the hardbound volume as available via Tiedekirja.","Evidence that CISI 3.1 is likely the source-grade image route and can be acquired through book purchase/library routes.","Claim that any specific target object plate was inspected.","0"
"2026-05-25","library_holdings_route","Finna library record for CISI 3.1","https://www.finna.fi/Record/luc.992964283806246?lng=en-gb","H-2218-H-2239","H96-3125/6937-16;H95-2613/6560-01;H97-3311/8040-10;H97-3341/8039-10","library_holdings_route","0","1","0","Finna records the hardcover, physical description, ISBN, publisher/distributor, and holdings supplied by nine Finnish libraries.","Library-access route and bibliographic confirmation.","Source image validation from the catalog record alone.","0"
"2026-05-25","image_request_route","Harappa image rights page","https://www.harappa.com/indus-image-rights","H-2237;H-2238;H-2230;H-2233","H96-3125/6937-16;H95-2613/6560-01;H97-3311/8040-10;H97-3341/8039-10","direct_image_request_route","0","0","0","Harappa image-rights page says non-commercial scholarly works are usually free and routes image inquiries through contact.","Immediate direct request route for exact HARP object images and all-side labels.","Assuming permission, availability, or plate content before response.","0"
"2026-05-25","negative_public_image_control","Harappa Q&A on whether all Indus seal images are freely downloadable","https://www.harappa.com/answers/are-all-images-indus-seals-available-web-free-download","H-2218-H-2239","H96-3125/6937-16;H95-2613/6560-01;H97-3311/8040-10;H97-3341/8039-10","negative_public_web_control","0","0","0","Harappa Q&A says most seal images are in CISI book volumes rather than freely downloadable on the web.","Explains why public web searches are not expected to replace CISI/HARP access.","Claim that the images do not exist or cannot be acquired.","0"
"2026-05-25","archive_search","site:archive.org exact HARP ID searches for H96-3125, H95-2613, H97-3311, H97-3341","https://archive.org","H-2237;H-2238;H-2230;H-2233","H96-3125/6937-16;H95-2613/6560-01;H97-3311/8040-10;H97-3341/8039-10","no_archive_target_hit","0","0","0","Exact archive.org-targeted searches produced no target-object hits for the four HARP IDs in the checked public layer.","Bounded negative public/archive search result.","General claim that no archive scan or institutional source exists.","0"
"2026-05-25","site_search","site:harappa.com exact HARP ID searches for H96-3125, H95-2613, H97-3311, H97-3341","https://www.harappa.com","H-2237;H-2238;H-2230;H-2233","H96-3125/6937-16;H95-2613/6560-01;H97-3311/8040-10;H97-3341/8039-10","no_object_level_page_hit","0","0","0","Harappa-targeted exact searches route back to general Harappa/CISI/Meadow-Kenoyer material, not object-level public plates for these four objects.","Bounded negative object-level public-source result.","Claim that Harappa/HARP lacks the images.","0"
"2026-05-25","broad_web_search","""H-2237"" ""H-2238"" ""H-2230"" ""H-2233"" and per-object H-number searches","https://www.google.com/search?q=%22H-2237%22+%22H-2238%22+%22H-2230%22+%22H-2233%22","H-2237;H-2238;H-2230;H-2233","H96-3125/6937-16;H95-2613/6560-01;H97-3311/8040-10;H97-3341/8039-10","off_target_or_text_only","0","0","0","Broad H-number searches were dominated by off-target product/legal pages; relevant hits resolved back to Meadow/Kenoyer text routes, not target object images.","Negative public-search evidence for this checked layer.","Universal source-absence claim.","0"
"2026-05-25","tiedekirja_direct_fetch","Tiedekirja CISI 3.1 product page direct open","https://tiedekirja.fi/en/corpus-of-indus-seals-and-inscriptions-3-1","H-2218-H-2239","H96-3125/6937-16;H95-2613/6560-01;H97-3311/8040-10;H97-3341/8039-10","direct_fetch_blocked_catalog_route","0","0","0","Search result exposed the current product route, but direct open hit an Anubis proof-of-work challenge; Finnish Academy page independently confirms Tiedekirja as distributor route.","Manual browser, library, or purchase route remains live.","Automated fetch success or object-level source validation.","0"
