"checked_date","probe","query_or_source","url","target_objects","result_class","stored_evidence","source_grade_image_hit","object_level_public_image_hit","admissible_use","non_admissible_use"
"2026-05-25","exact_h_number_bundle_search","""H-2237"" ""H-2238"" ""H-2233"" ""H-2230""","","H-2237;H-2238;H-2233;H-2230","off_target_search_results","Generic H-number search results were dominated by non-IVC pages; no object-level public image lead for the four minimal-contrast objects was found.","0","0","negative public-source evidence for this query","any claim about sign segmentation, side order, or reading"
"2026-05-25","exact_harp_id_search","""H96-3125"" ""6937-16""","https://www.harappa.com/sites/default/files/pdf/Kenoyer2000_The%20Tiny%20Steatite%20Seals%20of%20Harappa.pdf","H-2237","source_anchor_hit","Harappa PDF / Meadow and Kenoyer 2000 Fig. 4 legend lists no. 17 as H96-3125/6937-16 inside manufacturing group 3.","0","0","object identity and figure/source targeting","segmentation-grade validation or reading"
"2026-05-25","exact_harp_id_search","""H95-2613"" ""6560-01""","https://www.harappa.com/sites/default/files/pdf/Kenoyer2000_The%20Tiny%20Steatite%20Seals%20of%20Harappa.pdf","H-2238","source_anchor_hit","Harappa PDF / Meadow and Kenoyer 2000 Fig. 4 legend lists no. 18 as H95-2613/6560-01 inside manufacturing group 3.","0","0","object identity and figure/source targeting","segmentation-grade validation or reading"
"2026-05-25","exact_harp_id_search","""H97-3311"" ""8040-10""","https://www.harappa.com/sites/default/files/pdf/Kenoyer2000_The%20Tiny%20Steatite%20Seals%20of%20Harappa.pdf","H-2230","source_anchor_hit","Harappa PDF / Meadow and Kenoyer 2000 Fig. 4 legend lists no. 19 as H97-3311/8040-10 inside manufacturing group 3.","0","0","object identity and figure/source targeting","segmentation-grade validation or reading"
"2026-05-25","exact_harp_id_search","""H97-3341"" ""8039-10""","https://www.harappa.com/sites/default/files/pdf/Kenoyer2000_The%20Tiny%20Steatite%20Seals%20of%20Harappa.pdf","H-2233","source_anchor_hit","Harappa PDF / Meadow and Kenoyer 2000 Fig. 4 legend lists no. 20 as H97-3341/8039-10 inside manufacturing group 3.","0","0","object identity and figure/source targeting","segmentation-grade validation or reading"
"2026-05-25","harappa_pdf_method_control","Meadow and Kenoyer 2000 surrounding Fig. 4 discussion","https://www.harappa.com/sites/default/files/pdf/Kenoyer2000_The%20Tiny%20Steatite%20Seals%20of%20Harappa.pdf","H-2218-H-2239","source_method_pressure","The source reports three manufacturing groups, microscopic mold observations about engraving process, multiple engravers, and likely contemporary/nearly contemporary deposition. This strengthens workshop/group controls for H-2237/H-2238.","0","0","manufacturing/workshop/context control","sign value, function, or translation"
"2026-05-25","harappa_exact_search","""H-2237"" ""Harappa""","","H-2237","no_relevant_public_object_image_hit","Search did not return a relevant object-level public image lead for H-2237; exact HARP ID routes back to Meadow/Kenoyer Fig. 4 source anchor.","0","0","negative public-source evidence for H-2237","claim that no source image exists anywhere"
"2026-05-25","harappa_exact_search","""H-2238"" ""Harappa""","","H-2238","no_relevant_public_object_image_hit","Search did not return a relevant object-level public image lead for H-2238; exact HARP ID routes back to Meadow/Kenoyer Fig. 4 source anchor.","0","0","negative public-source evidence for H-2238","claim that no source image exists anywhere"
"2026-05-25","prior_rss_blog_scope_reused","checked RSS/blog pages from h2218_h2239_public_image_lead_search","data/open_prototype/reports/h2218_h2239_public_image_lead_search.csv","H-2230;H-2233;H-2237;H-2238","source_dark_in_checked_mirrors","Prior series-level public image-lead search found object-level A/B/C image URLs only for H-2219, not for H-2230, H-2233, H-2237, or H-2238.","0","0","negative evidence for checked claim-heavy mirror pages","general web absence claim"
"2026-05-25","direct_shell_pdf_fetch_check","curl Harappa PDF with browser user-agent","https://www.harappa.com/sites/default/files/pdf/Kenoyer2000_The%20Tiny%20Steatite%20Seals%20of%20Harappa.pdf","H-2218-H-2239","direct_fetch_blocked_by_cloudflare_html","Direct shell fetch returned a small Cloudflare HTML page, not the PDF; no local PDF/image artifact was kept. Web-opened PDF text was usable for source anchoring.","0","0","access-route documentation","source validation or image extraction"
