"public_label","cisi_candidate","side_letter","source_page_url","nearest_image_url","label_context","source_tier","admissible_use","non_admissible_use"
"h2219A","H-2219","A","https://bharatkalyan1.rssing.com/chan-6237423/all_p220.html","https://2.bp.blogspot.com/-5mD7if-CTPo/Tt8Rk9vZGEI/AAAAAAAAQxw/PJeXbXwAw5Y/s320/h2219A.jpg","h2219A image URL found near h2219A side label on source page","T4 image lead only","source discovery and plate request targeting","sign segmentation, allography, side orientation, numerical value, metrological reading, sign meaning, phonetic value, language identity, translation, or acceptance of secondary decipherment claims"
"h2219A","H-2219","A","https://bharatkalyan1.rssing.com/chan-6237423/all_p276.html","https://2.bp.blogspot.com/-5mD7if-CTPo/Tt8Rk9vZGEI/AAAAAAAAQxw/PJeXbXwAw5Y/s320/h2219A.jpg","h2219A image URL found near h2219A side label on source page","T4 image lead only","source discovery and plate request targeting","sign segmentation, allography, side orientation, numerical value, metrological reading, sign meaning, phonetic value, language identity, translation, or acceptance of secondary decipherment claims"
"h2219A","H-2219","A","https://bharatkalyan1.rssing.com/chan-6237423/all_p304.html","https://2.bp.blogspot.com/-5mD7if-CTPo/Tt8Rk9vZGEI/AAAAAAAAQxw/PJeXbXwAw5Y/s320/h2219A.jpg","h2219A image URL found near h2219A side label on source page","T4 image lead only","source discovery and plate request targeting","sign segmentation, allography, side orientation, numerical value, metrological reading, sign meaning, phonetic value, language identity, translation, or acceptance of secondary decipherment claims"
"h2219A","H-2219","A","https://bharatkalyan1.rssing.com/chan-6237423/all_p305.html","https://2.bp.blogspot.com/-5mD7if-CTPo/Tt8Rk9vZGEI/AAAAAAAAQxw/PJeXbXwAw5Y/s320/h2219A.jpg","h2219A image URL found near h2219A side label on source page","T4 image lead only","source discovery and plate request targeting","sign segmentation, allography, side orientation, numerical value, metrological reading, sign meaning, phonetic value, language identity, translation, or acceptance of secondary decipherment claims"
"h2219B","H-2219","B","https://bharatkalyan1.rssing.com/chan-6237423/all_p220.html","https://1.bp.blogspot.com/-0w5Y4gq5OME/Tt8Ru7tYzWI/AAAAAAAAQx8/3AvnFVQ-PhU/s320/h2219B.jpg","h2219B image URL found near h2219B side label on source page","T4 image lead only","source discovery and plate request targeting","sign segmentation, allography, side orientation, numerical value, metrological reading, sign meaning, phonetic value, language identity, translation, or acceptance of secondary decipherment claims"
"h2219B","H-2219","B","https://bharatkalyan1.rssing.com/chan-6237423/all_p276.html","https://1.bp.blogspot.com/-0w5Y4gq5OME/Tt8Ru7tYzWI/AAAAAAAAQx8/3AvnFVQ-PhU/s320/h2219B.jpg","h2219B image URL found near h2219B side label on source page","T4 image lead only","source discovery and plate request targeting","sign segmentation, allography, side orientation, numerical value, metrological reading, sign meaning, phonetic value, language identity, translation, or acceptance of secondary decipherment claims"
"h2219B","H-2219","B","https://bharatkalyan1.rssing.com/chan-6237423/all_p304.html","https://1.bp.blogspot.com/-0w5Y4gq5OME/Tt8Ru7tYzWI/AAAAAAAAQx8/3AvnFVQ-PhU/s320/h2219B.jpg","h2219B image URL found near h2219B side label on source page","T4 image lead only","source discovery and plate request targeting","sign segmentation, allography, side orientation, numerical value, metrological reading, sign meaning, phonetic value, language identity, translation, or acceptance of secondary decipherment claims"
"h2219B","H-2219","B","https://bharatkalyan1.rssing.com/chan-6237423/all_p305.html","https://1.bp.blogspot.com/-0w5Y4gq5OME/Tt8Ru7tYzWI/AAAAAAAAQx8/3AvnFVQ-PhU/s320/h2219B.jpg","h2219B image URL found near h2219B side label on source page","T4 image lead only","source discovery and plate request targeting","sign segmentation, allography, side orientation, numerical value, metrological reading, sign meaning, phonetic value, language identity, translation, or acceptance of secondary decipherment claims"
"h2219C","H-2219","C","https://bharatkalyan1.rssing.com/chan-6237423/all_p220.html","https://1.bp.blogspot.com/--7ViRdbqZ64/Tt8R6hPRBOI/AAAAAAAAQyI/-FLYOn7JyHg/s320/h2219C.jpg","h2219C image URL found near h2219C side label on source page","T4 image lead only","source discovery and plate request targeting","sign segmentation, allography, side orientation, numerical value, metrological reading, sign meaning, phonetic value, language identity, translation, or acceptance of secondary decipherment claims"
"h2219C","H-2219","C","https://bharatkalyan1.rssing.com/chan-6237423/all_p276.html","https://1.bp.blogspot.com/--7ViRdbqZ64/Tt8R6hPRBOI/AAAAAAAAQyI/-FLYOn7JyHg/s320/h2219C.jpg","h2219C image URL found near h2219C side label on source page","T4 image lead only","source discovery and plate request targeting","sign segmentation, allography, side orientation, numerical value, metrological reading, sign meaning, phonetic value, language identity, translation, or acceptance of secondary decipherment claims"
"h2219C","H-2219","C","https://bharatkalyan1.rssing.com/chan-6237423/all_p304.html","https://1.bp.blogspot.com/--7ViRdbqZ64/Tt8R6hPRBOI/AAAAAAAAQyI/-FLYOn7JyHg/s320/h2219C.jpg","h2219C image URL found near h2219C side label on source page","T4 image lead only","source discovery and plate request targeting","sign segmentation, allography, side orientation, numerical value, metrological reading, sign meaning, phonetic value, language identity, translation, or acceptance of secondary decipherment claims"
"h2219C","H-2219","C","https://bharatkalyan1.rssing.com/chan-6237423/all_p305.html","https://1.bp.blogspot.com/--7ViRdbqZ64/Tt8R6hPRBOI/AAAAAAAAQyI/-FLYOn7JyHg/s320/h2219C.jpg","h2219C image URL found near h2219C side label on source page","T4 image lead only","source discovery and plate request targeting","sign segmentation, allography, side orientation, numerical value, metrological reading, sign meaning, phonetic value, language identity, translation, or acceptance of secondary decipherment claims"
