"tokenization","scope","control","iteration","rows","tokens","unique_tokens","exact_sequence_groups","exact_duplicate_groups","exact_duplicate_rows","top_sequence_count","collapsed_rows","stored_higher_share","frequency_top1_accuracy","position_top1_accuracy","length_position_top1_accuracy","bidirectional_top1_accuracy","bidirectional_top5_accuracy"
"sign_tokens","real_series_d_513_all_lengths","observed","observed","513","4202","100","490","17","40","5","490","0.995918","0.09917","0.127504","0.170738","0.4702","0.746458"
"sign_tokens","real_series_d_513_all_lengths","length_frequency_shuffle","1","513","4202","100","513","0","0","1","513","0.516569","0.101618","0.099952","0.081152","0.094479","0.26654"
"sign_tokens","real_series_d_513_all_lengths","length_frequency_shuffle","2","513","4202","100","513","0","0","1","513","0.54191","0.101618","0.099238","0.076154","0.091385","0.277487"
"sign_tokens","real_series_d_513_all_lengths","length_frequency_shuffle","3","513","4202","100","513","0","0","1","513","0.489279","0.101618","0.102094","0.07544","0.091861","0.26773"
"sign_tokens","real_series_d_513_all_lengths","length_frequency_shuffle","4","513","4202","100","512","1","2","2","512","0.525391","0.101691","0.101453","0.06954","0.090498","0.276494"
"sign_tokens","real_series_d_513_all_lengths","length_frequency_shuffle","5","513","4202","100","513","0","0","1","513","0.432749","0.101618","0.095907","0.062351","0.090671","0.270347"
"sign_tokens","real_series_d_513_all_lengths","length_frequency_shuffle","6","513","4202","100","513","0","0","1","513","0.536062","0.101618","0.100904","0.067825","0.097335","0.274631"
"sign_tokens","real_series_d_513_all_lengths","length_frequency_shuffle","7","513","4202","100","513","0","0","1","513","0.493177","0.101618","0.101142","0.072822","0.095193","0.275821"
"sign_tokens","real_series_d_513_all_lengths","length_frequency_shuffle","8","513","4202","100","513","0","0","1","513","0.500975","0.101618","0.097811","0.072584","0.098049","0.275583"
"sign_tokens","real_series_d_513_all_lengths","length_frequency_shuffle","9","513","4202","100","513","0","0","1","513","0.493177","0.101618","0.10019","0.067111","0.094717","0.286292"
"sign_tokens","real_series_d_513_all_lengths","length_frequency_shuffle","10","513","4202","100","513","0","0","1","513","0.463938","0.101618","0.101856","0.069491","0.097335","0.271061"
"sign_tokens","real_series_d_513_all_lengths","length_frequency_shuffle","11","513","4202","100","513","0","0","1","513","0.499025","0.101618","0.094479","0.073298","0.092813","0.270109"
"sign_tokens","real_series_d_513_all_lengths","length_frequency_shuffle","12","513","4202","100","513","0","0","1","513","0.471735","0.101618","0.096621","0.079962","0.092575","0.279391"
"sign_tokens","real_series_d_513_all_lengths","length_frequency_shuffle","13","513","4202","100","513","0","0","1","513","0.45809","0.101618","0.095193","0.086863","0.090195","0.26773"
"sign_tokens","real_series_d_513_all_lengths","length_frequency_shuffle","14","513","4202","100","513","0","0","1","513","0.532164","0.101618","0.10019","0.075678","0.091147","0.276297"
"sign_tokens","real_series_d_513_all_lengths","length_frequency_shuffle","15","513","4202","100","513","0","0","1","513","0.508772","0.101618","0.098762","0.07544","0.087339","0.280343"
"sign_tokens","real_series_d_513_all_lengths","length_frequency_shuffle","16","513","4202","100","513","0","0","1","513","0.522417","0.101618","0.095669","0.066635","0.090433","0.277963"
"sign_tokens","real_series_d_513_all_lengths","length_frequency_shuffle","17","513","4202","100","513","0","0","1","513","0.536062","0.101618","0.10019","0.063779","0.091623","0.269634"
"sign_tokens","real_series_d_513_all_lengths","length_frequency_shuffle","18","513","4202","100","513","0","0","1","513","0.510721","0.101618","0.10138","0.076154","0.093765","0.283674"
"sign_tokens","real_series_d_513_all_lengths","length_frequency_shuffle","19","513","4202","100","513","0","0","1","513","0.508772","0.101618","0.099952","0.065683","0.094717","0.269396"
"sign_tokens","real_series_d_513_all_lengths","length_frequency_shuffle","20","513","4202","100","513","0","0","1","513","0.516569","0.101618","0.097097","0.070919","0.093289","0.276773"
"sign_tokens","real_series_d_513_all_lengths","length_frequency_shuffle","21","513","4202","100","513","0","0","1","513","0.440546","0.101618","0.10257","0.074964","0.089481","0.269158"
"sign_tokens","real_series_d_513_all_lengths","length_frequency_shuffle","22","513","4202","100","513","0","0","1","513","0.506823","0.101618","0.101142","0.059495","0.093051","0.277487"
"sign_tokens","real_series_d_513_all_lengths","length_frequency_shuffle","23","513","4202","100","513","0","0","1","513","0.487329","0.101618","0.096859","0.073298","0.091147","0.26773"
"sign_tokens","real_series_d_513_all_lengths","length_frequency_shuffle","24","513","4202","100","513","0","0","1","513","0.481481","0.101618","0.100666","0.071395","0.092813","0.271299"
"sign_tokens","real_series_d_513_all_lengths","length_frequency_shuffle","25","513","4202","100","513","0","0","1","513","0.51462","0.101618","0.103522","0.074726","0.096383","0.270823"
"sign_tokens","real_series_d_513_all_lengths","length_frequency_shuffle","26","513","4202","100","513","0","0","1","513","0.475634","0.101618","0.101618","0.072822","0.093527","0.270823"
"sign_tokens","real_series_d_513_all_lengths","length_frequency_shuffle","27","513","4202","100","513","0","0","1","513","0.475634","0.101618","0.100428","0.064969","0.096145","0.272727"
"sign_tokens","real_series_d_513_all_lengths","length_frequency_shuffle","28","513","4202","100","513","0","0","1","513","0.512671","0.101618","0.10138","0.067111","0.090195","0.276297"
"sign_tokens","real_series_d_513_all_lengths","length_frequency_shuffle","29","513","4202","100","513","0","0","1","513","0.493177","0.101618","0.100666","0.062351","0.093765","0.266064"
"sign_tokens","real_series_d_513_all_lengths","length_frequency_shuffle","30","513","4202","100","513","0","0","1","513","0.536062","0.101618","0.099238","0.088529","0.097335","0.277963"
"sign_tokens","real_series_d_513_all_lengths","length_frequency_shuffle","31","513","4202","100","513","0","0","1","513","0.499025","0.101618","0.099952","0.075678","0.090195","0.272727"
"sign_tokens","real_series_d_513_all_lengths","length_frequency_shuffle","32","513","4202","100","513","0","0","1","513","0.530214","0.101618","0.100666","0.067349","0.091861","0.276297"
"sign_tokens","real_series_d_513_all_lengths","length_frequency_shuffle","33","513","4202","100","513","0","0","1","513","0.471735","0.101618","0.096145","0.069253","0.093527","0.274155"
"sign_tokens","real_series_d_513_all_lengths","length_frequency_shuffle","34","513","4202","100","513","0","0","1","513","0.512671","0.101618","0.101142","0.066159","0.096621","0.279867"
"sign_tokens","real_series_d_513_all_lengths","length_frequency_shuffle","35","513","4202","100","513","0","0","1","513","0.518519","0.101618","0.103046","0.070205","0.094003","0.284388"
"sign_tokens","real_series_d_513_all_lengths","length_frequency_shuffle","36","513","4202","100","513","0","0","1","513","0.469786","0.101618","0.097335","0.069253","0.091861","0.278201"
"sign_tokens","real_series_d_513_all_lengths","length_frequency_shuffle","37","513","4202","100","513","0","0","1","513","0.545809","0.101618","0.097573","0.071871","0.089957","0.276535"
"sign_tokens","real_series_d_513_all_lengths","length_frequency_shuffle","38","513","4202","100","513","0","0","1","513","0.500975","0.101618","0.098525","0.064969","0.093765","0.278201"
"sign_tokens","real_series_d_513_all_lengths","length_frequency_shuffle","39","513","4202","100","513","0","0","1","513","0.522417","0.101618","0.101856","0.066635","0.093765","0.277011"
"sign_tokens","real_series_d_513_all_lengths","length_frequency_shuffle","40","513","4202","100","513","0","0","1","513","0.475634","0.101618","0.094717","0.079962","0.093527","0.262256"
