"tokenization","scope","length","rows"
"sign_tokens","real_series_d_513_all_lengths","2","3"
"sign_tokens","real_series_d_513_all_lengths","3","30"
"sign_tokens","real_series_d_513_all_lengths","4","39"
"sign_tokens","real_series_d_513_all_lengths","5","20"
"sign_tokens","real_series_d_513_all_lengths","6","49"
"sign_tokens","real_series_d_513_all_lengths","7","72"
"sign_tokens","real_series_d_513_all_lengths","8","86"
"sign_tokens","real_series_d_513_all_lengths","9","63"
"sign_tokens","real_series_d_513_all_lengths","10","40"
"sign_tokens","real_series_d_513_all_lengths","11","40"
"sign_tokens","real_series_d_513_all_lengths","12","23"
"sign_tokens","real_series_d_513_all_lengths","13","19"
"sign_tokens","real_series_d_513_all_lengths","14","15"
"sign_tokens","real_series_d_513_all_lengths","15","7"
"sign_tokens","real_series_d_513_all_lengths","16","3"
"sign_tokens","real_series_d_513_all_lengths","17","3"
"sign_tokens","real_series_d_513_all_lengths","20","1"
"sign_tokens","real_series_d_513_ivc_p95_length_cap","2","3"
"sign_tokens","real_series_d_513_ivc_p95_length_cap","3","30"
"sign_tokens","real_series_d_513_ivc_p95_length_cap","4","39"
"sign_tokens","real_series_d_513_ivc_p95_length_cap","5","20"
"sign_tokens","real_series_d_513_ivc_p95_length_cap","6","49"
"sign_tokens","real_series_d_513_ivc_p95_length_cap","7","72"
"sign_tokens","real_series_d_513_ivc_p95_length_cap","8","86"
"word_tokens","real_series_d_513_all_lengths","1","28"
"word_tokens","real_series_d_513_all_lengths","2","76"
"word_tokens","real_series_d_513_all_lengths","3","112"
"word_tokens","real_series_d_513_all_lengths","4","134"
"word_tokens","real_series_d_513_all_lengths","5","119"
"word_tokens","real_series_d_513_all_lengths","6","33"
"word_tokens","real_series_d_513_all_lengths","7","6"
"word_tokens","real_series_d_513_all_lengths","8","4"
"word_tokens","real_series_d_513_all_lengths","9","1"
"word_tokens","real_series_d_513_ivc_p95_length_cap","1","28"
"word_tokens","real_series_d_513_ivc_p95_length_cap","2","73"
"word_tokens","real_series_d_513_ivc_p95_length_cap","3","101"
"word_tokens","real_series_d_513_ivc_p95_length_cap","4","70"
"word_tokens","real_series_d_513_ivc_p95_length_cap","5","26"
"word_tokens","real_series_d_513_ivc_p95_length_cap","6","1"
