"date","blind_id","object","local_text","source_label_or_side","role_keyed","source_crop_path","neutral_crop_path","neutral_width","neutral_height","neutral_sha256","crop_mode","note","accepted_claim"
"2026-05-26","C001","M-1206","+520-220-034+","A+E","034_target","tmp/m1206_terminal_triad_source_recheck/derived/m1206_AE_signband_v2.png","tmp/m1206_034_cohesion_gate/derived/C001.png","1180","380","9558f0837d44c3cdbce74f369512c0e176362d192b650c05a14862882f1f1352","full","M1206 A+E terminal target signband, composite label warning","0"
"2026-05-26","C002","M-1206","+520-220-034+","A","034_target","tmp/m1206_terminal_triad_source_recheck/derived/m1206_A_signband_v2.png","tmp/m1206_034_cohesion_gate/derived/C002.png","1180","420","ca5687cc98e348807dcbea2358f7f23d8c9dba66304f6b2e1eeb71b16938c12d","full","M1206 A terminal target signband","0"
"2026-05-26","C003","M-1206","+520-220-034+","a","034_target_mirror","tmp/m1206_terminal_triad_source_recheck/derived/dotnet_m1206_bottom_right_a.png","tmp/m1206_034_cohesion_gate/derived/C003.png","1180","420","a2be6d7bde41a4dd999ca486605c4c8df07449e37902d49315c11a3f42ae516e","full","M1206 a mirrored terminal target view","0"
"2026-05-26","C004","M-37","+520-220-415+","A","415_same_site_control","tmp/m1206_terminal_triad_source_recheck/derived/m37_A_signband_v2.png","tmp/m1206_034_cohesion_gate/derived/C004.png","840","280","7418157dcb020e7f3506017b25fd40718264035f85772a713ab4f670e2e280c9","full","M37 A same-site 415 signband control","0"
"2026-05-26","C005","M-37","+520-220-415+","a","415_same_site_control_mirror","tmp/m1206_terminal_triad_source_recheck/derived/dotnet_m37_bottom_right_a.png","tmp/m1206_034_cohesion_gate/derived/C005.png","880","300","37d5dafc22fb04d0a2f4610e9dffc2857a056f000806380ce1aa5ab057f5d0a0","top_300","M37 a same-site 415 control mirror signband crop","0"
"2026-05-26","C006","H-938","+520-220-415+","A","415_exact_side_control","tmp/m1206_m37_blind_visual_comparanda/derived/verified_panel_crops/H938_A_panel.png","tmp/m1206_034_cohesion_gate/derived/C006.png","560","300","4b881f4bc846888ce72f54ca2e922e1c4fa66ee3af82abae5d5462f01de94697","drop_bottom_120","H938 A exact-side 415 control","0"
"2026-05-26","C007","H-938","+520-220-415+","A bis","415_exact_side_duplicate","tmp/m1206_m37_blind_visual_comparanda/derived/verified_panel_crops/H938_A_bis_panel.png","tmp/m1206_034_cohesion_gate/derived/C007.png","560","320","bf16252e1ef88f4aa652e0d60de5be007d7d6b798ba0a41b3d9ca5900434b56d","drop_bottom_120","H938 A bis duplicate photo, not independent","0"
"2026-05-26","C008","H-940","+520-220-415+","A","415_exact_side_control","tmp/m1206_m37_blind_visual_comparanda/derived/verified_panel_crops/H940_A_panel.png","tmp/m1206_034_cohesion_gate/derived/C008.png","700","300","75256bc9e7be352ee6fb14206c59c6f01366091313864df35afc2a5af265caff","drop_bottom_130","H940 A exact-side 415 control","0"
"2026-05-26","C009","H-786","not local exact 415 side","A","candidate_415_side_mapping_conflict","tmp/m1206_m37_blind_visual_comparanda/derived/verified_panel_crops/H786_A_panel.png","tmp/m1206_034_cohesion_gate/derived/C009.png","700","270","12057e902ca0889f241bbd6f5772536246a786c2dd774a85b64d2d70630dabb9","drop_bottom_120","H786 A target-like but side mapping conflict","0"
"2026-05-26","C010","H-941","not local exact 415 side","A","candidate_415_side_mapping_conflict","tmp/m1206_m37_blind_visual_comparanda/derived/verified_panel_crops/H941_A_panel.png","tmp/m1206_034_cohesion_gate/derived/C010.png","690","280","aeff21f366c963c40f3ae445297a45362d91ec1a89b6ad5b01d855c50a5e3600","drop_bottom_150","H941 A target-like but side mapping conflict","0"
"2026-05-26","C011","M-1584","+034+","A","034_pottery_singleton_pressure","tmp/m1584_cisi2/derived/n266_m1584_true_sign_close_2x.png","tmp/m1206_034_cohesion_gate/derived/C011.png","1640","600","399380c06561bf02796774484e3af4dbce55f56547447195417eff637709e2b0","crop_y260","M1584 pottery rim mark; label hazard reduced","0"
"2026-05-26","C012","M-685","]034-204+","A face left","034_fragmentary_pressure","tmp/m685_cisi2/derived/m685_face_left_break_034_region.png","tmp/m1206_034_cohesion_gate/derived/C012.png","205","440","67f9abdfa1ba62c91f9cd88d7b42460019e661a1c5ee84e8bacc4e446271bdf2","full","M685 face leading break candidate 034 region","0"
"2026-05-26","C013","M-685","]034-204+","a impression left","034_fragmentary_pressure","tmp/m685_cisi2/derived/m685_impression_left_break_034_region.png","tmp/m1206_034_cohesion_gate/derived/C013.png","195","440","cb2b811271a1f4d91cd8773b6a08d3ba8cd57e9539154da984c785730cbc39b0","full","M685 impression leading break candidate 034 region","0"
