"date","route_id","object","local_rows","source","url","checked_evidence","trust_tier","use","constraint","accepted_claim"
"2026-05-25","article_doi","M-1206","3556.1:+520-220-034+;3556.2:+740-690-435-255-002-861+","Bhaskar 2022, Indus zoomorphism and its avatars","https://doi.org/10.1007/s43539-022-00052-2","Article metadata: Indian Journal of History of Science 57:175-194, DOI 10.1007/s43539-022-00052-2, published online 2022-10-07.","T2_secondary_article","Bibliographic anchor for the Fig. 3 route.","Not a CISI record and not an authoritative sign transcription.","0"
"2026-05-25","harappa_article_page","M-1206","3556.1:+520-220-034+;3556.2:+740-690-435-255-002-861+","Harappa.com article page","https://www.harappa.com/content/indus-zoomorphism-and-its-avatars","Harappa page lists the Bhaskar article, PDF link, and S1 catalogue link.","T2_secondary_host","Public route to article PDF and supplementary catalogue.","Shell access to Harappa was Cloudflare-blocked during local download; browser/web text was accessible.","0"
"2026-05-25","article_pdf_storage_copy","M-1206","3556.1:+520-220-034+;3556.2:+740-690-435-255-002-861+","CAHC Google Storage copy of Bhaskar PDF","https://storage.googleapis.com/cahcblr-pdfs/assets/ijhs/57_3_1.pdf","Downloaded local PDF tmp/m1206_bhaskar/Bhaskar2022_IJHS_57_3_1.pdf; sha256=3f26f8d50718440acd86aa05ec0163197500caef167bf98c198d72b5f3b967dd.","T2_secondary_pdf_copy","Stored evidence copy and rendered Fig. 3 source page.","Storage copy is a public mirror/redirect route, not the CISI source volume.","0"
"2026-05-25","figure3_caption","M-1206","3556.1:+520-220-034+;3556.2:+740-690-435-255-002-861+","Bhaskar 2022 Fig. 3 caption","https://www.harappa.com/sites/default/files/pdf/Bhaskar2022_IJHS_57_3_1.pdf","Caption on article page 192 / PDF page 18 identifies the right-hand image as M-1206 and says the images are from CISI, not to scale.","T2_secondary_image_caption","Object-level public image lead for one visible face of M-1206.","Caption does not provide CISI plate number, subentry/side label, sign transcription, or companion side image.","0"
"2026-05-25","article_running_text_conflict","M-1206_or_M-2016_conflict","3556.1:+520-220-034+;3556.2:+740-690-435-255-002-861+","Bhaskar 2022 running text under Section 8","https://www.harappa.com/sites/default/files/pdf/Bhaskar2022_IJHS_57_3_1.pdf","The running text says a seal like M-635 or M-2016 (Fig. 3), while the figure caption says M-1206.","T2_secondary_conflicted","Adversarial object-identity warning.","This mismatch blocks source-grade acceptance of the object binding until CISI/HARP or another primary catalogue confirms the figure/object identity.","0"
"2026-05-25","s1_pdf_storage_copy","M-1206","3556.1:+520-220-034+;3556.2:+740-690-435-255-002-861+","Bhaskar 2022 supplementary S1 catalogue PDF","https://storage.googleapis.com/cahcblr-pdfs/assets/ijhs/S1-IndusZoomorphicIconCatalogue.pdf","Downloaded S1 PDF; text extraction finds M-1206 with text-present marker, P8, F0, and Bison. sha256=ee2228607861dab0fdeccef315924889419c8944b233665eefc262cfc4699b27.","T2_secondary_catalogue","Independent supplementary row for object presence and icon-class context.","S1 gives iconographic classification, not sign transcription; extracted table layout is lossy.","0"
"2026-05-25","local_lipi_rows","M-1206","3556.1:+520-220-034+;3556.2:+740-690-435-255-002-861+","data/open_prototype/lipi/metadata_filtered.csv","local:data/open_prototype/lipi/metadata_filtered.csv","Local filtered lipi has two rows for M-1206, sides=2, Mohenjo-daro, excavation DK8186229, steatite square seal, symbol Gaur, direction R/L, dimensions 33 x 30.5 x 7-14 mm.","T3_local_planning_layer","Defines the exact local claim to test against the public image route.","Local lipi is not source-grade and must be checked against CISI/HARP image/record.","0"
"2026-05-25","springer_s1_xlsx_copy","M-1206","3556.1:+520-220-034+;3556.2:+740-690-435-255-002-861+","Springer supplementary S1 XLSX","https://static-content.springer.com/esm/art%3A10.1007%2Fs43539-022-00052-2/MediaObjects/43539_2022_52_MOESM1_ESM.xlsx","Downloaded XLSX; sha256=856b3eff78ed982feb0c85837bc78a2212656d65a681330db0259c3a685f6d84.","T2_secondary_catalogue_xlsx","Machine-readable supplementary row source for object/iconographic catalogue checks.","Supplement classifies zoomorphic/iconographic features after CISI; it does not provide sign transcription or side labels.","0"
"2026-05-25","springer_s1_xlsx_m1206_row","M-1206","3556.1:+520-220-034+;3556.2:+740-690-435-255-002-861+","Springer supplementary S1 XLSX row","https://static-content.springer.com/esm/art%3A10.1007%2Fs43539-022-00052-2/MediaObjects/43539_2022_52_MOESM1_ESM.xlsx","Sheet 1 row 1664: M-1206 | text-present marker | P8 | F0 | Bison","T2_secondary_catalogue_row","Confirms M-1206 appears in S1 with text-present marker and Bison/Gaur-family iconographic context.","The row confirms catalogue presence, not the local sign row or companion side.","0"
"2026-05-25","sent_harappa_m1206_source_request","M-1206","3556.1:+520-220-034+;3556.2:+740-690-435-255-002-861+","Gmail sent source request to Harappa","gmail:[redacted-msgid]","Sent request to [harappa-project-email] asking for source-grade images/plate references, CISI page/object notes, side labels/order, orientation/direction basis, M-1206 vs M-2016 clarification, and permission/citation terms.","T0_acquisition_action","Starts external acquisition path for all-side M-1206 validation.","Request sent; no reply or source material received yet.","0"
