row_type,object_side,local_row,local_text,recorded_direction,source_status,source_artifact,visible_left_component,visible_right_component,assignment_under_recorded_direction,gate_effect,accepted_claim
independent_control,H-930 B,1810.2,+700-032+,R/L,source_visible_clean_two_panel_control,tmp/independent_direction_controls/derived/H930_B_source_panel_v2.png,V_or_leaf_component,vertical_bar_group,700=right_vertical_bar_group;032=left_V_or_leaf_component,recorded_RL_component_coherent_for_700_vertical_but_not_direction_proof,0
independent_control,H-789 B,1680.2,+033-700+,R/L,source_visible_clean_two_panel_control,tmp/independent_direction_controls/derived/H789_B_wide2.png,vertical_bar_group,loop_or_oval_component,033=right_loop_or_oval_component;700=left_vertical_bar_group,recorded_RL_component_coherent_for_700_vertical_but_lower_scan_confidence,0
independent_control_with_side_caution,H-942 B,1822.2,+033-700+,R/L,source_visible_side_mapping_caution,tmp/m1206_singleton_controls/derived/h942/H942_B_panel_labeled_from_cisi_pakistan_n374.png,vertical_or_bar_group,V_or_leaf_component,033=right_V_or_leaf_component;700=left_vertical_or_bar_group,recorded_RL_component_coherent_if_H942_B_mapping_holds_but_side_mapping_is_local_inference,0
dependent_check,H-938 B,1818.2,+034-700+,R/L,source_visible_existing_component_gate,tmp/m1206_m37_blind_visual_comparanda/derived/verified_panel_crops/H938_B_panel.png,vertical_or_rake_component,loop_or_leaf_component,034=right_loop_or_leaf_component;700=left_vertical_or_rake_component,matches_independent_700_vertical_pattern_but_not_independent,0
dependent_check,H-910 B,1792.2,+700-034+,R/L,source_visible_existing_component_gate,tmp/h910_component_probe/H910_B_panel.png,loop_or_leaf_component,vertical_or_rake_component,700=right_vertical_or_rake_component;034=left_loop_or_leaf_component,matches_independent_700_vertical_pattern_but_not_independent,0
not_admissible_now,H-1302,4073.2,+700-033+,R/L,direction_note_lead_only,data/open_prototype/reports/h1302_h1303_direction_note_recheck.csv,not_checked,not_checked,not_applicable,Nature_direction_note_lead_needs_CISI_or_HARP_panel,0
not_admissible_now,H-1303,4077.2,+700-033+,R/L,direction_note_lead_only,data/open_prototype/reports/h1302_h1303_direction_note_recheck.csv,not_checked,not_checked,not_applicable,Nature_direction_note_lead_needs_CISI_or_HARP_panel,0
not_admissible_now,H-2146,841.2,+700-032+,R/L,metadata_or_inventory_only,data/open_prototype/reports/lipi_034_m1206_415_companion_context_inventory.csv,not_checked,not_checked,not_applicable,no_plate_grade_panel_in_checked_layer,0
not_admissible_now,H-319,1341.2,+700-034+,R/L,register_only,tmp/h319_h1284_source_route_recheck/cisi_india_n406_h319_register_row_crop2.png,not_checked,not_checked,not_applicable,register_page_only_no_inscription_panel,0
not_admissible_now,H-1284,4069.2,+700-034+,L/R,route_dark,data/open_prototype/reports/lipi_034_m1206_h319_h1284_source_route_recheck_sources.csv,not_checked,not_checked,not_applicable,no_exact_public_CISI_1_2_panel_route,0
blocked_visible,H-939,1819.1,+700-034+,L/R,source_visible_not_upgraded,tmp/m1206_m37_blind_visual_comparanda/derived/verified_panel_crops/H939_A_panel.png,not_adjudicated,not_adjudicated,not_applicable,visible_but_side_component_direction_use_blocked_by_prior_strict_review,0
