checked_date,route_type,source,url_or_id,status,stored_evidence,admissible_use,non_admissible_use,accepted_decipherment_claim
2026-05-25,local_internal_bridge,Yajnadevam lipi metadata row 2527.1,data/open_prototype/lipi/metadata_filtered.csv,internal_only,id=2527.1; cisi=M-2104; excavation-idno=VS 875CXIV:532; material/type=Ivory/ROD; depth=-12.0 ft; dir.=R/L; class=VX; text=+151-097-700-034+,Retrieval handle and hypothesis routing only.,"Independent artifact identity, raw segmentation, sign value, or translation.",0
2026-05-25,standardized_text_layer,Mahadevan 1977 M77 IA page 0084,https://archive.org/details/TheIndusScript.TextConcordanceAndTablesIravathanMahadevan,accessible_and_cropped,"IA page 0084 has text no. 2527, code 100901, and a printed standardized sign row; local crops and overlay are stored in tmp/mahadevan_m77_pages/derived/.",Lineage support for why local id 2527.1 exists.,Raw no. 532 image validation or token-boundary validation.,0
2026-05-25,prior_work_standardized_layer,Parpola 2019 Harappan ivory/bone rods PDF,https://tuhat.helsinki.fi/ws/portalfiles/portal/129602857/Parpola_A_2019_Inscriptions_incised_on_the_Harappan_bone_rods_Proceedings_of_EASAA_22.pdf,accessible,Text no. 12 (M-2104) is described as UIII plus signs 15 and 1; tablet parallels M-478/M-480/M-1425 use UIIII plus signs 15 and 107; actual rod shapes are routed back to CISI photos.,Prior-work pressure and falsifiable crosswalk target.,"Authority for raw shapes, sign values, or translation.",0
2026-05-25,public_physical_object_witness,Harappa Indus Cylinder Seals page quoting Marshall,https://www.harappa.com/node/3576,accessible,"Marshall no. 532 is Plate CXIV / VS 875, ivory, about 2 inches by 0.3 inches, broken at one end, 12 ft level, found near Room 70 House XXVII VS Area, with five deeply incised characters.",Physical-object and no. 532/VS875 witness.,M-2104 bridge or four-token local segmentation.,0
2026-05-25,public_plate_witness,IA/IGNCA Marshall Vol. III Plate CXIV,https://archive.org/details/in.gov.ignca.48270/page/n205/mode/1up,accessible_and_downloaded,Plate CXIV leaf 48270_0205 gives the best public no. 532 witness found; local JP2/PNG/IIIF files stored under tmp/marshall_vol3.,Target-side raw public visual witness for no. 532.,Exact three-stroke 034 validation or M-2104 identity bridge.,0
2026-05-25,negative_scope_control,CISI Vol. 2 Pakistan OCR/scope check,tmp/cisi_pakistan_pages/cisi_pakistan.pdf,scope_negative,Accessible Vol. 2 Pakistan Mohenjo-daro section covers M-595 and M-621 to M-1659. The exact 2104 OCR hit is a false positive on a DATA H-989 to Rhd-156 page.,Blocks wasting time on CISI Vol. 2 for M-2104.,Any M-2104 object validation.,0
2026-05-25,cisi31_bibliographic_route,Harappa CISI 3.1 page,https://www.harappa.com/content/corpus-indus-seals-and-inscriptions-vol-31,accessible,"CISI 3.1 is Volume 3.1 Mohenjo-daro and Harappa, edited by Parpola/Pande/Koskikallio, 2010, lx + 444 pages, photographs, line drawings, tablets, OCLC 718357051.",Correct source-volume target for M-2104 supplemental lookup.,Object-level row validation without the volume.,0
2026-05-25,cisi31_bibliographic_route,University of Helsinki research portal,https://researchportal.helsinki.fi/en/publications/corpus-of-indus-seals-and-inscriptions-volume-3-new-material-untr/,accessible,"Confirms 2010 peer-reviewed book record, 504 pages, ISBN 978-951-41-1040-5, Annales Academiae Scientiarum Fennicae Humaniora 359.",Citation and acquisition identity.,M-2104 source row or segmentation.,0
2026-05-25,cisi31_endmatter_route,Language Book Notices CISI review,https://journals.linguisticsociety.org/booknotices/?p=1785,accessible,"Reports object data at the end of the volume, pp. 413-443, including excavation number, museum or owner, and photograph source.",Defines the exact end-matter lookup target for the M-2104 bridge.,Actual object-row evidence before inspection.,0
2026-05-25,cisi31_contents_and_price_route,Finnish Academy publication page,https://acadsci.fi/en/publications/the-corpus-of-indus-seals-and-inscriptions-3-2-humaniora-383-has-been-published/,accessible,"CISI 3.1 is listed as Vol. 3 Part 1 Mohenjo-daro and Harappa, Humaniora 359, hardbound EUR 70, with 3761 b/w photos, 125 color photos, 154 line drawings, and 2 tables.",Confirms image-rich hardbound source and price route.,M-2104 row or photograph content before acquisition.,0
