"checked_date","route_id","route_type","handle_or_query","status","evidence_grade","source_title","source_url","local_or_external_evidence","what_it_adds","limitation","next_action","accepted_claims"
"2026-05-25","local_m2104_lipi_row","local_corpus_row","M-2104","positive","T3_filtered_metadata","lipi_scope_rows.csv","data/open_prototype/reports/lipi_scope_rows.csv","M-2104 is a Lower Indus / Mohenjo-daro ROD, material Ivory, direction R/L, class VX, text +151-097-700-034+.","Confirms the local target string and object class under the filtered lipi planning layer.","Not a source image and not an independent sign-list mapping.","Use only as the local row to be checked against source images.","0"
"2026-05-25","local_m2104_source_hook","local_source_hook","VS 875CXIV:532 | -12.0 ft","positive","T3_filtered_metadata_with_source_hook","lipi_034_mayig_acquisition_priority_objects.csv","data/open_prototype/reports/lipi_034_mayig_acquisition_priority_objects.csv","The M-2104 priority row already stores source hook VS 875CXIV:532 and depth -12.0 ft.","Gives the alias bridge from M-2104 to Marshall no. 532 / Plate CXIV / VS 875.","The row is an index hook, not the plate itself.","Use the hook for Marshall and Harappa image lookup and for archive requests.","0"
"2026-05-25","parpola_2019_source_gate","published_standardized_transcription","Parpola 2019 text no. 12 / M-2104","positive_but_not_raw","T1_scholarly_prose_standardized_figure","Parpola 2019, Inscriptions Incised on Harappan Ivory/Bone Rods","https://tuhat.helsinki.fi/ws/portalfiles/portal/129602857/Parpola_A_2019_Inscriptions_incised_on_the_Harappan_bone_rods_Proceedings_of_EASAA_22.pdf","Parpola identifies text no. 12 as M-2104 and compares it to M-478, M-480, and M-1425; he states Fig. 1 is standardized and actual shapes should be checked in CISI photos.","Sets the exact prior-work hypothesis and confirms why raw images are required.","Standardized signs only; not physical-stroke evidence.","Keep as prior-work baseline, not source validation.","0"
"2026-05-25","harappa_marshall_532_catalogue","public_plate_catalogue_route","No. 532 / Pl. CXIV / VS 875","positive","T0_published_source_catalogue","Harappa, Indus Cylinder Seals","https://www.harappa.com/node/3576","Harappa transcribes Marshall no. 532 as ivory, 2 inches by 0.3 inches, five deeply incised characters, found 12 ft below surface in front of Room 70, House XXVII, VS Area.","This is the first public alias route tying the M-2104 source hook to a published object description and plate number.","Catalogue prose alone cannot adjudicate individual stroke boundaries.","Use no. 532 / Pl. CXIV / VS 875 as the primary retrieval handle.","0"
"2026-05-25","harappa_marshall_plate_image","public_plate_reproduction","Marshall Plate CXIV, nos. 529-533; no. 532 lower left","positive_raw_public_route","T0_public_plate_reproduction_limited_resolution","Harappa image, cylinder-seals.jpg","https://www.harappa.com/sites/default/files/styles/galleryformatter_slide/public/cylinder-seals.jpg","The public plate image shows no. 532 lower left, with the object and rolled/impression view side by side.","Breaks the previous Parpola-only bottleneck: M-2104 now has a public raw published plate witness, not just a standardized drawing.","Resolution is limited; local shell download hit Cloudflare, so the stored artifact preserves the source URL and visual note rather than a local image file.","Request high-resolution plate/source image and run blind stroke segmentation against the visible no. 532 image.","0"
"2026-05-25","marshall_volume_iii_route","bibliographic_plate_route","Marshall 1931 Vol. III Plate CXIV","positive_route","T0_publication_route","Harappa, Mohenjo-daro and the Indus Civilization","https://www.harappa.com/content/Mohenjo-daro-and-the-Indus-Civilization","Harappa notes the 1931 work has three volumes and 164 plates, but Vol. III plates are not in the Archive.org versions linked there; Harappa has posted some Vol. III images.","Explains why Plate CXIV is not reached through the Archive.org Vol. I/II route and why Harappa's posted image matters.","Bibliographic route only unless a higher-resolution Vol. III scan is obtained.","Acquire or inspect Marshall 1931 Vol. III Plate CXIV from library, reprint, or Harappa.","0"
"2026-05-25","ia_cisi_m2104_exact","public_ia_cisi_search","M-2104 / 2104 in IA CISI OCR","negative","route_checked_negative","Internet Archive CISI India/Pakistan OCR routes","https://archive.org/details/TheIndusScript.TextConcordanceAndTablesIravathanMahadevan","Prior route probe found no exact M-2104 plate route in IA CISI OCR; bare 2104 was register/index noise.","Prevents circularly treating the IA bare-number hit as a source plate.","Does not rule out plates that are present but not OCR-indexed, or CISI 3.1 not in the IA bundle.","Do not keep spending broad OCR-search time here; use Marshall/Harappa/CISI 3.1 handles.","0"
"2026-05-25","cisi31_route","source_acquisition_route","CISI 3.1 / Mohenjo-daro and Harappa supplement","positive_route","T0_publication_route_uninspected","Harappa CISI 3.1 page","https://www.harappa.com/content/corpus-indus-seals-and-inscriptions-vol-31","Harappa identifies CISI 3.1 as Mohenjo-daro and Harappa supplement with photographs, line drawings, and tablets.","Likely updated corpus route for M-2104 and other high-priority 034 objects.","No object-level M-2104 image was public on the checked page.","Continue Tiedekirja/library/CISI acquisition; use it as a higher-resolution or updated-source route.","0"
"2026-05-25","harappa_image_request_initial","sent_acquisition_request","M-2104 source image request","sent","active_request","Gmail to harappa@gmail.com","gmail:19e5f7a910fcd433","Sent non-commercial scholarly request for M-2104 source image, CISI reference, page/plate data, or archive/museum holder.","Turns the public-route result into an active acquisition action.","Response pending; request was sent before the alias was found.","Track reply and attach any source data to the M-2104 source packet.","0"
"2026-05-25","harappa_image_request_alias_addendum","sent_acquisition_request","No. 532 / Pl. CXIV / VS 875 addendum","sent","active_request","Gmail to harappa@gmail.com","gmail:19e5f7be58d0ecdd","Sent addendum giving exact Marshall handle: no. 532, Plate CXIV, VS 875, five incised characters, Room 70 / House XXVII / VS Area.","Gives Harappa the lookup key that should survive catalog naming drift better than M-2104 alone.","Response pending; separate message thread because the first send already completed.","Track reply and request higher-resolution image or exact CISI source note.","0"
