"checked_date","cisi","role","source","ia_volume","ia_leaf","ia_reader_page_url","ia_page_image_url","local_image_path","manual_visual_class","visual_status","manual_visual_note","source_use","accepted_source_mapping","accepted_decipherment_claim"
"2026-05-25","M-2104","target_p0_034","Parpola 2019 Fig. 1 text no. 12","","","","","tmp/pdfs/parpola_2019_fig1_text12_crop3.png","published_figure_target","target_visual_available_outside_ia_cisi_plate_layer","Parpola 2019 visually anchors text no. 12 and prose describes it as UIII followed by signs 15 and 1; IA CISI exact M-2104 route was not found in the checked XML.","target source for crosswalk hypothesis; still not accepted mapping until sign segmentation is independently checked","0","0"
"2026-05-25","M-478","text_12_tablet_parallel","CISI IA public scan","CISI Collections in India","150","https://archive.org/details/TheIndusScript.TextConcordanceAndTablesIravathanMahadevan/Corpus%20of%20Indus%20Seals%20and%20Inscriptions.%20Collections%20in%20India/page/n150/mode/1up","https://archive.org/download/TheIndusScript.TextConcordanceAndTablesIravathanMahadevan/Corpus%20of%20Indus%20Seals%20and%20Inscriptions.%20Collections%20in%20India/page/n150_w2000.jpg","tmp/cisi_m2104_packet/Corpus_20of_20Indus_20Seals_20and_20Inscriptions_20Collections_20in_20India_page_n150_w2000_jpg.jpg","plate_image","tablet_parallel_plate_visible","Plate header reads Mohenjo-Daro 478-481, tablets in bas-relief. M-478 A/B and smaller side photos are visible; M-478 A carries the inscription lane and M-478 B carries the iconographic scene Parpola uses for the four-pot discussion.","visual test target for 700-004 as UIIII/four-pot cluster and 400/097 tail signs","0","0"
"2026-05-25","M-480","text_12_tablet_parallel","CISI IA public scan","CISI Collections in India","150","https://archive.org/details/TheIndusScript.TextConcordanceAndTablesIravathanMahadevan/Corpus%20of%20Indus%20Seals%20and%20Inscriptions.%20Collections%20in%20India/page/n150/mode/1up","https://archive.org/download/TheIndusScript.TextConcordanceAndTablesIravathanMahadevan/Corpus%20of%20Indus%20Seals%20and%20Inscriptions.%20Collections%20in%20India/page/n150_w2000.jpg","tmp/cisi_m2104_packet/Corpus_20of_20Indus_20Seals_20and_20Inscriptions_20Collections_20in_20India_page_n150_w2000_jpg.jpg","plate_image","tablet_parallel_plate_visible","Same plate as M-478. M-480 A/B and smaller side photos are visible in the lower half; enough to route the image check, but sign-level segmentation should use a crop or higher resolution.","visual test target for 700-004 as UIIII/four-pot cluster and 400/097 tail signs","0","0"
"2026-05-25","M-1425","text_12_tablet_parallel","CISI IA public scan","CISI Collections in Pakistan","227","https://archive.org/details/TheIndusScript.TextConcordanceAndTablesIravathanMahadevan/Corpus%20of%20Indus%20Seals%20and%20Inscriptions.%20Collections%20in%20Pakistan/page/n227/mode/1up","https://archive.org/download/TheIndusScript.TextConcordanceAndTablesIravathanMahadevan/Corpus%20of%20Indus%20Seals%20and%20Inscriptions.%20Collections%20in%20Pakistan/page/n227_w2000.jpg","tmp/cisi_m2104_packet/Corpus_20of_20Indus_20Seals_20and_20Inscriptions_20Collections_20in_20Pakistan_page_n227_w2000_jpg.jpg","plate_image","tablet_parallel_plate_visible","Plate header reads Mohenjo-Daro 1425-1428, tablets in bas-relief. M-1425 A/a/B/b/E are visible; M-1425 A/a show the tablet-parallel inscription lane needed for the 700-004 and 400/097 check.","visual test target for 700-004 as UIIII/four-pot cluster and 400/097 tail signs","0","0"
"2026-05-25","H-543","sign_15_1_control","CISI IA public scan","CISI Collections in Pakistan","324","https://archive.org/details/TheIndusScript.TextConcordanceAndTablesIravathanMahadevan/Corpus%20of%20Indus%20Seals%20and%20Inscriptions.%20Collections%20in%20Pakistan/page/n324/mode/1up","https://archive.org/download/TheIndusScript.TextConcordanceAndTablesIravathanMahadevan/Corpus%20of%20Indus%20Seals%20and%20Inscriptions.%20Collections%20in%20Pakistan/page/n324_w2000.jpg","tmp/cisi_m2104_packet/Corpus_20of_20Indus_20Seals_20and_20Inscriptions_20Collections_20in_20Pakistan_page_n324_w2000_jpg.jpg","plate_image","control_plate_visible_broken","Harappa 537-543 seal plate. H-543 A/a are visible at the bottom; the artifact is broken, but the route is adequate for checking whether the local 151-097 row is a two-sign signs 15/1 control.","control for 097/151 under right-to-left reading","0","0"
"2026-05-25","H-544","sign_15_1_control","CISI IA public scan","CISI Collections in Pakistan","325","https://archive.org/details/TheIndusScript.TextConcordanceAndTablesIravathanMahadevan/Corpus%20of%20Indus%20Seals%20and%20Inscriptions.%20Collections%20in%20Pakistan/page/n325/mode/1up","https://archive.org/download/TheIndusScript.TextConcordanceAndTablesIravathanMahadevan/Corpus%20of%20Indus%20Seals%20and%20Inscriptions.%20Collections%20in%20Pakistan/page/n325_w2000.jpg","tmp/cisi_m2104_packet/Corpus_20of_20Indus_20Seals_20and_20Inscriptions_20Collections_20in_20Pakistan_page_n325_w2000_jpg.jpg","plate_image","control_plate_visible","Harappa 544-557 seal plate. H-544 A/a are visible at the top left with a clear short sign sequence and damage profile; this is the cleaner H control for signs 15/1.","control for 097/151 under right-to-left reading","0","0"
"2026-05-25","M-915","sign_15_1_named_seal_control","CISI IA public scan","CISI Collections in Pakistan","122","https://archive.org/details/TheIndusScript.TextConcordanceAndTablesIravathanMahadevan/Corpus%20of%20Indus%20Seals%20and%20Inscriptions.%20Collections%20in%20Pakistan/page/n122/mode/1up","https://archive.org/download/TheIndusScript.TextConcordanceAndTablesIravathanMahadevan/Corpus%20of%20Indus%20Seals%20and%20Inscriptions.%20Collections%20in%20Pakistan/page/n122_w2000.jpg","tmp/cisi_m2104_packet/Corpus_20of_20Indus_20Seals_20and_20Inscriptions_20Collections_20in_20Pakistan_page_n122_w2000_jpg.jpg","plate_image","control_plate_visible","Mohenjo-Daro 914-922 seal plate. M-915 A/a are visible in the top row; this is a named Parpola control for signs 15 and 1 at text end.","control for final 097/151 under right-to-left reading","0","0"
"2026-05-25","M-715","named_context_conflict_or_unresolved","CISI IA public scan","CISI Collections in Pakistan","80","https://archive.org/details/TheIndusScript.TextConcordanceAndTablesIravathanMahadevan/Corpus%20of%20Indus%20Seals%20and%20Inscriptions.%20Collections%20in%20Pakistan/page/n80/mode/1up","https://archive.org/download/TheIndusScript.TextConcordanceAndTablesIravathanMahadevan/Corpus%20of%20Indus%20Seals%20and%20Inscriptions.%20Collections%20in%20Pakistan/page/n80_w2000.jpg","tmp/cisi_m2104_packet/Corpus_20of_20Indus_20Seals_20and_20Inscriptions_20Collections_20in_20Pakistan_page_n80_w2000_jpg.jpg","plate_image","conflict_plate_visible","Mohenjo-Daro 715-717 seal plate. M-715 A/a are visible; the local row does not expose a clean 151/097 pair, so this is a direct conflict-resolution image.","conflict check for Parpola signs 15/1 claim versus local encoding","0","0"
"2026-05-25","M-896","named_context_conflict_or_unresolved","CISI IA public scan","CISI Collections in Pakistan","119","https://archive.org/details/TheIndusScript.TextConcordanceAndTablesIravathanMahadevan/Corpus%20of%20Indus%20Seals%20and%20Inscriptions.%20Collections%20in%20Pakistan/page/n119/mode/1up","https://archive.org/download/TheIndusScript.TextConcordanceAndTablesIravathanMahadevan/Corpus%20of%20Indus%20Seals%20and%20Inscriptions.%20Collections%20in%20Pakistan/page/n119_w2000.jpg","tmp/cisi_m2104_packet/Corpus_20of_20Indus_20Seals_20and_20Inscriptions_20Collections_20in_20Pakistan_page_n119_w2000_jpg.jpg","plate_image","conflict_plate_visible","Mohenjo-Daro 893-898 seal plate. M-896 A/a are visible at left; the local row begins with 151 but lacks 097, so this is a direct conflict-resolution image.","conflict check for Parpola signs 15/1 claim versus local encoding","0","0"
"2026-05-25","M-478","prior_context_support","CISI IA public scan / introduction","CISI Collections in India","19","https://archive.org/details/TheIndusScript.TextConcordanceAndTablesIravathanMahadevan/Corpus%20of%20Indus%20Seals%20and%20Inscriptions.%20Collections%20in%20India/page/n19/mode/1up","https://archive.org/download/TheIndusScript.TextConcordanceAndTablesIravathanMahadevan/Corpus%20of%20Indus%20Seals%20and%20Inscriptions.%20Collections%20in%20India/page/n19_w2000.jpg","tmp/cisi_m2104_packet/Corpus_20of_20Indus_20Seals_20and_20Inscriptions_20Collections_20in_20India_page_n19_w2000_jpg.jpg","source_discussion","pot_count_context_support","The introduction describes a U-shaped pot sign preceded by zero to four vertical strokes, and discusses M-478/M-479 as a four-pot offering context. This supports the kind of cluster under test, not the M-2104 target image.","prior-work pressure for the U+stroke pot-count interpretation only","0","0"
