date,group,id,cisi,site,type,material,shape,sides,dir,text_length,signs,text,token_1,token_2,token_3,terminal,object_note,accepted_reading_claim
2026-05-25,prefix_390_x_002,61.1,C-66,Chanhu-daro,SEAL:S,Steatite,square,1,R/L,4,4,+390-003-002-817+,390,003,002,817,same_390_X_002_slot_control,0
2026-05-25,prefix_390_x_002,136.1,-,Dholavira,SEAL:R,Steatite,rectangular,1,R/L,4,4,+390-016-002-861+,390,016,002,861,same_390_X_002_slot_control,0
2026-05-25,prefix_390_x_002,401.1,H-2003,Harappa,TAB:B,Clay,rectangular,1,R/L,4,4,+390-004-002-817+,390,004,002,817,same_390_X_002_slot_control,0
2026-05-25,prefix_390_x_002,634.1,H-1680,Harappa,SEAL:S,Steatite,square,1,R/L,4,4,+390-003-002-820+,390,003,002,820,same_390_X_002_slot_control,0
2026-05-25,prefix_390_x_002,951.1,-,Dholavira,SEAL:S,Steatite,square,1,R/L,4,4,+390-004-002-817+,390,004,002,817,same_390_X_002_slot_control,0
2026-05-25,prefix_390_x_002,1114.1,H-55,Harappa,SEAL:S,Steatite,square,1,R/L,5,5,+390-004-002-861-125+,390,004,002,125,same_390_X_002_slot_control,0
2026-05-25,prefix_390_x_002,1139.1,H-82,Harappa,SEAL:S,Steatite,square,1,R/L,6,6,+390-017-002-220-455-741+,390,017,002,741,same_390_X_002_slot_control,0
2026-05-25,prefix_390_x_002,1412.1,H-407,Harappa,SEAL:S,Steatite,square,1,R/L,4,4,+390-003-002-817+,390,003,002,817,same_390_X_002_slot_control,0
2026-05-25,prefix_390_x_002,1938.1,K-82,Kalibangan,TAG:L,-,-,1,R/L,4,4,+390-003-002-861+,390,003,002,861,same_390_X_002_slot_control,0
2026-05-25,prefix_390_x_002,2087.1,L-145,Lothal,TAG,-,-,1,R/L,4,4,+390-415-002-550+,390,415,002,550,same_390_X_002_slot_control,0
2026-05-25,prefix_390_x_002,2228.1,M-1697,Mohenjo-daro,SEAL:S,Steatite,square,1,R/L,4,4,+390-003-002-861+,390,003,002,861,same_390_X_002_slot_control,0
2026-05-25,prefix_390_x_002,2386.1,M-1729,Mohenjo-daro,SEAL:S,Faience,square,1,R/L,4,4,+390-003-002-820+,390,003,002,820,same_390_X_002_slot_control,0
2026-05-25,prefix_390_x_002,2397.1,M-1927,Mohenjo-daro,SEAL:S,Steatite,square,2,R/L,4,4,+390-005-002-817+,390,005,002,817,same_390_X_002_slot_control,0
2026-05-25,prefix_390_x_002,2418.1,M-1844,Mohenjo-daro,SEAL:S,Steatite,square,1,R/L,4,4,+390-004-002-817+,390,004,002,817,same_390_X_002_slot_control,0
2026-05-25,prefix_390_x_002,2450.1,M-1750,Mohenjo-daro,SEAL:S,Steatite,square,1,R/L,4,4,+390-004-002-861+,390,004,002,861,same_390_X_002_slot_control,0
2026-05-25,prefix_390_x_002,2453.1,M-984,Mohenjo-daro,SEAL:S,Steatite,square,1,R/L,4,4,+390-004-002-817+,390,004,002,817,same_390_X_002_slot_control,0
2026-05-25,prefix_390_x_002,2482.1,M-1907,Mohenjo-daro,SEAL:S,Steatite,square,1,R/L,5,5,+390-005-002-455-511+,390,005,002,511,same_390_X_002_slot_control,0
2026-05-25,prefix_390_x_002,2509.1,M-1833,Mohenjo-daro,SEAL:S,Steatite,square,1,R/L,4,4,+390-015-002-861+,390,015,002,861,same_390_X_002_slot_control,0
2026-05-25,prefix_390_x_002,2545.1,M-17,Mohenjo-daro,SEAL:S,Steatite,square,1,R/L,5,5,+390-016-002-814-560+,390,016,002,560,same_390_X_002_slot_control,0
2026-05-25,prefix_390_x_002,2548.1,M-20,Mohenjo-daro,SEAL:S,Steatite,square,1,R/L,7,7,+390-005-002-861-036-460-513+,390,005,002,513,same_390_X_002_slot_control,0
2026-05-25,prefix_390_x_002,2560.1,M-32,Mohenjo-daro,SEAL:S,Steatite,square,1,R/L,4,4,+390-003-002-817+,390,003,002,817,same_390_X_002_slot_control,0
2026-05-25,prefix_390_x_002,2622.1,M-95,Mohenjo-daro,SEAL:S,Steatite,square,1,R/L,5,5,+390-003-002-111-165+,390,003,002,165,same_390_X_002_slot_control,0
2026-05-25,prefix_390_x_002,2630.1,M-103,Mohenjo-daro,SEAL:S,Steatite,square,1,R/L,4,4,+390-004-002-820+,390,004,002,820,same_390_X_002_slot_control,0
2026-05-25,prefix_390_x_002,2702.1,M-177,Mohenjo-daro,SEAL:S,Steatite,square,1,R/L,4,4,+390-003-002-803+,390,003,002,803,same_390_X_002_slot_control,0
2026-05-25,prefix_390_x_002,2774.1,M-251,Mohenjo-daro,SEAL:S,Steatite,square,1,R/L,5,5,+390-003-002-125-350+,390,003,002,350,same_390_X_002_slot_control,0
2026-05-25,prefix_390_x_002,2833.1,M-315,Mohenjo-daro,SEAL:S,Steatite,square,1,R/L,6,6,+390-034-002-374-228-741+,390,034,002,741,target_exact_frame,0
2026-05-25,prefix_390_x_002,2836.2,M-318,Mohenjo-daro,SEAL:S,Steatite,square,2,R/L,5,5,+390-003-002-031-575+,390,003,002,575,same_390_X_002_slot_control,0
