"checked_date","object_key","cisi","cisi_prefix","max_priority_lane","max_priority_score","row_count","texts","source_row_ids","site","type_values","material_values","frame700_relations","source_hooks","mayig_current_repo_has_object","acquisition_question","accepted_decipherment_claim"
"2026-05-25","M-2104","M-2104","M","P0_mohenjo_034_missing_from_current_mayig","218","1","+151-097-700-034+","2527.1","Mohenjo-daro","ROD","Ivory","700_before_034","VS 875CXIV:532 | -12.0 ft","0","Obtain Mayig/Parpola record or authoritative sign-list mapping for this exact Mohenjo-daro 034 object.","0"
"2026-05-25","M-315","M-315","M","P0_mohenjo_034_missing_from_current_mayig","196","1","+390-034-002-374-228-741+","2833.1","Mohenjo-daro","SEAL:S","Steatite","034_without_adjacent_700","VS 1190395 | -5.5 ft","0","Obtain Mayig/Parpola record or authoritative sign-list mapping for this exact Mohenjo-daro 034 object.","0"
"2026-05-25","M-1206","M-1206","M","P0_mohenjo_034_missing_from_current_mayig","196","1","+520-220-034+","3556.1","Mohenjo-daro","SEAL:S","Steatite","034_without_adjacent_700","DK8186229 | Period 3C-4 | Late | III | -8.4 ft","0","Obtain Mayig/Parpola record or authoritative sign-list mapping for this exact Mohenjo-daro 034 object.","0"
"2026-05-25","M-685","M-685","M","P0_mohenjo_034_missing_from_current_mayig","175","1","]034-204+","3121.1","Mohenjo-daro","SEAL:S","Steatite","034_without_adjacent_700","HR 4244276 | - -","0","Obtain Mayig/Parpola record or authoritative sign-list mapping for this exact Mohenjo-daro 034 object.","0"
"2026-05-25","M-1584","M-1584","M","P0_mohenjo_034_missing_from_current_mayig","173","1","+034+","3807.1","Mohenjo-daro","POT:T:g","Clay","034_without_adjacent_700","- -","0","Obtain Mayig/Parpola record or authoritative sign-list mapping for this exact Mohenjo-daro 034 object.","0"
"2026-05-25","H-2222","H-2222","H","P1_h_series_034_slot_controls","168","1","+700-034+","845.2","Harappa","TAB:I","Steatite","700_before_034","H97-3305Figure 12.03 | Period 3 | 3 | - -","0","Use as H-series 034 slot control while H-2238 carries the paired 033 variant.","0"
"2026-05-25","H-2223","H-2223","H","P1_h_series_034_slot_controls","168","1","+700-034+","846.2","Harappa","TAB:I","Steatite","700_before_034","H97-3306Figure 12.14 | Period 3 | 3 | - -","0","Use as H-series 034 slot control while H-2238 carries the paired 033 variant.","0"
"2026-05-25","H-2229","H-2229","H","P1_h_series_034_slot_controls","168","1","+700-034+","832.2","Harappa","TAB:I","Steatite","700_before_034","H97-3290Figure 12.06 | Period 3B | 3 | B | - -","0","Use as H-series 034 slot control while H-2238 carries the paired 033 variant.","0"
"2026-05-25","H-2239","H-2239","H","P1_h_series_034_slot_controls","168","1","+700-034+","769.2","Harappa","TAB:I","Steatite","700_before_034","H96-3046Figure 12.16 | Period 3B/C | 3 | B/C | - -","0","Use as H-series 034 slot control while H-2238 carries the paired 033 variant.","0"
"2026-05-25","H-2218","H-2218","H","P1_h_series_034_slot_controls","165","1","+700-034+","858.2","Harappa","TAB:I","Steatite","700_before_034","H97-3319Figure 12.11 | Period 3 | 3 | - -","0","Use as H-series 034 slot control while H-2238 carries the paired 033 variant.","0"
