"checked_date","target_cisi","target_source_row_id","target_text","target_pair_scope","control_rank","control_cisi","control_source_row_id","control_text","control_pair_scope","score","score_reasons","horizontal_delta_mm","vertical_delta_mm","thickness_delta_mm","suffix_overlap_after_003","companion_text_overlap","target_metadata","control_metadata","source_use","accepted_decipherment_claim"
"2026-05-25","H-1682","810.1","+154-003-617-033+","external_longer_154_003","1","H-81","1138.1","+156-003+","external_strict_156_003","35.105","same_site;same_type;same_shape;same_direction;same_id_prefix","0.4","0.2","8.25","0","0","Harappa|SEAL:S|square|Steatite|SC|4","Harappa|SEAL:S|square|-|SS|2","best_current_planning_control_only_requires_source_images","0"
"2026-05-25","H-1682","810.1","+154-003-617-033+","external_longer_154_003","2","H-499","1478.1","+156-003+","external_strict_156_003","33.985","same_site;same_type;same_shape;same_direction;same_id_prefix","1.4","0.8","8.25","0","0","Harappa|SEAL:S|square|Steatite|SC|4","Harappa|SEAL:S|square|-|SS|2","secondary_planning_control_only","0"
"2026-05-25","H-1682","810.1","+154-003-617-033+","external_longer_154_003","3","M-1888","2407.1","+156-003-877+","external_longer_156_003","26.125","same_type;same_shape;same_material;same_direction","1.4","2","1.65","0","0","Harappa|SEAL:S|square|Steatite|SC|4","Mohenjo-daro|SEAL:S|square|Steatite|SS|3","secondary_planning_control_only","0"
"2026-05-25","H-1682","810.1","+154-003-617-033+","external_longer_154_003","4","M-919","3316.1","+156-003+","external_strict_156_003","25.305","same_type;same_shape;same_material;same_direction","2.2","2.8","0.65","0","0","Harappa|SEAL:S|square|Steatite|SC|4","Mohenjo-daro|SEAL:S|square|Steatite|SS|2","secondary_planning_control_only","0"
"2026-05-25","H-1682","810.1","+154-003-617-033+","external_longer_154_003","5","M-93","2620.1","+156-003-240-741-345+","external_longer_156_003","23.545","same_type;same_shape;same_material;same_direction","3.2","3.8","1.85","0","0","Harappa|SEAL:S|square|Steatite|SC|4","Mohenjo-daro|SEAL:S|square|Steatite|SP|5","secondary_planning_control_only","0"
"2026-05-25","H-1682","810.1","+154-003-617-033+","external_longer_154_003","6","M-132","2659.1","+156-003-545+","external_longer_156_003","21.735","same_type;same_shape;same_material;same_direction","4.5","5.6","0.65","0","0","Harappa|SEAL:S|square|Steatite|SC|4","Mohenjo-daro|SEAL:S|square|Steatite|SS|3","secondary_planning_control_only","0"
"2026-05-25","H-1682","810.1","+154-003-617-033+","external_longer_154_003","7","M-1779","2307.1","+156-003+","external_strict_156_003","21.175","same_type;same_shape;same_material;same_direction","5","5.6","1.35","0","0","Harappa|SEAL:S|square|Steatite|SC|4","Mohenjo-daro|SEAL:S|square|Steatite|SS|2","secondary_planning_control_only","0"
"2026-05-25","H-1682","810.1","+154-003-617-033+","external_longer_154_003","8","M-80","2607.1","+156-003-060-368-817+","external_longer_156_003","21.155","same_type;same_shape;same_material;same_direction","4.2","4.8","5.15","0","0","Harappa|SEAL:S|square|Steatite|SC|4","Mohenjo-daro|SEAL:S|square|Steatite|IT|5","secondary_planning_control_only","0"
"2026-05-25","H-1682","810.1","+154-003-617-033+","external_longer_154_003","9","M-1232","3564.1","+156-003+","external_strict_156_003","17.935","same_type;same_shape;same_material","6.3","3.1","4.95","0","0","Harappa|SEAL:S|square|Steatite|SC|4","Mohenjo-daro|SEAL:S|square|Steatite|SS|2","secondary_planning_control_only","0"
"2026-05-25","H-1682","810.1","+154-003-617-033+","external_longer_154_003","10","L-42","2014.1","+156-003+","external_strict_156_003","16.185","same_type;same_shape;same_direction","3.4","2.8","8.25","0","0","Harappa|SEAL:S|square|Steatite|SC|4","Lothal|SEAL:S|square|-|SS|2","secondary_planning_control_only","0"
"2026-05-25","M-102","2629.1","+154-003-900-545+","external_longer_154_003","1","M-132","2659.1","+156-003-545+","external_longer_156_003","37.09","same_site;same_type;same_shape;same_material;same_class;same_direction;same_id_prefix;suffix_overlap_1","10.7","10.2","7.6","1","0","Mohenjo-daro|SEAL:S|square|Steatite|SS|4","Mohenjo-daro|SEAL:S|square|Steatite|SS|3","best_current_planning_control_only_requires_source_images","0"
"2026-05-25","M-102","2629.1","+154-003-900-545+","external_longer_154_003","2","M-1888","2407.1","+156-003-877+","external_longer_156_003","31.74","same_site;same_type;same_shape;same_material;same_class;same_direction;same_id_prefix","13.8","6.6","6.6","0","0","Mohenjo-daro|SEAL:S|square|Steatite|SS|4","Mohenjo-daro|SEAL:S|square|Steatite|SS|3","secondary_planning_control_only","0"
