"scope","group_kind","group_value","rows","tokens","masked_evaluated"
"lipi_numeric_clean_candidate","all","all","2887","11655","true"
"lipi_direction_clean_candidate_total","all","all","3308","13732","false"
"lipi_numeric_clean_candidate","type","SEAL:S","1101","5141","true"
"lipi_numeric_clean_candidate","type","SEAL:R","218","1102","true"
"lipi_numeric_clean_candidate","type","TAB:I","533","1444","true"
"lipi_numeric_clean_candidate","type","TAB:B","705","2519","true"
"lipi_numeric_clean_candidate","type","TAB:C","157","791","true"
"lipi_numeric_clean_candidate","site","Harappa","1430","4871","true"
"lipi_numeric_clean_candidate","site","Kalibangan","55","232","true"
"lipi_numeric_clean_candidate","site","Lothal","84","401","true"
"lipi_numeric_clean_candidate","site","Mohenjo-daro","1217","5743","true"
"lipi_numeric_clean_candidate","region","Lower Indus","1282","6029","true"
"lipi_numeric_clean_candidate","region","Gujarat/Kutch","90","437","true"
"lipi_numeric_clean_candidate","region","Inter-Riverine","1486","5105","true"
