"class","type","count","share_within_class"
"??","SEAL:S","355","0.264728"
"??","TAB:B","220","0.164057"
"??","TAB:I","212","0.158091"
"??","POT:T:g","167","0.124534"
"??","TAG","105","0.0783"
"??","SEAL:R","87","0.064877"
"??","SEAL","38","0.028337"
"??","MISC","28","0.02088"
"??","TAB:C","25","0.018643"
"??","TAG:L","23","0.017151"
"??","POT:T:s","16","0.011931"
"??","ROD","16","0.011931"
"??","SEAL:C","14","0.01044"
"??","BNGL","5","0.003729"
"??","POT:T:p","4","0.002983"
"??","IMPL","3","0.002237"
"??","SEAL:CY","3","0.002237"
"??","TAG:C","3","0.002237"
"??","TAG:O","3","0.002237"
"??","TAG:P","3","0.002237"
"??","TAG:PC","3","0.002237"
"??","TAG:W","3","0.002237"
"??","MDLN","2","0.001491"
"??","POT:D","1","0.000746"
"??","POT:T:S","1","0.000746"
"??","SEAL:L","1","0.000746"
"2L","SEAL:S","52","0.825397"
"2L","POT:T:g","5","0.079365"
"2L","TAB:C","2","0.031746"
"2L","BNGL","1","0.015873"
"2L","IMPL","1","0.015873"
"2L","SEAL","1","0.015873"
"2L","TAB:B","1","0.015873"
"3L","SEAL:S","2","0.666667"
"3L","IMPL","1","0.333333"
"AN","POT:T:g","8","0.4"
"AN","SEAL:S","4","0.2"
"AN","TAB:B","4","0.2"
"AN","SEAL:R","3","0.15"
"AN","TAB:I","1","0.05"
"CT","SEAL:S","2","0.5"
"CT","SEAL:R","1","0.25"
"CT","TAB:C","1","0.25"
"IC","SEAL:S","6","1"
"IM","SEAL:S","49","0.628205"
"IM","SEAL:R","10","0.128205"
"IM","TAB:B","8","0.102564"
"IM","MISC","2","0.025641"
"IM","TAG","2","0.025641"
"IM","TAG:L","2","0.025641"
"IM","TAG:P","2","0.025641"
"IM","POT:T:g","1","0.012821"
"IM","SEAL","1","0.012821"
"IM","TAB:C","1","0.012821"
"IT","SEAL:S","186","0.673913"
"IT","TAB:B","31","0.112319"
"IT","SEAL:R","23","0.083333"
"IT","TAB:I","10","0.036232"
"IT","TAG:B","10","0.036232"
"IT","TAG","4","0.014493"
"IT","TAB:C","3","0.01087"
"IT","POT:T:s","2","0.007246"
"IT","TAG:L","2","0.007246"
"IT","TAG:P","2","0.007246"
"IT","MISC","1","0.003623"
"IT","POT:T:g","1","0.003623"
"IT","TAG:R","1","0.003623"
"LC","SEAL:S","53","0.417323"
"LC","TAB:B","21","0.165354"
"LC","SEAL:R","17","0.133858"
"LC","TAB:C","14","0.110236"
"LC","TAG","9","0.070866"
"LC","IMPL","4","0.031496"
"LC","SEAL:C","3","0.023622"
"LC","SEAL:CY","2","0.015748"
"LC","MISC","1","0.007874"
"LC","SEAL","1","0.007874"
"LC","TAG:L","1","0.007874"
"LC","TAG:O","1","0.007874"
"LP","SEAL:S","163","0.768868"
"LP","SEAL:R","33","0.15566"
"LP","TAB:B","11","0.051887"
"LP","TAB:I","4","0.018868"
"LP","SEAL","1","0.004717"
"LT","TAB:C","20","0.526316"
"LT","TAB:B","14","0.368421"
"LT","SEAL:R","2","0.052632"
"LT","SEAL:S","2","0.052632"
"MS","SEAL:S","25","0.284091"
"MS","TAB:C","25","0.284091"
"MS","SEAL:R","19","0.215909"
"MS","TAB:B","7","0.079545"
"MS","TAG","5","0.056818"
"MS","TAG:L","5","0.056818"
"MS","TAB:I","1","0.011364"
"MS","TAG:W","1","0.011364"
