"label_filter","shuffle_block","iteration","model","evaluated_rows","label_count","accuracy","macro_f1","macro_recall"
"all_eligible","global","0","majority","1750","12","0.212571","0.029218","0.083333"
"all_eligible","global","0","length","1750","12","0.188571","0.044158","0.077112"
"all_eligible","global","0","type","1750","12","0.216","0.046231","0.086769"
"all_eligible","global","0","site","1750","12","0.197714","0.032515","0.078376"
"all_eligible","global","0","type_site","1750","12","0.190857","0.050726","0.08027"
"all_eligible","global","0","length_type_site","1750","12","0.176","0.056468","0.075705"
"all_eligible","global","0","edge_frame","1750","12","0.182286","0.051959","0.077403"
"all_eligible","global","0","token_nb","1750","12","0.18","0.063225","0.079826"
"all_eligible","global","1","majority","1750","12","0.212571","0.029218","0.083333"
"all_eligible","global","1","length","1750","12","0.214286","0.049448","0.087581"
"all_eligible","global","1","type","1750","12","0.209143","0.049774","0.08568"
"all_eligible","global","1","site","1750","12","0.204571","0.030615","0.080735"
"all_eligible","global","1","type_site","1750","12","0.211429","0.056958","0.088338"
"all_eligible","global","1","length_type_site","1750","12","0.189143","0.073257","0.086547"
"all_eligible","global","1","edge_frame","1750","12","0.198857","0.059766","0.086072"
"all_eligible","global","1","token_nb","1750","12","0.199429","0.067288","0.087648"
"all_eligible","global","2","majority","1750","12","0.212571","0.029218","0.083333"
"all_eligible","global","2","length","1750","12","0.203429","0.028471","0.079749"
"all_eligible","global","2","type","1750","12","0.210286","0.052403","0.087306"
"all_eligible","global","2","site","1750","12","0.207429","0.033482","0.081656"
"all_eligible","global","2","type_site","1750","12","0.179429","0.055685","0.078539"
"all_eligible","global","2","length_type_site","1750","12","0.160571","0.066394","0.076436"
"all_eligible","global","2","edge_frame","1750","12","0.18","0.055106","0.080002"
"all_eligible","global","2","token_nb","1750","12","0.186857","0.071075","0.085225"
"all_eligible","global","3","majority","1750","12","0.212571","0.029218","0.083333"
"all_eligible","global","3","length","1750","12","0.217714","0.053357","0.089908"
"all_eligible","global","3","type","1750","12","0.205143","0.042422","0.081932"
"all_eligible","global","3","site","1750","12","0.205714","0.032709","0.081156"
"all_eligible","global","3","type_site","1750","12","0.205143","0.049804","0.084044"
"all_eligible","global","3","length_type_site","1750","12","0.173143","0.060389","0.076708"
"all_eligible","global","3","edge_frame","1750","12","0.193714","0.078745","0.09541"
"all_eligible","global","3","token_nb","1750","12","0.160571","0.056674","0.07159"
"all_eligible","global","4","majority","1750","12","0.212571","0.029218","0.083333"
"all_eligible","global","4","length","1750","12","0.165143","0.029363","0.065378"
"all_eligible","global","4","type","1750","12","0.197714","0.030975","0.077959"
"all_eligible","global","4","site","1750","12","0.102857","0.030065","0.042744"
"all_eligible","global","4","type_site","1750","12","0.197143","0.058015","0.084743"
"all_eligible","global","4","length_type_site","1750","12","0.166857","0.067021","0.078083"
"all_eligible","global","4","edge_frame","1750","12","0.193714","0.065019","0.087348"
"all_eligible","global","4","token_nb","1750","12","0.176","0.068449","0.081445"
"all_eligible","global","5","majority","1750","12","0.212571","0.029218","0.083333"
"all_eligible","global","5","length","1750","12","0.177714","0.032428","0.07058"
"all_eligible","global","5","type","1750","12","0.209714","0.049187","0.085345"
"all_eligible","global","5","site","1750","12","0.222286","0.061517","0.095782"
"all_eligible","global","5","type_site","1750","12","0.220571","0.068872","0.096503"
"all_eligible","global","5","length_type_site","1750","12","0.174286","0.066784","0.080712"
"all_eligible","global","5","edge_frame","1750","12","0.194857","0.058793","0.08308"
"all_eligible","global","5","token_nb","1750","12","0.168571","0.062505","0.076239"
"all_eligible","global","6","majority","1750","12","0.212571","0.029218","0.083333"
"all_eligible","global","6","length","1750","12","0.169714","0.038253","0.068937"
"all_eligible","global","6","type","1750","12","0.203429","0.040404","0.081163"
"all_eligible","global","6","site","1750","12","0.217143","0.04971","0.090141"
"all_eligible","global","6","type_site","1750","12","0.201714","0.053283","0.084364"
"all_eligible","global","6","length_type_site","1750","12","0.181143","0.076908","0.088475"
"all_eligible","global","6","edge_frame","1750","12","0.180571","0.05185","0.078287"
"all_eligible","global","6","token_nb","1750","12","0.171429","0.064312","0.077742"
"all_eligible","global","7","majority","1750","12","0.212571","0.029218","0.083333"
"all_eligible","global","7","length","1750","12","0.216","0.040607","0.086507"
"all_eligible","global","7","type","1750","12","0.173143","0.033054","0.069092"
"all_eligible","global","7","site","1750","12","0.210857","0.033893","0.083295"
"all_eligible","global","7","type_site","1750","12","0.178286","0.047426","0.074099"
"all_eligible","global","7","length_type_site","1750","12","0.142286","0.049204","0.062848"
"all_eligible","global","7","edge_frame","1750","12","0.202286","0.077581","0.096999"
"all_eligible","global","7","token_nb","1750","12","0.171429","0.068093","0.079586"
"all_eligible","global","8","majority","1750","12","0.212571","0.029218","0.083333"
"all_eligible","global","8","length","1750","12","0.222286","0.056343","0.091394"
"all_eligible","global","8","type","1750","12","0.218286","0.059937","0.09283"
"all_eligible","global","8","site","1750","12","0.208","0.035889","0.082354"
"all_eligible","global","8","type_site","1750","12","0.219429","0.065644","0.095231"
"all_eligible","global","8","length_type_site","1750","12","0.209143","0.071052","0.09168"
"all_eligible","global","8","edge_frame","1750","12","0.192571","0.060431","0.085456"
"all_eligible","global","8","token_nb","1750","12","0.193143","0.067165","0.085352"
"all_eligible","global","9","majority","1750","12","0.212571","0.029218","0.083333"
"all_eligible","global","9","length","1750","12","0.223429","0.056743","0.093692"
"all_eligible","global","9","type","1750","12","0.202857","0.039348","0.080542"
"all_eligible","global","9","site","1750","12","0.211429","0.036878","0.083502"
"all_eligible","global","9","type_site","1750","12","0.207429","0.051789","0.084991"
"all_eligible","global","9","length_type_site","1750","12","0.186857","0.076264","0.087983"
"all_eligible","global","9","edge_frame","1750","12","0.190286","0.05775","0.082684"
