"label_filter","shuffle_block","model","observed_accuracy","null_accuracy_mean","null_accuracy_p95","observed_minus_null_mean","null_iterations_ge_observed_accuracy","observed_macro_f1","null_macro_f1_mean","null_macro_f1_p95","observed_minus_null_macro_f1_mean","null_iterations_ge_observed_macro_f1"
"all_eligible","global","majority","0.212571","0.212571","0.212571","0","20","0.029218","0.029218","0.029218","0","20"
"all_eligible","global","length","0.399429","0.204743","0.222886","0.194686","0","0.195489","0.046151","0.056363","0.149338","0"
"all_eligible","global","type","0.220571","0.208171","0.220057","0.0124","1","0.081902","0.043191","0.056821","0.03871","0"
"all_eligible","global","site","0.207429","0.204886","0.219571","0.002543","13","0.066772","0.038034","0.050301","0.028737","0"
"all_eligible","global","type_site","0.222286","0.199943","0.219486","0.022343","0","0.113611","0.052893","0.065805","0.060718","0"
"all_eligible","global","length_type_site","0.374286","0.178343","0.2048","0.195943","0","0.221261","0.066484","0.077376","0.154777","0"
"all_eligible","global","edge_frame","0.390857","0.189229","0.202343","0.201629","0","0.263002","0.060358","0.07764","0.202645","0"
"all_eligible","global","token_nb","0.525714","0.182029","0.202429","0.343686","0","0.3562","0.066391","0.073336","0.289808","0"
"all_eligible","length","majority","0.212571","0.212571","0.212571","0","20","0.029218","0.029218","0.029218","0","20"
"all_eligible","length","length","0.399429","0.399429","0.399429","0","20","0.195489","0.195489","0.195489","0","20"
"all_eligible","length","type","0.220571","0.208943","0.223629","0.011629","5","0.081902","0.057567","0.072245","0.024335","0"
"all_eligible","length","site","0.207429","0.210743","0.220114","-0.003314","13","0.066772","0.036945","0.044408","0.029826","0"
"all_eligible","length","type_site","0.222286","0.205686","0.2248","0.0166","3","0.113611","0.061738","0.073237","0.051873","0"
"all_eligible","length","length_type_site","0.374286","0.3438","0.359914","0.030486","0","0.221261","0.191676","0.210096","0.029585","1"
"all_eligible","length","edge_frame","0.390857","0.2378","0.252657","0.153057","0","0.263002","0.105444","0.121592","0.157559","0"
"all_eligible","length","token_nb","0.525714","0.2376","0.252714","0.288114","0","0.3562","0.112016","0.12155","0.244184","0"
"all_eligible","type","majority","0.212571","0.212571","0.212571","0","20","0.029218","0.029218","0.029218","0","20"
"all_eligible","type","length","0.399429","0.200514","0.225857","0.198914","0","0.195489","0.052172","0.066198","0.143317","0"
"all_eligible","type","type","0.220571","0.220571","0.220571","0","20","0.081902","0.081902","0.081902","0","20"
"all_eligible","type","site","0.207429","0.200629","0.216771","0.0068","11","0.066772","0.037558","0.048685","0.029213","0"
"all_eligible","type","type_site","0.222286","0.199743","0.2326","0.022543","4","0.113611","0.083253","0.10652","0.030358","0"
"all_eligible","type","length_type_site","0.374286","0.188143","0.213171","0.186143","0","0.221261","0.09682","0.110287","0.124441","0"
"all_eligible","type","edge_frame","0.390857","0.196657","0.207543","0.1942","0","0.263002","0.062161","0.071682","0.200841","0"
"all_eligible","type","token_nb","0.525714","0.1858","0.205","0.339914","0","0.3562","0.07308","0.081803","0.28312","0"
"all_eligible","site","majority","0.212571","0.212571","0.212571","0","20","0.029218","0.029218","0.029218","0","20"
"all_eligible","site","length","0.399429","0.198457","0.226314","0.200971","0","0.195489","0.044293","0.059285","0.151196","0"
"all_eligible","site","type","0.220571","0.206743","0.222343","0.013829","2","0.081902","0.04728","0.059167","0.034621","0"
"all_eligible","site","site","0.207429","0.207429","0.207429","0","20","0.066772","0.066772","0.066772","0","20"
"all_eligible","site","type_site","0.222286","0.198286","0.221257","0.024","1","0.113611","0.08508","0.101347","0.028531","0"
"all_eligible","site","length_type_site","0.374286","0.191","0.214657","0.183286","0","0.221261","0.092621","0.10667","0.12864","0"
"all_eligible","site","edge_frame","0.390857","0.192943","0.2088","0.197914","0","0.263002","0.060195","0.071514","0.202807","0"
"all_eligible","site","token_nb","0.525714","0.183457","0.198229","0.342257","0","0.3562","0.067274","0.070765","0.288926","0"
"all_eligible","type_site","majority","0.212571","0.212571","0.212571","0","20","0.029218","0.029218","0.029218","0","20"
"all_eligible","type_site","length","0.399429","0.2046","0.222886","0.194829","0","0.195489","0.055849","0.070408","0.13964","0"
"all_eligible","type_site","type","0.220571","0.220571","0.220571","0","20","0.081902","0.081902","0.081902","0","20"
"all_eligible","type_site","site","0.207429","0.207429","0.207429","0","20","0.066772","0.066772","0.066772","0","20"
"all_eligible","type_site","type_site","0.222286","0.222286","0.222286","0","20","0.113611","0.113611","0.113611","0","20"
"all_eligible","type_site","length_type_site","0.374286","0.208771","0.237143","0.165514","0","0.221261","0.117999","0.141899","0.103262","0"
"all_eligible","type_site","edge_frame","0.390857","0.1992","0.210429","0.191657","0","0.263002","0.065375","0.076349","0.197628","0"
"all_eligible","type_site","token_nb","0.525714","0.189086","0.201914","0.336629","0","0.3562","0.077096","0.086569","0.279104","0"
"all_eligible","length_type_site","majority","0.212571","0.212571","0.212571","0","20","0.029218","0.029218","0.029218","0","20"
"all_eligible","length_type_site","length","0.399429","0.399429","0.399429","0","20","0.195489","0.195489","0.195489","0","20"
"all_eligible","length_type_site","type","0.220571","0.220571","0.220571","0","20","0.081902","0.081902","0.081902","0","20"
"all_eligible","length_type_site","site","0.207429","0.207429","0.207429","0","20","0.066772","0.066772","0.066772","0","20"
"all_eligible","length_type_site","type_site","0.222286","0.222286","0.222286","0","20","0.113611","0.113611","0.113611","0","20"
"all_eligible","length_type_site","length_type_site","0.374286","0.374286","0.374286","0","20","0.221261","0.221261","0.221261","0","20"
"all_eligible","length_type_site","edge_frame","0.390857","0.252943","0.2632","0.137914","0","0.263002","0.119618","0.136782","0.143384","0"
"all_eligible","length_type_site","token_nb","0.525714","0.254029","0.269457","0.271686","0","0.3562","0.127197","0.135559","0.229003","0"
"source_proxy_ge_0_80_removed","global","majority","0.215153","0.215153","0.215153","0","20","0.032192","0.032192","0.032192","0","20"
"source_proxy_ge_0_80_removed","global","length","0.40428","0.202487","0.222238","0.201793","0","0.214743","0.048033","0.058757","0.16671","0"
"source_proxy_ge_0_80_removed","global","type","0.22325","0.202834","0.218074","0.020416","0","0.089924","0.043959","0.053514","0.045965","0"
"source_proxy_ge_0_80_removed","global","site","0.208791","0.21044","0.216194","-0.001648","13","0.057516","0.040519","0.048955","0.016997","0"
"source_proxy_ge_0_80_removed","global","type_site","0.224986","0.201215","0.2155","0.023771","0","0.111363","0.055591","0.067289","0.055772","0"
"source_proxy_ge_0_80_removed","global","length_type_site","0.378832","0.179844","0.200896","0.198988","0","0.229566","0.074365","0.089283","0.155201","0"
"source_proxy_ge_0_80_removed","global","edge_frame","0.395604","0.194361","0.202313","0.201243","0","0.287427","0.064713","0.072051","0.222713","0"
"source_proxy_ge_0_80_removed","global","token_nb","0.533256","0.188346","0.206912","0.34491","0","0.393925","0.074673","0.083249","0.319252","0"
"source_proxy_ge_0_80_removed","length","majority","0.215153","0.215153","0.215153","0","20","0.032192","0.032192","0.032192","0","20"
"source_proxy_ge_0_80_removed","length","length","0.40428","0.40428","0.40428","0","20","0.214743","0.214743","0.214743","0","20"
"source_proxy_ge_0_80_removed","length","type","0.22325","0.208271","0.224436","0.01498","4","0.089924","0.058694","0.079703","0.03123","0"
"source_proxy_ge_0_80_removed","length","site","0.208791","0.206709","0.226027","0.002082","15","0.057516","0.044638","0.063212","0.012878","3"
"source_proxy_ge_0_80_removed","length","type_site","0.224986","0.200289","0.220388","0.024696","0","0.111363","0.065171","0.085371","0.046192","0"
"source_proxy_ge_0_80_removed","length","length_type_site","0.378832","0.35642","0.384182","0.022412","3","0.229566","0.211527","0.237282","0.018039","4"
"source_proxy_ge_0_80_removed","length","edge_frame","0.395604","0.239069","0.251243","0.156536","0","0.287427","0.113057","0.1285","0.17437","0"
"source_proxy_ge_0_80_removed","length","token_nb","0.533256","0.24063","0.256883","0.292626","0","0.393925","0.125192","0.135574","0.268733","0"
"source_proxy_ge_0_80_removed","type","majority","0.215153","0.215153","0.215153","0","20","0.032192","0.032192","0.032192","0","20"
"source_proxy_ge_0_80_removed","type","length","0.40428","0.201677","0.223395","0.202603","0","0.214743","0.054345","0.070541","0.160398","0"
"source_proxy_ge_0_80_removed","type","type","0.22325","0.22325","0.22325","0","20","0.089924","0.089924","0.089924","0","20"
"source_proxy_ge_0_80_removed","type","site","0.208791","0.214199","0.22166","-0.005408","17","0.057516","0.045782","0.064396","0.011734","2"
