"policy","stratum_kind","stratum_value","model","evaluated_rows","label_count","labels","majority_label","majority_share","accuracy","macro_f1","macro_recall"
"exact_sequence_collapsed","overall","all","majority","1750","12","IM;IT;LC;LP;LT;MS;MT;PN;SC;SP;SS;VX","SC","0.212571","0.212571","0.029218","0.083333"
"exact_sequence_collapsed","overall","all","length","1750","12","IM;IT;LC;LP;LT;MS;MT;PN;SC;SP;SS;VX","SC","0.212571","0.399429","0.195489","0.23156"
"exact_sequence_collapsed","overall","all","edge_frame","1750","12","IM;IT;LC;LP;LT;MS;MT;PN;SC;SP;SS;VX","SC","0.212571","0.496571","0.327323","0.324714"
"exact_sequence_collapsed","overall","all","token_nb","1750","12","IM;IT;LC;LP;LT;MS;MT;PN;SC;SP;SS;VX","SC","0.212571","0.525714","0.3562","0.354719"
"exact_sequence_collapsed","site","Harappa","majority","605","10","IM;IT;LC;LP;MS;MT;SC;SP;SS;VX","SC","0.277686","0.277686","0.043467","0.1"
"exact_sequence_collapsed","site","Harappa","length","605","10","IM;IT;LC;LP;MS;MT;SC;SP;SS;VX","SC","0.277686","0.393388","0.201493","0.264066"
"exact_sequence_collapsed","site","Harappa","edge_frame","605","10","IM;IT;LC;LP;MS;MT;SC;SP;SS;VX","SC","0.277686","0.461157","0.36624","0.354381"
"exact_sequence_collapsed","site","Harappa","token_nb","605","10","IM;IT;LC;LP;MS;MT;SC;SP;SS;VX","SC","0.277686","0.519008","0.361281","0.3676"
"exact_sequence_collapsed","site","Mohenjo-daro","majority","937","9","IM;IT;LC;LP;MS;MT;SC;SP;SS","IT","0.18143","0.18143","0.034126","0.111111"
"exact_sequence_collapsed","site","Mohenjo-daro","length","937","9","IM;IT;LC;LP;MS;MT;SC;SP;SS","IT","0.18143","0.430096","0.308802","0.337802"
"exact_sequence_collapsed","site","Mohenjo-daro","edge_frame","937","9","IM;IT;LC;LP;MS;MT;SC;SP;SS","IT","0.18143","0.495197","0.396099","0.409082"
"exact_sequence_collapsed","site","Mohenjo-daro","token_nb","937","9","IM;IT;LC;LP;MS;MT;SC;SP;SS","IT","0.18143","0.506937","0.453725","0.440778"
"exact_sequence_collapsed","type","SEAL:R","majority","174","7","IT;LC;LP;MS;MT;SC;SS","SC","0.195402","0.195402","0.046703","0.142857"
"exact_sequence_collapsed","type","SEAL:R","length","174","7","IT;LC;LP;MS;MT;SC;SS","SC","0.195402","0.408046","0.275975","0.332357"
"exact_sequence_collapsed","type","SEAL:R","edge_frame","174","7","IT;LC;LP;MS;MT;SC;SS","SC","0.195402","0.431034","0.318066","0.356166"
"exact_sequence_collapsed","type","SEAL:R","token_nb","174","7","IT;LC;LP;MS;MT;SC;SS","SC","0.195402","0.534483","0.519803","0.534293"
"exact_sequence_collapsed","type","SEAL:S","majority","962","9","IM;IT;LC;LP;MS;MT;SC;SP;SS","IT","0.181913","0.181913","0.034203","0.111111"
"exact_sequence_collapsed","type","SEAL:S","length","962","9","IM;IT;LC;LP;MS;MT;SC;SP;SS","IT","0.181913","0.461538","0.289766","0.321252"
"exact_sequence_collapsed","type","SEAL:S","edge_frame","962","9","IM;IT;LC;LP;MS;MT;SC;SP;SS","IT","0.181913","0.532225","0.4149","0.411085"
"exact_sequence_collapsed","type","SEAL:S","token_nb","962","9","IM;IT;LC;LP;MS;MT;SC;SP;SS","IT","0.181913","0.466736","0.361835","0.367795"
"exact_sequence_collapsed","type","TAB:B","majority","248","6","IT;LC;MT;SC;SP;SS","SS","0.298387","0.298387","0.076605","0.166667"
"exact_sequence_collapsed","type","TAB:B","length","248","6","IT;LC;MT;SC;SP;SS","SS","0.298387","0.298387","0.205291","0.321242"
"exact_sequence_collapsed","type","TAB:B","edge_frame","248","6","IT;LC;MT;SC;SP;SS","SS","0.298387","0.354839","0.315607","0.386878"
"exact_sequence_collapsed","type","TAB:B","token_nb","248","6","IT;LC;MT;SC;SP;SS","SS","0.298387","0.520161","0.517826","0.517136"
"exact_sequence_collapsed","type","TAB:I","majority","122","3","MT;SC;SS","SC","0.442623","0.442623","0.204545","0.333333"
"exact_sequence_collapsed","type","TAB:I","length","122","3","MT;SC;SS","SC","0.442623","0.442623","0.327075","0.35264"
"exact_sequence_collapsed","type","TAB:I","edge_frame","122","3","MT;SC;SS","SC","0.442623","0.557377","0.555773","0.545762"
"exact_sequence_collapsed","type","TAB:I","token_nb","122","3","MT;SC;SS","SC","0.442623","0.729508","0.729142","0.740441"
"exact_sequence_collapsed","type_site","SEAL:R@Mohenjo-daro","majority","94","6","IT;LC;LP;MT;SC;SS","LP","0.191489","0","0","0"
"exact_sequence_collapsed","type_site","SEAL:R@Mohenjo-daro","length","94","6","IT;LC;LP;MT;SC;SS","LP","0.191489","0.297872","0.269172","0.277317"
"exact_sequence_collapsed","type_site","SEAL:R@Mohenjo-daro","edge_frame","94","6","IT;LC;LP;MT;SC;SS","LP","0.191489","0.340426","0.30258","0.316669"
"exact_sequence_collapsed","type_site","SEAL:R@Mohenjo-daro","token_nb","94","6","IT;LC;LP;MT;SC;SS","LP","0.191489","0.457447","0.381449","0.426036"
"exact_sequence_collapsed","type_site","SEAL:S@Harappa","majority","158","6","IT;LP;MT;SC;SP;SS","LP","0.21519","0.21519","0.059028","0.166667"
"exact_sequence_collapsed","type_site","SEAL:S@Harappa","length","158","6","IT;LP;MT;SC;SP;SS","LP","0.21519","0.481013","0.365044","0.416579"
"exact_sequence_collapsed","type_site","SEAL:S@Harappa","edge_frame","158","6","IT;LP;MT;SC;SP;SS","LP","0.21519","0.487342","0.406808","0.431716"
"exact_sequence_collapsed","type_site","SEAL:S@Harappa","token_nb","158","6","IT;LP;MT;SC;SP;SS","LP","0.21519","0.386076","0.321023","0.331777"
"exact_sequence_collapsed","type_site","SEAL:S@Mohenjo-daro","majority","681","9","IM;IT;LC;LP;MS;MT;SC;SP;SS","IT","0.209985","0.209985","0.038565","0.111111"
"exact_sequence_collapsed","type_site","SEAL:S@Mohenjo-daro","length","681","9","IM;IT;LC;LP;MS;MT;SC;SP;SS","IT","0.209985","0.474302","0.296337","0.326411"
"exact_sequence_collapsed","type_site","SEAL:S@Mohenjo-daro","edge_frame","681","9","IM;IT;LC;LP;MS;MT;SC;SP;SS","IT","0.209985","0.518355","0.406568","0.398256"
"exact_sequence_collapsed","type_site","SEAL:S@Mohenjo-daro","token_nb","681","9","IM;IT;LC;LP;MS;MT;SC;SP;SS","IT","0.209985","0.456681","0.348565","0.347265"
"exact_sequence_collapsed","type_site","TAB:B@Harappa","majority","197","5","IT;MT;SC;SP;SS","SC","0.324873","0.324873","0.098084","0.2"
"exact_sequence_collapsed","type_site","TAB:B@Harappa","length","197","5","IT;MT;SC;SP;SS","SC","0.324873","0.294416","0.226614","0.309311"
"exact_sequence_collapsed","type_site","TAB:B@Harappa","edge_frame","197","5","IT;MT;SC;SP;SS","SC","0.324873","0.329949","0.312034","0.33557"
"exact_sequence_collapsed","type_site","TAB:B@Harappa","token_nb","197","5","IT;MT;SC;SP;SS","SC","0.324873","0.527919","0.558656","0.565251"
"exact_sequence_collapsed","type_site","TAB:I@Harappa","majority","118","3","MT;SC;SS","SC","0.432203","0.432203","0.201183","0.333333"
"exact_sequence_collapsed","type_site","TAB:I@Harappa","length","118","3","MT;SC;SS","SC","0.432203","0.423729","0.315102","0.341006"
"exact_sequence_collapsed","type_site","TAB:I@Harappa","edge_frame","118","3","MT;SC;SS","SC","0.432203","0.542373","0.544695","0.535217"
"exact_sequence_collapsed","type_site","TAB:I@Harappa","token_nb","118","3","MT;SC;SS","SC","0.432203","0.720339","0.720004","0.733366"
"edge_frame_collapsed","overall","all","majority","1354","11","IM;IT;LC;LP;MS;MT;PN;SC;SP;SS;VX","SC","0.252585","0.252585","0.036664","0.090909"
"edge_frame_collapsed","overall","all","length","1354","11","IM;IT;LC;LP;MS;MT;PN;SC;SP;SS;VX","SC","0.252585","0.414328","0.18716","0.239163"
"edge_frame_collapsed","overall","all","edge_frame","1354","11","IM;IT;LC;LP;MS;MT;PN;SC;SP;SS;VX","SC","0.252585","0.414328","0.18716","0.239163"
"edge_frame_collapsed","overall","all","token_nb","1354","11","IM;IT;LC;LP;MS;MT;PN;SC;SP;SS;VX","SC","0.252585","0.496307","0.354094","0.346324"
"edge_frame_collapsed","site","Harappa","majority","485","9","IM;IT;LC;LP;MT;SC;SP;SS;VX","SC","0.307216","0.307216","0.052226","0.111111"
"edge_frame_collapsed","site","Harappa","length","485","9","IM;IT;LC;LP;MT;SC;SP;SS;VX","SC","0.307216","0.391753","0.227315","0.270063"
"edge_frame_collapsed","site","Harappa","edge_frame","485","9","IM;IT;LC;LP;MT;SC;SP;SS;VX","SC","0.307216","0.391753","0.227315","0.270063"
"edge_frame_collapsed","site","Harappa","token_nb","485","9","IM;IT;LC;LP;MT;SC;SP;SS;VX","SC","0.307216","0.538144","0.363823","0.369709"
"edge_frame_collapsed","site","Mohenjo-daro","majority","705","9","IM;IT;LC;LP;MS;MT;SC;SP;SS","SC","0.219858","0.219858","0.040052","0.111111"
"edge_frame_collapsed","site","Mohenjo-daro","length","705","9","IM;IT;LC;LP;MS;MT;SC;SP;SS","SC","0.219858","0.438298","0.277594","0.326497"
"edge_frame_collapsed","site","Mohenjo-daro","edge_frame","705","9","IM;IT;LC;LP;MS;MT;SC;SP;SS","SC","0.219858","0.438298","0.277594","0.326497"
"edge_frame_collapsed","site","Mohenjo-daro","token_nb","705","9","IM;IT;LC;LP;MS;MT;SC;SP;SS","SC","0.219858","0.46383","0.400444","0.389502"
"edge_frame_collapsed","type","SEAL:R","majority","136","7","IT;LC;LP;MS;MT;SC;SS","SC","0.242647","0.242647","0.05579","0.142857"
"edge_frame_collapsed","type","SEAL:R","length","136","7","IT;LC;LP;MS;MT;SC;SS","SC","0.242647","0.397059","0.284445","0.31016"
"edge_frame_collapsed","type","SEAL:R","edge_frame","136","7","IT;LC;LP;MS;MT;SC;SS","SC","0.242647","0.397059","0.284445","0.31016"
"edge_frame_collapsed","type","SEAL:R","token_nb","136","7","IT;LC;LP;MS;MT;SC;SS","SC","0.242647","0.367647","0.318604","0.342564"
"edge_frame_collapsed","type","SEAL:S","majority","739","9","IM;IT;LC;LP;MS;MT;SC;SP;SS","SC","0.212449","0.212449","0.038938","0.111111"
"edge_frame_collapsed","type","SEAL:S","length","739","9","IM;IT;LC;LP;MS;MT;SC;SP;SS","SC","0.212449","0.479026","0.292863","0.326974"
"edge_frame_collapsed","type","SEAL:S","edge_frame","739","9","IM;IT;LC;LP;MS;MT;SC;SP;SS","SC","0.212449","0.479026","0.292863","0.326974"
"edge_frame_collapsed","type","SEAL:S","token_nb","739","9","IM;IT;LC;LP;MS;MT;SC;SP;SS","SC","0.212449","0.434371","0.303767","0.311891"
"edge_frame_collapsed","type","TAB:B","majority","188","5","IT;LC;MT;SC;SS","SS","0.345745","0.345745","0.102767","0.2"
"edge_frame_collapsed","type","TAB:B","length","188","5","IT;LC;MT;SC;SS","SS","0.345745","0.351064","0.268513","0.367345"
