"target","model","rows","labels","accuracy","macro_f1","macro_recall"
"horizontal_bin","majority","1682","4","0.39893","0.142584","0.25"
"horizontal_bin","length_type_site","1682","4","0.485731","0.413637","0.398935"
"horizontal_bin","material_shape","1682","4","0.471463","0.30223","0.332844"
"horizontal_bin","edge_frame","1682","4","0.4239","0.240879","0.280884"
"horizontal_bin","edge_class_frame","1682","4","0.477408","0.334216","0.338875"
"horizontal_bin","hard_proxy","1682","4","0.488704","0.415585","0.400179"
"horizontal_bin","hard_proxy_edge_class","1682","4","0.467301","0.350585","0.349047"
"horizontal_bin","token_nb","1682","4","0.444114","0.314026","0.31898"
"vertical_bin","majority","1609","4","0.356122","0.131302","0.25"
"vertical_bin","length_type_site","1609","4","0.627098","0.562599","0.579564"
"vertical_bin","material_shape","1609","4","0.597265","0.475754","0.531211"
"vertical_bin","edge_frame","1609","4","0.357986","0.234146","0.277194"
"vertical_bin","edge_class_frame","1609","4","0.4133","0.383506","0.385527"
"vertical_bin","hard_proxy","1609","4","0.53325","0.482291","0.480739"
"vertical_bin","hard_proxy_edge_class","1609","4","0.435053","0.374459","0.376112"
"vertical_bin","token_nb","1609","4","0.465507","0.430971","0.424598"
"thickness_bin","majority","844","4","0.436019","0.151815","0.25"
"thickness_bin","length_type_site","844","4","0.554502","0.416074","0.423079"
"thickness_bin","material_shape","844","4","0.531991","0.377156","0.409483"
"thickness_bin","edge_frame","844","4","0.418246","0.203793","0.253805"
"thickness_bin","edge_class_frame","844","4","0.42654","0.273337","0.279071"
"thickness_bin","hard_proxy","844","4","0.546209","0.404728","0.405203"
"thickness_bin","hard_proxy_edge_class","844","4","0.464455","0.313215","0.317497"
"thickness_bin","token_nb","844","4","0.482227","0.310822","0.31668"
"area_bin","majority","1600","4","0.37375","0.136033","0.25"
"area_bin","length_type_site","1600","4","0.588125","0.537279","0.538085"
"area_bin","material_shape","1600","4","0.555","0.434952","0.483014"
"area_bin","edge_frame","1600","4","0.356875","0.210031","0.26003"
"area_bin","edge_class_frame","1600","4","0.4325","0.398221","0.395967"
"area_bin","hard_proxy","1600","4","0.50625","0.463811","0.452727"
"area_bin","hard_proxy_edge_class","1600","4","0.451875","0.390614","0.380883"
"area_bin","token_nb","1600","4","0.441875","0.384212","0.381165"
"aspect_bin","majority","1595","3","0.618182","0.254682","0.333333"
"aspect_bin","length_type_site","1595","3","0.828213","0.740582","0.740198"
"aspect_bin","material_shape","1595","3","0.838245","0.721551","0.719121"
"aspect_bin","edge_frame","1595","3","0.618809","0.354972","0.376749"
"aspect_bin","edge_class_frame","1595","3","0.605016","0.318113","0.353985"
"aspect_bin","hard_proxy","1595","3","0.786207","0.665549","0.639737"
"aspect_bin","hard_proxy_edge_class","1595","3","0.705956","0.513468","0.49179"
"aspect_bin","token_nb","1595","3","0.638871","0.459526","0.45171"
