"sign","token_count","family_count","provisional_class","initial_count","medial_count","terminal_count","single_count","initial_share","medial_share","terminal_share","single_share"
"740","885","876","initial","636","246","3","0","0.718644","0.277966","0.00339","0"
"002","455","455","medial","10","439","6","0","0.021978","0.964835","0.013187","0"
"032","213","205","distributed","15","149","49","0","0.070423","0.699531","0.230047","0"
"220","209","206","medial","11","173","25","0","0.052632","0.827751","0.119617","0"
"400","203","199","initial","181","22","0","0","0.891626","0.108374","0","0"
"240","175","175","medial","0","136","39","0","0","0.777143","0.222857","0"
"520","155","154","initial","130","24","1","0","0.83871","0.154839","0.006452","0"
"390","149","144","distributed","67","75","7","0","0.449664","0.503356","0.04698","0"
"060","145","145","medial","0","144","1","0","0","0.993103","0.006897","0"
"861","144","144","terminal","7","39","98","0","0.048611","0.270833","0.680556","0"
"820","142","138","terminal","11","22","109","0","0.077465","0.15493","0.767606","0"
"033","140","135","medial","7","108","25","0","0.05","0.771429","0.178571","0"
"235","129","129","distributed","1","82","46","0","0.007752","0.635659","0.356589","0"
"741","127","126","medial","2","110","15","0","0.015748","0.866142","0.11811","0"
"031","124","119","distributed","13","71","40","0","0.104839","0.572581","0.322581","0"
"233","121","121","medial","1","97","23","0","0.008264","0.801653","0.190083","0"
"817","120","120","terminal","1","10","109","0","0.008333","0.083333","0.908333","0"
"001","105","104","medial","7","93","5","0","0.066667","0.885714","0.047619","0"
"590","103","103","medial","6","73","24","0","0.058252","0.708738","0.23301","0"
"003","95","95","distributed","2","60","33","0","0.021053","0.631579","0.347368","0"
"705","94","94","medial","2","74","18","0","0.021277","0.787234","0.191489","0"
"920","91","89","terminal","3","32","56","0","0.032967","0.351648","0.615385","0"
"803","85","85","distributed","0","57","28","0","0","0.670588","0.329412","0"
"090","84","82","initial","64","14","6","0","0.761905","0.166667","0.071429","0"
"798","83","83","medial","0","68","15","0","0","0.819277","0.180723","0"
"176","81","81","medial","1","65","15","0","0.012346","0.802469","0.185185","0"
"415","79","79","medial","3","57","19","0","0.037975","0.721519","0.240506","0"
"806","74","73","distributed","1","48","25","0","0.013514","0.648649","0.337838","0"
"100","73","73","medial","1","70","2","0","0.013699","0.958904","0.027397","0"
"368","70","69","distributed","20","47","3","0","0.285714","0.671429","0.042857","0"
"760","68","68","medial","1","66","1","0","0.014706","0.970588","0.014706","0"
"550","64","63","distributed","4","35","25","0","0.0625","0.546875","0.390625","0"
"140","62","62","distributed","3","31","28","0","0.048387","0.5","0.451613","0"
"255","62","62","medial","2","44","16","0","0.032258","0.709677","0.258065","0"
"700","55","55","edge_mixed","29","14","12","0","0.527273","0.254545","0.218182","0"
"231","53","53","medial","0","42","11","0","0","0.792453","0.207547","0"
"840","53","53","medial","2","40","11","0","0.037736","0.754717","0.207547","0"
"151","52","52","initial","45","7","0","0","0.865385","0.134615","0","0"
"690","52","52","distributed","9","36","7","0","0.173077","0.692308","0.134615","0"
"900","50","49","medial","1","40","9","0","0.02","0.8","0.18","0"
"004","49","49","distributed","0","33","16","0","0","0.673469","0.326531","0"
"405","48","48","distributed","25","22","1","0","0.520833","0.458333","0.020833","0"
"017","47","47","medial","0","38","9","0","0","0.808511","0.191489","0"
"407","47","45","initial","33","14","0","0","0.702128","0.297872","0","0"
"706","47","47","medial","2","34","11","0","0.042553","0.723404","0.234043","0"
"527","44","44","initial","38","4","2","0","0.863636","0.090909","0.045455","0"
"692","43","43","terminal","2","5","36","0","0.046512","0.116279","0.837209","0"
"617","42","42","edge_mixed","25","9","8","0","0.595238","0.214286","0.190476","0"
"061","41","41","medial","0","32","9","0","0","0.780488","0.219512","0"
"125","41","41","distributed","3","25","13","0","0.073171","0.609756","0.317073","0"
"575","40","40","distributed","1","23","16","0","0.025","0.575","0.4","0"
"142","37","37","medial","1","26","10","0","0.027027","0.702703","0.27027","0"
"435","35","35","medial","3","31","1","0","0.085714","0.885714","0.028571","0"
"503","34","34","distributed","1","16","17","0","0.029412","0.470588","0.5","0"
"156","33","33","initial","25","7","1","0","0.757576","0.212121","0.030303","0"
"904","33","30","medial","2","27","4","0","0.060606","0.818182","0.121212","0"
"055","31","31","distributed","0","21","10","0","0","0.677419","0.322581","0"
"717","31","31","distributed","1","19","11","0","0.032258","0.612903","0.354839","0"
"892","31","31","distributed","8","15","8","0","0.258065","0.483871","0.258065","0"
"005","28","28","distributed","0","16","12","0","0","0.571429","0.428571","0"
"154","28","28","initial","22","6","0","0","0.785714","0.214286","0","0"
"388","28","28","distributed","1","19","8","0","0.035714","0.678571","0.285714","0"
"440","28","28","medial","1","21","6","0","0.035714","0.75","0.214286","0"
"455","27","27","distributed","3","18","6","0","0.111111","0.666667","0.222222","0"
"585","27","27","medial","1","26","0","0","0.037037","0.962963","0","0"
"595","27","27","distributed","8","17","2","0","0.296296","0.62963","0.074074","0"
"615","27","27","medial","2","19","6","0","0.074074","0.703704","0.222222","0"
"350","26","26","medial","1","21","4","0","0.038462","0.807692","0.153846","0"
"016","25","25","distributed","2","14","9","0","0.08","0.56","0.36","0"
"070","25","25","medial","0","22","3","0","0","0.88","0.12","0"
"460","25","25","medial","0","24","1","0","0","0.96","0.04","0"
"923","25","25","medial","0","23","2","0","0","0.92","0.08","0"
"742","23","23","medial","1","19","3","0","0.043478","0.826087","0.130435","0"
"013","21","21","medial","0","15","6","0","0","0.714286","0.285714","0"
"226","21","21","initial","14","4","3","0","0.666667","0.190476","0.142857","0"
"416","21","21","edge_mixed","4","6","11","0","0.190476","0.285714","0.52381","0"
"790","21","20","distributed","5","10","6","0","0.238095","0.47619","0.285714","0"
"158","19","19","sparse","7","11","1","0","0.368421","0.578947","0.052632","0"
"832","19","19","sparse","4","9","6","0","0.210526","0.473684","0.315789","0"
"850","19","19","sparse","2","11","6","0","0.105263","0.578947","0.315789","0"
"555","17","17","sparse","1","15","1","0","0.058824","0.882353","0.058824","0"
"752","17","17","sparse","0","16","1","0","0","0.941176","0.058824","0"
"236","16","16","sparse","5","9","2","0","0.3125","0.5625","0.125","0"
"482","16","16","sparse","1","13","2","0","0.0625","0.8125","0.125","0"
"745","16","16","sparse","0","11","5","0","0","0.6875","0.3125","0"
"165","15","15","sparse","3","6","6","0","0.2","0.4","0.4","0"
"621","15","15","sparse","10","2","3","0","0.666667","0.133333","0.2","0"
"171","14","14","sparse","0","7","7","0","0","0.5","0.5","0"
"384","14","14","sparse","0","13","1","0","0","0.928571","0.071429","0"
"413","14","14","sparse","3","3","8","0","0.214286","0.214286","0.571429","0"
"495","14","14","sparse","0","8","6","0","0","0.571429","0.428571","0"
"175","13","13","sparse","0","7","6","0","0","0.538462","0.461538","0"
"335","13","13","sparse","0","13","0","0","0","1","0","0"
"630","13","12","sparse","0","10","3","0","0","0.769231","0.230769","0"
"632","13","13","sparse","0","7","6","0","0","0.538462","0.461538","0"
"679","13","13","sparse","11","0","2","0","0.846154","0","0.153846","0"
"845","13","13","sparse","0","13","0","0","0","1","0","0"
"035","12","12","sparse","3","7","2","0","0.25","0.583333","0.166667","0"
"095","12","12","sparse","1","7","4","0","0.083333","0.583333","0.333333","0"
"480","12","12","sparse","1","8","3","0","0.083333","0.666667","0.25","0"
"831","12","12","sparse","0","5","7","0","0","0.416667","0.583333","0"
"877","12","12","sparse","0","7","5","0","0","0.583333","0.416667","0"
"921","12","12","sparse","1","7","4","0","0.083333","0.583333","0.333333","0"
"034","11","11","sparse","2","4","5","0","0.181818","0.363636","0.454545","0"
"072","11","11","sparse","1","5","5","0","0.090909","0.454545","0.454545","0"
"104","11","11","sparse","2","3","6","0","0.181818","0.272727","0.545455","0"
"241","11","11","sparse","9","2","0","0","0.818182","0.181818","0","0"
"297","11","11","sparse","0","10","1","0","0","0.909091","0.090909","0"
"320","11","11","sparse","0","9","2","0","0","0.818182","0.181818","0"
"382","11","10","sparse","1","6","4","0","0.090909","0.545455","0.363636","0"
"491","11","11","sparse","0","2","9","0","0","0.181818","0.818182","0"
"065","10","10","sparse","1","9","0","0","0.1","0.9","0","0"
"097","10","10","sparse","0","6","4","0","0","0.6","0.4","0"
"161","10","10","sparse","10","0","0","0","1","0","0","0"
"565","10","10","sparse","7","2","1","0","0.7","0.2","0.1","0"
"838","10","10","sparse","0","7","3","0","0","0.7","0.3","0"
"190","9","9","sparse","1","4","4","0","0.111111","0.444444","0.444444","0"
"243","9","9","sparse","1","6","2","0","0.111111","0.666667","0.222222","0"
"526","9","9","sparse","9","0","0","0","1","0","0","0"
"645","9","8","sparse","1","7","1","0","0.111111","0.777778","0.111111","0"
"853","9","9","sparse","0","1","8","0","0","0.111111","0.888889","0"
"101","8","8","sparse","0","6","2","0","0","0.75","0.25","0"
"337","8","8","sparse","0","7","1","0","0","0.875","0.125","0"
"360","8","8","sparse","1","3","4","0","0.125","0.375","0.5","0"
"365","8","8","sparse","2","6","0","0","0.25","0.75","0","0"
"406","8","7","sparse","3","4","1","0","0.375","0.5","0.125","0"
"484","8","8","sparse","1","5","2","0","0.125","0.625","0.25","0"
"545","8","8","sparse","0","0","8","0","0","0","1","0"
"554","8","8","sparse","0","6","2","0","0","0.75","0.25","0"
"772","8","8","sparse","0","8","0","0","0","1","0","0"
"773","8","8","sparse","0","7","1","0","0","0.875","0.125","0"
"794","8","8","sparse","0","6","2","0","0","0.75","0.25","0"
"812","8","8","sparse","1","7","0","0","0.125","0.875","0","0"
"821","8","8","sparse","1","3","4","0","0.125","0.375","0.5","0"
"824","8","8","sparse","3","0","5","0","0.375","0","0.625","0"
"015","7","7","sparse","1","2","4","0","0.142857","0.285714","0.571429","0"
"063","7","7","sparse","1","5","1","0","0.142857","0.714286","0.142857","0"
"215","7","7","sparse","4","1","2","0","0.571429","0.142857","0.285714","0"
"222","7","7","sparse","0","6","1","0","0","0.857143","0.142857","0"
"232","7","7","sparse","3","3","1","0","0.428571","0.428571","0.142857","0"
"250","7","7","sparse","2","3","2","0","0.285714","0.428571","0.285714","0"
"260","7","7","sparse","0","2","5","0","0","0.285714","0.714286","0"
"269","7","7","sparse","1","6","0","0","0.142857","0.857143","0","0"
"298","7","7","sparse","4","3","0","0","0.571429","0.428571","0","0"
"315","7","7","sparse","0","5","2","0","0","0.714286","0.285714","0"
"317","7","7","sparse","4","0","3","0","0.571429","0","0.428571","0"
"336","7","7","sparse","0","7","0","0","0","1","0","0"
"371","7","7","sparse","0","3","4","0","0","0.428571","0.571429","0"
"463","7","7","sparse","0","7","0","0","0","1","0","0"
"467","7","7","sparse","0","3","4","0","0","0.428571","0.571429","0"
"500","7","7","sparse","0","7","0","0","0","1","0","0"
"504","7","7","sparse","3","4","0","0","0.428571","0.571429","0","0"
"519","7","7","sparse","0","3","4","0","0","0.428571","0.571429","0"
"530","7","7","sparse","0","5","2","0","0","0.714286","0.285714","0"
"540","7","7","sparse","0","5","2","0","0","0.714286","0.285714","0"
"636","7","7","sparse","0","7","0","0","0","1","0","0"
"844","7","7","sparse","0","5","2","0","0","0.714286","0.285714","0"
