"policy","rows","model","masked_tokens","top1","top1_accuracy","top5","top5_accuracy","mrr"
"exact_sequence_collapsed","1798","frequency","8212","885","0.107769","1965","0.239284","0.187476"
"exact_sequence_collapsed","1798","position","8212","1241","0.15112","2641","0.321603","0.238405"
"exact_sequence_collapsed","1798","length_position","8212","1270","0.154652","2935","0.357404","0.253918"
"exact_sequence_collapsed","1798","bidirectional_bigram","8212","2676","0.325865","4663","0.567828","0.438744"
"edge_frame_collapsed","1408","frequency","6288","576","0.091603","1376","0.21883","0.165149"
"edge_frame_collapsed","1408","position","6288","791","0.125795","1720","0.273537","0.208294"
"edge_frame_collapsed","1408","length_position","6288","830","0.131997","1892","0.300891","0.216537"
"edge_frame_collapsed","1408","bidirectional_bigram","6288","1802","0.286578","3276","0.520992","0.395514"
"one_edit_family_collapsed","1098","frequency","6011","545","0.090667","1340","0.222925","0.172167"
"one_edit_family_collapsed","1098","position","6011","821","0.136583","1818","0.302446","0.221124"
"one_edit_family_collapsed","1098","length_position","6011","845","0.140576","1993","0.331559","0.233612"
"one_edit_family_collapsed","1098","bidirectional_bigram","6011","1868","0.310764","3297","0.548494","0.421222"
"top10_edge_removed_exact_sequence_collapsed","1658","frequency","5913","428","0.072383","1075","0.181803","0.141158"
"top10_edge_removed_exact_sequence_collapsed","1658","position","5913","523","0.088449","1356","0.229325","0.171833"
"top10_edge_removed_exact_sequence_collapsed","1658","length_position","5913","547","0.092508","1377","0.232877","0.174078"
"top10_edge_removed_exact_sequence_collapsed","1658","bidirectional_bigram","5913","1314","0.222222","2606","0.440724","0.325997"
"top10_edge_removed_edge_frame_collapsed","1550","frequency","5506","367","0.066655","957","0.17381","0.13479"
"top10_edge_removed_edge_frame_collapsed","1550","position","5506","445","0.080821","1224","0.222303","0.160192"
"top10_edge_removed_edge_frame_collapsed","1550","length_position","5506","482","0.087541","1188","0.215765","0.163618"
"top10_edge_removed_edge_frame_collapsed","1550","bidirectional_bigram","5506","1180","0.214312","2353","0.427352","0.315403"
"top10_edge_removed_one_edit_family_collapsed","838","frequency","3991","282","0.070659","723","0.181158","0.138834"
"top10_edge_removed_one_edit_family_collapsed","838","position","3991","340","0.085192","951","0.238286","0.168645"
"top10_edge_removed_one_edit_family_collapsed","838","length_position","3991","343","0.085943","900","0.225507","0.167395"
"top10_edge_removed_one_edit_family_collapsed","838","bidirectional_bigram","3991","894","0.224004","1709","0.428213","0.323794"
