"request_rank","independence_rank","original_triad_rank","triad_evidence_tier","triad_target","role","cisi","row_id","short_text","source_hooks","hook_grade","local_rows","material_shape","period_phase_depth","dimensions_mm","requested_source_fields","source_use","source_check_status"
"1","1","51","A_independent_source_ready","H-1850/+700-034+/382;400;740;760","target_034","H-1850","480.1","+700-034+","H2001-5141;Figure 48.07","excavation_plus_figure_hook","480.1:+700-034+;480.2:+400-740-760-382+","Faience/rectangular/rectangular","Period 3B/C/B/C/- -","17 x 9 x 2.2 - 2.8","all source images or plates for every side; source plate/page/image identifier; side labels and side order; inscription versus impression direction; sign segmentation; object material, shape, cross-section, dimensions, condition, and find context","source-check target row order, side placement, and visual distinction from controls","archive_request_source_order_only_no_reading_claims"
"2","1","51","A_independent_source_ready","H-1850/+700-034+/382;400;740;760","control_033","H-1842","631.1","+033-700+","H95-2416;Figure 26.07","excavation_plus_figure_hook","631.1:+033-700+;631.2:+740-690-435-176-233-803+","Faience/rectangular/rectangular","Period 3B/C/B/C/- -","18.4 x 9.2 x 4.9","all source images or plates for every side; source plate/page/image identifier; side labels and side order; inscription versus impression direction; sign segmentation; object material, shape, cross-section, dimensions, condition, and find context","source-check closest 033 sibling under matched metadata","archive_request_source_order_only_no_reading_claims"
"3","1","51","A_independent_source_ready","H-1850/+700-034+/382;400;740;760","control_032","H-1772","400.1","+700-032+","H2000-4437;Figure 39.05","excavation_plus_figure_hook","400.1:+700-032+;400.2:+740-031-001-140+","Faience/rectangular/rectangular","Period 3B/C/B/C/- -","17 x 8.8 x 2.1","all source images or plates for every side; source plate/page/image identifier; side labels and side order; inscription versus impression direction; sign segmentation; object material, shape, cross-section, dimensions, condition, and find context","source-check closest 032 sibling under matched metadata","archive_request_source_order_only_no_reading_claims"
"4","2","47","A_independent_source_ready","H-771/+700-034+/032;257;840","target_034","H-771","1663.2","+700-034+","657678","catalog_or_excavation_hook","1663.1:+032-257-840+;1663.2:+700-034+","Faience/rectangular/rectangular","Period 3B/C/Stratum VI/-16.5 ft","16.5 x 8.9 x 0","all source images or plates for every side; source plate/page/image identifier; side labels and side order; inscription versus impression direction; sign segmentation; object material, shape, cross-section, dimensions, condition, and find context","source-check target row order, side placement, and visual distinction from controls","archive_request_source_order_only_no_reading_claims"
"5","2","47","A_independent_source_ready","H-771/+700-034+/032;257;840","control_033","H-789","1680.2","+033-700+","12549604","catalog_or_excavation_hook","1680.1:+400-520-220-016+;1680.2:+033-700+","Faience/rectangular/rectangular","Period 3B/C/Stratum VI/-14.75 ft","16.5 x 8.9 x 0","all source images or plates for every side; source plate/page/image identifier; side labels and side order; inscription versus impression direction; sign segmentation; object material, shape, cross-section, dimensions, condition, and find context","source-check closest 033 sibling under matched metadata","archive_request_source_order_only_no_reading_claims"
"6","2","47","A_independent_source_ready","H-771/+700-034+/032;257;840","control_032","H-1123","313.2","+700-032+","9015360","catalog_or_excavation_hook","313.1:+525-550-220+;313.2:+700-032+","Faience/rectangular/rectangular","Period 3B/C/Stratum VI/-13.0 ft","19.1 x 8.4 x 0","all source images or plates for every side; source plate/page/image identifier; side labels and side order; inscription versus impression direction; sign segmentation; object material, shape, cross-section, dimensions, condition, and find context","source-check closest 032 sibling under matched metadata","archive_request_source_order_only_no_reading_claims"
"7","3","81","A_independent_source_ready","H-1943/+700-034+/031;384;740","target_034","H-1943","422.1","+700-034+","H2000-4482;Figure 42.10","excavation_plus_figure_hook","422.1:+700-034+;422.2:+740-384-031+","Faience/prism/triangular","Period 3B/C/B/C/- -","12.8 x 6.6 x 0","all source images or plates for every side; source plate/page/image identifier; side labels and side order; inscription versus impression direction; sign segmentation; object material, shape, cross-section, dimensions, condition, and find context","source-check target row order, side placement, and visual distinction from controls","archive_request_source_order_only_no_reading_claims"
"8","3","81","A_independent_source_ready","H-1943/+700-034+/031;384;740","control_033","H-1940","458.1","+700-033+","H2001-5072;Figure 44.05","excavation_plus_figure_hook","458.1:+700-033+;458.2:+400-740-067-100+","Faience/prism/triangular","Period 3B/B/- -","15 x 7.5 x 0","all source images or plates for every side; source plate/page/image identifier; side labels and side order; inscription versus impression direction; sign segmentation; object material, shape, cross-section, dimensions, condition, and find context","source-check closest 033 sibling under matched metadata","archive_request_source_order_only_no_reading_claims"
"9","3","81","A_independent_source_ready","H-1943/+700-034+/031;384;740","control_032","H-854","1740.2","+700-032+","10010647","catalog_or_excavation_hook","1740.1:+400-740-335-003+;1740.2:+700-032+","Faience/prism/triangular","Period 3B/C/-/-10.0 ft","16.5 x 6.4 x 0","all source images or plates for every side; source plate/page/image identifier; side labels and side order; inscription versus impression direction; sign segmentation; object material, shape, cross-section, dimensions, condition, and find context","source-check closest 032 sibling under matched metadata","archive_request_source_order_only_no_reading_claims"
"10","4","71","A_independent_source_ready","H-2204/+700-034+/027;032;400;740","target_034","H-2204","659.1","+700-034+","H95-2482;Figure 27.06","excavation_plus_figure_hook","659.1:+700-034+;659.2:+400-740-032-027+","Steatite/prism/triangular","Period 3B/C/B/C/- -","19 x 7.3 x 0","all source images or plates for every side; source plate/page/image identifier; side labels and side order; inscription versus impression direction; sign segmentation; object material, shape, cross-section, dimensions, condition, and find context","source-check target row order, side placement, and visual distinction from controls","archive_request_source_order_only_no_reading_claims"
"11","4","71","A_independent_source_ready","H-2204/+700-034+/027;032;400;740","control_033","H-2209","638.1","+700-033+","H95-2423","catalog_or_excavation_hook","638.1:+700-033+;638.2:+400-740-032-025+","Steatite/prism/triangular","Period 3B/C/B/C/- -","16 x 7 x 0","all source images or plates for every side; source plate/page/image identifier; side labels and side order; inscription versus impression direction; sign segmentation; object material, shape, cross-section, dimensions, condition, and find context","source-check closest 033 sibling under matched metadata","archive_request_source_order_only_no_reading_claims"
"12","4","71","A_independent_source_ready","H-2204/+700-034+/027;032;400;740","control_032","H-2217","679.1","+700-032+","H95-2521;Figure 27.09","excavation_plus_figure_hook","679.1:+700-032+;679.2:+400-854-032+;679.3:+257-360+","Steatite/prism/triangular","Period 3B/C/B/C/- -","18.5 x 9.2 x 0","all source images or plates for every side; source plate/page/image identifier; side labels and side order; inscription versus impression direction; sign segmentation; object material, shape, cross-section, dimensions, condition, and find context","source-check closest 032 sibling under matched metadata","archive_request_source_order_only_no_reading_claims"
"13","5","85","B_source_ready_needs_metadata_review","H-2206/+700-034+/025;032;740","target_034","H-2206","871.1","+700-034+","H97-3334;Figure 15.05","excavation_plus_figure_hook","871.1:+700-034+;871.2:+740-032-025+","Steatite/prism/triangular","Period 3/-/- -","0 x 7 x 0","all source images or plates for every side; source plate/page/image identifier; side labels and side order; inscription versus impression direction; sign segmentation; object material, shape, cross-section, dimensions, condition, and find context","source-check target row order, side placement, and visual distinction from controls","archive_request_source_order_only_no_reading_claims"
"14","5","85","B_source_ready_needs_metadata_review","H-2206/+700-034+/025;032;740","control_033","H-1347","4088.2","+700-033+","1262896","catalog_or_excavation_hook","4088.1:+400-740-176+;4088.2:+700-033+","Steatite/prism/triangular","Period 3B/C/Stratum V/- -","0 x 7.6 x 0","all source images or plates for every side; source plate/page/image identifier; side labels and side order; inscription versus impression direction; sign segmentation; object material, shape, cross-section, dimensions, condition, and find context","source-check closest 033 sibling under matched metadata","archive_request_source_order_only_no_reading_claims"
"15","5","85","B_source_ready_needs_metadata_review","H-2206/+700-034+/025;032;740","control_032","H-2201","753.1","+700-032+","H96-2781;Figure 20.08","excavation_plus_figure_hook","753.1:+700-032+;753.2:+400-740-176-240+","Steatite/prism/triangular","Period 3B/C/B/C/- -","15.8 x 4.8 x 0","all source images or plates for every side; source plate/page/image identifier; side labels and side order; inscription versus impression direction; sign segmentation; object material, shape, cross-section, dimensions, condition, and find context","source-check closest 032 sibling under matched metadata","archive_request_source_order_only_no_reading_claims"
"16","6","66","B_source_ready_needs_metadata_review","H-1867/+700-034+/151;221;740","target_034","H-1867","506.1","+700-034+","H90-1593;Figure 13.46 (k)","excavation_plus_figure_hook","506.1:+700-034+;506.2:+151-740-221+","Faience/rectangular/-","Period 3B/B/- -","16 x 8 x 0","all source images or plates for every side; source plate/page/image identifier; side labels and side order; inscription versus impression direction; sign segmentation; object material, shape, cross-section, dimensions, condition, and find context","source-check target row order, side placement, and visual distinction from controls","archive_request_source_order_only_no_reading_claims"
"17","6","66","B_source_ready_needs_metadata_review","H-1867/+700-034+/151;221;740","control_033","H-1915","414.1","+700-033+","H2000-4469;Figure 42.12","excavation_plus_figure_hook","414.1:+700-033+;414.2:+032-920-491+","Faience/rectangular/round","Period 3B/C/B/C/- -","18.3 x 7.3 x 4.4","all source images or plates for every side; source plate/page/image identifier; side labels and side order; inscription versus impression direction; sign segmentation; object material, shape, cross-section, dimensions, condition, and find context","source-check closest 033 sibling under matched metadata","archive_request_source_order_only_no_reading_claims"
"18","6","66","B_source_ready_needs_metadata_review","H-1867/+700-034+/151;221;740","control_032","H-1771","371.1","+700-032+","H2000-4375;Figure 36.03","excavation_plus_figure_hook","371.1:+700-032+;371.2:+740-031-001-140+","Faience/rectangular/rectangular","Period 3B/C/B/C/- -","16 x 7.5 x 3 - 3.3","all source images or plates for every side; source plate/page/image identifier; side labels and side order; inscription versus impression direction; sign segmentation; object material, shape, cross-section, dimensions, condition, and find context","source-check closest 032 sibling under matched metadata","archive_request_source_order_only_no_reading_claims"
"19","7","79","B_source_ready_needs_metadata_review","H-351/+700-034+/013;032;060;400;740","target_034","H-351","1370.2","+700-034+","2429581","catalog_or_excavation_hook","1370.1:+400-740-032-060-013+;1370.2:+700-034+","Steatite/prism/triangular","Period 3B/C/Stratum VI/-18.42 ft","15.2 x 7.6 x 0","all source images or plates for every side; source plate/page/image identifier; side labels and side order; inscription versus impression direction; sign segmentation; object material, shape, cross-section, dimensions, condition, and find context","source-check target row order, side placement, and visual distinction from controls","archive_request_source_order_only_no_reading_claims"
"20","7","79","B_source_ready_needs_metadata_review","H-351/+700-034+/013;032;060;400;740","control_033","H-353","1372.2","+700-033+","1348","catalog_or_excavation_hook","1372.1:+400-740-176+;1372.2:+700-033+","Steatite/prism/triangular","Period 3B/C/Stratum V/-13.0 ft","15.2 x 6.4 x 0","all source images or plates for every side; source plate/page/image identifier; side labels and side order; inscription versus impression direction; sign segmentation; object material, shape, cross-section, dimensions, condition, and find context","source-check closest 033 sibling under matched metadata","archive_request_source_order_only_no_reading_claims"
"21","7","79","B_source_ready_needs_metadata_review","H-351/+700-034+/013;032;060;400;740","control_032","H-1294","1061.2","+700-032+","PII-1499","catalog_or_excavation_hook","1061.1:+527-550-233+;1061.2:+700-032+","Steatite/rectangular/rectangular","Period 4/Stratum I/-1.0 ft","15.2 x 7.6 x 0","all source images or plates for every side; source plate/page/image identifier; side labels and side order; inscription versus impression direction; sign segmentation; object material, shape, cross-section, dimensions, condition, and find context","source-check closest 032 sibling under matched metadata","archive_request_source_order_only_no_reading_claims"
"22","8","83","B_source_ready_needs_metadata_review","H-350/+700-034+/240;642;690;740","target_034","H-350","1369.2","+700-034+","3534a576","catalog_or_excavation_hook","1369.1:+740-690-642-240+;1369.2:+700-034+","Steatite/prism/triangular","Period 3B/C/-/-10.0 ft","17.8 x 8.9 x 0","all source images or plates for every side; source plate/page/image identifier; side labels and side order; inscription versus impression direction; sign segmentation; object material, shape, cross-section, dimensions, condition, and find context","source-check target row order, side placement, and visual distinction from controls","archive_request_source_order_only_no_reading_claims"
"23","8","83","B_source_ready_needs_metadata_review","H-350/+700-034+/240;642;690;740","control_033","H-296","1318.2","+700-033+","12534457","catalog_or_excavation_hook","1318.1:+400-740-575-017-920+;1318.2:+700-033+","Steatite/rectangular/rectangular","Period 3B/C/-/-10.0 ft","17.8 x 9.1 x 0","all source images or plates for every side; source plate/page/image identifier; side labels and side order; inscription versus impression direction; sign segmentation; object material, shape, cross-section, dimensions, condition, and find context","source-check closest 033 sibling under matched metadata","archive_request_source_order_only_no_reading_claims"
"24","8","83","B_source_ready_needs_metadata_review","H-350/+700-034+/240;642;690;740","control_032","H-943","1823.2","+700-032+","3668461","catalog_or_excavation_hook","1823.1:+400-158-592+;1823.2:+700-032+","Steatite/rectangular/rectangular","Period 3B/C/Stratum V/-13.0 ft","16.5 x 8.9 x 0","all source images or plates for every side; source plate/page/image identifier; side labels and side order; inscription versus impression direction; sign segmentation; object material, shape, cross-section, dimensions, condition, and find context","source-check closest 032 sibling under matched metadata","archive_request_source_order_only_no_reading_claims"
"25","9","92","B_source_ready_needs_metadata_review","H-2246/+700-034+/032;415;578;740;760;799;824;840","target_034","H-2246","484.1","+700-034+","H2001-5145;Figure 47.05","excavation_plus_figure_hook","484.1:+700-034+;484.2:+824-032-578-415+;484.3:+740-760-840-799+","Steatite/rectangular/rectangular","Period 3C/C/- -","14.5 x 5.5 x 3.1","all source images or plates for every side; source plate/page/image identifier; side labels and side order; inscription versus impression direction; sign segmentation; object material, shape, cross-section, dimensions, condition, and find context","source-check target row order, side placement, and visual distinction from controls","archive_request_source_order_only_no_reading_claims"
"26","9","92","B_source_ready_needs_metadata_review","H-2246/+700-034+/032;415;578;740;760;799;824;840","control_033","H-2214","672.1","+700-033+","H95-2498;Figure 27.03","excavation_plus_figure_hook","672.1:+700-033+;672.2:+740-760-840-799+;672.3:+876-032-578-415+","Steatite/prism/triangular","Period 3B/C/B/C/- -","14.5 x 6.5 x 0","all source images or plates for every side; source plate/page/image identifier; side labels and side order; inscription versus impression direction; sign segmentation; object material, shape, cross-section, dimensions, condition, and find context","source-check closest 033 sibling under matched metadata","archive_request_source_order_only_no_reading_claims"
"27","9","92","B_source_ready_needs_metadata_review","H-2246/+700-034+/032;415;578;740;760;799;824;840","control_032","H-2201","753.1","+700-032+","H96-2781;Figure 20.08","excavation_plus_figure_hook","753.1:+700-032+;753.2:+400-740-176-240+","Steatite/prism/triangular","Period 3B/C/B/C/- -","15.8 x 4.8 x 0","all source images or plates for every side; source plate/page/image identifier; side labels and side order; inscription versus impression direction; sign segmentation; object material, shape, cross-section, dimensions, condition, and find context","source-check closest 032 sibling under matched metadata","archive_request_source_order_only_no_reading_claims"
