batch_rank,role,cisi,local_source_hook,local_row_id,local_short_text,local_rows,public_hit_status,public_url,public_citation_label,public_object_match,evidence_scope,confidence,archive_action,notes
1,target_034,H-1850,"H2001-5141;Figure 48.07",480.1,+700-034+,"480.1:+700-034+;480.2:+400-740-760-382+",no_public_source_grade_hit_checked,,,,checked_exact_object_hook_and_figure,no_public_hit_in_checked_layer,request_CISI_HARP_plate_or_source_image,"need every side plus row order and object metadata"
1,control_033,H-1842,"H95-2416;Figure 26.07",631.1,+033-700+,"631.1:+033-700+;631.2:+740-690-435-176-233-803+",no_public_source_grade_hit_checked,,,,checked_exact_object_hook_and_figure,no_public_hit_in_checked_layer,request_CISI_HARP_plate_or_source_image,"need every side plus row order and object metadata"
1,control_032,H-1772,"H2000-4437;Figure 39.05",400.1,+700-032+,"400.1:+700-032+;400.2:+740-031-001-140+",no_public_source_grade_hit_checked,,,,checked_exact_object_hook_and_figure,no_public_hit_in_checked_layer,request_CISI_HARP_plate_or_source_image,"need every side plus row order and object metadata"
2,target_034,H-771,657678,1663.2,+700-034+,"1663.1:+032-257-840+;1663.2:+700-034+",no_public_source_grade_hit_checked,,,,checked_exact_object_and_catalog_handle,no_public_hit_in_checked_layer,request_CISI_HARP_plate_or_source_image,"need source image because catalog handle alone is not enough"
2,control_033,H-789,12549604,1680.2,+033-700+,"1680.1:+400-520-220-016+;1680.2:+033-700+",no_public_source_grade_hit_checked,,,,checked_exact_object_and_catalog_handle,no_public_hit_in_checked_layer,request_CISI_HARP_plate_or_source_image,"need source image because catalog handle alone is not enough"
2,control_032,H-1123,9015360,313.2,+700-032+,"313.1:+525-550-220+;313.2:+700-032+",no_public_source_grade_hit_checked,,,,checked_exact_object_and_catalog_handle,no_public_hit_in_checked_layer,request_CISI_HARP_plate_or_source_image,"need source image because catalog handle alone is not enough"
3,target_034,H-1943,"H2000-4482;Figure 42.10",422.1,+700-034+,"422.1:+700-034+;422.2:+740-384-031+",secondary_bibliographic_pointer_only,https://www.indusproject.org/section-headers-3/circle/solar-symbol/,"Indus Dictionary Project text reference",H-1943_C_CISI_3.1_p266,bibliographic_pointer_not_source_image,medium_pointer_zero_claim_credit,request_CISI_HARP_plate_or_source_image,"use only as CISI page pointer; reject unsupported claim text"
3,control_033,H-1940,"H2001-5072;Figure 44.05",458.1,+700-033+,"458.1:+700-033+;458.2:+400-740-067-100+",no_public_source_grade_hit_checked,,,,checked_exact_object_hook_and_figure,no_public_hit_in_checked_layer,request_CISI_HARP_plate_or_source_image,"need every side plus row order and object metadata"
3,control_032,H-854,10010647,1740.2,+700-032+,"1740.1:+400-740-335-003+;1740.2:+700-032+",no_public_source_grade_hit_checked,,,,checked_exact_object_and_catalog_handle,no_public_hit_in_checked_layer,request_CISI_HARP_plate_or_source_image,"need source image because catalog handle alone is not enough"
4,target_034,H-2204,"H95-2482;Figure 27.06",659.1,+700-034+,"659.1:+700-034+;659.2:+400-740-032-027+",public_object_lead_reconcile,"https://www.harappa.com/node/3000; https://www.harappa.com/sites/default/files/pdf/Kenoyer1997_Excavations%20at%20Harappa%201994-1995%20New%20Perspective.pdf","Harappa Figure 4 item 4; Kenoyer 1997 Figure 10.07",H95-2482_4419-05,object_identity_material_dimensions_side_count_lead_not_local_row_side_order,high_object_identity_medium_alignment,request_CISI_HARP_plate_or_source_image,"public sources give 19 x 7.3 x 3.5 and 3 incised sides; local row has 19 x 7.3 x 0 and two local rows; reconcile before row use"
4,control_033,H-2209,H95-2423,638.1,+700-033+,"638.1:+700-033+;638.2:+400-740-032-025+",no_public_source_grade_hit_checked,,,,checked_exact_object_hook,no_public_hit_in_checked_layer,request_CISI_HARP_plate_or_source_image,"paired with H-2204 only after source side relation is checked"
4,control_032,H-2217,"H95-2521;Figure 27.09",679.1,+700-032+,"679.1:+700-032+;679.2:+400-854-032+;679.3:+257-360+",no_public_source_grade_hit_checked,,,,checked_exact_object_hook_and_figure,no_public_hit_in_checked_layer,request_CISI_HARP_plate_or_source_image,"paired with H-2204 only after source side relation is checked"
