"independence_rank","original_triad_rank","target_cisi","target_row_id","target_short_text","target_bucket","evidence_tier","independence_score","triad_score","contrast_readiness","target_long_token_set","target_long_set_count","acquisition_family_count","target_source_prefix","target_source_prefix_count","source_gap_status","target_hook_grade","control_033_cisi","control_033_reuse_count","control_033_hook_grade","control_032_cisi","control_032_reuse_count","control_032_hook_grade","object_format_match_status","direction_risk","copy_family_pressure","source_prefix_pressure","control_reuse_pressure","priority_reason","next_source_action","source_check_status"
"1","51","H-1850","480.1","+700-034+","E_other_034_residue","A_independent_source_ready","150","68","strong_two_sibling_metadata_controls","382;400;740;760","1","1","H2001","6","all_three_have_source_hooks","excavation_plus_figure_hook","H-1842","1","excavation_plus_figure_hook","H-1772","2","excavation_plus_figure_hook","target_and_both_controls_match","no_extra_direction_flag","no_extra_pressure_flag","source_prefix_seen_6","no_extra_pressure_flag","tier=A_independent_source_ready; source_hooks=all_three_have_source_hooks; target_long_set_count=1; source_prefix=H2001/6; control_reuse_max=2; object_format=target_and_both_controls_match","request_source_images_now_first_independent_batch","independence_audit_source_order_only_no_reading_claims"
"2","47","H-771","1663.2","+700-034+","E_other_034_residue","A_independent_source_ready","145","68","strong_two_sibling_metadata_controls","032;257;840","1","1","numeric_catalog","35","all_three_have_source_hooks","catalog_or_excavation_hook","H-789","1","catalog_or_excavation_hook","H-1123","2","catalog_or_excavation_hook","target_and_both_controls_match","no_extra_direction_flag","no_extra_pressure_flag","source_prefix_seen_35","no_extra_pressure_flag","tier=A_independent_source_ready; source_hooks=all_three_have_source_hooks; target_long_set_count=1; source_prefix=numeric_catalog/35; control_reuse_max=2; object_format=target_and_both_controls_match","request_source_images_now_first_independent_batch","independence_audit_source_order_only_no_reading_claims"
"3","81","H-1943","422.1","+700-034+","E_other_034_residue","A_independent_source_ready","142","60","strong_two_sibling_metadata_controls","031;384;740","1","1","H2000","12","all_three_have_source_hooks","excavation_plus_figure_hook","H-1940","1","excavation_plus_figure_hook","H-854","2","catalog_or_excavation_hook","target_and_both_controls_match","no_extra_direction_flag","no_extra_pressure_flag","source_prefix_seen_12","no_extra_pressure_flag","tier=A_independent_source_ready; source_hooks=all_three_have_source_hooks; target_long_set_count=1; source_prefix=H2000/12; control_reuse_max=2; object_format=target_and_both_controls_match","request_source_images_now_first_independent_batch","independence_audit_source_order_only_no_reading_claims"
"4","71","H-2204","659.1","+700-034+","E_other_034_residue","A_independent_source_ready","131","64","strong_two_sibling_metadata_controls","027;032;400;740","2","1","H95","9","all_three_have_source_hooks","excavation_plus_figure_hook","H-2209","2","catalog_or_excavation_hook","H-2217","1","excavation_plus_figure_hook","target_and_both_controls_match","no_extra_direction_flag","no_extra_pressure_flag","source_prefix_seen_9","no_extra_pressure_flag","tier=A_independent_source_ready; source_hooks=all_three_have_source_hooks; target_long_set_count=2; source_prefix=H95/9; control_reuse_max=2; object_format=target_and_both_controls_match","request_source_images_now_first_independent_batch","independence_audit_source_order_only_no_reading_claims"
"5","85","H-2206","871.1","+700-034+","E_other_034_residue","B_source_ready_needs_metadata_review","140","58","strong_two_sibling_metadata_controls","025;032;740","1","1","H97","6","all_three_have_source_hooks","excavation_plus_figure_hook","H-1347","1","catalog_or_excavation_hook","H-2201","2","excavation_plus_figure_hook","target_and_both_controls_match","no_extra_direction_flag","no_extra_pressure_flag","source_prefix_seen_6","no_extra_pressure_flag","tier=B_source_ready_needs_metadata_review; source_hooks=all_three_have_source_hooks; target_long_set_count=1; source_prefix=H97/6; control_reuse_max=2; object_format=target_and_both_controls_match","request_source_images_after_first_independent_batch","independence_audit_source_order_only_no_reading_claims"
"6","66","H-1867","506.1","+700-034+","E_other_034_residue","B_source_ready_needs_metadata_review","132","65","strong_two_sibling_metadata_controls","151;221;740","1","1","H90","4","all_three_have_source_hooks","excavation_plus_figure_hook","H-1915","1","excavation_plus_figure_hook","H-1771","2","excavation_plus_figure_hook","target_differs_from_both_controls","no_extra_direction_flag","no_extra_pressure_flag","source_prefix_seen_4","no_extra_pressure_flag","tier=B_source_ready_needs_metadata_review; source_hooks=all_three_have_source_hooks; target_long_set_count=1; source_prefix=H90/4; control_reuse_max=2; object_format=target_differs_from_both_controls","request_source_images_after_first_independent_batch","independence_audit_source_order_only_no_reading_claims"
"7","79","H-351","1370.2","+700-034+","E_other_034_residue","B_source_ready_needs_metadata_review","130","60","strong_two_sibling_metadata_controls","013;032;060;400;740","1","1","numeric_catalog","35","all_three_have_source_hooks","catalog_or_excavation_hook","H-353","2","catalog_or_excavation_hook","H-1294","3","catalog_or_excavation_hook","target_matches_one_control","no_extra_direction_flag","no_extra_pressure_flag","source_prefix_seen_35","no_extra_pressure_flag","tier=B_source_ready_needs_metadata_review; source_hooks=all_three_have_source_hooks; target_long_set_count=1; source_prefix=numeric_catalog/35; control_reuse_max=3; object_format=target_matches_one_control","request_source_images_after_first_independent_batch","independence_audit_source_order_only_no_reading_claims"
"8","83","H-350","1369.2","+700-034+","E_other_034_residue","B_source_ready_needs_metadata_review","121","59","strong_two_sibling_metadata_controls","240;642;690;740","1","1","numeric_catalog","35","all_three_have_source_hooks","catalog_or_excavation_hook","H-296","1","catalog_or_excavation_hook","H-943","2","catalog_or_excavation_hook","target_differs_from_both_controls","no_extra_direction_flag","no_extra_pressure_flag","source_prefix_seen_35","no_extra_pressure_flag","tier=B_source_ready_needs_metadata_review; source_hooks=all_three_have_source_hooks; target_long_set_count=1; source_prefix=numeric_catalog/35; control_reuse_max=2; object_format=target_differs_from_both_controls","request_source_images_after_first_independent_batch","independence_audit_source_order_only_no_reading_claims"
"9","92","H-2246","484.1","+700-034+","E_other_034_residue","B_source_ready_needs_metadata_review","108","49","partial_metadata_control","032;415;578;740;760;799;824;840","1","1","H2001","6","all_three_have_source_hooks","excavation_plus_figure_hook","H-2214","1","excavation_plus_figure_hook","H-2201","2","excavation_plus_figure_hook","target_differs_from_both_controls","no_extra_direction_flag","no_extra_pressure_flag","source_prefix_seen_6","no_extra_pressure_flag","tier=B_source_ready_needs_metadata_review; source_hooks=all_three_have_source_hooks; target_long_set_count=1; source_prefix=H2001/6; control_reuse_max=2; object_format=target_differs_from_both_controls","request_source_images_after_first_independent_batch","independence_audit_source_order_only_no_reading_claims"
"10","88","H-1354","222.3","+700-034+","E_other_034_residue","B_source_ready_needs_metadata_review","102","48","strong_033_control_only","032;415;578;714;740;799;824;840","1","1","numeric_catalog","35","all_three_have_source_hooks","catalog_or_excavation_hook","H-987","1","catalog_or_excavation_hook","H-362","2","catalog_or_excavation_hook","target_differs_from_both_controls","no_extra_direction_flag","no_extra_pressure_flag","source_prefix_seen_35","no_extra_pressure_flag","tier=B_source_ready_needs_metadata_review; source_hooks=all_three_have_source_hooks; target_long_set_count=1; source_prefix=numeric_catalog/35; control_reuse_max=2; object_format=target_differs_from_both_controls","request_source_images_after_first_independent_batch","independence_audit_source_order_only_no_reading_claims"
