"scope","target_cisi","triad_rank","independence_rank","grade","copy_pressure","packet_lane","packet_priority","long_tokens_034","long_tokens_033","long_tokens_032","long_family_034","long_family_033","long_family_032"
"all_triads","H-910","1","50","A_strict_local_minimal_contrast","high_repetition_pressure","repeated_branch_check","optional","002;416;861","032;059;400;740","233;527;550","002;416;861","032;059;400;740","233;527;550"
"all_triads","H-2094","2","72","F_partial_or_weak","high_repetition_pressure","not_in_two_lane_packet","not_in_two_lane_packet","002;416;861","400;491;740;817","400;491;740;817","002;416;861","400;491;740;817","400;491;740;817"
"all_triads","H-2097","3","64","C_visual_object_matched","high_repetition_pressure","not_in_two_lane_packet","not_in_two_lane_packet","002;416;861","013;740;840","004;740;900","002;416;861","013;740;840","004;740;900"
"all_triads","H-2096","4","91","F_partial_or_weak","high_repetition_pressure","not_in_two_lane_packet","not_in_two_lane_packet","002;416;861","013;740;840","004;740;900","002;416;861","013;740;840","004;740;900"
"all_triads","H-2095","5","90","F_partial_or_weak","high_repetition_pressure","not_in_two_lane_packet","not_in_two_lane_packet","002;416;861","067;143;740","060;156;176;741;920","002;416;861","067;143;740","060;156;176;741;920"
"all_triads","H-307","6","57","F_partial_or_weak","high_repetition_pressure","not_in_two_lane_packet","not_in_two_lane_packet","NO_LONGER_TEXT","NO_LONGER_TEXT","NO_LONGER_TEXT","NO_LONGER_TEXT","NO_LONGER_TEXT","NO_LONGER_TEXT"
"all_triads","H-788","7","58","D_object_plus_some_context","high_repetition_pressure","not_in_two_lane_packet","not_in_two_lane_packet","NO_LONGER_TEXT","NO_LONGER_TEXT","NO_LONGER_TEXT","NO_LONGER_TEXT","NO_LONGER_TEXT","NO_LONGER_TEXT"
"all_triads","H-2105","8","49","D_object_plus_some_context","high_repetition_pressure","not_in_two_lane_packet","not_in_two_lane_packet","NO_LONGER_TEXT","NO_LONGER_TEXT","NO_LONGER_TEXT","NO_LONGER_TEXT","NO_LONGER_TEXT","NO_LONGER_TEXT"
"all_triads","H-952","9","56","D_object_plus_some_context","high_repetition_pressure","not_in_two_lane_packet","not_in_two_lane_packet","NO_LONGER_TEXT","NO_LONGER_TEXT","004;740;900","NO_LONGER_TEXT","NO_LONGER_TEXT","004;740;900"
"all_triads","H-947","10","62","D_object_plus_some_context","high_repetition_pressure","not_in_two_lane_packet","not_in_two_lane_packet","NO_LONGER_TEXT","NO_LONGER_TEXT","220;415;520","NO_LONGER_TEXT","NO_LONGER_TEXT","220;415;520"
"all_triads","H-1828","11","75","F_partial_or_weak","high_repetition_pressure","not_in_two_lane_packet","not_in_two_lane_packet","NO_LONGER_TEXT","NO_LONGER_TEXT","NO_LONGER_TEXT","NO_LONGER_TEXT","NO_LONGER_TEXT","NO_LONGER_TEXT"
"all_triads","H-1829","12","76","F_partial_or_weak","high_repetition_pressure","not_in_two_lane_packet","not_in_two_lane_packet","NO_LONGER_TEXT","NO_LONGER_TEXT","NO_LONGER_TEXT","NO_LONGER_TEXT","NO_LONGER_TEXT","NO_LONGER_TEXT"
"all_triads","H-1907","13","73","F_partial_or_weak","high_repetition_pressure","not_in_two_lane_packet","not_in_two_lane_packet","NO_LONGER_TEXT","NO_LONGER_TEXT","NO_LONGER_TEXT","NO_LONGER_TEXT","NO_LONGER_TEXT","NO_LONGER_TEXT"
"all_triads","H-285","14","65","F_partial_or_weak","high_repetition_pressure","not_in_two_lane_packet","not_in_two_lane_packet","NO_LONGER_TEXT","NO_LONGER_TEXT","NO_LONGER_TEXT","NO_LONGER_TEXT","NO_LONGER_TEXT","NO_LONGER_TEXT"
