"acquisition_rank","primary_bucket","source_route","evidence_grade_now","cisi","packet_rank_min","packet_row_count","packet_rows","packet_labels","subtypes","short_texts","side_relations","context_classes","longer_texts","long_token_sets","sequence_family_keys","sequence_family_count_max_no_h","metadata_row_count","metadata_rows","excavation_ids","figure_refs","area_sections","room_grids","period_phase","depth","material","shape_cross_section","condition_preservation","dimensions_mm","local_rows_to_reconcile","public_lead_statuses","source_request","preserves_034_residue_if","kills_or_downgrades_if","source_check_status"
"1","A_034_002_861_416_companion","direct_CISI_HARP_plate_request","no_public_lead_source_required","H-2094","1","1","476.1","duplicate_family_risk;positive_034_residue_candidate","034","476.1:+700-034+","short_before_all_longer","single_longer_text","+002-861-416+","002;416;861","1:+700-034+|2:+002-861-416+","3","2","476.1;476.2","H2001-5134","Figure 47.02","ETrench 11","--","Period 3C/C","- -","Steatite","rectangular/rectangular","Fair/complete","12.6 x 7 x 2.5","476.1:+700-034+;476.2:+002-861-416+","no_checked_public_lead","Request source-grade images/plates for all catalog rows of H-2094. Metadata source hooks: H2001-5134; Figure 47.02. Packet rows to verify: 476.1 +700-034+. All local rows to reconcile: 476.1 +700-034+; 476.2 +002-861-416+. Needed: side labels/order, image/impression direction, sign segmentation, object material/shape/dimensions, and proof rows are distinct physical sides.","034 remains distinct and paired with source-confirmed +002-861-416+ across at least one independent object outside the repeated H-2094/H-2095/H-2096 family.","034 collapses visually, +002-861-416+ is missegmented, +034-700+ is only direction normalization, or the bucket is one copied/molded family.","source_acquisition_only_source_images_not_validated"
"2","A_034_002_861_416_companion","direct_CISI_HARP_plate_request","no_public_lead_source_required","H-2097","2","1","488.1","allograph_direction_risk;positive_034_residue_candidate","034","488.1:+034-700+","short_before_all_longer","single_longer_text","+002-861-416+","002;416;861","1:+034-700+|2:+002-861-416+","1","2","488.1;488.2","H2001-5193","Figure 48.02","ETrench 11","--","Period 3C/C","- -","Steatite","rectangular/rectangular","Good/complete","14.5 x 7.8 x 3.5","488.1:+034-700+;488.2:+002-861-416+","no_checked_public_lead","Request source-grade images/plates for all catalog rows of H-2097. Metadata source hooks: H2001-5193; Figure 48.02. Packet rows to verify: 488.1 +034-700+. All local rows to reconcile: 488.1 +034-700+; 488.2 +002-861-416+. Needed: side labels/order, image/impression direction, sign segmentation, object material/shape/dimensions, and proof rows are distinct physical sides.","034 remains distinct and paired with source-confirmed +002-861-416+ across at least one independent object outside the repeated H-2094/H-2095/H-2096 family.","034 collapses visually, +002-861-416+ is missegmented, +034-700+ is only direction normalization, or the bucket is one copied/molded family.","source_acquisition_only_source_images_not_validated"
"3","A_034_002_861_416_companion","direct_CISI_HARP_plate_request","no_public_lead_source_required","H-2096","3","1","665.1","duplicate_family_risk;positive_034_residue_candidate","034","665.1:+700-034+","short_before_all_longer","single_longer_text","+002-861-416+","002;416;861","1:+700-034+|2:+002-861-416+","3","2","665.1;665.2","H95-2488","","--","--","Period 3B/C/B/C","- -","","rectangular/-","Good/complete","13.5 x 8 x 0","665.1:+700-034+;665.2:+002-861-416+","no_checked_public_lead","Request source-grade images/plates for all catalog rows of H-2096. Metadata source hooks: H95-2488. Packet rows to verify: 665.1 +700-034+. All local rows to reconcile: 665.1 +700-034+; 665.2 +002-861-416+. Needed: side labels/order, image/impression direction, sign segmentation, object material/shape/dimensions, and proof rows are distinct physical sides.","034 remains distinct and paired with source-confirmed +002-861-416+ across at least one independent object outside the repeated H-2094/H-2095/H-2096 family.","034 collapses visually, +002-861-416+ is missegmented, +034-700+ is only direction normalization, or the bucket is one copied/molded family.","source_acquisition_only_source_images_not_validated"
"4","A_034_002_861_416_companion","ia_cisi_page_image_acquired","source_visible_component_probe_negative_for_direct_034_415","H-910","4","1","1792.2","source_visible_034_residue_candidate_component_negative","034","1792.2:+700-034+","short_after_all_longer","single_longer_text","+002-861-416+","002;416;861","1:+002-861-416+|2:+700-034+","1","2","1792.1;1792.2","10994470","","FTrench VI","-O10/22","Period 3C-3/Stratum II","-5.5 ft","Steatite","rectangular/rectangular","Poor/complete","14.7 x 7.6 x 0","1792.1:+002-861-416+;1792.2:+700-034+","ia_cisi_leaf_n372_image_acquired","Source page/crops now stored for H-910 B from CISI Pakistan leaf n372 / printed p. 338. Still requires broader triad controls H-916/H-1294 before subtype contrast; H-910 B itself now acts as mirror-order component probe.","H-910 remains source-visible +700-034+ representative for the +002-861-416+ branch, but its component assignment is negative for direct 034=415: under local R/L, 034 is loop/leaf.","If local R/L or local row mapping fails, H-910 becomes unresolved component-order evidence, not positive 034/415 support.","source_visible_component_probe_complete_negative_for_direct_034_415"
"5","A_034_002_861_416_companion","direct_CISI_HARP_plate_request","no_public_lead_source_required","H-2095","8","1","518.1","duplicate_family_risk;positive_034_residue_candidate","034","518.1:+700-034+","short_before_all_longer","single_longer_text","+002-861-416+","002;416;861","1:+700-034+|2:+002-861-416+","3","2","518.1;518.2","H90-1688","Figure 13.44 (d)","EC","--","Period 3B/B","- -","","rectangular/-","Fair/complete","17 x 7.5 x 0","518.1:+700-034+;518.2:+002-861-416+","no_checked_public_lead","Request source-grade images/plates for all catalog rows of H-2095. Metadata source hooks: H90-1688; Figure 13.44 (d). Packet rows to verify: 518.1 +700-034+. All local rows to reconcile: 518.1 +700-034+; 518.2 +002-861-416+. Needed: side labels/order, image/impression direction, sign segmentation, object material/shape/dimensions, and proof rows are distinct physical sides.","034 remains distinct and paired with source-confirmed +002-861-416+ across at least one independent object outside the repeated H-2094/H-2095/H-2096 family.","034 collapses visually, +002-861-416+ is missegmented, +034-700+ is only direction normalization, or the bucket is one copied/molded family.","source_acquisition_only_source_images_not_validated"
"6","A_034_no_longer_small_object","direct_CISI_HARP_plate_request","no_public_lead_source_required","H-307","5","1","1329.2","positive_034_residue_candidate","034","1329.2:+700-034+","no_longer_text","all_short_or_no_longer_text","NO_LONGER_TEXT","NO_LONGER_TEXT","1:+368-900+|2:+700-034+","1","2","1329.1;1329.2","1963","","FTrench I","-M11/11","Period 3B/C/Stratum V","-12.33 ft","Steatite","rectangular/rectangular","Fair/slightly chipped","12.7 x 6.4 x 0","1329.1:+368-900+;1329.2:+700-034+","no_checked_public_lead","Request source-grade images/plates for all catalog rows of H-307. Metadata source hooks: 1963. Packet rows to verify: 1329.2 +700-034+. All local rows to reconcile: 1329.1 +368-900+; 1329.2 +700-034+. Needed: side labels/order, image/impression direction, sign segmentation, object material/shape/dimensions, and proof rows are distinct physical sides.","Local 034 row remains acquisition-only until complete/no-longer status, source dimensions, and diagnostic sign visibility are validated.","No-longer status is missing imaging, dimensions are catalog shortcuts, or 034 is a damaged/allographic sibling.","source_acquisition_only_source_images_not_validated"
"7","A_034_no_longer_small_object","direct_CISI_HARP_plate_request","no_public_lead_source_required","H-947","6","1","1827.2","positive_034_residue_candidate","034","1827.2:+700-034+","no_longer_text","all_short_or_no_longer_text","NO_LONGER_TEXT","NO_LONGER_TEXT","1:+400-236+|2:+700-034+","1","2","1827.1;1827.2","8650b493","","F-","--","Period 3B/C/-","-7 ft","Steatite","rectangular/rectangular","Poor/complete","10.2 x 5.8 x 0","1827.1:+400-236+;1827.2:+700-034+","no_checked_public_lead","Request source-grade images/plates for all catalog rows of H-947. Metadata source hooks: 8650b493. Packet rows to verify: 1827.2 +700-034+. All local rows to reconcile: 1827.1 +400-236+; 1827.2 +700-034+. Needed: side labels/order, image/impression direction, sign segmentation, object material/shape/dimensions, and proof rows are distinct physical sides.","Local 034 row remains acquisition-only until complete/no-longer status, source dimensions, and diagnostic sign visibility are validated.","No-longer status is missing imaging, dimensions are catalog shortcuts, or 034 is a damaged/allographic sibling.","source_acquisition_only_source_images_not_validated"
"8","A_034_no_longer_small_object","direct_CISI_HARP_plate_request","no_public_lead_source_required","H-952","7","1","1832.2","positive_034_residue_candidate","034","1832.2:+700-034+","no_longer_text","all_short_or_no_longer_text","NO_LONGER_TEXT","NO_LONGER_TEXT","1:+740-564+|2:+700-034+","1","2","1832.1;1832.2","G257469","","G-","--","-/-","- -","Steatite","rectangular/rectangular","Poor/complete","11.4 x 7.1 x 0","1832.1:+740-564+;1832.2:+700-034+","no_checked_public_lead","Request source-grade images/plates for all catalog rows of H-952. Metadata source hooks: G257469. Packet rows to verify: 1832.2 +700-034+. All local rows to reconcile: 1832.1 +740-564+; 1832.2 +700-034+. Needed: side labels/order, image/impression direction, sign segmentation, object material/shape/dimensions, and proof rows are distinct physical sides.","Local 034 row remains acquisition-only until complete/no-longer status, source dimensions, and diagnostic sign visibility are validated.","No-longer status is missing imaging, dimensions are catalog shortcuts, or 034 is a damaged/allographic sibling.","source_acquisition_only_source_images_not_validated"
"9","A_034_no_longer_small_object","direct_CISI_HARP_plate_request","no_public_lead_source_required","H-1828","9","1","895.2","duplicate_family_risk;positive_034_residue_candidate","034","895.2:+700-034+","no_longer_text","all_short_or_no_longer_text","NO_LONGER_TEXT","NO_LONGER_TEXT","1:+156-176+|2:+700-034+","2","2","895.1;895.2","H97-3371","Figure 14.12","ETrench 11","--","Period 3C/C","- -","Faience","rectangular/plano-convex","Poor/complete","12.5 x 7 x 5","895.1:+156-176+;895.2:+700-034+","no_checked_public_lead","Request source-grade images/plates for all catalog rows of H-1828. Metadata source hooks: H97-3371; Figure 14.12. Packet rows to verify: 895.2 +700-034+. All local rows to reconcile: 895.1 +156-176+; 895.2 +700-034+. Needed: side labels/order, image/impression direction, sign segmentation, object material/shape/dimensions, and proof rows are distinct physical sides.","Local 034 row remains acquisition-only until complete/no-longer status, source dimensions, and diagnostic sign visibility are validated.","No-longer status is missing imaging, dimensions are catalog shortcuts, or 034 is a damaged/allographic sibling.","source_acquisition_only_source_images_not_validated"
"10","A_034_no_longer_small_object","direct_CISI_HARP_plate_request","no_public_lead_source_required","H-1829","10","1","890.2","duplicate_family_risk;positive_034_residue_candidate","034","890.2:+700-034+","no_longer_text","all_short_or_no_longer_text","NO_LONGER_TEXT","NO_LONGER_TEXT","1:+156-176+|2:+700-034+","2","2","890.1;890.2","H97-3365","Figure 14.13","ETrench 11","--","Period 3C/C","- -","Faience","rectangular/plano-convex","Good/complete","12.6 x 7 x 4.5","890.1:+156-176+;890.2:+700-034+","no_checked_public_lead","Request source-grade images/plates for all catalog rows of H-1829. Metadata source hooks: H97-3365; Figure 14.13. Packet rows to verify: 890.2 +700-034+. All local rows to reconcile: 890.1 +156-176+; 890.2 +700-034+. Needed: side labels/order, image/impression direction, sign segmentation, object material/shape/dimensions, and proof rows are distinct physical sides.","Local 034 row remains acquisition-only until complete/no-longer status, source dimensions, and diagnostic sign visibility are validated.","No-longer status is missing imaging, dimensions are catalog shortcuts, or 034 is a damaged/allographic sibling.","source_acquisition_only_source_images_not_validated"
