batch_id,batch_rank,role_in_packet,cisi,local_source_hook,local_row_id,catalog_row_text,side_id_local,expected_side_role,source_url,source_ref,image_kind,image_quality,side_id_source,physical_side_confidence,direction_source,mirror_status,direction_safe,source_matches_catalog,side_relation_catalog,side_relation_physical,source_side_count,local_side_count,dimensions_source_status,review_status,reviewer_notes
1850_1842_1772,1,034_candidate,H-1850,"H2001-5141;Figure 48.07",480.1,+700-034+,side_1,FRAME700_short,none,none,unknown,unknown,unknown,catalog_only,unknown,unknown,uncertain,uncertain,short_plus_long,unclear,unknown,2,catalog_only,unreviewed,need_source_image
1850_1842_1772,1,other_side,H-1850,"H2001-5141;Figure 48.07",480.2,+400-740-760-382+,side_2,long_companion,none,none,unknown,unknown,unknown,catalog_only,unknown,unknown,uncertain,uncertain,short_plus_long,unclear,unknown,2,catalog_only,unreviewed,need_source_image
1850_1842_1772,1,033_sibling,H-1842,"H95-2416;Figure 26.07",631.1,+033-700+,side_1,FRAME700_short,none,none,unknown,unknown,unknown,catalog_only,unknown,unknown,uncertain,uncertain,short_plus_long,unclear,unknown,2,catalog_only,unreviewed,need_source_image
1850_1842_1772,1,other_side,H-1842,"H95-2416;Figure 26.07",631.2,+740-690-435-176-233-803+,side_2,long_companion,none,none,unknown,unknown,unknown,catalog_only,unknown,unknown,uncertain,uncertain,short_plus_long,unclear,unknown,2,catalog_only,unreviewed,need_source_image
1850_1842_1772,1,032_control,H-1772,"H2000-4437;Figure 39.05",400.1,+700-032+,side_1,FRAME700_short,none,none,unknown,unknown,unknown,catalog_only,unknown,unknown,uncertain,uncertain,short_plus_long,unclear,unknown,2,catalog_only,unreviewed,need_source_image
1850_1842_1772,1,other_side,H-1772,"H2000-4437;Figure 39.05",400.2,+740-031-001-140+,side_2,long_companion,none,none,unknown,unknown,unknown,catalog_only,unknown,unknown,uncertain,uncertain,short_plus_long,unclear,unknown,2,catalog_only,unreviewed,need_source_image
771_789_1123,2,other_side,H-771,657678,1663.1,+032-257-840+,side_1,long_companion,none,none,unknown,unknown,unknown,catalog_only,unknown,unknown,uncertain,uncertain,short_plus_long,unclear,unknown,2,catalog_only,unreviewed,need_source_image
771_789_1123,2,034_candidate,H-771,657678,1663.2,+700-034+,side_2,FRAME700_short,none,none,unknown,unknown,unknown,catalog_only,unknown,unknown,uncertain,uncertain,short_plus_long,unclear,unknown,2,catalog_only,unreviewed,need_source_image
771_789_1123,2,other_side,H-789,12549604,1680.1,+400-520-220-016+,side_1,long_companion,none,none,unknown,unknown,unknown,catalog_only,unknown,unknown,uncertain,uncertain,short_plus_long,unclear,unknown,2,catalog_only,unreviewed,need_source_image
771_789_1123,2,033_sibling,H-789,12549604,1680.2,+033-700+,side_2,FRAME700_short,none,none,unknown,unknown,unknown,catalog_only,unknown,unknown,uncertain,uncertain,short_plus_long,unclear,unknown,2,catalog_only,unreviewed,need_source_image
771_789_1123,2,other_side,H-1123,9015360,313.1,+525-550-220+,side_1,long_companion,none,none,unknown,unknown,unknown,catalog_only,unknown,unknown,uncertain,uncertain,short_plus_long,unclear,unknown,2,catalog_only,unreviewed,need_source_image
771_789_1123,2,032_control,H-1123,9015360,313.2,+700-032+,side_2,FRAME700_short,none,none,unknown,unknown,unknown,catalog_only,unknown,unknown,uncertain,uncertain,short_plus_long,unclear,unknown,2,catalog_only,unreviewed,need_source_image
1943_1940_854,3,034_candidate,H-1943,"H2000-4482;Figure 42.10",422.1,+700-034+,side_1,FRAME700_short,https://www.indusproject.org/section-headers-3/circle/solar-symbol/,Indus_Dictionary_Project_CISI_pointer,unknown,unknown,unknown,catalog_only,unknown,unknown,uncertain,uncertain,short_plus_long,unclear,unknown,2,catalog_only,unreviewed,secondary_pointer_only_claim_rejected
1943_1940_854,3,other_side,H-1943,"H2000-4482;Figure 42.10",422.2,+740-384-031+,side_2,long_companion,https://www.indusproject.org/section-headers-3/circle/solar-symbol/,Indus_Dictionary_Project_CISI_pointer,unknown,unknown,unknown,catalog_only,unknown,unknown,uncertain,uncertain,short_plus_long,unclear,unknown,2,catalog_only,unreviewed,secondary_pointer_only_claim_rejected
1943_1940_854,3,033_sibling,H-1940,"H2001-5072;Figure 44.05",458.1,+700-033+,side_1,FRAME700_short,none,none,unknown,unknown,unknown,catalog_only,unknown,unknown,uncertain,uncertain,short_plus_long,unclear,unknown,2,catalog_only,unreviewed,need_source_image
1943_1940_854,3,other_side,H-1940,"H2001-5072;Figure 44.05",458.2,+400-740-067-100+,side_2,long_companion,none,none,unknown,unknown,unknown,catalog_only,unknown,unknown,uncertain,uncertain,short_plus_long,unclear,unknown,2,catalog_only,unreviewed,need_source_image
1943_1940_854,3,other_side,H-854,10010647,1740.1,+400-740-335-003+,side_1,long_companion,none,none,unknown,unknown,unknown,catalog_only,unknown,unknown,uncertain,uncertain,short_plus_long,unclear,unknown,2,catalog_only,unreviewed,need_source_image
1943_1940_854,3,032_control,H-854,10010647,1740.2,+700-032+,side_2,FRAME700_short,none,none,unknown,unknown,unknown,catalog_only,unknown,unknown,uncertain,uncertain,short_plus_long,unclear,unknown,2,catalog_only,unreviewed,need_source_image
