"checked_date","cisi","priority","lanes","roles","batch_ids","packet_source_hooks","route_class","public_evidence_class","cisi_volume_target","source_route_url","ia_ocr_source","ia_ocr_hits","source_action","route_note","accepted_decipherment_claim"
"2026-05-25","H-212","core","local_contrast_stress","control_032","local_1824_1883_212","3890357","kenoyer_1997_table2_plus_cisi_scan_lead","public_table2_identity_lead_plus_cisi_ocr","CISI_1_or_2_legacy_Harappa_entry","https://www.harappa.com/sites/default/files/pdf/Kenoyer1997_Excavations%20at%20Harappa%201994-1995%20New%20Perspective.pdf","CISI_Collections_in_India_djvu.txt","4","inspect_or_request_source_images_before_coding_sheet","Kenoyer 1997 Table 2 lists H94-2188 against H-212; IA OCR also finds H-212 in the CISI India scan. Needs exact CISI/Vats plate-side reconciliation.","0"
"2026-05-25","H-353","core","local_contrast_stress","control_033","local_983_353_2211","1348","internet_archive_cisi_vol1_2_ocr_plus_secondary_text_lead","public_cisi_ocr_hit_plus_secondary_text","CISI_1_or_2_legacy_Harappa_entry","https://archive.org/details/TheIndusScript.TextConcordanceAndTablesIravathanMahadevan","CISI_Collections_in_India_djvu.txt","4","inspect_or_request_source_images_before_coding_sheet","IA OCR finds H-353; Parpola 2019 mentions it only as a secondary textual lead. Images remain decisive.","0"
"2026-05-25","H-771","core","independent_low_copy","target_034","independent_771_789_1123","657678","internet_archive_cisi_vol1_2_ocr_lead","public_cisi_ocr_hit_only","CISI_2_Collections_in_Pakistan","https://archive.org/details/TheIndusScript.TextConcordanceAndTablesIravathanMahadevan","CISI_Collections_in_Pakistan_djvu.txt","4","inspect_or_request_source_images_before_coding_sheet","Internet Archive OCR finds H-771 in the CISI Pakistan scan; image-level row still must be checked manually.","0"
"2026-05-25","H-789","core","independent_low_copy","control_033","independent_771_789_1123","12549604","internet_archive_cisi_vol1_2_ocr_lead","public_cisi_ocr_hit_only","CISI_2_Collections_in_Pakistan","https://archive.org/details/TheIndusScript.TextConcordanceAndTablesIravathanMahadevan","CISI_Collections_in_Pakistan_djvu.txt","2","inspect_or_request_source_images_before_coding_sheet","Internet Archive OCR finds H-789 in the CISI Pakistan scan; use only as a plate locator.","0"
"2026-05-25","H-854","core","independent_low_copy","control_032","independent_1943_1940_854","10010647","cisi_vol2_archive_request_no_public_ocr_hit","source_request_only","CISI_2_Collections_in_Pakistan","https://archive.org/metadata/TheIndusScript.TextConcordanceAndTablesIravathanMahadevan","checked_CISI_vol1_vol2_and_Mahadevan_ocr","0","inspect_or_request_source_images_before_coding_sheet","No exact H-854 hit in checked IA OCR; request by CISI ID plus source hook 10010647, with Vats plates checked if CISI vol. 2 points backward.","0"
"2026-05-25","H-893","core","local_contrast_stress","target_034","local_893_925_930","12581522","internet_archive_cisi_vol1_2_ocr_lead","public_cisi_ocr_hit_only","CISI_2_Collections_in_Pakistan","https://archive.org/details/TheIndusScript.TextConcordanceAndTablesIravathanMahadevan","CISI_Collections_in_Pakistan_djvu.txt","3","inspect_or_request_source_images_before_coding_sheet","Internet Archive OCR finds H-893 in the CISI Pakistan scan; route is plate lookup, not validation.","0"
"2026-05-25","H-925","core","local_contrast_stress","control_033","local_893_925_930;local_2137_925_930","3286512","internet_archive_cisi_vol1_2_ocr_plus_secondary_text_lead","public_cisi_ocr_hit_plus_secondary_text","CISI_2_Collections_in_Pakistan","https://archive.org/details/TheIndusScript.TextConcordanceAndTablesIravathanMahadevan","CISI_Collections_in_Pakistan_djvu.txt","7","inspect_or_request_source_images_before_coding_sheet","IA OCR finds H-925; Parpola 2019 gives a secondary textual mention useful for request wording only.","0"
"2026-05-25","H-930","core","local_contrast_stress","control_032","local_893_925_930;local_2137_925_930","J30520","internet_archive_cisi_vol1_2_ocr_lead","public_cisi_ocr_hit_only","CISI_2_Collections_in_Pakistan","https://archive.org/details/TheIndusScript.TextConcordanceAndTablesIravathanMahadevan","CISI_Collections_in_Pakistan_djvu.txt","1","inspect_or_request_source_images_before_coding_sheet","IA OCR finds H-930 once in the CISI Pakistan scan; needs page/image inspection.","0"
"2026-05-25","H-983","core","local_contrast_stress","target_034","local_983_353_2211","2528582","internet_archive_cisi_vol1_2_ocr_lead","public_cisi_ocr_hit_only","CISI_2_Collections_in_Pakistan","https://archive.org/details/TheIndusScript.TextConcordanceAndTablesIravathanMahadevan","CISI_Collections_in_Pakistan_djvu.txt","1","inspect_or_request_source_images_before_coding_sheet","IA OCR finds H-983 once in the CISI Pakistan scan; use as plate locator only.","0"
"2026-05-25","H-1123","core","independent_low_copy","control_032","independent_771_789_1123","9015360","cisi_vol2_archive_request_no_public_ocr_hit","source_request_only","CISI_2_Collections_in_Pakistan","https://archive.org/metadata/TheIndusScript.TextConcordanceAndTablesIravathanMahadevan","checked_CISI_vol1_vol2_and_Mahadevan_ocr","0","inspect_or_request_source_images_before_coding_sheet","No exact H-1123 hit in checked IA OCR; source hook 9015360 keeps it in the CISI/HARP/Vats crosswalk request batch.","0"
