"triad_rank","target_bucket","contrast_readiness","triad_score","target_cisi","target_row_id","target_short_text","target_context_class","target_side_relation","target_long_token_set","target_hva_bins","target_source_hooks","target_material_shape","target_period_phase_depth","target_dimensions_mm","target_local_rows","control_033_cisi","control_033_row_id","control_033_score","control_033_short_text","control_033_context_class","control_033_side_relation","control_033_long_token_set","control_033_hva_bins","control_033_source_hooks","control_033_material_shape","control_033_period_phase_depth","control_033_dimensions_mm","control_033_local_rows","control_033_matches","control_033_mismatches","control_032_cisi","control_032_row_id","control_032_score","control_032_short_text","control_032_context_class","control_032_side_relation","control_032_long_token_set","control_032_hva_bins","control_032_source_hooks","control_032_material_shape","control_032_period_phase_depth","control_032_dimensions_mm","control_032_local_rows","control_032_matches","control_032_mismatches","source_request_bundle","triad_question","preserves_source_contrast_if","downgrades_to_object_format_if","kills_034_residue_if","source_check_status"
"1","A_034_002_861_416_companion","strong_two_sibling_metadata_controls","70","H-910","1792.2","+700-034+","single_longer_text","short_after_all_longer","002;416;861","h_13_16/v_7_8p5/area_80_120/aspect_ge_1p9","10994470","Steatite/rectangular/rectangular","Period 3C-3/Stratum II/-5.5 ft","14.7 x 7.6 x 0","1792.1:+002-861-416+;1792.2:+700-034+","H-916","1796.2","35","+700-033+","single_longer_text","short_after_all_longer","032;059;400;740","h_13_16/v_7_8p5/area_80_120/aspect_ge_1p9","12516456","Steatite/rectangular/rectangular","Period 3B/C/Stratum V/-14.17 ft","15.2 x 7.6 x 0","1796.1:+400-740-032-059+;1796.2:+700-033+","type;sides;site;material;shape;cross_section;symbol;h_bin;v_bin;area_bin;aspect_bin;context_class;side_relation;order","area_section:FTrench VI->FTrench I;period_phase:Period 3C-3/Stratum II->Period 3B/C/Stratum V;long_token_set:002;416;861->032;059;400;740","H-1294","1061.2","35","+700-032+","single_longer_text","short_after_all_longer","233;527;550","h_13_16/v_7_8p5/area_80_120/aspect_ge_1p9","PII-1499","Steatite/rectangular/rectangular","Period 4/Stratum I/-1.0 ft","15.2 x 7.6 x 0","1061.1:+527-550-233+;1061.2:+700-032+","type;sides;site;material;shape;cross_section;symbol;h_bin;v_bin;area_bin;aspect_bin;context_class;side_relation;order","area_section:FTrench VI->AB-;period_phase:Period 3C-3/Stratum II->Period 4/Stratum I;long_token_set:002;416;861->233;527;550","H-910: all sides, source plate/image ID, side labels/order, inscription/impression direction, segmentation; hooks 10994470 | H-916: all sides, source plate/image ID, side labels/order, inscription/impression direction, segmentation; hooks 12516456 | H-1294: all sides, source plate/image ID, side labels/order, inscription/impression direction, segmentation; hooks PII-1499","Does target H-910 +700-034+ remain visually distinct from matched 033 H-916 +700-033+ and matched 032 H-1294 +700-032+? After source direction and side-order checks, is the target's context (short_after_all_longer; 002;416;861) still different from both controls? If not, is the residue better explained by object format, direction/allography, or duplicate-family copying?","all three source images confirm 034/033/032 are visually distinct; target and controls are comparable object formats; target keeps a source-visible side/companion contrast after direction checks; target is not only one copied/molded local family","034 is visible but matched 033/032 controls show the same side/context behavior; only dimensions or object form differ after source correction; control matches fail because source metadata or measurements are wrong","034 collapses visually into 033/032; +034-700+ versus +700-034+ is only image/corpus direction normalization; longer companion rows are missegmented; no-longer status is missing side coverage; the contrast is confined to duplicate/copy family rows","source_triad_only_source_images_not_validated_no_interpretive_claims"
"2","A_034_002_861_416_companion","strong_two_sibling_metadata_controls","66","H-2094","476.1","+700-034+","single_longer_text","short_before_all_longer","002;416;861","h_10_13/v_7_8p5/area_80_120/aspect_1p5_1p9","H2001-5134;Figure 47.02","Steatite/rectangular/rectangular","Period 3C/C/- -","12.6 x 7 x 2.5","476.1:+700-034+;476.2:+002-861-416+","H-900","1782.2","33","+700-033+","single_longer_text","short_after_all_longer","400;491;740;817","h_10_13/v_7_8p5/area_80_120/aspect_1p5_1p9","10059455/504","Steatite/rectangular/rectangular","Period 3C-1/Stratum IV/-6.0 ft","12.7 x 7.1 x 0","1782.1:+400-740-817-491+;1782.2:+700-033+","type;sides;site;material;shape;cross_section;symbol;h_bin;v_bin;area_bin;aspect_bin;context_class;order","area_section:ETrench 11->FTrench IV+V;period_phase:Period 3C/C->Period 3C-1/Stratum IV;side_relation:short_before_all_longer->short_after_all_longer;long_token_set:002;416;861->400;491;740;817","H-2173","801.1","33","+700-032+","single_longer_text","short_before_all_longer","400;491;740;817","h_10_13/v_7_8p5/area_80_120/aspect_1p5_1p9","H96-3132;Figure 20.06","Steatite/oval/rectangular","Period 3B/B/- -","12.8 x 7 x 3","801.1:+700-032+;801.2:+400-740-817-491+","type;sides;site;material;cross_section;symbol;area_section;h_bin;v_bin;area_bin;aspect_bin;context_class;side_relation;order","shape:rectangular->oval;period_phase:Period 3C/C->Period 3B/B;excavation_prefix:H2001->H96;long_token_set:002;416;861->400;491;740;817","H-2094: all sides, source plate/image ID, side labels/order, inscription/impression direction, segmentation; hooks H2001-5134; Figure 47.02 | H-900: all sides, source plate/image ID, side labels/order, inscription/impression direction, segmentation; hooks 10059455/504 | H-2173: all sides, source plate/image ID, side labels/order, inscription/impression direction, segmentation; hooks H96-3132; Figure 20.06","Does target H-2094 +700-034+ remain visually distinct from matched 033 H-900 +700-033+ and matched 032 H-2173 +700-032+? After source direction and side-order checks, is the target's context (short_before_all_longer; 002;416;861) still different from both controls? If not, is the residue better explained by object format, direction/allography, or duplicate-family copying?","all three source images confirm 034/033/032 are visually distinct; target and controls are comparable object formats; target keeps a source-visible side/companion contrast after direction checks; target is not only one copied/molded local family","034 is visible but matched 033/032 controls show the same side/context behavior; only dimensions or object form differ after source correction; control matches fail because source metadata or measurements are wrong","034 collapses visually into 033/032; +034-700+ versus +700-034+ is only image/corpus direction normalization; longer companion rows are missegmented; no-longer status is missing side coverage; the contrast is confined to duplicate/copy family rows","source_triad_only_source_images_not_validated_no_interpretive_claims"
"3","A_034_002_861_416_companion","strong_two_sibling_metadata_controls","64","H-2097","488.1","+034-700+","single_longer_text","short_before_all_longer","002;416;861","h_13_16/v_7_8p5/area_80_120/aspect_1p5_1p9","H2001-5193;Figure 48.02","Steatite/rectangular/rectangular","Period 3C/C/- -","14.5 x 7.8 x 3.5","488.1:+034-700+;488.2:+002-861-416+","H-925","1805.2","32","+700-033+","single_longer_text","short_after_all_longer","013;740;840","h_13_16/v_7_8p5/area_80_120/aspect_1p5_1p9","3286512","Steatite/rectangular/rectangular","Period 3C-1/Stratum IV/-12.5 ft","14 x 7.6 x 0","1805.1:+740-840-013+;1805.2:+700-033+","type;sides;site;material;shape;cross_section;symbol;h_bin;v_bin;area_bin;aspect_bin;context_class","area_section:ETrench 11->FTrench I;period_phase:Period 3C/C->Period 3C-1/Stratum IV;side_relation:short_before_all_longer->short_after_all_longer;order:700_last->700_first;long_token_set:002;416;861->013;740;840","H-930","1810.2","32","+700-032+","single_longer_text","short_after_all_longer","004;740;900","h_13_16/v_7_8p5/area_80_120/aspect_1p5_1p9","J30520","Steatite/rectangular/rectangular","-/Stratum I/-2.0 ft","14 x 8.4 x 0","1810.1:+740-900-004+;1810.2:+700-032+","type;sides;site;material;shape;cross_section;symbol;h_bin;v_bin;area_bin;aspect_bin;context_class","area_section:ETrench 11->D-;period_phase:Period 3C/C->-/Stratum I;excavation_prefix:H2001->J;side_relation:short_before_all_longer->short_after_all_longer;order:700_last->700_first;long_token_set:002;416;861->004;740;900","H-2097: all sides, source plate/image ID, side labels/order, inscription/impression direction, segmentation; hooks H2001-5193; Figure 48.02 | H-925: all sides, source plate/image ID, side labels/order, inscription/impression direction, segmentation; hooks 3286512 | H-930: all sides, source plate/image ID, side labels/order, inscription/impression direction, segmentation; hooks J30520","Does target H-2097 +034-700+ remain visually distinct from matched 033 H-925 +700-033+ and matched 032 H-930 +700-032+? After source direction and side-order checks, is the target's context (short_before_all_longer; 002;416;861) still different from both controls? If not, is the residue better explained by object format, direction/allography, or duplicate-family copying?","all three source images confirm 034/033/032 are visually distinct; target and controls are comparable object formats; target keeps a source-visible side/companion contrast after direction checks; target is not only one copied/molded local family","034 is visible but matched 033/032 controls show the same side/context behavior; only dimensions or object form differ after source correction; control matches fail because source metadata or measurements are wrong","034 collapses visually into 033/032; +034-700+ versus +700-034+ is only image/corpus direction normalization; longer companion rows are missegmented; no-longer status is missing side coverage; the contrast is confined to duplicate/copy family rows","source_triad_only_source_images_not_validated_no_interpretive_claims"
"4","A_034_002_861_416_companion","strong_two_sibling_metadata_controls","56","H-2096","665.1","+700-034+","single_longer_text","short_before_all_longer","002;416;861","h_13_16/v_7_8p5/area_80_120/aspect_1p5_1p9","H95-2488","-/rectangular/-","Period 3B/C/B/C/- -","13.5 x 8 x 0","665.1:+700-034+;665.2:+002-861-416+","H-924","1804.2","28","+700-033+","single_longer_text","short_after_all_longer","013;740;840","h_13_16/v_7_8p5/area_80_120/aspect_1p5_1p9","3286","-/rectangular/-","-/-/-10 ft","14 x 8 x 0","1804.1:+740-840-013+;1804.2:+700-033+","type;sides;site;shape;symbol;h_bin;v_bin;area_bin;aspect_bin;context_class;order","period_phase:Period 3B/C/B/C->-/-;side_relation:short_before_all_longer->short_after_all_longer;long_token_set:002;416;861->013;740;840","H-930","1810.2","28","+700-032+","single_longer_text","short_after_all_longer","004;740;900","h_13_16/v_7_8p5/area_80_120/aspect_1p5_1p9","J30520","Steatite/rectangular/rectangular","-/Stratum I/-2.0 ft","14 x 8.4 x 0","1810.1:+740-900-004+;1810.2:+700-032+","type;sides;site;shape;symbol;h_bin;v_bin;area_bin;aspect_bin;context_class;order","period_phase:Period 3B/C/B/C->-/Stratum I;excavation_prefix:H95->J;side_relation:short_before_all_longer->short_after_all_longer;long_token_set:002;416;861->004;740;900","H-2096: all sides, source plate/image ID, side labels/order, inscription/impression direction, segmentation; hooks H95-2488 | H-924: all sides, source plate/image ID, side labels/order, inscription/impression direction, segmentation; hooks 3286 | H-930: all sides, source plate/image ID, side labels/order, inscription/impression direction, segmentation; hooks J30520","Does target H-2096 +700-034+ remain visually distinct from matched 033 H-924 +700-033+ and matched 032 H-930 +700-032+? After source direction and side-order checks, is the target's context (short_before_all_longer; 002;416;861) still different from both controls? If not, is the residue better explained by object format, direction/allography, or duplicate-family copying?","all three source images confirm 034/033/032 are visually distinct; target and controls are comparable object formats; target keeps a source-visible side/companion contrast after direction checks; target is not only one copied/molded local family","034 is visible but matched 033/032 controls show the same side/context behavior; only dimensions or object form differ after source correction; control matches fail because source metadata or measurements are wrong","034 collapses visually into 033/032; +034-700+ versus +700-034+ is only image/corpus direction normalization; longer companion rows are missegmented; no-longer status is missing side coverage; the contrast is confined to duplicate/copy family rows","source_triad_only_source_images_not_validated_no_interpretive_claims"
"5","A_034_002_861_416_companion","strong_032_control_only","52","H-2095","518.1","+700-034+","single_longer_text","short_before_all_longer","002;416;861","h_ge_16/v_7_8p5/area_120_180/aspect_ge_1p9","H90-1688;Figure 13.44 (d)","-/rectangular/-","Period 3B/B/- -","17 x 7.5 x 0","518.1:+700-034+;518.2:+002-861-416+","H-2125","425.1","27","+700-033+","single_longer_text","short_before_all_longer","067;143;740","h_ge_16/v_8p5_10/area_120_180/aspect_ge_1p9","H2000-4485;Figure 42.03","Steatite/rectangular/rectangular","Period 3B/C/B/C/- -","18.3 x 9 x 2.5","425.1:+700-033+;425.2:+740-143-067+","type;sides;site;shape;symbol;h_bin;area_bin;aspect_bin;context_class;side_relation;order","area_section:EC->ETrench 54;period_phase:Period 3B/B->Period 3B/C/B/C;excavation_prefix:H90->H2000;v_bin:v_7_8p5->v_8p5_10;long_token_set:002;416;861->067;143;740","H-1309","257.2","25","+700-032+","single_longer_text","short_after_all_longer","060;156;176;741;920","h_ge_16/v_7_8p5/area_120_180/aspect_ge_1p9","2257404","Steatite/rectangular-round/rectangular","Period 3B/C/Stratum VI/-15.25 ft","16.5 x 7.6 x 0","257.1:+156-176-741-060-920+;257.2:+700-032+","type;sides;site;symbol;h_bin;v_bin;area_bin;aspect_bin;context_class;order","shape:rectangular->rectangular-round;area_section:EC->FTrench III;period_phase:Period 3B/B->Period 3B/C/Stratum VI;side_relation:short_before_all_longer->short_after_all_longer;long_token_set:002;416;861->060;156;176;741;920","H-2095: all sides, source plate/image ID, side labels/order, inscription/impression direction, segmentation; hooks H90-1688; Figure 13.44 (d) | H-2125: all sides, source plate/image ID, side labels/order, inscription/impression direction, segmentation; hooks H2000-4485; Figure 42.03 | H-1309: all sides, source plate/image ID, side labels/order, inscription/impression direction, segmentation; hooks 2257404","Does target H-2095 +700-034+ remain visually distinct from matched 033 H-2125 +700-033+ and matched 032 H-1309 +700-032+? After source direction and side-order checks, is the target's context (short_before_all_longer; 002;416;861) still different from both controls? If not, is the residue better explained by object format, direction/allography, or duplicate-family copying?","all three source images confirm 034/033/032 are visually distinct; target and controls are comparable object formats; target keeps a source-visible side/companion contrast after direction checks; target is not only one copied/molded local family","034 is visible but matched 033/032 controls show the same side/context behavior; only dimensions or object form differ after source correction; control matches fail because source metadata or measurements are wrong","034 collapses visually into 033/032; +034-700+ versus +700-034+ is only image/corpus direction normalization; longer companion rows are missegmented; no-longer status is missing side coverage; the contrast is confined to duplicate/copy family rows","source_triad_only_source_images_not_validated_no_interpretive_claims"
"6","A_034_no_longer_small_object","strong_two_sibling_metadata_controls","69","H-307","1329.2","+700-034+","all_short_or_no_longer_text","no_longer_text","NO_LONGER_TEXT","h_10_13/v_lt_7/area_80_120/aspect_ge_1p9","1963","Steatite/rectangular/rectangular","Period 3B/C/Stratum V/-12.33 ft","12.7 x 6.4 x 0","1329.1:+368-900+;1329.2:+700-034+","H-928","1808.1","38","+700-033+","all_short_or_no_longer_text","no_longer_text","NO_LONGER_TEXT","h_10_13/v_lt_7/area_80_120/aspect_ge_1p9","1219","Steatite/rectangular/rectangular","Period 3B/C/Stratum VI/-19.25 ft","12.7 x 6.4 x 0","1808.1:+700-033+;1808.2:+368-900+","type;sides;site;material;shape;cross_section;symbol;area_section;h_bin;v_bin;area_bin;aspect_bin;context_class;side_relation;order;long_token_set","period_phase:Period 3B/C/Stratum V->Period 3B/C/Stratum VI","H-1156","270.2","31","+700-032+","single_short_no_longer_text","no_longer_text","NO_LONGER_TEXT","h_10_13/v_lt_7/area_80_120/aspect_1p5_1p9","2787691","Steatite/rectangular/rectangular","Period 3B/C/Stratum V/-13.33 ft","12.2 x 6.9 x 0","270.1:+200-705-380+;270.2:+700-032+","sides;site;material;shape;cross_section;symbol;area_section;period_phase;h_bin;v_bin;area_bin;side_relation;order;long_token_set","type:TAB:I->TAB:B;aspect_bin:aspect_ge_1p9->aspect_1p5_1p9;context_class:all_short_or_no_longer_text->single_short_no_longer_text","H-307: all sides, source plate/image ID, side labels/order, inscription/impression direction, segmentation; hooks 1963 | H-928: all sides, source plate/image ID, side labels/order, inscription/impression direction, segmentation; hooks 1219 | H-1156: all sides, source plate/image ID, side labels/order, inscription/impression direction, segmentation; hooks 2787691","Does target H-307 +700-034+ remain visually distinct from matched 033 H-928 +700-033+ and matched 032 H-1156 +700-032+? After source direction and side-order checks, is the target's context (no_longer_text; NO_LONGER_TEXT) still different from both controls? If not, is the residue better explained by object format, direction/allography, or duplicate-family copying?","all three source images confirm 034/033/032 are visually distinct; target and controls are comparable object formats; target keeps a source-visible side/companion contrast after direction checks; target is not only one copied/molded local family","034 is visible but matched 033/032 controls show the same side/context behavior; only dimensions or object form differ after source correction; control matches fail because source metadata or measurements are wrong","034 collapses visually into 033/032; +034-700+ versus +700-034+ is only image/corpus direction normalization; longer companion rows are missegmented; no-longer status is missing side coverage; the contrast is confined to duplicate/copy family rows","source_triad_only_source_images_not_validated_no_interpretive_claims"
"7","A_034_no_longer_small_object","strong_two_sibling_metadata_controls","68","H-788","1679.2","+700-034+","single_short_no_longer_text","no_longer_text","NO_LONGER_TEXT","h_10_13/v_7_8p5/area_80_120/aspect_1p5_1p9","558683","Faience/rectangular/rectangular","Period 3B/C/Stratum VI/-15.5 ft","12.7 x 7.6 x 0","1679.1:+740-255-000+;1679.2:+700-034+","H-798","1689.2","34","+700-033+","single_short_no_longer_text","no_longer_text","NO_LONGER_TEXT","h_13_16/v_7_8p5/area_80_120/aspect_ge_1p9","10178607","Faience/rectangular/rectangular","Period 3B/C/Stratum VI/-12.5 ft","15.2 x 7.6 x 0","1689.1:+158-999-792+;1689.2:+700-033+","type;sides;site;material;shape;cross_section;symbol;period_phase;v_bin;area_bin;context_class;side_relation;order;long_token_set","area_section:FTrench I->FGranery;h_bin:h_10_13->h_13_16;aspect_bin:aspect_1p5_1p9->aspect_ge_1p9","H-1836","497.1","34","+700-032+","single_short_no_longer_text","no_longer_text","NO_LONGER_TEXT","h_13_16/v_7_8p5/area_80_120/aspect_1p5_1p9","H98-3438;Figure 25.04","Faience/rectangular/rectangular","Period 3/-/-0.0 m","14 x 8 x 2.3","497.1:+700-032+;497.2:+400-740-000-792+","type;sides;site;material;shape;cross_section;symbol;v_bin;area_bin;aspect_bin;context_class;side_relation;order;long_token_set","period_phase:Period 3B/C/Stratum VI->Period 3/-;h_bin:h_10_13->h_13_16","H-788: all sides, source plate/image ID, side labels/order, inscription/impression direction, segmentation; hooks 558683 | H-798: all sides, source plate/image ID, side labels/order, inscription/impression direction, segmentation; hooks 10178607 | H-1836: all sides, source plate/image ID, side labels/order, inscription/impression direction, segmentation; hooks H98-3438; Figure 25.04","Does target H-788 +700-034+ remain visually distinct from matched 033 H-798 +700-033+ and matched 032 H-1836 +700-032+? After source direction and side-order checks, is the target's context (no_longer_text; NO_LONGER_TEXT) still different from both controls? If not, is the residue better explained by object format, direction/allography, or duplicate-family copying?","all three source images confirm 034/033/032 are visually distinct; target and controls are comparable object formats; target keeps a source-visible side/companion contrast after direction checks; target is not only one copied/molded local family","034 is visible but matched 033/032 controls show the same side/context behavior; only dimensions or object form differ after source correction; control matches fail because source metadata or measurements are wrong","034 collapses visually into 033/032; +034-700+ versus +700-034+ is only image/corpus direction normalization; longer companion rows are missegmented; no-longer status is missing side coverage; the contrast is confined to duplicate/copy family rows","source_triad_only_source_images_not_validated_no_interpretive_claims"
"8","A_034_no_longer_small_object","strong_two_sibling_metadata_controls","67","H-2105","642.2","+700-034+","single_short_no_longer_text","no_longer_text","NO_LONGER_TEXT","h_10_13/v_7_8p5/area_80_120/aspect_1p5_1p9","H95-2428;Figure 27.13","Steatite/rectangular/rectangular","Period 3B/C/B/C/- -","11.5 x 7.5 x 3","642.1:+137+;642.2:+700-034+","H-929","1809.1","34","+700-033+","all_short_or_no_longer_text","no_longer_text","NO_LONGER_TEXT","h_10_13/v_7_8p5/area_80_120/aspect_1p5_1p9","4253","Steatite/rectangular/rectangular","Period 3B/C/Stratum V/-13.33 ft","11.4 x 7.6 x 0","1809.1:+700-033+;1809.2:+368-900+","type;sides;site;material;shape;cross_section;symbol;h_bin;v_bin;area_bin;aspect_bin;side_relation;order;long_token_set","area_section:ETrench 10W/11->FTrench I;period_phase:Period 3B/C/B/C->Period 3B/C/Stratum V;context_class:single_short_no_longer_text->all_short_or_no_longer_text","H-2129","674.1","33","+700-032+","single_short_no_longer_text","no_longer_text","NO_LONGER_TEXT","h_missing/v_7_8p5/area_missing/aspect_missing","H95-2515;Figure 30.05","Steatite/rectangular/rectangular","Period 3B/C/B/C/- -","0 x 8 x 2.7","674.1:+700-032+;674.2:]000-590-231+","type;sides;site;material;shape;cross_section;symbol;area_section;period_phase;excavation_prefix;v_bin;context_class;side_relation;order;long_token_set","h_bin:h_10_13->h_missing;area_bin:area_80_120->area_missing;aspect_bin:aspect_1p5_1p9->aspect_missing","H-2105: all sides, source plate/image ID, side labels/order, inscription/impression direction, segmentation; hooks H95-2428; Figure 27.13 | H-929: all sides, source plate/image ID, side labels/order, inscription/impression direction, segmentation; hooks 4253 | H-2129: all sides, source plate/image ID, side labels/order, inscription/impression direction, segmentation; hooks H95-2515; Figure 30.05","Does target H-2105 +700-034+ remain visually distinct from matched 033 H-929 +700-033+ and matched 032 H-2129 +700-032+? After source direction and side-order checks, is the target's context (no_longer_text; NO_LONGER_TEXT) still different from both controls? If not, is the residue better explained by object format, direction/allography, or duplicate-family copying?","all three source images confirm 034/033/032 are visually distinct; target and controls are comparable object formats; target keeps a source-visible side/companion contrast after direction checks; target is not only one copied/molded local family","034 is visible but matched 033/032 controls show the same side/context behavior; only dimensions or object form differ after source correction; control matches fail because source metadata or measurements are wrong","034 collapses visually into 033/032; +034-700+ versus +700-034+ is only image/corpus direction normalization; longer companion rows are missegmented; no-longer status is missing side coverage; the contrast is confined to duplicate/copy family rows","source_triad_only_source_images_not_validated_no_interpretive_claims"
"9","A_034_no_longer_small_object","strong_two_sibling_metadata_controls","64","H-952","1832.2","+700-034+","all_short_or_no_longer_text","no_longer_text","NO_LONGER_TEXT","h_10_13/v_7_8p5/area_80_120/aspect_1p5_1p9","G257469","Steatite/rectangular/rectangular","-/-/- -","11.4 x 7.1 x 0","1832.1:+740-564+;1832.2:+700-034+","H-929","1809.1","37","+700-033+","all_short_or_no_longer_text","no_longer_text","NO_LONGER_TEXT","h_10_13/v_7_8p5/area_80_120/aspect_1p5_1p9","4253","Steatite/rectangular/rectangular","Period 3B/C/Stratum V/-13.33 ft","11.4 x 7.6 x 0","1809.1:+700-033+;1809.2:+368-900+","type;sides;site;material;shape;cross_section;symbol;h_bin;v_bin;area_bin;aspect_bin;context_class;side_relation;order;long_token_set","area_section:G-->FTrench I;period_phase:-/-->Period 3B/C/Stratum V","H-930","1810.2","27","+700-032+","single_longer_text","short_after_all_longer","004;740;900","h_13_16/v_7_8p5/area_80_120/aspect_1p5_1p9","J30520","Steatite/rectangular/rectangular","-/Stratum I/-2.0 ft","14 x 8.4 x 0","1810.1:+740-900-004+;1810.2:+700-032+","type;sides;site;material;shape;cross_section;symbol;v_bin;area_bin;aspect_bin;order","area_section:G-->D-;period_phase:-/-->-/Stratum I;excavation_prefix:G->J;h_bin:h_10_13->h_13_16;context_class:all_short_or_no_longer_text->single_longer_text;side_relation:no_longer_text->short_after_all_longer;long_token_set:NO_LONGER_TEXT->004;740;900","H-952: all sides, source plate/image ID, side labels/order, inscription/impression direction, segmentation; hooks G257469 | H-929: all sides, source plate/image ID, side labels/order, inscription/impression direction, segmentation; hooks 4253 | H-930: all sides, source plate/image ID, side labels/order, inscription/impression direction, segmentation; hooks J30520","Does target H-952 +700-034+ remain visually distinct from matched 033 H-929 +700-033+ and matched 032 H-930 +700-032+? After source direction and side-order checks, is the target's context (no_longer_text; NO_LONGER_TEXT) still different from both controls? If not, is the residue better explained by object format, direction/allography, or duplicate-family copying?","all three source images confirm 034/033/032 are visually distinct; target and controls are comparable object formats; target keeps a source-visible side/companion contrast after direction checks; target is not only one copied/molded local family","034 is visible but matched 033/032 controls show the same side/context behavior; only dimensions or object form differ after source correction; control matches fail because source metadata or measurements are wrong","034 collapses visually into 033/032; +034-700+ versus +700-034+ is only image/corpus direction normalization; longer companion rows are missegmented; no-longer status is missing side coverage; the contrast is confined to duplicate/copy family rows","source_triad_only_source_images_not_validated_no_interpretive_claims"
"10","A_034_no_longer_small_object","strong_two_sibling_metadata_controls","63","H-947","1827.2","+700-034+","all_short_or_no_longer_text","no_longer_text","NO_LONGER_TEXT","h_10_13/v_lt_7/area_lt_80/aspect_1p5_1p9","8650b493","Steatite/rectangular/rectangular","Period 3B/C/-/-7 ft","10.2 x 5.8 x 0","1827.1:+400-236+;1827.2:+700-034+","H-928","1808.1","33","+700-033+","all_short_or_no_longer_text","no_longer_text","NO_LONGER_TEXT","h_10_13/v_lt_7/area_80_120/aspect_ge_1p9","1219","Steatite/rectangular/rectangular","Period 3B/C/Stratum VI/-19.25 ft","12.7 x 6.4 x 0","1808.1:+700-033+;1808.2:+368-900+","type;sides;site;material;shape;cross_section;symbol;h_bin;v_bin;context_class;side_relation;order;long_token_set","area_section:F-->FTrench I;period_phase:Period 3B/C/-->Period 3B/C/Stratum VI;area_bin:area_lt_80->area_80_120;aspect_bin:aspect_1p5_1p9->aspect_ge_1p9","H-2146","841.2","30","+700-032+","single_longer_text","short_after_all_longer","220;415;520","h_10_13/v_lt_7/area_lt_80/aspect_1p5_1p9","H97-3300;Figure 16.14","Steatite/rectangular/rectangular","Period 3B/B/- -","11 x 6.8 x 2.5","841.1:+520-220-415+;841.2:+700-032+","type;sides;site;material;shape;cross_section;symbol;h_bin;v_bin;area_bin;aspect_bin;order","area_section:F-->ETrench 11;period_phase:Period 3B/C/-->Period 3B/B;context_class:all_short_or_no_longer_text->single_longer_text;side_relation:no_longer_text->short_after_all_longer;long_token_set:NO_LONGER_TEXT->220;415;520","H-947: all sides, source plate/image ID, side labels/order, inscription/impression direction, segmentation; hooks 8650b493 | H-928: all sides, source plate/image ID, side labels/order, inscription/impression direction, segmentation; hooks 1219 | H-2146: all sides, source plate/image ID, side labels/order, inscription/impression direction, segmentation; hooks H97-3300; Figure 16.14","Does target H-947 +700-034+ remain visually distinct from matched 033 H-928 +700-033+ and matched 032 H-2146 +700-032+? After source direction and side-order checks, is the target's context (no_longer_text; NO_LONGER_TEXT) still different from both controls? If not, is the residue better explained by object format, direction/allography, or duplicate-family copying?","all three source images confirm 034/033/032 are visually distinct; target and controls are comparable object formats; target keeps a source-visible side/companion contrast after direction checks; target is not only one copied/molded local family","034 is visible but matched 033/032 controls show the same side/context behavior; only dimensions or object form differ after source correction; control matches fail because source metadata or measurements are wrong","034 collapses visually into 033/032; +034-700+ versus +700-034+ is only image/corpus direction normalization; longer companion rows are missegmented; no-longer status is missing side coverage; the contrast is confined to duplicate/copy family rows","source_triad_only_source_images_not_validated_no_interpretive_claims"
