"scope","feature","value","subtype","in_subtype_count","subtype_total","in_subtype_share","out_subtype_count","out_subtype_total","out_subtype_share","lift_vs_other_subtypes"
"all_frame700_subtypes","long_edge_frames","002...416","034","5","114","0.04386","0","239","0",""
"all_frame700_subtypes","long_first_tokens","002","034","5","114","0.04386","0","239","0",""
"all_frame700_subtypes","long_token_set","002;416;861","034","5","114","0.04386","0","239","0",""
"all_frame700_subtypes","long_edge_frames","740...013","033","3","137","0.021898","0","216","0",""
"all_frame700_subtypes","long_edge_frames","740...140","032","3","102","0.029412","0","251","0",""
"all_frame700_subtypes","long_first_tokens","565","034","3","114","0.026316","0","239","0",""
"all_frame700_subtypes","long_token_set","001;031;140;740","032","3","102","0.029412","0","251","0",""
"all_frame700_subtypes","long_token_set","013;740;840","033","3","137","0.021898","0","216","0",""
"all_frame700_subtypes","long_last_tokens","416","034","5","114","0.04386","1","239","0.004184","10.482456"
"all_frame700_subtypes","long_last_tokens","817","032","4","102","0.039216","1","251","0.003984","9.843137"
"all_frame700_subtypes","long_edge_frames","520...415","034","4","114","0.035088","1","239","0.004184","8.385965"
"all_frame700_subtypes","long_first_tokens","151","034","4","114","0.035088","1","239","0.004184","8.385965"
"all_frame700_subtypes","long_token_set","220;415;520","034","4","114","0.035088","1","239","0.004184","8.385965"
"all_frame700_subtypes","long_edge_frames","740...817","032","3","102","0.029412","1","251","0.003984","7.382353"
"all_frame700_subtypes","long_first_tokens","390","032","3","102","0.029412","1","251","0.003984","7.382353"
"all_frame700_subtypes","long_last_tokens","231","034","3","114","0.026316","1","239","0.004184","6.289474"
"all_frame700_subtypes","long_first_tokens","526","032","4","102","0.039216","2","251","0.007968","4.921569"
"all_frame700_subtypes","long_last_tokens","013","033","3","137","0.021898","1","216","0.00463","4.729927"
"all_frame700_subtypes","sides","3","034","25","114","0.219298","12","239","0.050209","4.36769"
"all_frame700_subtypes","h_bin","h_10_13","034","37","114","0.324561","19","239","0.079498","4.082641"
