"fig4_number","manufacturing_group","cisi","local_signature_short","local_signature_family","horizontal_mm","vertical_mm","area_mm2","aspect_h_over_v","side_1_text","side_2_text","side_3_text","interpretation_status"
"2","group_1","H-2221","B_side_swap","B_side_swap","12.2","7.2","87.84","1.694444","+700-034+","+861-003+","+156-003+","no_reading_admissible"
"3","group_1","H-2222","A","A","12.2","7.2","87.84","1.694444","+861-003+","+700-034+","+156-003+","no_reading_admissible"
"4","group_1","H-2220","A","A","12","8.2","98.4","1.463415","+861-003+","+700-034+","+156-003+","no_reading_admissible"
"5","group_1","H-2227","B_side_swap","B_side_swap","12.5","7.2","90","1.736111","+700-034+","+861-003+","+156-003+","no_reading_admissible"
"6","group_1","H-2229","A","A","10","6","60","1.666667","+861-003+","+700-034+","+156-003+","no_reading_admissible"
"7","group_1","H-2225","A","A","12","7.5","90","1.6","+861-003+","+700-034+","+156-003+","no_reading_admissible"
"8","group_2","H-2224","A","A","12","7","84","1.714286","+861-003+","+700-034+","+156-003+","no_reading_admissible"
"9","group_2","H-2235","B_side_swap","B_side_swap","11","6","66","1.833333","+700-034+","+861-003+","+156-003+","no_reading_admissible"
"10","group_2","H-2219","A","A","12","7.5","90","1.6","+861-003+","+700-034+","+156-003+","no_reading_admissible"
"11","group_2","H-2218","A","A","12.5","8","100","1.5625","+861-003+","+700-034+","+156-003+","no_reading_admissible"
"12","group_2","H-2228","B_side_swap","B_side_swap","11.8","6.5","76.7","1.815385","+700-034+","+861-003+","+156-003+","no_reading_admissible"
"13","group_2","H-2226","B_side_swap","B_side_swap","11","7","77","1.571429","+700-034+","+861-003+","+156-003+","no_reading_admissible"
"14","group_2","H-2223","A","A","11.2","7.5","84","1.493333","+861-003+","+700-034+","+156-003+","no_reading_admissible"
"15","group_2","H-2236","A","A","9","5.9","53.1","1.525424","+861-003+","+700-034+","+156-003+","no_reading_admissible"
"16","group_2","H-2239","A","A","9.5","6.2","58.9","1.532258","+861-003+","+700-034+","+156-003+","no_reading_admissible"
"17","group_3","H-2237","154_variant","variant","10","6.5","65","1.538462","+700-034+","+861-003+","+154-003+","no_reading_admissible"
"18","group_3","H-2238","033_variant","variant","11","6.9","75.9","1.594203","+700-033+","+861-003+","+156-003+","no_reading_admissible"
"19","group_3","H-2230","B_side_swap","B_side_swap","10","7.2","72","1.388889","+700-034+","+861-003+","+156-003+","no_reading_admissible"
"20","group_3","H-2233","B_side_swap","B_side_swap","10","6.5","65","1.538462","+700-034+","+861-003+","+156-003+","no_reading_admissible"
"21","group_3","H-2231","A","A","10","7","70","1.428571","+861-003+","+700-034+","+156-003+","no_reading_admissible"
"22","group_3","H-2234","A","A","9","6.5","58.5","1.384615","+861-003+","+700-034+","+156-003+","no_reading_admissible"
"23","group_3","H-2232","A","A","9.2","5.8","53.36","1.586207","+861-003+","+700-034+","+156-003+","no_reading_admissible"
