"group_key","group","metric","n","mean","variance","min","max"
"local_signature_short","033_variant","horizontal_mm","1","11","","11","11"
"local_signature_short","154_variant","horizontal_mm","1","10","","10","10"
"local_signature_short","A","horizontal_mm","13","10.815385","1.898077","9","12.5"
"local_signature_short","B_side_swap","horizontal_mm","7","11.214286","1.001429","10","12.5"
"local_signature_short","033_variant","vertical_mm","1","6.9","","6.9","6.9"
"local_signature_short","154_variant","vertical_mm","1","6.5","","6.5","6.5"
"local_signature_short","A","vertical_mm","13","6.946154","0.644359","5.8","8.2"
"local_signature_short","B_side_swap","vertical_mm","7","6.8","0.223333","6","7.2"
"local_signature_short","033_variant","area_mm2","1","75.9","","75.9","75.9"
"local_signature_short","154_variant","area_mm2","1","65","","65","65"
"local_signature_short","A","area_mm2","13","76.007692","305.465369","53.1","100"
"local_signature_short","B_side_swap","area_mm2","7","76.362857","95.625657","65","90"
"local_signature_short","033_variant","aspect_h_over_v","1","1.594203","","1.594203","1.594203"
"local_signature_short","154_variant","aspect_h_over_v","1","1.538462","","1.538462","1.538462"
"local_signature_short","A","aspect_h_over_v","13","1.557825","0.010072","1.384615","1.714286"
"local_signature_short","B_side_swap","aspect_h_over_v","7","1.654008","0.026172","1.388889","1.833333"
"local_signature_family","A","horizontal_mm","13","10.815385","1.898077","9","12.5"
"local_signature_family","B_side_swap","horizontal_mm","7","11.214286","1.001429","10","12.5"
"local_signature_family","variant","horizontal_mm","2","10.5","0.5","10","11"
"local_signature_family","A","vertical_mm","13","6.946154","0.644359","5.8","8.2"
"local_signature_family","B_side_swap","vertical_mm","7","6.8","0.223333","6","7.2"
"local_signature_family","variant","vertical_mm","2","6.7","0.08","6.5","6.9"
"local_signature_family","A","area_mm2","13","76.007692","305.465369","53.1","100"
"local_signature_family","B_side_swap","area_mm2","7","76.362857","95.625657","65","90"
"local_signature_family","variant","area_mm2","2","70.45","59.405","65","75.9"
"local_signature_family","A","aspect_h_over_v","13","1.557825","0.010072","1.384615","1.714286"
"local_signature_family","B_side_swap","aspect_h_over_v","7","1.654008","0.026172","1.388889","1.833333"
"local_signature_family","variant","aspect_h_over_v","2","1.566332","0.001554","1.538462","1.594203"
"manufacturing_group","group_1","horizontal_mm","6","11.816667","0.825667","10","12.5"
"manufacturing_group","group_2","horizontal_mm","9","11.111111","1.383611","9","12.5"
"manufacturing_group","group_3","horizontal_mm","7","9.885714","0.424762","9","11"
"manufacturing_group","group_1","vertical_mm","6","7.216667","0.505667","6","8.2"
"manufacturing_group","group_2","vertical_mm","9","6.844444","0.547778","5.9","8"
"manufacturing_group","group_3","vertical_mm","7","6.628571","0.212381","5.8","7.2"
"manufacturing_group","group_1","area_mm2","6","85.68","173.58336","60","98.4"
"manufacturing_group","group_2","area_mm2","9","76.633333","226.8375","53.1","100"
"manufacturing_group","group_3","area_mm2","7","65.68","61.2188","53.36","75.9"
"manufacturing_group","group_1","aspect_h_over_v","6","1.642514","0.009724","1.463415","1.736111"
"manufacturing_group","group_2","aspect_h_over_v","9","1.62755","0.016352","1.493333","1.833333"
"manufacturing_group","group_3","aspect_h_over_v","7","1.494201","0.008298","1.384615","1.594203"
