"fig4_number","manufacturing_group","cisi","harp_object","harp_object_full","source_figure","local_source_figure","side_1_text","side_2_text","side_3_text","local_signature_class","local_signature_short","local_horizontal_mm","local_vertical_mm","plate_visual_check_status","interpretation_status"
"2","group_1","H-2221","H97-3304","H97-3304/8040-01","Meadow and Kenoyer 2000 Fig. 4","Figure 12.02","+700-034+","+861-003+","+156-003+","main_signature_B_side1_side2_swapped","B_side_swap","12.2","7.2","coarse_public_fig4_available_pending_detailed_check","no_reading_admissible"
"3","group_1","H-2222","H97-3305","H97-3305/8040-02","Meadow and Kenoyer 2000 Fig. 4","Figure 12.03","+861-003+","+700-034+","+156-003+","main_signature_A","A","12.2","7.2","coarse_public_fig4_available_pending_detailed_check","no_reading_admissible"
"4","group_1","H-2220","H97-3312","H97-3312/8040-05","Meadow and Kenoyer 2000 Fig. 4","Figure 12.04","+861-003+","+700-034+","+156-003+","main_signature_A","A","12","8.2","coarse_public_fig4_available_pending_detailed_check","no_reading_admissible"
"5","group_1","H-2227","H97-3314","H97-3314/8040-07","Meadow and Kenoyer 2000 Fig. 4","Figure 12.05","+700-034+","+861-003+","+156-003+","main_signature_B_side1_side2_swapped","B_side_swap","12.5","7.2","coarse_public_fig4_available_pending_detailed_check","no_reading_admissible"
"6","group_1","H-2229","H97-3290","H97-3290/8010-03","Meadow and Kenoyer 2000 Fig. 4","Figure 12.06","+861-003+","+700-034+","+156-003+","main_signature_A","A","10","6","coarse_public_fig4_available_pending_detailed_check","no_reading_admissible"
"7","group_1","H-2225","H97-3315","H97-3315/8040-08","Meadow and Kenoyer 2000 Fig. 4","Figure 12.07","+861-003+","+700-034+","+156-003+","main_signature_A","A","12","7.5","coarse_public_fig4_available_pending_detailed_check","no_reading_admissible"
"8","group_2","H-2224","H97-3318","H97-3318/8040-12","Meadow and Kenoyer 2000 Fig. 4","Figure 12.08","+861-003+","+700-034+","+156-003+","main_signature_A","A","12","7","coarse_public_fig4_available_pending_detailed_check","no_reading_admissible"
"9","group_2","H-2235","H97-3333","H97-3333/8038-01","Meadow and Kenoyer 2000 Fig. 4","Figure 12.09","+700-034+","+861-003+","+156-003+","main_signature_B_side1_side2_swapped","B_side_swap","11","6","coarse_public_fig4_available_pending_detailed_check","no_reading_admissible"
"10","group_2","H-2219","H97-3317","H97-3317/8040-11","Meadow and Kenoyer 2000 Fig. 4","Figure 12.10","+861-003+","+700-034+","+156-003+","main_signature_A","A","12","7.5","coarse_public_fig4_available_pending_detailed_check","no_reading_admissible"
"11","group_2","H-2218","H97-3319","H97-3319/8040-13","Meadow and Kenoyer 2000 Fig. 4","Figure 12.11","+861-003+","+700-034+","+156-003+","main_signature_A","A","12.5","8","coarse_public_fig4_available_pending_detailed_check","no_reading_admissible"
