"source_row_id","cisi","cisi_prefix","is_h2218_h2239","region","site","period","phase","material","shape","preservation","type","sides","direction","class","sign_count","horizontal_mm","vertical_mm","thickness_mm","text","tokens","target_signs_present","adjacent_target_patterns","exact_text_class","same_cisi_texts","has_companion_861_003","has_companion_156_003","has_companion_154_003","has_companion_400_740_176","accepted_decipherment_claim"
"7.1","Ad-2","other","0","Lower Indus","Allahdino","-","-","Steatite","square","complete","SEAL:S","1","R/L","SC","4","23","25","14","+368-390-125-033+","368 390 125 033","033","","non_exact_or_longer","+368-390-125-033+","0","0","0","0","0"
"8.1","Ad-3","other","0","Lower Indus","Allahdino","-","-","Steatite","square","complete","SEAL:S","1","R/L","MT","5","20","21","13","+740-904-033-705-235+","740 904 033 705 235","033","","non_exact_or_longer","+740-904-033-705-235+","0","0","0","0","0"
"10.1","Ad-5","other","0","Lower Indus","Allahdino","-","-","Steatite","square","complete","SEAL:S","1","R/L","SS","3","17","18","5","+156-460-510+","156 460 510","156","","non_exact_or_longer","+156-460-510+","0","0","0","0","0"
"17.1","Ai-7","other","0","Lower Indus","Amri","-","-","Clay","-","complete","POT:T:g","1","L/R","PN","2","0","0","0","+390-034+","390 034","034","","non_exact_or_longer","+390-034+","0","0","0","0","0"
"63.1","C-64","C","0","Lower Indus","Chanhu-daro","-","-","Steatite","square","chipped","SEAL:S","1","R/L","??","5","25.7","25.7","11.9","]000-220-838-033-705-240+","000 220 838 033 705 240","033","","non_exact_or_longer","]000-220-838-033-705-240+","0","0","0","0","0"
"89.1","C-1","C","0","Lower Indus","Chanhu-daro","-","-","Steatite","square","complete","SEAL:S","1","R/L","LC","9","50","52.8","15.5","+031-840-140-740-101-002-365-287-034+","031 840 140 740 101 002 365 287 034","034","","non_exact_or_longer","+031-840-140-740-101-002-365-287-034+","0","0","0","0","0"
"95.1","C-7","C","0","Lower Indus","Chanhu-daro","-","-","Steatite","square","fragment","SEAL:S","1","R/L","??","6","22.9","13.2","0 - 9.9","+520-033-705-240-798-002-000[","520 033 705 240 798 002 000","033","","non_exact_or_longer","+520-033-705-240-798-002-000[","0","0","0","0","0"
"97.1","C-9","C","0","Lower Indus","Chanhu-daro","-","-","Steatite","square","complete","SEAL:S","1","R/L","LC","6","27.9","27.7","0 - 15.5","+151-233-803-033-705-240+","151 233 803 033 705 240","033","","non_exact_or_longer","+151-233-803-033-705-240+","0","0","0","0","0"
"108.1","C-21","C","0","Lower Indus","Chanhu-daro","-","-","Steatite","square","complete","SEAL:S","1","R/L","SS","2","11.4","11.4","0 - 7.6","+156-230+","156 230","156","","non_exact_or_longer","+156-230+","0","0","0","0","0"
"128.1","-","-","0","Gujarat/Kutch","Dholavira","-","-","Steatite","square","complete","SEAL:S","1","R/L","SS","2","20","20","1.3","+156-019+","156 019","156","","non_exact_or_longer","+156-019+","0","0","0","0","0"
"134.1","-","-","0","Gujarat/Kutch","Dholavira","-","-","Steatite","rectangular","complete","SEAL:R","1","R/L","SC","4","19","17","9","+154-388-717-705+","154 388 717 705","154","","non_exact_or_longer","+154-388-717-705+","0","0","0","0","0"
"138.1","-","-","0","Gujarat/Kutch","Dholavira","-","-","Steatite","cuboid-convex","complete","SEAL:R","1","R/L","MT","4","23.6","12.6","4.5 - 8.1","+520-033-706-233+","520 033 706 233","033","","non_exact_or_longer","+520-033-706-233+","0","0","0","0","0"
"140.1","-","-","0","Gujarat/Kutch","Dholavira","-","-","Clay","-","fragment","TAG","1","R/L","UC","2","15","17","6","+520-033[","520 033","033","","non_exact_or_longer","+520-033[","0","0","0","0","0"
"162.1","H-1189","H","0","Inter-Riverine","Harappa","-","-","Steatite","rectangular","complete","TAB:I","2","R/L","??","1","14","7.6","0","]033-000-000+","033 000 000","033","","non_exact_or_longer","+033-255+;]033-000-000+","0","0","0","0","0"
"162.2","H-1189","H","0","Inter-Riverine","Harappa","-","-","Steatite","rectangular","complete","TAB:I","2","R/L","ZN","2","14","7.6","0","+033-255+","033 255","033","","non_exact_or_longer","+033-255+;]033-000-000+","0","0","0","0","0"
"172.1","H-1460","H","0","Inter-Riverine","Harappa","-","-","Clay","-","fragment","POT:T:g","1","-","??","1","0","0","0","]034-000+","034 000","034","","non_exact_or_longer","]034-000+","0","0","0","0","0"
"176.1","H-1085","H","0","Inter-Riverine","Harappa","-","-","Clay","-","fragment","POT:T:s","1","R/L","ZN","2","0","0","0","+235-033+","235 033","033","","non_exact_or_longer","+235-033+","0","0","0","0","0"
"177.1","-","-","0","Inter-Riverine","Harappa","-","-","Clay","-","fragment","POT:T:g","1","-","??","3","0","0","0","]000-055-033-033+","000 055 033 033","033","","non_exact_or_longer","]000-055-033-033+","0","0","0","0","0"
"178.1","-","-","0","Inter-Riverine","Harappa","-","-","Faience","rectangular-rounded","complete","TAB:B","1","-","??","1","26.7","11.4","0","+000-000-033+","000 000 033","033","","non_exact_or_longer","+000-000-033+","0","0","0","0","0"
"182.1","H-1461","H","0","Inter-Riverine","Harappa","-","-","Clay","-","fragment","POT:T:g","1","NR","TS","1","0","0","0","+156+","156","156","","non_exact_or_longer","+156+","0","0","0","0","0"
"198.2","H-1138","H","0","Inter-Riverine","Harappa","-","-","Faience","rectangular","complete","TAB:B","2","R/L","VN","2","21.6","11.4","0","+700-034+","700 034","034","700_034","+700-034+","+700-034+;+740-603-240-060-692+","0","0","0","0","0"
"200.1","H-1400","H","0","Inter-Riverine","Harappa","-","-","Clay","-","fragment","POT:T:g","1","R/L","UC","4","0","0","0","+031-034-060-692[","031 034 060 692","034","","non_exact_or_longer","+031-034-060-692[","0","0","0","0","0"
"212.1","-","-","0","Inter-Riverine","Harappa","-","-","Faience","cylindrical","complete","TAB:B","2","R/L","VN","2","15.2","0","0","+700-033+","700 033","033","700_033","+700-033+","+700-033+","0","0","0","0","0"
"213.1","H-1369","H","0","Inter-Riverine","Harappa","-","-","-","-","fragment","POT:T:g","1","-","??","2","0","0","0","+034-000-033+","034 000 033","033;034","","non_exact_or_longer","+034-000-033+","0","0","0","0","0"
"214.1","H-1494","H","0","Inter-Riverine","Harappa","-","Stratum II","Clay","-","fragment","POT:T:g","1","-","??","1","0","0","0","]000-033[","000 033","033","","non_exact_or_longer","]000-033[","0","0","0","0","0"
"218.2","H-1177","H","0","Inter-Riverine","Harappa","-","Stratum IV","Steatite","-","fragment","TAB:I","2","R/L","SC","2","0","0","0","+033-720+","033 720","033","","non_exact_or_longer","+000-000-740-519+;+033-720+","0","0","0","0","0"
"220.1","H-1142","H","0","Inter-Riverine","Harappa","-","Stratum II","Faience","oval","complete","TAB:B","1","L/R","MT","4","16.5","7.6","0","+400-154-440-220+","400 154 440 220","154","","non_exact_or_longer","+400-154-440-220+","0","0","0","0","0"
"222.3","H-1354","H","0","Inter-Riverine","Harappa","-","Stratum V","Steatite","rectangular","complete","TAB:I","3","R/L","VN","2","16.3","6.4","0","+700-034+","700 034","034","700_034","+700-034+","+700-034+;+740-714-840-799+;+824-032-578-415+","0","0","0","0","0"
"225.2","-","-","0","Inter-Riverine","Harappa","-","-","Faience","circular","complete","TAB:B","2","R/L","VN","2","0","0","0","+700-033+","700 033","033","700_033","+700-033+","+700-033+","0","0","0","0","0"
"234.2","-","-","0","Inter-Riverine","Harappa","-","Stratum VI","Steatite","rectangular-round","complete","TAB:I","2","R/L","SS","4","17.8","8.9","0","+400-156-435-255+","400 156 435 255","156","","non_exact_or_longer","+400-156-435-255+","0","0","0","0","0"
"242.1","H-1362","H","0","Inter-Riverine","Harappa","-","Stratum I","Clay","-","fragment","POT:T:g","1","-","UC","1","177.8","127","0","+156[","156","156","","non_exact_or_longer","+156[","0","0","0","0","0"
"244.1","-","-","0","Inter-Riverine","Harappa","-","-","Steatite","semi-circular","fragment","MISC","1","R/L","SS","4","8.9","5.8","0","+156-384-031-400+","156 384 031 400","156","","non_exact_or_longer","+156-384-031-400+","0","0","0","0","0"
"257.1","H-1309","H","0","Inter-Riverine","Harappa","-","Stratum VI","Steatite","rectangular-round","complete","TAB:I","2","L/R","SP","5","16.5","7.6","0","+156-176-741-060-920+","156 176 741 060 920","156","","non_exact_or_longer","+156-176-741-060-920+;+700-032+","0","0","0","0","0"
"258.2","H-1121","H","0","Inter-Riverine","Harappa","-","Stratum VI","Faience","rectangular","complete","TAB:B","2","L/R","??","4","14","7.1","0","+700-033-711-817-000+","700 033 711 817 000","033","700_033","non_exact_or_longer","+400-520-220-016+;+700-033-711-817-000+","0","0","0","0","0"
"260.1","-","-","0","Inter-Riverine","Harappa","-","-","Steatite","oval","complete","TAB:I","2","R/L","VN","2","15.2","7.6","0","+700-033+","700 033","033","700_033","+700-033+","+700-033+","0","0","0","0","0"
"262.2","H-1196","H","0","Inter-Riverine","Harappa","-","Stratum VI","Steatite","rectangular","fragment","TAB:I","2","R/L","UC","2","0","7.6","0","]700-033","700 033","033","700_033","non_exact_or_longer","]000-001-031-790+;]700-033","0","0","0","0","0"
"263.1","H-1293","H","0","Inter-Riverine","Harappa","-","Stratum VI","Steatite","rectangular","slightly chipped","TAB:I","2","R/L","UC","2","11.9","7.6","0","+700-034[","700 034","034","700_034","non_exact_or_longer","+700-034[;]742-217+","0","0","0","0","0"
"264.1","H-1287","H","0","Inter-Riverine","Harappa","-","-","Steatite","rectangular","complete","TAB:I","2","R/L","SC","4","15.2","8.9","0","+400-156-140-032+","400 156 140 032","156","","non_exact_or_longer","+400-156-140-032+;+700-033+","0","0","0","0","0"
"264.2","H-1287","H","0","Inter-Riverine","Harappa","-","-","Steatite","rectangular","complete","TAB:I","2","R/L","VN","2","15.2","8.9","0","+700-033+","700 033","033","700_033","+700-033+","+400-156-140-032+;+700-033+","0","0","0","0","0"
"265.2","H-1273","H","0","Inter-Riverine","Harappa","-","Stratum VII","Steatite","rectangular","complete","TAB:I","2","R/L","VN","2","11.4","7.1","0","+700-034+","700 034","034","700_034","+700-034+","+400-740-176+;+700-034+","0","0","0","1","0"
"268.1","H-1188","H","0","Inter-Riverine","Harappa","-","Stratum VI","Steatite","rectangular","complete","TAB:I","2","R/L","VN","2","16.5","8","0","+700-033+","700 033","033","700_033","+700-033+","+700-033+;+869-000+","0","0","0","0","0"
"274.1","-","-","0","Inter-Riverine","Harappa","-","Stratum V","Steatite","prism","complete","TAB:I","2","R/L","SS","3","14.7","9.7","0","+154-435-255+","154 435 255","154","","non_exact_or_longer","+154-435-255+","0","0","0","0","0"
"274.2","-","-","0","Inter-Riverine","Harappa","-","Stratum V","Steatite","prism","complete","TAB:I","2","R/L","VN","2","14.7","9.7","0","+700-034+","700 034","034","700_034","+700-034+","+700-034+","0","0","0","0","0"
"283.1","H-1349","H","0","Inter-Riverine","Harappa","-","-","Steatite","prism","fragment","TAB:I","2","R/L","UC","2","0","6.6","0","]033-700+","033 700","033","033_700","non_exact_or_longer","+080-000[;]033-700+","0","0","0","0","0"
"285.2","-","-","0","Inter-Riverine","Harappa","-","Stratum V","Steatite","rectangular","fragment","TAB:I","2","R/L","??","1","6.9","0","0","]000-033+","000 033","033","","non_exact_or_longer","]000-033+","0","0","0","0","0"
"286.1","H-1272","H","0","Inter-Riverine","Harappa","-","Stratum V","Steatite","-","fragment","TAB:I","2","R/L","??","1","0","9.1","0","]000-033+","000 033","033","","non_exact_or_longer","+740-000[;]000-033+","0","0","0","0","0"
"290.1","H-1112","H","0","Inter-Riverine","Harappa","-","Stratum I","Faience","cylindrical","partly damaged","TAB:B","2","R/L","NV","2","11.4","0","0","+033-700+","033 700","033","033_700","+033-700+","+033-700+;+520-000-255+","0","0","0","0","0"
"300.2","-","-","0","Inter-Riverine","Harappa","-","Stratum II","-","rectangular","complete","TAB:B","2","R/L","LC","6","15.7","7.4","0","+700-033-711-335-575-413+","700 033 711 335 575 413","033","700_033","non_exact_or_longer","+700-033-711-335-575-413+","0","0","0","0","0"
"304.1","H-1190","H","0","Inter-Riverine","Harappa","-","Stratum III","Steatite","rectangular","chipped","TAB:I","2","R/L","UC","3","15.2","7.6","0","+416-590-033[","416 590 033","033","","non_exact_or_longer","+255-033[;+416-590-033[","0","0","0","0","0"
