"short_mark_token","long_text_token","artifact_group_count"
"700","740","170"
"700","400","127"
"033","740","76"
"033","400","55"
"700","176","47"
"034","740","45"
"032","740","43"
"032","400","37"
"700","240","33"
"034","400","30"
"700","032","29"
"033","176","24"
"700","220","19"
"700","415","18"
"034","176","16"
"700","002","16"
"700","520","16"
"700","690","14"
"033","032","13"
"700","031","13"
"033","240","12"
"700","840","12"
"700","100","11"
"700","817","11"
"700","255","10"
"700","390","10"
"032","032","9"
"690","740","9"
"700","151","9"
"032","240","8"
"033","220","8"
"700","001","8"
"700","060","8"
"700","233","8"
"700","435","8"
"700","692","8"
"700","861","8"
"032","002","7"
"032","176","7"
"032","817","7"
"033","100","7"
"033","590","7"
"033","840","7"
"034","032","7"
"034","240","7"
"034","415","7"
"700","550","7"
"700","590","7"
"700","636","7"
"700","705","7"
"700","741","7"
"700","760","7"
"700","820","7"
"700","892","7"
"032","690","6"
"033","390","6"
"033","415","6"
"034","060","6"
"700","140","6"
"700","156","6"
"700","336","6"
"700","416","6"
"700","526","6"
"700","642","6"
"032","220","5"
"032","520","5"
"033","031","5"
"033","690","5"
"033","705","5"
"034","002","5"
"034","151","5"
"034","220","5"
"034","416","5"
"034","520","5"
"034","861","5"
"690","060","5"
"690","550","5"
"690","690","5"
"700","004","5"
"700","033","5"
"700","061","5"
"700","235","5"
"700","617","5"
"700","798","5"
"700","904","5"
"700","920","5"
"032","001","4"
"032","004","4"
"032","031","4"
"032","158","4"
"032","233","4"
"032","255","4"
"032","526","4"
"032","550","4"
"033","002","4"
"033","033","4"
"033","233","4"
"033","520","4"
"033","642","4"
"033","692","4"
"033","820","4"
"034","031","4"
"034","692","4"
"323","060","4"
"323","550","4"
"323","690","4"
"323","740","4"
"700","013","4"
"700","090","4"
"700","142","4"
"700","158","4"
"700","231","4"
"700","236","4"
"700","337","4"
"700","491","4"
"700","578","4"
"700","799","4"
"706","407","4"
"861","740","4"
"003","740","3"
"005","233","3"
"005","407","3"
"005","585","3"
"032","140","3"
"032","390","3"
"032","617","3"
"032","760","3"
"032","820","3"
"032","892","3"
"032","904","3"
"033","001","3"
"033","013","3"
"033","151","3"
"033","236","3"
"033","368","3"
"033","416","3"
"033","435","3"
"033","550","3"
"033","741","3"
"033","803","3"
"033","817","3"
"033","892","3"
"033","920","3"
"034","156","3"
"034","231","3"
"034","255","3"
"034","435","3"
"034","565","3"
"034","690","3"
"034","840","3"
"690","032","3"
"690","400","3"
"700","003","3"
"700","027","3"
"700","035","3"
"700","154","3"
"700","171","3"
"700","219","3"
"700","352","3"
"700","368","3"
"700","382","3"
"700","384","3"
"700","388","3"
"700","482","3"
"700","554","3"
"700","565","3"
"700","630","3"
"700","803","3"
"700","824","3"
"706","233","3"
"706","585","3"
