"id","cisi","side_index","sides","site","type","material","shape","complete","direction","token_count","status","short_mark_candidate","long_text_candidate","horizontal_bin","vertical_bin","thickness_bin","text"
"3895.1","?-6","1","2","Unknown","TAB:B","-","rectangular","Y","R/L","5","clean_side_row","false","true","h_000_015","v_000_010","-","+740-702-061-002-817+"
"3895.2","?-6","2","2","Unknown","TAB:B","-","rectangular","Y","R/L","2","clean_side_row","true","false","h_000_015","v_000_010","-","+700-032+"
"121.1","C-40","1","2","Chanhu-daro","IMPL","Copper","-","Y","R/L","8","clean_side_row","false","true","h_gt_035","v_gt_030","th_003_007","+390-095-909-005-825-776-220-016+"
"121.2","C-40","2","2","Chanhu-daro","IMPL","Copper","-","N","R/L","8","usable_uncertain_side_row","false","false","h_gt_035","v_gt_030","th_003_007","+740-000-835-240-235-031-900-066+"
"5272.1","C-94","1","1","Chanhu-daro","MISC","Copper","axe","Y","R/L","3","clean_side_row","false","false","h_gt_035","v_gt_030","th_007_012","+740-463-503+"
"5272.2","C-94","2","1","Chanhu-daro","MISC","Copper","axe","Y","NR","1","usable_uncertain_side_row","false","false","h_gt_035","v_gt_030","th_007_012","+909+"
"1156.1","H-1001","1","2","Harappa","POT:T:g","Clay","-","N","-","2","audit_only_side_row","false","false","-","-","-","]000-740["
"1156.2","H-1001","2","2","Harappa","POT:T:g","Clay","-","N","-","2","audit_only_side_row","false","false","-","-","-","]000-000["
"1168.1","H-102","1","2","Harappa","SEAL:S","-","square","Y","R/L","2","clean_side_row","true","false","h_025_035","v_020_030","th_007_012","+741-861+"
"1168.2","H-102","2","2","Harappa","SEAL:S","-","square","Y","R/L","5","clean_side_row","false","true","h_025_035","v_020_030","th_007_012","+740-630-240-741-861+"
"3959.1","H-1100","1","2","Harappa","TAB:B","-","rectangular","Y","R/L","5","clean_side_row","false","true","h_025_035","v_010_020","-","+740-904-240-002-817+"
"3959.2","H-1100","2","2","Harappa","TAB:B","-","rectangular","Y","R/L","2","clean_side_row","true","false","h_025_035","v_010_020","-","+700-032+"
"273.1","H-1102","1","2","Harappa","TAB:B","Faience","rectangular","Y","R/L","3","clean_side_row","false","true","h_015_025","v_010_020","-","+400-740-382+"
"273.2","H-1102","2","2","Harappa","TAB:B","Faience","rectangular","Y","R/L","2","clean_side_row","true","false","h_015_025","v_010_020","-","+700-032+"
"290.1","H-1112","1","2","Harappa","TAB:B","Faience","cylindrical","Y","R/L","2","clean_side_row","true","false","h_000_015","-","-","+033-700+"
"290.2","H-1112","2","2","Harappa","TAB:B","Faience","cylindrical","N","R/L","3","usable_uncertain_side_row","false","false","h_000_015","-","-","+520-000-255+"
"305.1","H-1113","1","2","Harappa","TAB:B","Faience","square","Y","NR","1","usable_uncertain_side_row","false","false","h_000_015","v_010_020","-","+413+"
"305.2","H-1113","2","2","Harappa","TAB:B","Faience","square","Y","NR","1","usable_uncertain_side_row","false","false","h_000_015","v_010_020","-","+692+"
"3962.1","H-1116","1","2","Harappa","TAB:B","-","-","-","R/L","2","audit_only_side_row","false","false","-","v_010_020","-","]240-550+"
"3962.2","H-1116","2","2","Harappa","TAB:B","-","-","-","-","1","audit_only_side_row","false","false","-","v_010_020","-","]033+"
"226.1","H-1119","1","2","Harappa","TAB:B","Faience","cylindrical","N","-","3","usable_uncertain_side_row","false","false","h_015_025","-","-","+000-000-000+"
"226.2","H-1119","2","2","Harappa","TAB:B","Faience","cylindrical","N","R/L","3","usable_uncertain_side_row","false","false","h_015_025","-","-","+400-032-000+"
