"type","direction","rows"
"SEAL:S","R/L","1589"
"TAB:B","R/L","872"
"TAB:I","R/L","712"
"SEAL:R","R/L","345"
"POT:T:g","-","216"
"TAB:C","R/L","199"
"TAB:I","-","164"
"POT:T:g","NR","158"
"POT:T:g","R/L","139"
"TAG","R/L","135"
"TAB:B","-","128"
"SEAL:S","-","101"
"TAB:B","L/R","69"
"TAB:I","L/R","65"
"SEAL","R/L","60"
"SEAL:S","NR","48"
"TAB:B","NR","38"
"MISC","NR","36"
"POT:T:s","R/L","33"
"TAG:L","R/L","32"
"ROD","R/L","30"
"SEAL:S","L/R","30"
"TAG","-","29"
"MISC","R/L","27"
"TAB:C","NR","25"
"BNGL","-","23"
"POT:T:s","NR","23"
"SEAL:R","-","22"
"POT:T:g","L/R","21"
"SEAL:C","R/L","20"
"BNGL","NR","19"
"SEAL","-","18"
"POT:T:s","-","14"
"SEAL:R","L/R","14"
"TAG:P","R/L","13"
"IMPL","R/L","12"
"MISC","-","11"
"TAB:I","NR","10"
"TAG:B","R/L","10"
"POT:T:p","-","9"
"TAG:L","-","8"
"BNGL","R/L","7"
"IMPL","T/B","7"
"POT:T:p","R/L","7"
"SEAL:R","NR","7"
"SEAL:S","BUS","7"
"SEAL:C","-","6"
"TAG","NR","6"
"SEAL:CY","R/L","5"
"TAB:C","-","5"
"TAG:O","R/L","5"
"POT:T:g","SYM","4"
"TAG:R","R/L","4"
"IMPL","-","3"
"MISC","T/B","3"
"POT:M","NR","3"
"POT:T:p","NR","3"
"POT:T:s","L/R","3"
"ROD","-","3"
"ROD","L/R","3"
"ROD","NR","3"
"ROD","T/B","3"
"SEAL:C","NR","3"
"TAG:C","-","3"
"TAG:PC","R/L","3"
"TAG:W","-","3"
"TAG:W","R/L","3"
"BEAD","NR","2"
"MDLN","R/L","2"
"MISC","L/R","2"
"SEAL","L/R","2"
"SEAL:C","L/R","2"
"SEAL:CY","-","2"
"SEAL:L","R/L","2"
"TAG:P","-","2"
"TAG:PC","-","2"
"BNGL","L/R","1"
"IMPL","NR","1"
"MISC","BUS","1"
"MISC","SYM","1"
"POsT:T:g","R/L","1"
"POT:D","-","1"
"POT:T:S","-","1"
"SEAL","BUS","1"
"SEAL","NR","1"
"SEAL:C","BUS","1"
"SEAL:CY","L/R","1"
"SEAL:CY","T/B","1"
"SEAL:S","SYM","1"
"SEAL:S","T/B","1"
"TAB:B","SYM","1"
"TAB:C","L/R","1"
"TAB:I","SYM","1"
"TAG","L/R","1"
"TAG","T/B","1"
"TAG:C","R/L","1"
"TAG:O","-","1"
"Unknown","-","1"
