"site","rows","lipi_numeric_clean_candidates","lipi_direction_clean_candidates","direction_extra_after_numeric_clean","audit_or_scope_only"
"Harappa","2717","1430","1592","162","1125"
"Mohenjo-daro","1923","1217","1419","202","504"
"Lothal","208","84","101","17","107"
"Kalibangan","212","55","74","19","138"
"Chanhu-daro","74","35","50","15","24"
"Nausharo","38","16","16","0","22"
"Banawali","26","11","12","1","14"
"Allahdino","12","6","8","2","4"
"Unknown","28","4","4","0","24"
"Bala-kot","7","4","5","1","2"
"Rakhigarhi","13","3","4","1","9"
"Alamgirpur","3","3","3","0","0"
"Surkotada","6","2","2","0","4"
"Khirsara","4","2","2","0","2"
"Miri Qalat","2","2","2","0","0"
"Dholavira","238","1","1","0","237"
"Amri","5","1","1","0","4"
"Rupar","5","1","1","0","4"
"Chandigarh","3","1","1","0","2"
"Desalpur","3","1","1","0","2"
"Nindowari-damb","2","1","1","0","1"
"Altyn Depe","1","1","1","0","0"
"Gharo Bhiro","1","1","1","0","0"
"Hulas","1","1","1","0","0"
"Jhukar","1","1","1","0","0"
"Lohumjo-daro","1","1","1","0","0"
"Shortughai","1","1","1","0","0"
"Wattoowala","1","1","1","0","0"
"Lakhanjo-daro","15","0","0","0","15"
"Kot-Diji","11","0","1","1","10"
"Kanmer","10","0","0","0","10"
"Farmana","8","0","0","0","8"
"Karanpura","8","0","0","0","8"
"Shikarpur","8","0","0","0","8"
"Bhirrana","6","0","0","0","6"
"Gola Dhoro (Bagasra)","6","0","0","0","6"
"Nuhato","5","0","0","0","5"
"Ur","5","0","0","0","5"
"Ra's al-Junayz","4","0","0","0","4"
"Rodji","4","0","0","0","4"
"Karzakan","3","0","0","0","3"
"Naru-Waro-dharo","3","0","0","0","3"
"Tarkhanewala-dera","3","0","0","0","3"
"Daimabad","2","0","0","0","2"
"Failaka","2","0","0","0","2"
"Ganweriwala","2","0","0","0","2"
"Gumla","2","0","0","0","2"
"Hissam-dheri","2","0","0","0","2"
"Kish","2","0","0","0","2"
"Rahman-deri","2","0","0","0","2"
"Rajanpur","2","0","0","0","2"
"Salut","2","0","0","0","2"
"Susa","2","0","0","0","2"
"Bakkar Buthi","1","0","0","0","1"
"Baror","1","0","0","0","1"
"Derawar Ther","1","0","0","0","1"
"Girsu","1","0","0","0","1"
"Gonur Depe","1","0","0","0","1"
"Guddal A","1","0","0","0","1"
"Hajar","1","0","0","0","1"
"Janabiyah","1","0","0","0","1"
"Juna Khatiya","1","0","0","0","1"
"Kalba","1","0","0","0","1"
"Luristan","1","0","0","0","1"
"Murda Sang","1","0","0","0","1"
"Nippur","1","0","0","0","1"
"Ornach area","1","0","0","0","1"
"Pabumath","1","0","0","0","1"
"Pirak","1","0","0","0","1"
"Qala'at al-Bahrain","1","0","0","0","1"
"Rappwala Ther","1","0","0","0","1"
"Saar","1","0","0","0","1"
"Sibri","1","0","0","0","1"
"Tell Umma","1","0","0","0","1"
"Tello","1","0","0","0","1"
"Tepe Yahya","1","0","0","0","1"
"Tigrana","1","0","0","0","1"
