"type","rows","lipi_numeric_clean_candidates","lipi_direction_clean_candidates","direction_extra_after_numeric_clean","audit_or_scope_only"
"SEAL:S","1777","1101","1276","175","501"
"TAB:B","1108","705","803","98","305"
"TAB:I","952","533","579","46","373"
"SEAL:R","388","218","240","22","148"
"TAB:C","230","157","179","22","51"
"POT:T:g","538","38","51","13","487"
"TAG","172","20","26","6","146"
"POT:T:s","73","20","29","9","44"
"ROD","42","17","27","10","15"
"SEAL","82","11","11","0","71"
"MISC","81","11","16","5","65"
"TAG:L","40","11","19","8","21"
"TAG:B","10","10","10","0","0"
"TAG:P","15","9","9","0","6"
"BNGL","50","5","5","0","45"
"IMPL","23","4","5","1","18"
"SEAL:C","32","3","5","2","27"
"SEAL:CY","9","3","3","0","6"
"TAG:O","6","3","5","2","1"
"TAG:W","6","3","3","0","3"
"POT:T:p","19","2","2","0","17"
"TAG:C","4","1","1","0","3"
"TAG:R","4","1","1","0","3"
"SEAL:L","2","1","1","0","1"
"TAG:PC","5","0","0","0","5"
"POT:M","3","0","0","0","3"
"BEAD","2","0","0","0","2"
"MDLN","2","0","2","2","0"
"POsT:T:g","1","0","0","0","1"
"POT:D","1","0","0","0","1"
"POT:T:S","1","0","0","0","1"
"Unknown","1","0","0","0","1"
