"target","role","label","label_families","proxy_kind","proxy_field","top_proxy_value","top_proxy_count","proxy_total_for_label","top_proxy_share"
"symbol","iconography_anchor","Bull1:W","296","metadata","length","6","51","296","0.172297"
"symbol","iconography_anchor","Bull1:W","296","metadata","type","SEAL:S","286","296","0.966216"
"symbol","iconography_anchor","Bull1:W","296","metadata","site","Mohenjo-daro","187","296","0.631757"
"symbol","iconography_anchor","Bull1:W","296","metadata","region","Lower Indus","194","296","0.655405"
"symbol","iconography_anchor","Bull1:W","296","metadata","material","Steatite","259","267","0.970037"
"symbol","iconography_anchor","Bull1:W","296","metadata","shape","square","288","296","0.972973"
"symbol","iconography_anchor","Bull1:W","296","metadata","cult","SAN","181","284","0.637324"
"symbol","iconography_anchor","Bull1:W","296","metadata","period","Late","48","108","0.444444"
"symbol","iconography_anchor","Bull1:W","296","metadata","phase","III","41","153","0.267974"
"symbol","iconography_anchor","Bull1:W","296","metadata","direction","R/L","292","296","0.986486"
"symbol","iconography_anchor","Bull1:W","296","metadata","horizontal_bin","h_025_035","138","293","0.47099"
"symbol","iconography_anchor","Bull1:W","296","metadata","vertical_bin","v_gt_030","154","290","0.531034"
"symbol","iconography_anchor","Bull1:W","296","metadata","thickness_bin","th_007_012","76","122","0.622951"
"symbol","iconography_anchor","Bull1:W","296","metadata","area_bin","area_gt_1000","133","290","0.458621"
"symbol","iconography_anchor","Bull1:W","296","metadata","aspect_bin","aspect_squareish","286","290","0.986207"
"symbol","iconography_anchor","Bull1:W","296","sign","first_sign","740","115","296","0.388514"
"symbol","iconography_anchor","Bull1:W","296","sign","last_sign","820","25","296","0.084459"
"symbol","iconography_anchor","Bull1:W","296","sign","edge_frame","740...820","14","296","0.047297"
"symbol","iconography_anchor","Bull1:J","139","metadata","length","5","37","139","0.266187"
"symbol","iconography_anchor","Bull1:J","139","metadata","type","SEAL:S","136","139","0.978417"
"symbol","iconography_anchor","Bull1:J","139","metadata","site","Mohenjo-daro","106","139","0.76259"
"symbol","iconography_anchor","Bull1:J","139","metadata","region","Lower Indus","115","139","0.827338"
"symbol","iconography_anchor","Bull1:J","139","metadata","material","Steatite","122","126","0.968254"
"symbol","iconography_anchor","Bull1:J","139","metadata","shape","square","136","139","0.978417"
"symbol","iconography_anchor","Bull1:J","139","metadata","cult","SAN","76","138","0.550725"
"symbol","iconography_anchor","Bull1:J","139","metadata","period","Intermediate","28","68","0.411765"
"symbol","iconography_anchor","Bull1:J","139","metadata","phase","I","22","74","0.297297"
"symbol","iconography_anchor","Bull1:J","139","metadata","direction","R/L","138","139","0.992806"
"symbol","iconography_anchor","Bull1:J","139","metadata","horizontal_bin","h_025_035","72","139","0.517986"
"symbol","iconography_anchor","Bull1:J","139","metadata","vertical_bin","v_020_030","106","137","0.773723"
"symbol","iconography_anchor","Bull1:J","139","metadata","thickness_bin","th_007_012","38","74","0.513514"
"symbol","iconography_anchor","Bull1:J","139","metadata","area_bin","area_0500_1000","91","137","0.664234"
"symbol","iconography_anchor","Bull1:J","139","metadata","aspect_bin","aspect_squareish","135","137","0.985401"
"symbol","iconography_anchor","Bull1:J","139","sign","first_sign","740","69","139","0.496403"
"symbol","iconography_anchor","Bull1:J","139","sign","last_sign","817","11","139","0.079137"
"symbol","iconography_anchor","Bull1:J","139","sign","edge_frame","740...817","7","139","0.05036"
"symbol","iconography_anchor","Bull1","127","metadata","length","5","25","127","0.19685"
"symbol","iconography_anchor","Bull1","127","metadata","type","SEAL:S","99","127","0.779528"
"symbol","iconography_anchor","Bull1","127","metadata","site","Mohenjo-daro","71","127","0.559055"
"symbol","iconography_anchor","Bull1","127","metadata","region","Lower Indus","81","127","0.637795"
"symbol","iconography_anchor","Bull1","127","metadata","material","Steatite","86","108","0.796296"
"symbol","iconography_anchor","Bull1","127","metadata","shape","square","102","115","0.886957"
"symbol","iconography_anchor","Bull1","127","metadata","cult","SAN","45","74","0.608108"
"symbol","iconography_anchor","Bull1","127","metadata","period","Intermediate","19","62","0.306452"
"symbol","iconography_anchor","Bull1","127","metadata","phase","III","20","69","0.289855"
"symbol","iconography_anchor","Bull1","127","metadata","direction","R/L","125","127","0.984252"
"symbol","iconography_anchor","Bull1","127","metadata","horizontal_bin","h_015_025","53","113","0.469027"
"symbol","iconography_anchor","Bull1","127","metadata","vertical_bin","v_010_020","33","84","0.392857"
"symbol","iconography_anchor","Bull1","127","metadata","thickness_bin","th_003_007","28","62","0.451613"
"symbol","iconography_anchor","Bull1","127","metadata","area_bin","area_0200_0500","36","84","0.428571"
"symbol","iconography_anchor","Bull1","127","metadata","aspect_bin","aspect_squareish","67","84","0.797619"
"symbol","iconography_anchor","Bull1","127","sign","first_sign","740","47","127","0.370079"
"symbol","iconography_anchor","Bull1","127","sign","last_sign","817","9","127","0.070866"
"symbol","iconography_anchor","Bull1","127","sign","edge_frame","740...920","5","127","0.03937"
"symbol","iconography_anchor","Bull1:S","116","metadata","length","5","27","116","0.232759"
"symbol","iconography_anchor","Bull1:S","116","metadata","type","SEAL:S","113","116","0.974138"
"symbol","iconography_anchor","Bull1:S","116","metadata","site","Mohenjo-daro","104","116","0.896552"
"symbol","iconography_anchor","Bull1:S","116","metadata","region","Lower Indus","106","116","0.913793"
"symbol","iconography_anchor","Bull1:S","116","metadata","material","Steatite","102","104","0.980769"
"symbol","iconography_anchor","Bull1:S","116","metadata","shape","square","116","116","1"
"symbol","iconography_anchor","Bull1:S","116","metadata","cult","SAN","86","112","0.767857"
"symbol","iconography_anchor","Bull1:S","116","metadata","period","Intermediate","29","59","0.491525"
"symbol","iconography_anchor","Bull1:S","116","metadata","phase","III","26","61","0.42623"
"symbol","iconography_anchor","Bull1:S","116","metadata","direction","R/L","115","116","0.991379"
"symbol","iconography_anchor","Bull1:S","116","metadata","horizontal_bin","h_025_035","56","115","0.486957"
"symbol","iconography_anchor","Bull1:S","116","metadata","vertical_bin","v_020_030","83","114","0.72807"
"symbol","iconography_anchor","Bull1:S","116","metadata","thickness_bin","th_007_012","36","57","0.631579"
"symbol","iconography_anchor","Bull1:S","116","metadata","area_bin","area_0500_1000","72","114","0.631579"
"symbol","iconography_anchor","Bull1:S","116","metadata","aspect_bin","aspect_squareish","114","114","1"
"symbol","iconography_anchor","Bull1:S","116","sign","first_sign","740","48","116","0.413793"
"symbol","iconography_anchor","Bull1:S","116","sign","last_sign","817","12","116","0.103448"
"symbol","iconography_anchor","Bull1:S","116","sign","edge_frame","740...817","4","116","0.034483"
"symbol","iconography_anchor","Gaur","67","metadata","length","3","15","67","0.223881"
"symbol","iconography_anchor","Gaur","67","metadata","type","SEAL:S","56","67","0.835821"
"symbol","iconography_anchor","Gaur","67","metadata","site","Mohenjo-daro","51","67","0.761194"
"symbol","iconography_anchor","Gaur","67","metadata","region","Lower Indus","53","67","0.791045"
"symbol","iconography_anchor","Gaur","67","metadata","material","Steatite","54","61","0.885246"
"symbol","iconography_anchor","Gaur","67","metadata","shape","square","56","67","0.835821"
"symbol","iconography_anchor","Gaur","67","metadata","cult","Trough","60","60","1"
"symbol","iconography_anchor","Gaur","67","metadata","period","Intermediate","16","39","0.410256"
"symbol","iconography_anchor","Gaur","67","metadata","phase","I","12","41","0.292683"
"symbol","iconography_anchor","Gaur","67","metadata","direction","R/L","66","67","0.985075"
"symbol","iconography_anchor","Gaur","67","metadata","horizontal_bin","h_015_025","31","65","0.476923"
"symbol","iconography_anchor","Gaur","67","metadata","vertical_bin","v_020_030","38","63","0.603175"
"symbol","iconography_anchor","Gaur","67","metadata","thickness_bin","th_007_012","21","39","0.538462"
"symbol","iconography_anchor","Gaur","67","metadata","area_bin","area_0500_1000","34","63","0.539683"
"symbol","iconography_anchor","Gaur","67","metadata","aspect_bin","aspect_squareish","55","63","0.873016"
"symbol","iconography_anchor","Gaur","67","sign","first_sign","740","22","67","0.328358"
"symbol","iconography_anchor","Gaur","67","sign","last_sign","803","4","67","0.059701"
