"target","role","source_clean_rows_with_label","exact_sequence_families_with_label","eligible_families","eligible_labels","majority_label","majority_share","normalized_entropy","worst_metadata_proxy_field","worst_metadata_proxy_label","worst_metadata_proxy_value","worst_metadata_proxy_share","worst_sign_proxy_field","worst_sign_proxy_label","worst_sign_proxy_value","worst_sign_proxy_share","status"
"symbol","iconography_anchor","1593","1211","952","10","Bull1:W","0.310924","0.881536","shape","Bull1:S","square","1","first_sign","Bull1:J","740","0.496403","candidate_requires_proxy_block_controls"
"cult","iconography_anchor","1004","887","783","5","SAN","0.633461","0.71061","direction","SAF","R/L","1","first_sign","RAF","740","0.488372","candidate_requires_proxy_block_controls"
"material","material_anchor","2457","1599","1563","4","Steatite","0.756238","0.57765","direction","Copper","R/L","0.982456","first_sign","Copper","740","0.438596","candidate_requires_proxy_block_controls"
"shape","object_form_anchor","2752","1716","1604","6","square","0.635287","0.606328","vertical_bin","circular","v_000_010","1","first_sign","square","740","0.400393","candidate_requires_proxy_block_controls"
"color","object_form_anchor","1133","817","700","3","White","0.9","0.358996","direction","Blue","R/L","1","first_sign","White","740","0.379365","majority_dominated"
"boss","object_form_anchor","930","877","795","4","PB","0.755975","0.588862","material","P","Steatite","1","first_sign","P","740","0.428571","candidate_requires_proxy_block_controls"
"condition","preservation_control","2884","1796","1795","4","Good","0.360446","0.876426","direction","Fine","R/L","1","first_sign","Fine","740","0.366197","control_field_not_semantic_anchor"
"type","artifact_context_anchor","2887","1798","1710","6","SEAL:S","0.578947","0.703049","cult","SEAL:R","SAN","1","first_sign","TAB:C","740","0.442308","candidate_requires_proxy_block_controls"
"site","archaeological_context_control","2887","1798","1740","5","Mohenjo-daro","0.555747","0.598784","region","Lothal","Gujarat/Kutch","1","first_sign","Chanhu-daro","740","0.411765","control_field_not_semantic_anchor"
"region","archaeological_context_control","2887","1798","1777","3","Lower Indus","0.576815","0.731043","direction","Lower Indus","R/L","0.981463","first_sign","Lower Indus","740","0.396098","control_field_not_semantic_anchor"
"period","chronological_context_control","1139","817","749","4","Intermediate","0.340454","0.889867","direction","2","R/L","1","first_sign","Late","740","0.432558","control_field_not_semantic_anchor"
"phase","chronological_context_control","1581","1033","982","12","III","0.217923","0.906403","period","B/C","3","1","first_sign","III","740","0.420561","control_field_not_semantic_anchor"
"direction","catalog_direction_control","2887","1798","1798","2","R/L","0.953281","0.272291","material","R/L","Steatite","0.752949","first_sign","R/L","740","0.355893","control_field_not_semantic_anchor"
"horizontal_bin","dimension_anchor","2673","1682","1682","4","h_015_025","0.39893","0.88551","direction","h_025_035","R/L","0.987034","first_sign","h_025_035","740","0.403566","candidate_requires_proxy_block_controls"
"vertical_bin","dimension_anchor","2523","1609","1609","4","v_020_030","0.356122","0.966793","shape","v_gt_030","square","0.996198","first_sign","v_020_030","740","0.404887","candidate_requires_proxy_block_controls"
"thickness_bin","dimension_anchor","1061","844","844","4","th_007_012","0.436019","0.837158","direction","th_007_012","R/L","0.986413","first_sign","th_gt_012","740","0.428571","candidate_requires_proxy_block_controls"
"area_bin","dimension_anchor","2489","1600","1600","4","area_0500_1000","0.37375","0.951518","direction","area_0500_1000","R/L","0.988294","first_sign","area_0500_1000","740","0.419732","candidate_requires_proxy_block_controls"
"aspect_bin","dimension_anchor","2489","1600","1595","3","aspect_squareish","0.618182","0.844178","direction","aspect_squareish","R/L","0.972617","first_sign","aspect_squareish","740","0.389452","candidate_requires_proxy_block_controls"
