"id","cisi","type","site","short_side_index","sides","direction","companion","order","short_text","token_string","context_class","side_relation","longer_row_count","longer_side_indexes","longer_texts","longer_tokens","has_long_400","has_long_740","has_long_176","has_long_240","has_long_031","has_long_001","has_long_140","has_long_368","has_long_900","has_sequence_400740176","has_sequence_740031001140","has_sequence_368900","group_signature","interpretation_status"
"1237.2","H-206","TAB:B","Harappa","2","2","R/L","033","700_first","+700-033+","700;033","single_longer_text","short_after_all_longer","1","1","+740-642-240-204-705-621+","204;240;621;642;705;740","false","true","false","true","false","false","false","false","false","false","false","false","1:+740-642-240-204-705-621+|2:+700-033+","context_orientation_audit_only_no_reading"
"1240.2","H-209","TAB:B","Harappa","2","2","R/L","032","700_first","+700-032+","700;032","single_longer_text","short_after_all_longer","1","1","+400-921-690-435-255-055+","055;255;400;435;690;921","true","false","false","false","false","false","false","false","false","false","false","false","1:+400-921-690-435-255-055+|2:+700-032+","context_orientation_audit_only_no_reading"
"1242.2","H-211","TAB:B","Harappa","2","2","R/L","033","700_last","+033-700+","033;700","single_longer_text","short_after_all_longer","1","1","+400-740-898-617+","400;617;740;898","true","true","false","false","false","false","false","false","false","false","false","false","1:+400-740-898-617+|2:+033-700+","context_orientation_audit_only_no_reading"
"1243.2","H-212","TAB:B","Harappa","2","2","R/L","032","700_last","+032-700+","032;700","single_longer_text","short_after_all_longer","1","1","+400-156-118+","118;156;400","true","false","false","false","false","false","false","false","false","false","false","false","1:+400-156-118+|2:+032-700+","context_orientation_audit_only_no_reading"
"1244.2","H-213","TAB:B","Harappa","2","2","R/L","032","700_first","+700-032+","700;032","single_longer_text","short_after_all_longer","1","1","+400-520-400-352+","352;400;520","true","false","false","false","false","false","false","false","false","false","false","false","1:+400-520-400-352+|2:+700-032+","context_orientation_audit_only_no_reading"
"1245.2","H-214","TAB:B","Harappa","2","2","L/R","032","700_first","+700-032+","700;032","single_longer_text","short_after_all_longer","1","1","+400-520-400-353+","353;400;520","true","false","false","false","false","false","false","false","false","false","false","false","1:+400-520-400-353+|2:+700-032+","context_orientation_audit_only_no_reading"
"1246.1","H-215","TAB:B","Harappa","1","2","R/L","034","700_first","+700-034+","700;034","all_short_or_no_longer_text","no_longer_text","0","","","","false","false","false","false","false","false","false","false","false","false","false","false","1:+700-034+|2:+400-137+","context_orientation_audit_only_no_reading"
"1247.2","H-216","TAB:B","Harappa","2","2","L/R","033","700_first","+700-033+","700;033","single_longer_text","short_after_all_longer","1","1","+740-337-484+","337;484;740","false","true","false","false","false","false","false","false","false","false","false","false","1:+740-337-484+|2:+700-033+","context_orientation_audit_only_no_reading"
"1248.2","H-217","TAB:B","Harappa","2","2","R/L","032","700_first","+700-032+","700;032","single_longer_text","short_after_all_longer","1","1","+740-337-484+","337;484;740","false","true","false","false","false","false","false","false","false","false","false","false","1:+740-337-484+|2:+700-032+","context_orientation_audit_only_no_reading"
"1249.2","H-218","TAB:B","Harappa","2","2","R/L","033","700_first","+700-033+","700;033","single_longer_text","short_after_all_longer","1","1","+740-336-176+","176;336;740","false","true","true","false","false","false","false","false","false","false","false","false","1:+740-336-176+|2:+700-033+","context_orientation_audit_only_no_reading"
