"cisi","priority","type","site","sides","horizontal_mm","vertical_mm","thickness_mm","functional_labels","exact_short_sides","short_side_texts","long_side_texts"
"H-2218","P1_tab_i_three_side_short_series","TAB:I","Harappa","3","12.5","8","0","FRAME003_ROLE15X;FRAME003_ROLE861;FRAME700_SUBTYPE034","+156-003+;+700-034+;+861-003+","1:+861-003+|2:+700-034+|3:+156-003+",""
"H-2219","P1_tab_i_three_side_short_series","TAB:I","Harappa","3","12","7.5","0","FRAME003_ROLE15X;FRAME003_ROLE861;FRAME700_SUBTYPE034","+156-003+;+700-034+;+861-003+","1:+861-003+|2:+700-034+|3:+156-003+",""
"H-2220","P1_tab_i_three_side_short_series","TAB:I","Harappa","3","12","8.2","0","FRAME003_ROLE15X;FRAME003_ROLE861;FRAME700_SUBTYPE034","+156-003+;+700-034+;+861-003+","1:+861-003+|2:+700-034+|3:+156-003+",""
"H-2222","P1_tab_i_three_side_short_series","TAB:I","Harappa","3","12.2","7.2","0","FRAME003_ROLE15X;FRAME003_ROLE861;FRAME700_SUBTYPE034","+156-003+;+700-034+;+861-003+","1:+861-003+|2:+700-034+|3:+156-003+",""
"H-2223","P1_tab_i_three_side_short_series","TAB:I","Harappa","3","11.2","7.5","0","FRAME003_ROLE15X;FRAME003_ROLE861;FRAME700_SUBTYPE034","+156-003+;+700-034+;+861-003+","1:+861-003+|2:+700-034+|3:+156-003+",""
"H-2224","P1_tab_i_three_side_short_series","TAB:I","Harappa","3","12","7","0","FRAME003_ROLE15X;FRAME003_ROLE861;FRAME700_SUBTYPE034","+156-003+;+700-034+;+861-003+","1:+861-003+|2:+700-034+|3:+156-003+",""
"H-2225","P1_tab_i_three_side_short_series","TAB:I","Harappa","3","12","7.5","0","FRAME003_ROLE15X;FRAME003_ROLE861;FRAME700_SUBTYPE034","+156-003+;+700-034+;+861-003+","1:+861-003+|2:+700-034+|3:+156-003+",""
"H-2229","P1_tab_i_three_side_short_series","TAB:I","Harappa","3","10","6","0","FRAME003_ROLE15X;FRAME003_ROLE861;FRAME700_SUBTYPE034","+156-003+;+700-034+;+861-003+","1:+861-003+|2:+700-034+|3:+156-003+",""
"H-2231","P1_tab_i_three_side_short_series","TAB:I","Harappa","3","10","7","0","FRAME003_ROLE15X;FRAME003_ROLE861;FRAME700_SUBTYPE034","+156-003+;+700-034+;+861-003+","1:+861-003+|2:+700-034+|3:+156-003+",""
"H-2232","P1_tab_i_three_side_short_series","TAB:I","Harappa","3","9.2","5.8","0","FRAME003_ROLE15X;FRAME003_ROLE861;FRAME700_SUBTYPE034","+156-003+;+700-034+;+861-003+","1:+861-003+|2:+700-034+|3:+156-003+",""
"H-2234","P1_tab_i_three_side_short_series","TAB:I","Harappa","3","9","6.5","0","FRAME003_ROLE15X;FRAME003_ROLE861;FRAME700_SUBTYPE034","+156-003+;+700-034+;+861-003+","1:+861-003+|2:+700-034+|3:+156-003+",""
"H-2236","P1_tab_i_three_side_short_series","TAB:I","Harappa","3","9","5.9","0","FRAME003_ROLE15X;FRAME003_ROLE861;FRAME700_SUBTYPE034","+156-003+;+700-034+;+861-003+","1:+861-003+|2:+700-034+|3:+156-003+",""
"H-2239","P1_tab_i_three_side_short_series","TAB:I","Harappa","3","9.5","6.2","0","FRAME003_ROLE15X;FRAME003_ROLE861;FRAME700_SUBTYPE034","+156-003+;+700-034+;+861-003+","1:+861-003+|2:+700-034+|3:+156-003+",""
"H-2221","P1_tab_i_three_side_short_series","TAB:I","Harappa","3","12.2","7.2","0","FRAME003_ROLE15X;FRAME003_ROLE861;FRAME700_SUBTYPE034","+156-003+;+700-034+;+861-003+","1:+700-034+|2:+861-003+|3:+156-003+",""
"H-2226","P1_tab_i_three_side_short_series","TAB:I","Harappa","3","11","7","0","FRAME003_ROLE15X;FRAME003_ROLE861;FRAME700_SUBTYPE034","+156-003+;+700-034+;+861-003+","1:+700-034+|2:+861-003+|3:+156-003+",""
"H-2227","P1_tab_i_three_side_short_series","TAB:I","Harappa","3","12.5","7.2","0","FRAME003_ROLE15X;FRAME003_ROLE861;FRAME700_SUBTYPE034","+156-003+;+700-034+;+861-003+","1:+700-034+|2:+861-003+|3:+156-003+",""
"H-2228","P1_tab_i_three_side_short_series","TAB:I","Harappa","3","11.8","6.5","0","FRAME003_ROLE15X;FRAME003_ROLE861;FRAME700_SUBTYPE034","+156-003+;+700-034+;+861-003+","1:+700-034+|2:+861-003+|3:+156-003+",""
"H-2230","P1_tab_i_three_side_short_series","TAB:I","Harappa","3","10","7.2","0","FRAME003_ROLE15X;FRAME003_ROLE861;FRAME700_SUBTYPE034","+156-003+;+700-034+;+861-003+","1:+700-034+|2:+861-003+|3:+156-003+",""
"H-2233","P1_tab_i_three_side_short_series","TAB:I","Harappa","3","10","6.5","0","FRAME003_ROLE15X;FRAME003_ROLE861;FRAME700_SUBTYPE034","+156-003+;+700-034+;+861-003+","1:+700-034+|2:+861-003+|3:+156-003+",""
"H-2235","P1_tab_i_three_side_short_series","TAB:I","Harappa","3","11","6","0","FRAME003_ROLE15X;FRAME003_ROLE861;FRAME700_SUBTYPE034","+156-003+;+700-034+;+861-003+","1:+700-034+|2:+861-003+|3:+156-003+",""
"H-309","P1_mixed_short_long_core","TAB:I","Harappa","2","8.9","6.4","0","FRAME700_SUBTYPE033","+700-033+","2:+700-033+","1:+400-740-176+"
"H-316","P1_mixed_short_long_core","TAB:I","Harappa","2","14.5","7.1","0","FRAME700_SUBTYPE033","+700-033+","2:+700-033+","1:+400-740-176+"
"H-353","P1_mixed_short_long_core","TAB:I","Harappa","2","15.2","6.4","0","FRAME700_SUBTYPE033","+700-033+","2:+700-033+","1:+400-740-176+"
"H-357","P1_mixed_short_long_core","TAB:I","Harappa","2","11.9","8.1","0","FRAME700_SUBTYPE033","+700-033+","2:+700-033+","1:+400-740-176+"
"H-935","P1_mixed_short_long_core","TAB:I","Harappa","2","10.2","6.4","0","FRAME700_SUBTYPE033","+700-033+","2:+700-033+","1:+400-740-176+"
"H-978","P1_mixed_short_long_core","TAB:I","Harappa","2","15.2","6.4","0","FRAME700_SUBTYPE033","+700-033+","2:+700-033+","1:+400-740-176+"
"H-1302","P1_mixed_short_long_core","TAB:I","Harappa","2","14","6.4","0","FRAME700_SUBTYPE033","+700-033+","2:+700-033+","1:+400-740-176+"
"H-1303","P1_mixed_short_long_core","TAB:I","Harappa","2","13.2","7.6","0","FRAME700_SUBTYPE033","+700-033+","2:+700-033+","1:+400-740-176+"
"H-1304","P1_mixed_short_long_core","TAB:I","Harappa","2","14.5","0","0","FRAME700_SUBTYPE033","+700-033+","2:+700-033+","1:+400-740-176+"
"H-1344","P1_mixed_short_long_core","TAB:I","Harappa","2","14","8","0","FRAME700_SUBTYPE033","+700-033+","2:+700-033+","1:+400-740-176+"
"H-1345","P1_mixed_short_long_core","TAB:I","Harappa","2","14.5","6.4","0","FRAME700_SUBTYPE033","+700-033+","2:+700-033+","1:+400-740-176+"
"H-1346","P1_mixed_short_long_core","TAB:I","Harappa","2","10.2","6.4","0","FRAME700_SUBTYPE033","+700-033+","2:+700-033+","1:+400-740-176+"
"H-1347","P1_mixed_short_long_core","TAB:I","Harappa","2","0","7.6","0","FRAME700_SUBTYPE033","+700-033+","2:+700-033+","1:+400-740-176+"
"H-2237","P1_tab_i_three_side_short_series","TAB:I","Harappa","3","10","6.5","0","FRAME003_ROLE15X;FRAME003_ROLE861;FRAME700_SUBTYPE034","+154-003+;+700-034+;+861-003+","1:+700-034+|2:+861-003+|3:+154-003+",""
"H-2238","P1_tab_i_three_side_short_series","TAB:I","Harappa","3","11","6.9","0","FRAME003_ROLE15X;FRAME003_ROLE861;FRAME700_SUBTYPE033","+156-003+;+700-033+;+861-003+","1:+700-033+|2:+861-003+|3:+156-003+",""
"H-308","P1_mixed_short_long_core","TAB:I","Harappa","2","11.4","6.4","0","FRAME700_SUBTYPE034","+700-034+","2:+700-034+","1:+400-740-176+"
"H-312","P1_mixed_short_long_core","TAB:I","Harappa","2","14","7.6","0","FRAME700_SUBTYPE034","+700-034+","2:+700-034+","1:+400-740-176+"
"H-313","P1_mixed_short_long_core","TAB:I","Harappa","2","14","7.6","0","FRAME700_SUBTYPE034","+700-034+","2:+700-034+","1:+400-740-176+"
"H-314","P1_mixed_short_long_core","TAB:I","Harappa","2","12.7","6.9","0","FRAME700_SUBTYPE034","+700-034+","2:+700-034+","1:+400-740-176+"
"H-317","P1_mixed_short_long_core","TAB:I","Harappa","2","11.4","5.8","0","FRAME700_SUBTYPE034","+700-034+","2:+700-034+","1:+400-740-176+"
"H-936","P1_mixed_short_long_core","TAB:I","Harappa","2","7.6","11.9","0","FRAME700_SUBTYPE034","+700-034+","2:+700-034+","1:+400-740-176+"
"H-1273","P1_mixed_short_long_core","TAB:I","Harappa","2","11.4","7.1","0","FRAME700_SUBTYPE034","+700-034+","2:+700-034+","1:+400-740-176+"
"H-326","P1_mixed_short_long_core","TAB:I","Harappa","2","15.2","10.2","0","FRAME700_SUBTYPE033","+700-033+","2:+700-033+","1:+740-840-013+"
"H-356","P1_mixed_short_long_core","TAB:I","Harappa","2","16","6","0","FRAME700_SUBTYPE033","+700-033+","1:+700-033+","2:+400-740-176+"
"H-924","P1_mixed_short_long_core","TAB:I","Harappa","2","14","8","0","FRAME700_SUBTYPE033","+700-033+","2:+700-033+","1:+740-840-013+"
"H-925","P1_mixed_short_long_core","TAB:I","Harappa","2","14","7.6","0","FRAME700_SUBTYPE033","+700-033+","2:+700-033+","1:+740-840-013+"
"H-934","P1_mixed_short_long_core","TAB:I","Harappa","2","12.7","8.9","0","FRAME700_SUBTYPE033","+700-033+","1:+700-033+","2:+400-740-176+"
"H-979","P1_mixed_short_long_core","TAB:I","Harappa","2","16.5","7","0","FRAME700_SUBTYPE033","+700-033+","1:+700-033+","2:+400-740-176+"
"H-1771","P1_mixed_short_long_core","TAB:B","Harappa","2","16","7.5","3 - 3.3","FRAME700_SUBTYPE032","+700-032+","1:+700-032+","2:+740-031-001-140+"
"H-1772","P1_mixed_short_long_core","TAB:B","Harappa","2","17","8.8","2.1","FRAME700_SUBTYPE032","+700-032+","1:+700-032+","2:+740-031-001-140+"
"H-1773","P1_mixed_short_long_core","TAB:B","Harappa","2","16.3","7","1.6","FRAME700_SUBTYPE032","+700-032+","1:+700-032+","2:+740-031-001-140+"
"H-311","P1_mixed_short_long_core","TAB:I","Harappa","2","15.2","7.6","0","FRAME700_SUBTYPE033","+700-033+","2:+700-033+","1:+400-740-178+"
"H-315","P1_mixed_short_long_core","TAB:I","Harappa","2","7.6","12.7","0","FRAME700_SUBTYPE032","+700-032+","2:+700-032+","1:+400-740-176+"
"H-697","P1_mixed_short_long_core","TAB:B","Harappa","2","24.1","10.2","0","FRAME700_SUBTYPE032","+700-032+","2:+700-032+","1:+740-904-240-002-817+"
"H-733","P1_mixed_short_long_core","TAB:B","Harappa","2","20.3","0","0","FRAME700_SUBTYPE033","+700-033+","2:+700-033+","1:+740-390-590-240+"
"H-734","P1_mixed_short_long_core","TAB:B","Harappa","2","21","0","0","FRAME700_SUBTYPE033","+700-033+","2:+700-033+","1:+740-390-590-240+"
"H-792","P1_mixed_short_long_core","TAB:B","Harappa","2","14.5","7.6","0","FRAME700_SUBTYPE033","+033-700+","2:+033-700+","1:+400-154-896+"
"H-793","P1_mixed_short_long_core","TAB:B","Harappa","2","14.7","7.6","0","FRAME700_SUBTYPE033","+033-700+","2:+033-700+","1:+400-154-896+"
"H-821","P1_mixed_short_long_core","TAB:B","Harappa","2","23","14","0","FRAME700_SUBTYPE033","+700-033+","1:+700-033+","2:+740-642-240-001-692+"
"H-822","P1_mixed_short_long_core","TAB:B","Harappa","2","24","11.5","0","FRAME700_SUBTYPE033","+700-033+","1:+700-033+","2:+740-642-240-001-692+"
"H-849","P1_mixed_short_long_core","TAB:B","Harappa","2","17.8","7.6","0","FRAME700_SUBTYPE032","+032-700+","2:+032-700+","1:+400-740-892-617+"
"H-850","P1_mixed_short_long_core","TAB:B","Harappa","2","16","10.2","0","FRAME700_SUBTYPE032","+032-700+","2:+032-700+","1:+400-740-892-617+"
"H-894","P1_mixed_short_long_core","TAB:I","Harappa","2","16.5","7.6","0","EXACT_700_125","+700-125+","2:+700-125+","1:+400-740-636-240+"
"H-943","P1_mixed_short_long_core","TAB:I","Harappa","2","16.5","8.9","0","FRAME700_SUBTYPE032","+700-032+","2:+700-032+","1:+400-158-592+"
"H-944","P1_mixed_short_long_core","TAB:I","Harappa","2","16.5","8.9","0","FRAME700_SUBTYPE032","+700-032+","2:+700-032+","1:+400-158-592+"
"H-959","P1_mixed_short_long_core","TAB:I","Harappa","2","15.2","7.6","0","FRAME700_SUBTYPE033","+700-033+","2:+700-033+","1:+400-740-178+"
"H-962","P1_mixed_short_long_core","TAB:I","Harappa","2","7.6","7.6","0","FRAME700_SUBTYPE032","+700-032+","2:+700-032+","1:+400-740-176+"
"H-965","P1_mixed_short_long_core","TAB:I","Harappa","2","17.8","11.4","0","FRAME700_SUBTYPE032","+700-032+","2:+700-032+","1:+740-690-636-240+"
"H-966","P1_mixed_short_long_core","TAB:I","Harappa","2","0","10.5","0","FRAME700_SUBTYPE032","+700-032+","2:+700-032+","1:+740-690-636-240+"
"H-1100","P1_mixed_short_long_core","TAB:B","Harappa","2","26","16","0","FRAME700_SUBTYPE032","+700-032+","2:+700-032+","1:+740-904-240-002-817+"
"H-1178","P1_mixed_short_long_core","TAB:I","Harappa","2","16","8.5","0","EXACT_700_125","+700-125+","2:+700-125+","1:+400-740-636-240+"
"H-1868","P1_mixed_short_long_core","TAB:B","Harappa","2","15.5","7","0","FRAME700_SUBTYPE034","+700-034+","1:+700-034+","2:+151-740-222+"
"H-1869","P1_mixed_short_long_core","TAB:B","Harappa","2","15.5","7","0","FRAME700_SUBTYPE034","+700-034+","1:+700-034+","2:+151-740-222+"
"H-1876","P1_mixed_short_long_core","TAB:B","Harappa","2","15","9","3","FRAME700_SUBTYPE034","+034-700+","1:+034-700+","2:+400-775-516+"
"H-1877","P1_mixed_short_long_core","TAB:B","Harappa","2","14.5","8.2","1.8","FRAME700_SUBTYPE034","+034-700+","1:+034-700+","2:+400-775-516+"
"H-2140","P1_mixed_short_long_core","TAB:I","Harappa","2","14","8","2.5","FRAME700_SUBTYPE034","+700-034+","1:+700-034+","2:+565-740-176-231+"
"H-2141","P1_mixed_short_long_core","TAB:I","Harappa","2","14","7.8","2.8","FRAME700_SUBTYPE034","+700-034+","1:+700-034+","2:+565-740-176-231+"
"H-206","P1_mixed_short_long_core","TAB:B","Harappa","2","21.6","10.2","0","FRAME700_SUBTYPE033","+700-033+","2:+700-033+","1:+740-642-240-204-705-621+"
"H-209","P1_mixed_short_long_core","TAB:B","Harappa","2","17.8","10.9","0","FRAME700_SUBTYPE032","+700-032+","2:+700-032+","1:+400-921-690-435-255-055+"
"H-211","P1_mixed_short_long_core","TAB:B","Harappa","2","20","9","0","FRAME700_SUBTYPE033","+033-700+","2:+033-700+","1:+400-740-898-617+"
"H-212","P1_mixed_short_long_core","TAB:B","Harappa","2","14","7.1","0","FRAME700_SUBTYPE032","+032-700+","2:+032-700+","1:+400-156-118+"
"H-213","P1_mixed_short_long_core","TAB:B","Harappa","2","18","10","0","FRAME700_SUBTYPE032","+700-032+","2:+700-032+","1:+400-520-400-352+"
"H-214","P1_mixed_short_long_core","TAB:B","Harappa","2","17.8","7.6","0","FRAME700_SUBTYPE032","+700-032+","2:+700-032+","1:+400-520-400-353+"
"H-216","P1_mixed_short_long_core","TAB:B","Harappa","2","19","9.5","0","FRAME700_SUBTYPE033","+700-033+","2:+700-033+","1:+740-337-484+"
"H-217","P1_mixed_short_long_core","TAB:B","Harappa","2","14","8","0","FRAME700_SUBTYPE032","+700-032+","2:+700-032+","1:+740-337-484+"
"H-218","P1_mixed_short_long_core","TAB:B","Harappa","2","14","9","0","FRAME700_SUBTYPE033","+700-033+","2:+700-033+","1:+740-336-176+"
"H-229","P1_mixed_short_long_core","TAB:B","Harappa","2","16.5","11.4","0","FRAME700_SUBTYPE033","+700-033+","2:+700-033+","1:+400-740-892-617+"
"H-231","P1_mixed_short_long_core","TAB:B","Harappa","2","22.9","8.9","0","FRAME700_SUBTYPE033","+700-033+","2:+700-033+","1:+520-220-240-002-820+"
"H-232","P1_mixed_short_long_core","TAB:B","Harappa","2","22.9","14","0","FRAME700_SUBTYPE032","+700-032+","2:+700-032+","1:+400-740-177-519+"
"H-233","P1_mixed_short_long_core","TAB:B","Harappa","2","26.7","0","0","FRAME700_SUBTYPE033","+700-033+","2:+700-033+","1:+400-740-176+"
"H-237","P1_mixed_short_long_core","TAB:B","Harappa","2","21","11","0","FRAME700_SUBTYPE033","+700-033+","2:+700-033+","1:+740-642-240-060-692+"
"H-245","P1_mixed_short_long_core","TAB:B","Harappa","2","0","0","0","FRAME700_SUBTYPE033","+700-033+","2:+700-033+","1:+400-807-740-219+"
"H-248","P1_mixed_short_long_core","TAB:B","Harappa","2","0","0","0","FRAME700_SUBTYPE033","+700-033+","2:+700-033+","1:+400-740-920-320-233-240-798+"
"H-251","P1_mixed_short_long_core","TAB:B","Harappa","2","17.8","10.2","0","FRAME700_SUBTYPE032","+700-032+","2:+700-032+","1:+400-740-100-240+"
"H-296","P1_mixed_short_long_core","TAB:I","Harappa","2","17.8","9.1","0","FRAME700_SUBTYPE033","+700-033+","2:+700-033+","1:+400-740-575-017-920+"
"H-297","P1_mixed_short_long_core","TAB:I","Harappa","2","20","9","0","FRAME700_SUBTYPE034","+700-034+","2:+700-034+","1:+400-151-336-630-706+"
"H-298","P1_mixed_short_long_core","TAB:I","Harappa","2","18","9","0","EXACT_700_126","+700-126+","2:+700-126+","1:+400-740-636-240+"
"H-303","P1_mixed_short_long_core","TAB:I","Harappa","2","15.2","8.9","0","FRAME700_SUBTYPE033","+700-033+","2:+700-033+","1:+400-740-032-027+"
"H-306","P1_mixed_short_long_core","TAB:I","Harappa","2","15","7","0","FRAME700_SUBTYPE033","+700-033+","2:+700-033+","1:+740-032-840+"
"H-321","P1_mixed_short_long_core","TAB:I","Harappa","2","17.8","11.4","0","FRAME700_SUBTYPE032","+032-700+","2:+032-700+","1:+740-690-630-240+"
"H-322","P1_mixed_short_long_core","TAB:I","Harappa","2","17","10","0","FRAME700_SUBTYPE032","+700-032+","2:+700-032+","1:+400-740-032-028+"
"H-323","P1_mixed_short_long_core","TAB:I","Harappa","2","16.5","8.9","0","FRAME700_SUBTYPE033","+033-700+","2:+033-700+","1:+740-100-240+"
"H-324","P1_mixed_short_long_core","TAB:I","Harappa","2","14","7.6","0","FRAME700_SUBTYPE034","+700-034+","2:+700-034+","1:+400-156-384-031+"
"H-341","P1_mixed_short_long_core","TAB:I","Harappa","2","17.8","15.2","0","FRAME700_SUBTYPE032","+700-032+","2:+700-032+","1:+400-740-336-176+"
"H-343","P1_mixed_short_long_core","TAB:I","Harappa","2","0","0","0","FRAME700_SUBTYPE033","+700-033+","2:+700-033+","1:+740-861-877+"
"H-345","P1_mixed_short_long_core","TAB:I","Harappa","2","0","0","0","FRAME700_SUBTYPE033","+700-033+","2:+700-033+","1:+090-740-362+"
"H-350","P1_mixed_short_long_core","TAB:I","Harappa","2","17.8","8.9","0","FRAME700_SUBTYPE034","+700-034+","2:+700-034+","1:+740-690-642-240+"
"H-351","P1_mixed_short_long_core","TAB:I","Harappa","2","15.2","7.6","0","FRAME700_SUBTYPE034","+700-034+","2:+700-034+","1:+400-740-032-060-013+"
"H-355","P1_mixed_short_long_core","TAB:I","Harappa","3","15.5","5.8","0","FRAME700_SUBTYPE033","+700-033+;+700-033+","2:+700-033+|3:+700-033+","1:+400-740-176+"
"H-358","P1_mixed_short_long_core","TAB:I","Harappa","3","15.2","7.6","0","FRAME700_SUBTYPE034","+034-700+","2:+034-700+","1:+400-156-435-255+"
"H-362","P1_mixed_short_long_core","TAB:I","Harappa","2","12.7","6.4","0","FRAME700_SUBTYPE032","+700-032+","2:+700-032+","1:+740-760-797+"
"H-743","P1_mixed_short_long_core","TAB:B","Harappa","2","0","0","10 - 13.5","EXACT_700_745","+700-745+","1:+700-745+","2:+740-752-482-240+"
"H-767","P1_mixed_short_long_core","TAB:B","Harappa","2","27.9","8.9","0","FRAME700_SUBTYPE033","+700-033+","2:+700-033+","1:+400-740-220-415-798+"
"H-776","P1_mixed_short_long_core","TAB:B","Harappa","2","20.3","9.4","0","FRAME700_SUBTYPE033","+033-700+","2:+033-700+","1:+740-803-741-031-032-716+"
"H-780","P1_mixed_short_long_core","TAB:B","Harappa","2","16.5","10.2","0","FRAME700_SUBTYPE034","+700-034+","2:+700-034+","1:+740-400-142-061+"
"H-781","P1_mixed_short_long_core","TAB:B","Harappa","2","17","9.5","0","FRAME700_SUBTYPE033","+033-700+","1:+033-700+","2:+740-904-240+"
"H-789","P1_mixed_short_long_core","TAB:B","Harappa","2","16.5","8.9","0","FRAME700_SUBTYPE033","+033-700+","2:+033-700+","1:+400-520-220-016+"
"H-790","P1_mixed_short_long_core","TAB:B","Harappa","2","15.2","8.9","0","FRAME700_SUBTYPE033","+700-033+","2:+700-033+","1:+400-740-384-033+"
"H-794","P1_mixed_short_long_core","TAB:B","Harappa","2","15.2","0","0","FRAME700_SUBTYPE032","+032-700+","2:+032-700+","1:+400-232-235+"
"H-800","P1_mixed_short_long_core","TAB:B","Harappa","2","17.8","7.6","0","FRAME700_SUBTYPE033","+700-033+","2:+700-033+","1:+740-337-692-490+"
"H-814","P1_mixed_short_long_core","TAB:B","Harappa","2","15.2","8.1","0","FRAME700_SUBTYPE032","+700-032+","2:+700-032+","1:+400-820-100-415+"
"H-816","P1_mixed_short_long_core","TAB:B","Harappa","2","7.6","7.6","0","FRAME700_SUBTYPE033","+033-700+","2:+033-700+","1:+400-740-390-590+"
"H-817","P1_mixed_short_long_core","TAB:B","Harappa","2","20.3","11.4","0","FRAME700_SUBTYPE032","+032-700+","2:+032-700+","1:+400-740-336-018+"
"H-818","P1_mixed_short_long_core","TAB:B","Harappa","2","17.8","10.2","0","FRAME700_SUBTYPE033","+700-033+","2:+700-033+","1:+740-336-018+"
"H-823","P1_mixed_short_long_core","TAB:B","Harappa","2","23.5","11","0","FRAME700_SUBTYPE034","+700-034+","1:+700-034+","2:+740-636-240-060-692+"
"H-834","P1_mixed_short_long_core","TAB:B","Harappa","2","0","0","0","FRAME700_SUBTYPE033","+700-033+","2:+700-033+","1:+400-740-690-436-255+"
"H-838","P1_mixed_short_long_core","TAB:B","Harappa","2","0","0","0","FRAME700_SUBTYPE033","+700-033+","2:+700-033+","1:+740-615-495-002-817+"
"H-846","P1_mixed_short_long_core","TAB:B","Harappa","2","15.2","6.4","0","FRAME700_SUBTYPE033","+700-033+","2:+700-033+","1:+400-740-100-031-705+"
"H-847","P1_mixed_short_long_core","TAB:B","Harappa","3","16.5","7.1","0","FRAME700_SUBTYPE033","+700-033+","2:+700-033+","3:+740-100-415+"
"H-852","P1_mixed_short_long_core","TAB:B","Harappa","2","24.1","7.6","0","FRAME700_SUBTYPE032","+700-032+","1:+700-032+","2:+740-760-268-233-220+"
"H-853","P1_mixed_short_long_core","TAB:B","Harappa","2","14","6","0","FRAME700_SUBTYPE034","+034-700+","2:+034-700+","1:+740-177-231+"
"H-854","P1_mixed_short_long_core","TAB:B","Harappa","2","16.5","6.4","0","FRAME700_SUBTYPE032","+700-032+","2:+700-032+","1:+400-740-335-003+"
"H-857","P1_mixed_short_long_core","TAB:B","Harappa","2","16","7","0","FRAME700_SUBTYPE033","+700-033+","2:+700-033+","1:+740-390-590-235+"
"H-892","P1_mixed_short_long_core","TAB:I","Harappa","2","17.8","10.2","0","FRAME700_SUBTYPE034","+034-700+","2:+034-700+","1:+400-740-336-176+"
"H-893","P1_mixed_short_long_core","TAB:I","Harappa","2","14","7.6","0","FRAME700_SUBTYPE034","+700-034+","2:+700-034+","1:+400-740-337+"
"H-900","P1_mixed_short_long_core","TAB:I","Harappa","2","12.7","7.1","0","FRAME700_SUBTYPE033","+700-033+","2:+700-033+","1:+400-740-817-491+"
"H-916","P1_mixed_short_long_core","TAB:I","Harappa","2","15.2","7.6","0","FRAME700_SUBTYPE033","+700-033+","2:+700-033+","1:+400-740-032-059+"
"H-921","P1_mixed_short_long_core","TAB:I","Harappa","2","14","7.4","0","FRAME003_ROLE861","+861-003+","1:+861-003+","2:+740-255-061+"
"H-930","P1_mixed_short_long_core","TAB:I","Harappa","2","14","8.4","0","FRAME700_SUBTYPE032","+700-032+","2:+700-032+","1:+740-900-004+"
"H-933","P1_mixed_short_long_core","TAB:I","Harappa","2","14","8","0","FRAME700_SUBTYPE034","+034-700+","1:+034-700+","2:+400-740-176+"
"H-948","P1_mixed_short_long_core","TAB:I","Harappa","2","15.2","7.6","0","FRAME700_SUBTYPE033","+700-033+","2:+700-033+","1:+400-151-229+"
"H-960","P1_mixed_short_long_core","TAB:I","Harappa","2","10.2","7.6","0","FRAME700_SUBTYPE034","+700-034+","1:+700-034+","2:+400-740-176+"
"H-975","P1_mixed_short_long_core","TAB:I","Harappa","2","12.7","5.8","0","FRAME700_SUBTYPE032","+700-032+","2:+700-032+","1:+740-760-382+"
"H-983","P1_mixed_short_long_core","TAB:I","Harappa","2","15.2","6.4","0","FRAME700_SUBTYPE034","+700-034+","2:+700-034+","1:+400-740-637-240+"
"H-987","P1_mixed_short_long_core","TAB:I","Harappa","3","16.5","6.4","0","FRAME700_SUBTYPE033","+700-033+","2:+700-033+","1:+690-365-817+|3:+400-740-176+"
"H-1102","P1_mixed_short_long_core","TAB:B","Harappa","2","21.6","10.2","0","FRAME700_SUBTYPE032","+700-032+","2:+700-032+","1:+400-740-382+"
"H-1124","P1_mixed_short_long_core","TAB:B","Harappa","2","14","9","0","FRAME700_SUBTYPE033","+700-033+","2:+700-033+","1:+400-236-220+"
"H-1133","P1_mixed_short_long_core","TAB:B","Harappa","2","15.2","7.6","0","FRAME700_SUBTYPE032","+700-032+","2:+700-032+","1:+400-892-831+"
"H-1138","P1_mixed_short_long_core","TAB:B","Harappa","2","21.6","11.4","0","FRAME700_SUBTYPE034","+700-034+","2:+700-034+","1:+740-603-240-060-692+"
