"antecedent","consequent","cooccur_artifacts","antecedent_artifacts","consequent_artifacts","confidence","lift"
"FRAME003_ROLE15X","FRAME003_ROLE861","22","22","29","1","13.689655"
"FRAME003_ROLE861","FRAME003_ROLE15X","22","29","22","0.758621","13.689655"
"FRAME700_SUBTYPE034","PAIR156_176","4","114","4","0.035088","3.482456"
"PAIR156_176","FRAME700_SUBTYPE034","4","4","114","1","3.482456"
"FRAME003_ROLE15X","FRAME700_SUBTYPE034","21","22","114","0.954545","3.324163"
"FRAME700_SUBTYPE034","FRAME003_ROLE15X","21","114","22","0.184211","3.324163"
"FRAME003_ROLE861","FRAME700_SUBTYPE034","21","29","114","0.724138","2.521779"
"FRAME700_SUBTYPE034","FRAME003_ROLE861","21","114","29","0.184211","2.521779"
"EXACT_368_900","FRAME700_SUBTYPE033","4","5","136","0.8","2.335294"
"FRAME700_SUBTYPE033","EXACT_368_900","4","136","5","0.029412","2.335294"
"FRAME700_SUBTYPE033","EXACT_400_137","3","136","5","0.022059","1.751471"
"EXACT_400_137","FRAME700_SUBTYPE033","3","5","136","0.6","1.751471"
