"id","cisi","type","site","side_index","sides","direction","token_count","text","token_string","orientation_class","companion","order","unordered_pair","interpretation_status"
"3959.2","H-1100","TAB:B","Harappa","2","2","R/L","2","+700-032+","700;032","two_token_700_companion","032","700_first","032-700","orientation_audit_only_no_reading"
"273.2","H-1102","TAB:B","Harappa","2","2","R/L","2","+700-032+","700;032","two_token_700_companion","032","700_first","032-700","orientation_audit_only_no_reading"
"290.1","H-1112","TAB:B","Harappa","1","2","R/L","2","+033-700+","033;700","two_token_700_companion","033","700_last","033-700","orientation_audit_only_no_reading"
"3968.2","H-1120","TAB:B","Harappa","2","2","R/L","2","+700-034+","700;034","two_token_700_companion","034","700_first","034-700","orientation_audit_only_no_reading"
"313.2","H-1123","TAB:B","Harappa","2","2","R/L","2","+700-032+","700;032","two_token_700_companion","032","700_first","032-700","orientation_audit_only_no_reading"
"3969.2","H-1124","TAB:B","Harappa","2","2","R/L","2","+700-033+","700;033","two_token_700_companion","033","700_first","033-700","orientation_audit_only_no_reading"
"3949.1","H-1126","TAB:B","Harappa","1","2","R/L","2","+740-850+","740;850","non_700_short_mark","","","740-850","orientation_audit_only_no_reading"
"3949.2","H-1126","TAB:B","Harappa","2","2","R/L","2","+740-850+","740;850","non_700_short_mark","","","740-850","orientation_audit_only_no_reading"
"249.2","H-1133","TAB:B","Harappa","2","2","R/L","2","+700-032+","700;032","two_token_700_companion","032","700_first","032-700","orientation_audit_only_no_reading"
"3973.2","H-1134","TAB:B","Harappa","2","2","R/L","2","+700-032+","700;032","two_token_700_companion","032","700_first","032-700","orientation_audit_only_no_reading"
"198.2","H-1138","TAB:B","Harappa","2","2","R/L","2","+700-034+","700;034","two_token_700_companion","034","700_first","034-700","orientation_audit_only_no_reading"
"682.1","H-1146","TAB:B","Harappa","1","2","R/L","2","+700-032+","700;032","two_token_700_companion","032","700_first","032-700","orientation_audit_only_no_reading"
"3982.2","H-1153","TAB:B","Harappa","2","2","R/L","2","+700-032+","700;032","two_token_700_companion","032","700_first","032-700","orientation_audit_only_no_reading"
"270.2","H-1156","TAB:B","Harappa","2","2","R/L","2","+700-032+","700;032","two_token_700_companion","032","700_first","032-700","orientation_audit_only_no_reading"
