"control","metric","iterations","observed_value","null_mean","null_sd","null_min","null_p05","null_median","null_p95","null_max","observed_minus_null_mean","null_ge_observed_share","null_le_observed_share"
"duplicate_matched_position_slots","unique_sequences","20","1798","1798","0","1798","1798","1798","1798","1798","0","1","1"
"duplicate_matched_position_slots","exact_duplicate_groups","20","266","266","0","266","266","266","266","266","0","1","1"
"duplicate_matched_position_slots","exact_duplicate_rows","20","1351","1351","0","1351","1351","1351","1351","1351","0","1","1"
"duplicate_matched_position_slots","exact_duplicate_row_share","20","0.468609","0.468609","0","0.468609","0.468609","0.468609","0.468609","0.468609","0","1","1"
"duplicate_matched_position_slots","top_sequence_count","20","117","117","0","117","117","117","117","117","0","1","1"
"duplicate_matched_position_slots","collapsed_rows","20","1798","1798","0","1798","1798","1798","1798","1798","0","1","1"
"duplicate_matched_position_slots","collapsed_tokens","20","8212","8212","0","8212","8212","8212","8212","8212","0","1","1"
"duplicate_matched_position_slots","stored_higher_share","20","0.948276","0.949638","0.005041","0.939933","0.940461","0.949944","0.95609","0.956618","-0.001362","0.6","0.45"
"duplicate_matched_position_slots","mean_stored_minus_reversed","20","9.403535","6.448","0.209566","6.069287","6.149403","6.423798","6.903978","6.928382","2.955535","0","1"
"duplicate_matched_position_slots","median_stored_minus_reversed","20","9.200559","6.862128","0.226834","6.464588","6.529533","6.860565","7.228423","7.388328","2.338431","0","1"
"duplicate_matched_position_slots","frequency_top1_accuracy","20","0.107769","0.108433","0.003477","0.101802","0.102265","0.1099","0.112165","0.112396","-0.000664","0.65","0.35"
"duplicate_matched_position_slots","position_top1_accuracy","20","0.15112","0.15028","0.003969","0.142353","0.144666","0.150876","0.155188","0.156113","0.00084","0.5","0.5"
"duplicate_matched_position_slots","length_position_top1_accuracy","20","0.154652","0.1842","0.006776","0.168534","0.174434","0.185095","0.193565","0.197151","-0.029548","1","0"
"duplicate_matched_position_slots","bidirectional_top1_accuracy","20","0.325865","0.145622","0.004563","0.135777","0.138669","0.146432","0.151455","0.15319","0.180243","0","1"
"duplicate_matched_position_slots","bidirectional_top5_accuracy","20","0.567828","0.315136","0.005997","0.301997","0.303038","0.317279","0.322126","0.32282","0.252692","0","1"
"administrative_register_code","unique_sequences","20","1798","1798","0","1798","1798","1798","1798","1798","0","1","1"
"administrative_register_code","exact_duplicate_groups","20","266","266","0","266","266","266","266","266","0","1","1"
"administrative_register_code","exact_duplicate_rows","20","1351","1351","0","1351","1351","1351","1351","1351","0","1","1"
"administrative_register_code","exact_duplicate_row_share","20","0.468609","0.468609","0","0.468609","0.468609","0.468609","0.468609","0.468609","0","1","1"
"administrative_register_code","top_sequence_count","20","117","117","0","117","117","117","117","117","0","1","1"
"administrative_register_code","collapsed_rows","20","1798","1798","0","1798","1798","1798","1798","1798","0","1","1"
"administrative_register_code","collapsed_tokens","20","8212","8212","0","8212","8212","8212","8212","8212","0","1","1"
"administrative_register_code","stored_higher_share","20","0.948276","0.990823","0.002009","0.986652","0.987708","0.990823","0.993938","0.994994","-0.042547","1","0"
"administrative_register_code","mean_stored_minus_reversed","20","9.403535","13.070033","0.149396","12.612431","12.771032","13.103936","13.217804","13.228194","-3.666498","1","0"
"administrative_register_code","median_stored_minus_reversed","20","9.200559","12.447985","0.229817","11.793243","11.855007","12.534382","12.631703","12.650451","-3.247426","1","0"
"administrative_register_code","frequency_top1_accuracy","20","0.107769","0.074269","0.002063","0.070994","0.071341","0.074038","0.077862","0.078787","0.0335","0","1"
"administrative_register_code","position_top1_accuracy","20","0.15112","0.172863","0.005031","0.16208","0.166592","0.172552","0.180979","0.181442","-0.021743","1","0"
"administrative_register_code","length_position_top1_accuracy","20","0.154652","0.242407","0.007732","0.226741","0.228939","0.240075","0.254749","0.254749","-0.087755","1","0"
"administrative_register_code","bidirectional_top1_accuracy","20","0.325865","0.472924","0.006553","0.461033","0.461842","0.472602","0.482233","0.484778","-0.147059","1","0"
"administrative_register_code","bidirectional_top5_accuracy","20","0.567828","0.689838","0.003182","0.684243","0.68459","0.690636","0.693509","0.693741","-0.12201","1","0"
"emblem_formula_code","unique_sequences","20","1798","1798","0","1798","1798","1798","1798","1798","0","1","1"
"emblem_formula_code","exact_duplicate_groups","20","266","266","0","266","266","266","266","266","0","1","1"
"emblem_formula_code","exact_duplicate_rows","20","1351","1351","0","1351","1351","1351","1351","1351","0","1","1"
"emblem_formula_code","exact_duplicate_row_share","20","0.468609","0.468609","0","0.468609","0.468609","0.468609","0.468609","0.468609","0","1","1"
"emblem_formula_code","top_sequence_count","20","117","117","0","117","117","117","117","117","0","1","1"
"emblem_formula_code","collapsed_rows","20","1798","1798","0","1798","1798","1798","1798","1798","0","1","1"
"emblem_formula_code","collapsed_tokens","20","8212","8212","0","8212","8212","8212","8212","8212","0","1","1"
"emblem_formula_code","stored_higher_share","20","0.948276","0.987236","0.001548","0.984427","0.984427","0.987208","0.990017","0.990545","-0.03896","1","0"
"emblem_formula_code","mean_stored_minus_reversed","20","9.403535","12.471069","0.245391","12.030375","12.057698","12.509566","12.756627","12.913249","-3.067534","1","0"
"emblem_formula_code","median_stored_minus_reversed","20","9.200559","12.124559","0.269175","11.709446","11.768275","12.165859","12.555243","12.580704","-2.924","1","0"
"emblem_formula_code","frequency_top1_accuracy","20","0.107769","0.100244","0.00518","0.089503","0.091932","0.10095","0.107416","0.109961","0.007525","0.05","0.95"
"emblem_formula_code","position_top1_accuracy","20","0.15112","0.213316","0.00885","0.190818","0.19614","0.216208","0.223106","0.225767","-0.062196","1","0"
"emblem_formula_code","length_position_top1_accuracy","20","0.154652","0.253209","0.011148","0.226863","0.2323","0.256393","0.26507","0.273746","-0.098557","1","0"
"emblem_formula_code","bidirectional_top1_accuracy","20","0.325865","0.443351","0.006931","0.432051","0.433902","0.443497","0.453915","0.455188","-0.117486","1","0"
"emblem_formula_code","bidirectional_top5_accuracy","20","0.567828","0.692353","0.003371","0.686922","0.687616","0.693071","0.697278","0.697394","-0.124525","1","0"
"mixed_admin_emblem_code","unique_sequences","20","1798","1798","0","1798","1798","1798","1798","1798","0","1","1"
"mixed_admin_emblem_code","exact_duplicate_groups","20","266","266","0","266","266","266","266","266","0","1","1"
"mixed_admin_emblem_code","exact_duplicate_rows","20","1351","1351","0","1351","1351","1351","1351","1351","0","1","1"
"mixed_admin_emblem_code","exact_duplicate_row_share","20","0.468609","0.468609","0","0.468609","0.468609","0.468609","0.468609","0.468609","0","1","1"
"mixed_admin_emblem_code","top_sequence_count","20","117","117","0","117","117","117","117","117","0","1","1"
"mixed_admin_emblem_code","collapsed_rows","20","1798","1798","0","1798","1798","1798","1798","1798","0","1","1"
"mixed_admin_emblem_code","collapsed_tokens","20","8212","8212","0","8212","8212","8212","8212","8212","0","1","1"
"mixed_admin_emblem_code","stored_higher_share","20","0.948276","0.982258","0.003613","0.972747","0.977503","0.983037","0.987264","0.98832","-0.033982","1","0"
"mixed_admin_emblem_code","mean_stored_minus_reversed","20","9.403535","11.733854","0.260178","11.228628","11.370529","11.699701","12.119296","12.193063","-2.330319","1","0"
"mixed_admin_emblem_code","median_stored_minus_reversed","20","9.200559","11.335004","0.321835","10.530396","10.93687","11.29142","11.867459","11.897187","-2.134445","1","0"
"mixed_admin_emblem_code","frequency_top1_accuracy","20","0.107769","0.083475","0.004051","0.076352","0.078549","0.082257","0.090568","0.092304","0.024294","0","1"
"mixed_admin_emblem_code","position_top1_accuracy","20","0.15112","0.184462","0.006795","0.170117","0.177174","0.18333","0.192365","0.200925","-0.033342","1","0"
"mixed_admin_emblem_code","length_position_top1_accuracy","20","0.154652","0.209888","0.009044","0.194715","0.197376","0.209145","0.225","0.231247","-0.055236","1","0"
"mixed_admin_emblem_code","bidirectional_top1_accuracy","20","0.325865","0.415069","0.007161","0.403434","0.40517","0.414332","0.425189","0.426693","-0.089204","1","0"
"mixed_admin_emblem_code","bidirectional_top5_accuracy","20","0.567828","0.662652","0.004676","0.64905","0.655644","0.663906","0.668838","0.669995","-0.094824","1","0"
